IID	TN_Quzhou_20220601_Natural
WATDE0181	102
WATDE0182	0
WATDE0183	249
WATDE0184	96
WATDE0185	138
WATDE0187	NA
WATDE0188	74
WATDE0190	151
WATDE0191	91
WATDE0192	230
WATDE0194	NA
WATDE0195	175
WATDE0196	NA
WATDE0198	NA
WATDE0199	NA
WATDE0200	NA
WATDE0202	136
WATDE0203	125
WATDE0204	115
WATDE0205	NA
WATDE0206	110
WATDE0207	NA
WATDE0209	NA
WATDE0211	172
WATDE0212	183
WATDE0214	NA
WATDE0215	149
WATDE0216	132
WATDE0217	NA
WATDE0219	0
WATDE0220	128
WATDE0221	194
WATDE0222	127
WATDE0223	73
WATDE0224	123
WATDE0225	NA
WATDE0227	195
WATDE0228	69
WATDE0229	128
WATDE0230	NA
WATDE0232	NA
WATDE0233	187
WATDE0234	NA
WATDE0235	161
WATDE0236	NA
WATDE0237	NA
WATDE0238	NA
WATDE0239	156
WATDE0241	NA
WATDE0242	125
WATDE0243	NA
WATDE0244	NA
WATDE0246	NA
WATDE0247	188
WATDE0248	NA
WATDE0249	75
WATDE0250	156
WATDE0252	NA
WATDE0253	NA
WATDE0254	176
WATDE0255	146
WATDE0257	144
WATDE0258	130
WATDE0259	74
WATDE0260	141
WATDE0262	119
WATDE0263	175
WATDE0264	52
WATDE0266	84
WATDE0268	NA
WATDE0270	NA
WATDE0271	184
WATDE0272	152
WATDE0273	131
WATDE0275	177
WATDE0276	152
WATDE0277	NA
WATDE0278	206
WATDE0280	182
WATDE0281	100
WATDE0282	NA
WATDE0284	NA
WATDE0285	132
WATDE0286	191
WATDE0287	136
WATDE0288	165
WATDE0290	180
WATDE0291	NA
WATDE0292	148
WATDE0293	152
WATDE0294	166
WATDE0296	NA
WATDE0298	NA
WATDE0299	NA
WATDE0301	114
WATDE0302	NA
WATDE0303	NA
WATDE0304	NA
WATDE0305	130
WATDE0306	142
WATDE0308	139
WATDE0310	NA
WATDE0312	166
WATDE0313	164
WATDE0315	230
WATDE0316	105
WATDE0317	188
WATDE0318	138
WATDE0319	118
WATDE0321	108
WATDE0323	NA
WATDE0324	163
WATDE0325	NA
WATDE0328	125
WATDE0329	NA
WATDE0331	120
WATDE0332	87
WATDE0333	155
WATDE0334	NA
WATDE0335	102
WATDE0336	142
WATDE0337	NA
WATDE0340	NA
WATDE0342	NA
WATDE0343	NA
WATDE0344	NA
WATDE0345	NA
WATDE0346	126
WATDE0347	NA
WATDE0348	NA
WATDE0350	160
WATDE0352	159
WATDE0353	142
WATDE0354	131
WATDE0355	NA
WATDE0356	158
WATDE0358	NA
WATDE0359	0
WATDE0361	NA
WATDE0363	126
WATDE0365	NA
WATDE0366	155
WATDE0368	83
WATDE0369	NA
WATDE0370	NA
WATDE0371	176
WATDE0372	217
WATDE0373	190
WATDE0374	136
WATDE0375	155
WATDE0377	NA
WATDE0378	NA
WATDE0379	156
WATDE0381	124
WATDE0382	154
WATDE0383	147
WATDE0385	158
WATDE0386	NA
WATDE0387	NA
WATDE0389	NA
WATDE0391	172
WATDE0392	NA
WATDE0394	155
WATDE0396	126
WATDE0397	167
WATDE0399	174
WATDE0401	140
WATDE0403	NA
WATDE0404	244
WATDE0405	NA
WATDE0407	228
WATDE0408	160
WATDE0409	332
WATDE0410	NA
WATDE0411	150
WATDE0412	130
WATDE0413	182
WATDE0415	160
WATDE0417	NA
WATDE0419	239
WATDE0420	145
WATDE0421	207
WATDE0422	190
WATDE0423	219
WATDE0424	NA
WATDE0425	NA
WATDE0426	NA
WATDE0427	124
WATDE0428	NA
WATDE0429	151
WATDE0430	166
WATDE0431	NA
WATDE0432	NA
WATDE0433	NA
WATDE0434	NA
WATDE0435	NA
WATDE0436	162
WATDE0438	NA
WATDE0439	199
WATDE0440	265
WATDE0441	132
WATDE0442	148
WATDE0443	137
WATDE0444	NA
WATDE0445	135
WATDE0446	121
WATDE0448	169
WATDE0449	191
WATDE0450	131
WATDE0451	NA
WATDE0452	172
WATDE0453	179
WATDE0454	185
WATDE0455	153
WATDE0456	156
WATDE0457	NA
WATDE0460	116
WATDE0461	86
WATDE0462	90
WATDE0463	201
WATDE0465	152
WATDE0467	NA
WATDE0469	154
WATDE0471	129
WATDE0474	161
WATDE0477	214
WATDE0479	213
WATDE0481	200
WATDE0482	197
WATDE0484	NA
WATDE0486	172
WATDE0487	197
WATDE0488	76
WATDE0489	137
WATDE0490	142
WATDE0492	NA
WATDE0494	141
WATDE0496	142
WATDE0498	93
WATDE0500	134
WATDE0501	NA
WATDE0502	NA
WATDE0503	124
WATDE0504	80
WATDE0505	NA
WATDE0507	NA
WATDE0509	152
WATDE0510	NA
WATDE0511	NA
WATDE0512	NA
WATDE0513	132
WATDE0515	215
WATDE0516	NA
WATDE0518	177
WATDE0519	191
WATDE0520	NA
WATDE0521	151
WATDE0522	NA
WATDE0524	NA
WATDE0527	154
WATDE0529	NA
WATDE0531	187
WATDE0533	187
WATDE0534	185
WATDE0536	NA
WATDE0537	266
WATDE0538	NA
WATDE0539	238
WATDE0540	192
WATDE0541	136
WATDE0542	NA
WATDE0543	164
WATDE0544	150
WATDE0546	NA
WATDE0547	149
WATDE0549	139
WATDE0550	230
WATDE0552	188
WATDE0553	170
WATDE0555	175
WATDE0556	195
WATDE0557	191
WATDE0558	NA
WATDE0560	NA
WATDE0561	190
WATDE0562	240
WATDE0563	128
WATDE0565	185
WATDE0566	NA
WATDE0567	129
WATDE0568	NA
WATDE0569	197
WATDE0570	144
WATDE0571	140
WATDE0572	122
WATDE0574	103
WATDE0577	160
WATDE0578	162
WATDE0579	181
WATDE0581	169
WATDE0582	203
WATDE0585	191
WATDE0586	75
WATDE0588	174
WATDE0589	130
WATDE0591	NA
WATDE0592	NA
WATDE0594	260
WATDE0596	145
WATDE0597	148
WATDE0598	121
WATDE0599	NA
WATDE0600	110
WATDE0601	NA
WATDE0602	197
WATDE0603	NA
WATDE0604	121
WATDE0606	116
WATDE0608	NA
WATDE0609	100
