IID	Mat_Shenzhen_2022_Natural_1st
WATDE0182	151
WATDE0183	132
WATDE0184	145
WATDE0185	132
WATDE0187	NA
WATDE0188	162
WATDE0190	151
WATDE0191	142
WATDE0192	185
WATDE0194	NA
WATDE0195	143
WATDE0196	NA
WATDE0198	172
WATDE0199	NA
WATDE0200	NA
WATDE0202	136
WATDE0203	181
WATDE0204	181
WATDE0205	NA
WATDE0206	184
WATDE0207	NA
WATDE0209	NA
WATDE0211	139
WATDE0212	169
WATDE0214	NA
WATDE0215	117
WATDE0216	126
WATDE0217	159
WATDE0219	149
WATDE0220	137
WATDE0221	112
WATDE0222	126
WATDE0223	92
WATDE0224	98
WATDE0225	NA
WATDE0227	140
WATDE0228	134
WATDE0229	184
WATDE0230	185
WATDE0232	NA
WATDE0233	171
WATDE0234	157
WATDE0235	148
WATDE0236	126
WATDE0237	154
WATDE0238	183
WATDE0239	182
WATDE0241	NA
WATDE0242	153
WATDE0243	NA
WATDE0244	166
WATDE0246	153
WATDE0247	158
WATDE0248	NA
WATDE0249	185
WATDE0250	182
WATDE0252	NA
WATDE0253	151
WATDE0254	167
WATDE0255	151
WATDE0257	137
WATDE0258	133
WATDE0259	135
WATDE0260	127
WATDE0262	120
WATDE0263	127
WATDE0264	93
WATDE0266	168
WATDE0268	172
WATDE0270	NA
WATDE0271	135
WATDE0272	115
WATDE0273	162
WATDE0275	96
WATDE0276	142
WATDE0277	NA
WATDE0278	133
WATDE0280	145
WATDE0281	163
WATDE0282	NA
WATDE0284	163
WATDE0285	143
WATDE0286	137
WATDE0287	165
WATDE0288	162
WATDE0290	144
WATDE0291	NA
WATDE0292	135
WATDE0293	183
WATDE0294	171
WATDE0296	189
WATDE0298	NA
WATDE0299	169
WATDE0301	174
WATDE0302	163
WATDE0303	NA
WATDE0304	165
WATDE0305	154
WATDE0306	159
WATDE0308	183
WATDE0310	161
WATDE0312	161
WATDE0313	149
WATDE0315	147
WATDE0316	160
WATDE0317	137
WATDE0318	130
WATDE0319	139
WATDE0321	153
WATDE0323	NA
WATDE0324	124
WATDE0325	NA
WATDE0328	181
WATDE0329	161
WATDE0331	NA
WATDE0332	143
WATDE0333	143
WATDE0334	NA
WATDE0335	NA
WATDE0336	154
WATDE0337	165
WATDE0340	188
WATDE0342	185
WATDE0343	NA
WATDE0344	NA
WATDE0345	NA
WATDE0346	164
WATDE0347	183
WATDE0348	NA
WATDE0350	166
WATDE0352	NA
WATDE0353	162
WATDE0354	147
WATDE0355	NA
WATDE0356	153
WATDE0358	163
WATDE0359	107
WATDE0361	NA
WATDE0363	147
WATDE0365	155
WATDE0366	162
WATDE0368	131
WATDE0369	168
WATDE0370	139
WATDE0371	139
WATDE0372	139
WATDE0373	153
WATDE0374	141
WATDE0375	138
WATDE0377	NA
WATDE0378	NA
WATDE0379	152
WATDE0381	134
WATDE0382	148
WATDE0383	136
WATDE0385	136
WATDE0386	NA
WATDE0387	NA
WATDE0389	NA
WATDE0391	185
WATDE0392	181
WATDE0394	141
WATDE0396	142
WATDE0397	160
WATDE0399	131
WATDE0401	133
WATDE0403	NA
WATDE0404	143
WATDE0405	NA
WATDE0407	142
WATDE0408	161
WATDE0409	138
WATDE0410	NA
WATDE0411	138
WATDE0412	145
WATDE0413	128
WATDE0415	143
WATDE0417	131
WATDE0419	132
WATDE0420	135
WATDE0421	127
WATDE0422	132
WATDE0423	130
WATDE0424	NA
WATDE0425	NA
WATDE0426	NA
WATDE0427	163
WATDE0428	153
WATDE0429	143
WATDE0430	145
WATDE0431	NA
WATDE0432	NA
WATDE0433	NA
WATDE0434	161
WATDE0435	159
WATDE0436	173
WATDE0438	NA
WATDE0439	142
WATDE0440	132
WATDE0441	153
WATDE0442	150
WATDE0443	161
WATDE0444	161
WATDE0445	145
WATDE0446	143
WATDE0448	161
WATDE0449	134
WATDE0450	138
WATDE0451	NA
WATDE0452	146
WATDE0453	135
WATDE0454	138
WATDE0455	134
WATDE0456	134
WATDE0457	NA
WATDE0460	147
WATDE0461	138
WATDE0462	125
WATDE0463	165
WATDE0465	NA
WATDE0467	171
WATDE0469	153
WATDE0471	161
WATDE0474	138
WATDE0477	162
WATDE0479	140
WATDE0481	147
WATDE0482	157
WATDE0484	NA
WATDE0486	155
WATDE0487	139
WATDE0488	170
WATDE0489	125
WATDE0490	141
WATDE0492	NA
WATDE0494	172
WATDE0496	166
WATDE0498	170
