IID	RVI_Shenzhen-NN_2020_Natural
Agron	NA
Alba	NA
Albatross	NA
Alcedo	NA
Alert	NA
Almus	NA
Altria	NA
ArinaLrFor	NA
Arminda	NA
Aronde	NA
Avalon	NA
Aztec	NA
WATDE0003	NA
WATDE0010	NA
WATDE0339	NA
WATDE0459	1.027443068
WATDE0476	1.025865917
WATDE0526	NA
WATDE0532	NA
WATDE0576	1.029745701
WATDE0612	NA
WATDE0061	1.034991071
WATDE0668	NA
WATDE0714	1.032560905
WATDE0762	NA
WATDE0801	NA
WATDE0868	1.041722972
WATDE0100	1.042122666
WATDE1030	NA
Banco	NA
Bandit	NA
Banner	NA
Beauchamp	NA
Beaver	NA
Becard_Kachu	NA
Bersee	NA
Boreonos	NA
Bounty	NA
Boxer	NA
Buster	NA
Calif	NA
Camp_Remy	NA
Capitiane	NA
Capo	NA
Cappelle_Desprez	NA
Catamaran	NA
Cezanne	NA
Charger	NA
Chinese_Spring	NA
Cimcog26	NA
Cimcog3	NA
Cimcog47	NA
Cimcog56	NA
Claire	NA
Consort	NA
Courtot	NA
Crest	NA
Crusoe	NA
Diablo	NA
Diplomat	NA
Disponent	NA
Dorby	NA
Drake	NA
Drauhofener_Kolben	NA
Druid	NA
Encore	NA
Equinox	NA
Erla-Kolben	NA
Erland	NA
Eros	NA
Expert	NA
Extrem	NA
Fanal	NA
Felix	NA
Fiorello	NA
Flair	NA
Flame	NA
Flamingo	NA
Florida	NA
Gabo	NA
Galahad	NA
Garcia	NA
Gawain	NA
Glasgow	NA
Grafton	NA
Granada	NA
Haven	NA
Heine7	NA
Hereward	NA
Highbury	NA
Hobbit	NA
Holdfast	NA
Hybrid46	NA
Ibis	NA
Iena	NA
Ikarus	NA
Jagger	NA
Joss_Cambier	NA
Julius	NA
KWS_Santiago	NA
Karat	NA
Koga1	NA
Kontrast	NA
Kosack	NA
Kranich	NA
Lancelot	NA
Leda	NA
Legend	NA
Longbow	NA
Lutin	NA
MISR1	NA
Mahndorfer	NA
Marco	NA
Maris_Dove	NA
Maris_Widgeon	NA
MarisHuntsman	NA
Maris_ranger	NA
Minister	NA
Mironovska	NA
Moisson	NA
Muck	NA
Multiweiss	NA
Nautica	NA
Newhaven	NA
Norda	NA
Norin	NA
Obelisk	NA
Odeon	NA
Odin	NA
Oenus	NA
Opata	NA
Orlando	NA
Palur	NA
Pamyat	NA
Pastiche	NA
Pavon76	NA
Pepital	NA
Peragis	NA
Perlo	NA
Pfau	NA
Pomerelle	NA
Pony	NA
Prof_Marshall	NA
Prophet	NA
Rabe	NA
Rebel	NA
Recital	NA
Record	NA
Red_Fife	NA
Reedling	NA
Regent	NA
Renan	NA
Rendezvous	NA
Revelation	NA
Riband	NA
Rimpaus_Bastard2	NA
RitzlhoferNeu	NA
SYMattis	NA
Savannah	NA
Schweigers_Taca	NA
Scipion	NA
Shamrock	NA
Shango	NA
Sicco	NA
Slejpner	NA
Soissons	NA
Soleil	NA
Spark	NA
Sperber	NA
Spitfire	NA
Sportsman	NA
Stamm101	NA
Starke2	NA
Stava	NA
Stella	NA
Super152	NA
Svale	NA
Tadorna	NA
Talent	NA
Tambor	NA
Tandem	NA
Tanker	NA
Taras	NA
Thatcher	NA
Thor	NA
Titus	NA
Top	NA
Torfrida	NA
Trafalgar	NA
Treasure	NA
Tremie	NA
Triumph_NDL	NA
Tschermaks	NA
Turpin	NA
Urban	NA
Vaguedepis	NA
Vilmorin53	NA
Vilmorin27	NA
Virgo	NA
Vocal	NA
Voyage	NA
WATDE0001	1.02678592
WATDE0002	NA
WATDE0004	1.032628303
WATDE0005	1.040009636
WATDE0006	NA
WATDE0007	NA
WATDE0008	NA
WATDE0009	NA
WATDE0011	NA
WATDE0012	NA
WATDE0013	NA
WATDE0014	NA
WATDE0015	1.048823981
WATDE0016	1.031868726
WATDE0017	NA
WATDE0018	1.032571597
WATDE0019	NA
WATDE0020	1.029626188
WATDE0021	NA
WATDE0022	NA
WATDE0023	NA
WATDE0024	NA
WATDE0025	NA
WATDE0026	NA
WATDE0027	NA
WATDE0028	1.031746726
WATDE0029	NA
WATDE0030	NA
WATDE0031	1.035915463
WATDE0032	NA
WATDE0033	1.029489737
WATDE0034	NA
WATDE0035	NA
WATDE0036	1.042019992
WATDE0037	NA
WATDE0038	NA
WATDE0040	NA
WATDE0041	1.054873525
WATDE0042	1.034784893
WATDE0043	NA
WATDE0044	NA
WATDE0045	NA
WATDE0046	NA
WATDE0047	1.030244839
WATDE0048	NA
WATDE0049	1.031777097
WATDE0050	NA
WATDE0051	NA
WATDE0052	NA
WATDE0053	NA
WATDE0054	1.02516514
WATDE0055	1.029566945
WATDE0056	1.026036526
WATDE0057	1.031010735
WATDE0058	1.034300512
WATDE0059	NA
WATDE0060	1.023943937
WATDE0062	1.022657141
WATDE0063	1.042961048
WATDE0064	1.032937683
WATDE0065	NA
WATDE0066	NA
WATDE0067	NA
WATDE0068	1.026250298
WATDE0069	NA
WATDE0070	NA
WATDE0071	1.038452339
WATDE0072	1.041566379
WATDE0073	NA
WATDE0074	1.027427845
WATDE0075	1.027810384
WATDE0076	1.031245776
WATDE0077	1.044973431
WATDE0078	1.029332907
WATDE0079	NA
WATDE0080	1.029431984
WATDE0081	NA
WATDE0082	NA
WATDE0083	NA
WATDE0084	NA
WATDE0085	NA
WATDE0086	NA
WATDE0087	NA
WATDE0088	NA
WATDE0089	NA
WATDE0090	NA
WATDE0091	NA
WATDE0092	NA
WATDE0093	1.027725114
WATDE0094	NA
WATDE0095	1.026568821
WATDE0096	1.037365657
WATDE0097	NA
WATDE0098	1.028867205
WATDE0099	1.027782042
WATDE0101	1.047961892
WATDE0102	NA
WATDE0103	NA
WATDE0104	NA
WATDE0105	1.02968909
WATDE0106	NA
WATDE0107	1.021722783
WATDE0108	NA
WATDE0109	NA
WATDE0110	1.032965909
WATDE0111	1.029181855
WATDE0112	1.047089361
WATDE0113	1.035329306
WATDE0114	1.026514746
WATDE0115	1.035190599
WATDE0116	1.030145834
WATDE0117	NA
WATDE0118	1.031421662
WATDE0119	NA
WATDE0120	NA
WATDE0121	1.040346521
WATDE0122	NA
WATDE0123	1.049482526
