IID	SPAD_Shenzhen_2022_Nautural_Booting
WATDE0152	NA
WATDE0153	45.1
WATDE0154	NA
WATDE0156	42.6
WATDE0157	NA
WATDE0158	43.7
WATDE0159	NA
WATDE0160	NA
WATDE0162	NA
WATDE0164	NA
WATDE0165	NA
WATDE0168	NA
WATDE0169	NA
WATDE0171	NA
WATDE0173	43.7
WATDE0174	36.8
WATDE0175	NA
WATDE0176	NA
WATDE0177	NA
WATDE0178	40.1
WATDE0180	42.6
WATDE0181	37.7
WATDE0182	32.25
WATDE0183	35.3
WATDE0184	37
WATDE0185	38.6
WATDE0187	NA
WATDE0188	31.9
WATDE0190	33.2
WATDE0191	NA
WATDE0192	NA
WATDE0194	NA
WATDE0195	40.3
WATDE0196	NA
WATDE0198	NA
WATDE0199	NA
WATDE0200	NA
WATDE0202	46.9
WATDE0203	NA
WATDE0204	26.5
WATDE0205	NA
WATDE0206	NA
WATDE0207	NA
WATDE0209	NA
WATDE0211	NA
WATDE0212	NA
WATDE0214	NA
WATDE0215	45.6
WATDE0216	41.3
WATDE0217	NA
WATDE0219	NA
WATDE0220	38
WATDE0221	35.5
WATDE0222	46
WATDE0223	NA
WATDE0224	NA
WATDE0225	NA
WATDE0227	36.8
WATDE0228	41.5
WATDE0229	NA
WATDE0230	NA
WATDE0232	NA
WATDE0233	NA
WATDE0234	NA
WATDE0235	41
WATDE0236	NA
WATDE0237	NA
WATDE0238	NA
WATDE0239	NA
WATDE0241	NA
WATDE0242	44.6
WATDE0243	NA
WATDE0244	NA
WATDE0246	NA
WATDE0247	34.45
WATDE0248	NA
WATDE0249	NA
WATDE0250	NA
WATDE0252	NA
WATDE0253	NA
WATDE0254	33.4
WATDE0255	33.1
WATDE0257	40.6
WATDE0258	42.5
WATDE0259	46.6
WATDE0260	44.8
WATDE0262	36.6
WATDE0263	35
WATDE0264	NA
WATDE0266	38.7
WATDE0268	NA
WATDE0270	NA
WATDE0271	37.6
WATDE0272	NA
WATDE0273	31.8
WATDE0275	NA
WATDE0276	43.3
WATDE0277	NA
WATDE0278	39.8
WATDE0280	41.5
WATDE0281	33
WATDE0282	NA
WATDE0284	NA
WATDE0285	42.2
WATDE0286	43
WATDE0287	30.9
WATDE0288	34.15
WATDE0290	35.6
WATDE0291	NA
WATDE0292	41.5
WATDE0293	NA
WATDE0294	39.6
WATDE0296	NA
WATDE0298	NA
WATDE0299	NA
WATDE0301	NA
WATDE0302	NA
WATDE0303	NA
WATDE0304	NA
WATDE0305	40.1
WATDE0306	39.9
WATDE0308	NA
WATDE0310	NA
WATDE0312	39.3
WATDE0313	NA
WATDE0315	35.85
WATDE0316	27
WATDE0317	43.6
WATDE0318	NA
WATDE0319	38.7
WATDE0321	34.9
WATDE0323	NA
WATDE0324	42.9
WATDE0325	NA
WATDE0328	NA
WATDE0329	NA
WATDE0331	NA
WATDE0332	47.1
WATDE0333	39.8
WATDE0334	NA
WATDE0335	NA
WATDE0336	NA
WATDE0337	NA
WATDE0340	NA
WATDE0342	NA
WATDE0343	NA
WATDE0344	NA
WATDE0345	NA
WATDE0346	35.9
WATDE0347	NA
WATDE0348	NA
WATDE0350	34.3
WATDE0352	NA
WATDE0353	34.85
WATDE0354	37.8
WATDE0355	NA
WATDE0356	36.6
WATDE0358	NA
WATDE0359	37.1
WATDE0361	NA
WATDE0363	43
WATDE0365	NA
WATDE0366	NA
WATDE0368	48.1
WATDE0369	NA
WATDE0370	NA
WATDE0371	30.7
WATDE0372	39.2
WATDE0373	35.5
WATDE0374	NA
WATDE0375	36.6
WATDE0377	NA
WATDE0378	NA
WATDE0379	35.4
WATDE0381	36.6
WATDE0382	NA
WATDE0383	37.6
WATDE0385	39.5
WATDE0386	NA
WATDE0387	NA
WATDE0389	NA
WATDE0391	NA
WATDE0392	NA
WATDE0394	34.9
WATDE0396	NA
WATDE0397	29.8
WATDE0399	38.7
WATDE0401	44.4
WATDE0403	NA
WATDE0404	30.1
WATDE0405	NA
WATDE0407	42.9
WATDE0408	35.3
WATDE0409	37.4
WATDE0410	NA
WATDE0411	35.6
WATDE0412	41.1
WATDE0413	39.5
WATDE0415	40
WATDE0417	NA
WATDE0419	33.9
WATDE0420	38.1
WATDE0421	31.4
WATDE0422	38.8
WATDE0423	41.2
WATDE0424	NA
WATDE0425	NA
WATDE0426	NA
WATDE0427	33.8
WATDE0428	NA
WATDE0429	40.7
WATDE0430	45.2
WATDE0431	NA
WATDE0432	NA
WATDE0433	NA
WATDE0434	NA
WATDE0435	NA
WATDE0436	32.1
WATDE0438	NA
WATDE0439	41.1
WATDE0440	45.6
WATDE0441	NA
WATDE0442	NA
WATDE0443	35.1
WATDE0444	NA
WATDE0445	33.5
WATDE0446	NA
WATDE0448	33.7
WATDE0449	41.8
WATDE0450	36.7
WATDE0451	NA
WATDE0452	35.9
WATDE0453	41.2
WATDE0454	41.7
WATDE0455	37.1
WATDE0456	29.2
WATDE0457	NA
WATDE0460	NA
WATDE0461	33.9
WATDE0462	44.3
WATDE0463	35.6
WATDE0465	NA
WATDE0467	NA
WATDE0469	38.4
WATDE0471	40.6
WATDE0474	36.6
WATDE0477	31.7
WATDE0479	38.6
WATDE0481	NA
WATDE0482	38.4
WATDE0484	NA
WATDE0486	34
WATDE0487	38.8
WATDE0488	34.5
WATDE0489	NA
WATDE0490	33.5
WATDE0492	NA
WATDE0494	NA
WATDE0496	NA
WATDE0498	NA
WATDE0500	NA
WATDE0501	NA
WATDE0502	NA
WATDE0503	41.6
WATDE0504	NA
WATDE0505	NA
WATDE0507	NA
WATDE0509	NA
WATDE0510	NA
WATDE0511	NA
WATDE0512	NA
WATDE0513	31.6
WATDE0515	32.05
WATDE0516	NA
WATDE0518	NA
WATDE0519	NA
WATDE0520	NA
WATDE0521	39.75
WATDE0522	NA
WATDE0524	NA
WATDE0527	33.9
WATDE0529	NA
WATDE0531	33.5
WATDE0533	34.4
WATDE0534	33.05
WATDE0536	NA
WATDE0537	36.35
WATDE0538	NA
WATDE0539	34.15
WATDE0540	NA
WATDE0541	NA
WATDE0542	NA
WATDE0543	NA
WATDE0544	41.1
WATDE0546	NA
WATDE0547	35.7
WATDE0549	39.3
WATDE0550	33.85
WATDE0552	42.2
WATDE0553	36.8
WATDE0555	38
WATDE0556	41.2
