IID	LeafLen_Shenzhen-NN_2021_Natural
WATDE0150	NA
WATDE0151	NA
WATDE0152	NA
WATDE0153	NA
WATDE0154	NA
WATDE0156	29.63
WATDE0157	NA
WATDE0158	NA
WATDE0159	NA
WATDE0160	NA
WATDE0162	NA
WATDE0164	NA
WATDE0165	NA
WATDE0168	NA
WATDE0169	NA
WATDE0171	NA
WATDE0173	NA
WATDE0174	26.60
WATDE0175	NA
WATDE0176	NA
WATDE0177	NA
WATDE0178	NA
WATDE0180	20.00
WATDE0181	NA
WATDE0182	NA
WATDE0183	26.96
WATDE0184	NA
WATDE0185	34.67
WATDE0187	NA
WATDE0188	23.88
WATDE0190	NA
WATDE0191	NA
WATDE0192	NA
WATDE0194	NA
WATDE0195	NA
WATDE0196	NA
WATDE0198	NA
WATDE0199	NA
WATDE0200	NA
WATDE0202	NA
WATDE0203	NA
WATDE0204	NA
WATDE0205	NA
WATDE0206	NA
WATDE0207	NA
WATDE0209	NA
WATDE0211	NA
WATDE0212	NA
WATDE0214	NA
WATDE0215	NA
WATDE0216	26.27
WATDE0217	NA
WATDE0219	NA
WATDE0220	15.63
WATDE0221	NA
WATDE0222	26.50
WATDE0223	24.28
WATDE0224	25.74
WATDE0225	NA
WATDE0227	28.38
WATDE0228	26.55
WATDE0229	NA
WATDE0230	NA
WATDE0232	NA
WATDE0233	NA
WATDE0234	NA
WATDE0235	NA
WATDE0236	NA
WATDE0237	NA
WATDE0238	NA
WATDE0239	NA
WATDE0241	NA
WATDE0242	NA
WATDE0243	NA
WATDE0244	NA
WATDE0246	NA
WATDE0247	NA
WATDE0248	NA
WATDE0249	NA
WATDE0250	NA
WATDE0252	NA
WATDE0253	NA
WATDE0254	19.18
WATDE0255	19.08
WATDE0257	NA
WATDE0258	25.15
WATDE0259	19.84
WATDE0260	26.16
WATDE0262	19.87
WATDE0263	20.77
WATDE0264	31.35
WATDE0266	NA
WATDE0268	NA
WATDE0270	NA
WATDE0271	NA
WATDE0272	NA
WATDE0273	NA
WATDE0275	24.72
WATDE0276	NA
WATDE0277	NA
WATDE0278	NA
WATDE0280	NA
WATDE0281	21.69
WATDE0282	NA
WATDE0284	NA
WATDE0285	25.05
WATDE0286	21.64
WATDE0287	21.59
WATDE0288	NA
WATDE0290	28.84
WATDE0291	NA
WATDE0292	NA
WATDE0293	NA
WATDE0294	NA
WATDE0296	NA
WATDE0298	NA
WATDE0299	NA
WATDE0301	NA
WATDE0302	23.16
WATDE0303	NA
WATDE0304	NA
WATDE0305	NA
WATDE0306	27.64
WATDE0308	NA
WATDE0310	NA
WATDE0312	27.73
WATDE0313	NA
WATDE0315	22.63
WATDE0316	NA
WATDE0317	22.05
WATDE0318	NA
WATDE0319	26.12
WATDE0321	22.04
WATDE0323	NA
WATDE0324	25.59
WATDE0325	NA
WATDE0328	NA
WATDE0329	NA
WATDE0331	NA
WATDE0332	24.33
WATDE0333	24.42
WATDE0334	30.01
WATDE0335	NA
WATDE0336	NA
WATDE0337	NA
WATDE0340	NA
WATDE0342	NA
WATDE0343	NA
WATDE0344	NA
WATDE0345	NA
WATDE0346	24.14
WATDE0347	NA
WATDE0348	NA
WATDE0350	19.93
WATDE0352	NA
WATDE0353	37.24
WATDE0354	NA
WATDE0355	NA
WATDE0356	NA
WATDE0358	NA
WATDE0359	NA
WATDE0361	NA
WATDE0363	NA
WATDE0365	NA
WATDE0366	NA
WATDE0368	18.55
WATDE0369	26.52
WATDE0370	NA
WATDE0371	NA
WATDE0372	25.05
WATDE0373	NA
WATDE0374	25.37
WATDE0375	31.13
WATDE0377	NA
WATDE0378	NA
WATDE0379	NA
WATDE0381	NA
WATDE0382	NA
WATDE0383	17.27
WATDE0385	NA
WATDE0386	NA
WATDE0387	NA
WATDE0389	NA
WATDE0391	NA
WATDE0392	NA
WATDE0394	26.33
WATDE0396	NA
WATDE0397	23.54
WATDE0399	26.18
WATDE0401	30.07
WATDE0403	NA
WATDE0404	17.70
WATDE0405	NA
WATDE0407	16.35
WATDE0408	NA
WATDE0409	12.41
WATDE0410	NA
WATDE0411	NA
WATDE0412	NA
WATDE0413	19.85
WATDE0415	18.58
WATDE0417	NA
WATDE0419	NA
WATDE0420	23.48
WATDE0421	NA
WATDE0422	NA
WATDE0423	24.82
WATDE0424	NA
WATDE0425	NA
WATDE0426	NA
WATDE0427	NA
WATDE0428	NA
WATDE0429	NA
WATDE0430	NA
WATDE0431	NA
WATDE0432	NA
WATDE0433	NA
WATDE0434	NA
WATDE0435	NA
WATDE0436	NA
WATDE0438	NA
WATDE0439	NA
WATDE0440	20.95
WATDE0441	24.79
WATDE0442	27.83
WATDE0443	NA
WATDE0444	NA
WATDE0445	NA
WATDE0446	NA
WATDE0448	22.91
WATDE0449	NA
WATDE0450	27.17
WATDE0451	NA
WATDE0452	NA
WATDE0453	NA
WATDE0454	26.78
WATDE0455	26.44
WATDE0456	14.09
WATDE0457	NA
WATDE0460	21.23
WATDE0461	NA
WATDE0462	25.93
WATDE0463	NA
WATDE0465	25.57
WATDE0467	23.06
WATDE0469	21.36
WATDE0471	26.25
WATDE0474	30.44
WATDE0477	23.35
WATDE0479	NA
WATDE0481	22.86
WATDE0482	16.22
WATDE0484	24.95
WATDE0486	22.66
WATDE0487	25.26
WATDE0488	NA
WATDE0489	NA
WATDE0490	NA
WATDE0492	31.70
WATDE0494	NA
WATDE0496	NA
WATDE0498	NA
WATDE0500	NA
