IID	Hd_Shenzhen_2022_Natural_1st
Agron	NA
Alba	NA
Albatross	NA
Alcedo	NA
Alert	NA
Almus	NA
Altria	NA
ArinaLrFor	NA
Arminda	NA
Aronde	NA
Avalon	NA
Aztec	NA
WATDE0003	112
WATDE0010	NA
WATDE0339	150
WATDE0459	124
WATDE0476	NA
WATDE0526	NA
WATDE0532	NA
WATDE0576	134
WATDE0612	117
WATDE0061	72
WATDE0668	114
WATDE0714	86
WATDE0762	112
WATDE0801	119
WATDE0868	122
WATDE0100	NA
WATDE1030	158
Banco	NA
Bandit	NA
Banner	NA
Beauchamp	NA
Beaver	NA
Becard_Kachu	NA
Bersee	NA
Boreonos	NA
Bounty	NA
Boxer	NA
Buster	NA
Calif	NA
Camp_Remy	NA
Capitiane	NA
Capo	NA
Cappelle_Desprez	NA
Catamaran	NA
Cezanne	NA
Charger	NA
Chinese_Spring	NA
Cimcog26	NA
Cimcog3	NA
Cimcog47	NA
Cimcog56	NA
Claire	NA
Consort	NA
Courtot	NA
Crest	NA
Crusoe	NA
Diablo	NA
Diplomat	NA
Disponent	NA
Dorby	NA
Drake	NA
Drauhofener_Kolben	NA
Druid	NA
Encore	NA
Equinox	NA
Erla-Kolben	NA
Erland	NA
Eros	NA
Expert	NA
Extrem	NA
Fanal	NA
Felix	NA
Fiorello	NA
Flair	NA
Flame	NA
Flamingo	NA
Florida	NA
Gabo	NA
Galahad	NA
Garcia	NA
Gawain	NA
Glasgow	NA
Grafton	NA
Granada	NA
Haven	NA
Heine7	NA
Hereward	NA
Highbury	NA
Hobbit	NA
Holdfast	NA
Hybrid46	NA
Ibis	NA
Iena	NA
Ikarus	NA
Jagger	NA
Joss_Cambier	NA
Julius	NA
KWS_Santiago	NA
Karat	NA
Koga1	NA
Kontrast	NA
Kosack	NA
Kranich	NA
Lancelot	NA
Leda	NA
Legend	NA
Longbow	NA
Lutin	NA
MISR1	NA
Mahndorfer	NA
Marco	NA
Maris_Dove	NA
Maris_Widgeon	NA
MarisHuntsman	NA
Maris_ranger	NA
Minister	NA
Mironovska	NA
Moisson	NA
Muck	NA
Multiweiss	NA
Nautica	NA
Newhaven	NA
Norda	NA
Norin	NA
Obelisk	NA
Odeon	NA
Odin	NA
Oenus	NA
Opata	NA
Orlando	NA
Palur	NA
Pamyat	NA
Pastiche	NA
Pavon76	NA
Pepital	NA
Peragis	NA
Perlo	NA
Pfau	NA
Pomerelle	NA
Pony	NA
Prof_Marshall	NA
Prophet	NA
Rabe	NA
Rebel	NA
Recital	NA
Record	NA
Red_Fife	NA
Reedling	NA
Regent	NA
Renan	NA
Rendezvous	NA
Revelation	NA
Riband	NA
Rimpaus_Bastard2	NA
RitzlhoferNeu	NA
SYMattis	NA
Savannah	NA
Schweigers_Taca	NA
Scipion	NA
Shamrock	NA
Shango	NA
Sicco	NA
Slejpner	NA
Soissons	NA
Soleil	NA
Spark	NA
Sperber	NA
Spitfire	NA
Sportsman	NA
Stamm101	NA
Starke2	NA
Stava	NA
Stella	NA
Super152	NA
Svale	NA
Tadorna	NA
Talent	NA
Tambor	NA
Tandem	NA
Tanker	NA
Taras	NA
Thatcher	NA
Thor	NA
Titus	NA
Top	NA
Torfrida	NA
Trafalgar	NA
Treasure	NA
Tremie	NA
Triumph_NDL	NA
Tschermaks	NA
Turpin	NA
Urban	NA
Vaguedepis	NA
Vilmorin53	NA
Vilmorin27	NA
Virgo	NA
Vocal	NA
Voyage	NA
WATDE0001	115
WATDE0002	76
WATDE0004	120
WATDE0005	56
WATDE0006	78
WATDE0007	NA
WATDE0008	129
WATDE0009	144
WATDE0011	126
WATDE0012	152
WATDE0013	120
WATDE0014	NA
WATDE0015	86
WATDE0016	127
WATDE0017	133
WATDE0018	112
WATDE0019	NA
WATDE0020	127
WATDE0021	126
WATDE0022	165
WATDE0023	70
WATDE0024	NA
WATDE0025	110
WATDE0026	117
WATDE0027	141
WATDE0028	107
WATDE0029	NA
WATDE0030	NA
WATDE0031	143
WATDE0032	127
WATDE0033	120
WATDE0034	120
WATDE0035	NA
WATDE0036	102
WATDE0037	120
WATDE0038	NA
WATDE0040	NA
WATDE0041	85
WATDE0042	175
WATDE0043	145
WATDE0044	NA
WATDE0045	124
WATDE0046	168
WATDE0047	132
WATDE0048	146
WATDE0049	130
WATDE0050	NA
WATDE0051	122
WATDE0052	NA
WATDE0053	106
WATDE0054	91
WATDE0055	137
WATDE0056	123
WATDE0057	104
WATDE0058	121
WATDE0059	152
WATDE0060	75
WATDE0062	116
WATDE0063	111
WATDE0064	129
WATDE0065	141
WATDE0066	119
WATDE0067	84
WATDE0068	121
WATDE0069	116
WATDE0070	140
WATDE0071	106
WATDE0072	115
WATDE0073	103
WATDE0074	116
WATDE0075	122
WATDE0076	170
WATDE0077	101
WATDE0078	147
WATDE0079	163
WATDE0080	123
WATDE0081	NA
WATDE0082	161
WATDE0083	115
WATDE0084	144
WATDE0085	160
WATDE0086	120
WATDE0087	120
WATDE0088	135
WATDE0089	NA
WATDE0090	109
WATDE0091	104
WATDE0092	120
WATDE0093	115
WATDE0094	133
WATDE0095	120
WATDE0096	129
WATDE0097	116
WATDE0098	98
WATDE0099	127
WATDE0101	74
WATDE0102	157
WATDE0103	NA
WATDE0104	NA
WATDE0105	120
WATDE0106	160
WATDE0107	125
WATDE0108	159
WATDE0109	NA
WATDE0110	117
WATDE0111	116
WATDE0112	72
WATDE0113	119
WATDE0114	143
WATDE0115	74
WATDE0116	112
WATDE0117	116
WATDE0118	117
WATDE0119	167
WATDE0120	112
WATDE0121	115
WATDE0122	122
WATDE0123	75
WATDE0124	76
WATDE0126	116
WATDE0127	135
WATDE0129	91
WATDE0131	112
WATDE0133	114
WATDE0134	128
WATDE0136	75
WATDE0138	NA
WATDE0140	125
WATDE0141	158
WATDE0143	NA
WATDE0144	127
WATDE0145	127
WATDE0146	127
WATDE0148	108
WATDE0149	72
WATDE0150	81
WATDE0151	115
WATDE0152	126
WATDE0153	90
WATDE0154	82
WATDE0156	109
WATDE0157	120
WATDE0158	98
WATDE0159	95
WATDE0160	99
WATDE0162	NA
WATDE0164	163
WATDE0165	161
WATDE0168	163
