IID	LeafWid_Quzhou_2022_Second_Natural
Agron	1.33
Alba	1.17
Albatross	1.33
Alcedo	1.27
Alert	1.13
Almus	1.30
Altria	1.13
ArinaLrFor	NA
Arminda	1.40
Aronde	1.23
Avalon	1.60
Aztec	1.43
WATDE0003	1.33
WATDE0010	NA
WATDE0339	1.50
WATDE0459	1.17
WATDE0476	1.13
WATDE0526	1.40
WATDE0532	1.17
WATDE0576	1.00
WATDE0612	1.07
WATDE0061	0.90
WATDE0668	1.33
WATDE0714	1.17
WATDE0762	1.17
WATDE0801	0.93
WATDE0868	1.23
WATDE0100	1.10
WATDE1030	1.50
Banco	1.33
Bandit	1.23
Banner	1.37
Beauchamp	NA
Beaver	1.63
Becard_Kachu	NA
Bersee	1.10
Boreonos	1.67
Bounty	1.53
Boxer	1.53
Buster	1.37
Calif	1.27
Camp_Remy	1.47
Capitiane	1.30
Capo	1.33
Cappelle_Desprez	1.43
Catamaran	1.07
Cezanne	1.37
Charger	1.40
Chinese_Spring	NA
Cimcog26	NA
Cimcog3	NA
Cimcog47	1.10
Cimcog56	1.53
Claire	NA
Consort	1.43
Courtot	1.37
Crest	1.43
Crusoe	1.53
Diablo	1.27
Diplomat	1.57
Disponent	1.23
Dorby	1.13
Drake	NA
Drauhofener_Kolben	1.47
Druid	1.53
Encore	1.33
Equinox	1.57
Erla-Kolben	1.20
Erland	1.37
Eros	1.17
Expert	1.10
Extrem	1.10
Fanal	1.57
Felix	1.63
Fiorello	NA
Flair	1.43
Flame	1.37
Flamingo	1.37
Florida	1.80
Gabo	0.90
Galahad	1.70
Garcia	NA
Gawain	1.57
Glasgow	1.40
Grafton	NA
Granada	1.80
Haven	1.43
Heine7	1.40
Hereward	1.07
Highbury	1.53
Hobbit	1.17
Holdfast	1.37
Hybrid46	1.43
Ibis	1.63
Iena	1.40
Ikarus	1.30
Jagger	NA
Joss_Cambier	1.57
Julius	NA
KWS_Santiago	1.57
Karat	1.23
Koga1	NA
Kontrast	1.20
Kosack	1.27
Kranich	1.30
Lancelot	1.10
Leda	1.47
Legend	1.20
Longbow	1.60
Lutin	1.30
MISR1	1.17
Mahndorfer	1.43
Marco	1.27
Maris_Dove	1.27
Maris_Widgeon	1.37
MarisHuntsman	1.43
Maris_ranger	1.53
Minister	1.47
Mironovska	1.53
Moisson	1.63
Muck	1.30
Multiweiss	1.40
Nautica	1.27
Newhaven	1.30
Norda	1.53
Norin	NA
Obelisk	1.33
Odeon	1.47
Odin	1.57
Oenus	1.23
Opata	0.90
Orlando	1.20
Palur	1.47
Pamyat	1.37
Pastiche	1.60
Pavon76	0.97
Pepital	1.20
Peragis	1.07
Perlo	1.33
Pfau	1.63
Pomerelle	1.27
Pony	1.47
Prof_Marshall	1.17
Prophet	1.37
Rabe	1.70
Rebel	1.37
Recital	1.30
Record	1.10
Red_Fife	1.37
Reedling	1.23
Regent	1.53
Renan	1.37
Rendezvous	1.50
Revelation	NA
Riband	NA
Rimpaus_Bastard2	1.33
RitzlhoferNeu	1.27
SYMattis	NA
Savannah	NA
Schweigers_Taca	1.33
Scipion	1.47
Shamrock	1.53
Shango	1.30
Sicco	1.23
Slejpner	1.63
Soissons	1.07
Soleil	1.73
Spark	1.07
Sperber	1.20
Spitfire	1.37
Sportsman	1.77
Stamm101	1.00
Starke2	1.63
Stava	1.33
Stella	1.43
Super152	1.33
Svale	1.23
Tadorna	1.50
Talent	1.30
Tambor	1.17
Tandem	1.60
Tanker	1.63
Taras	1.27
Thatcher	1.50
Thor	1.33
Titus	1.23
Top	1.43
Torfrida	1.40
Trafalgar	NA
Treasure	1.03
Tremie	1.57
Triumph_NDL	1.27
Tschermaks	1.37
Turpin	1.27
Urban	1.53
Vaguedepis	1.67
Vilmorin53	1.53
Vilmorin27	1.43
Virgo	1.37
Vocal	1.60
Voyage	1.53
WATDE0001	1.30
WATDE0002	1.20
WATDE0004	1.40
WATDE0005	1.10
WATDE0006	1.80
WATDE0007	NA
WATDE0008	1.30
WATDE0009	1.17
WATDE0011	1.10
WATDE0012	1.10
WATDE0013	1.40
WATDE0014	1.63
WATDE0015	0.97
WATDE0016	1.10
WATDE0017	1.27
WATDE0018	1.23
WATDE0019	1.23
WATDE0020	1.60
WATDE0021	1.07
WATDE0022	1.30
WATDE0023	1.23
WATDE0024	1.33
WATDE0025	1.17
WATDE0026	1.20
WATDE0027	0.97
WATDE0028	1.10
WATDE0029	NA
WATDE0030	NA
WATDE0031	1.17
WATDE0032	1.23
WATDE0033	1.00
WATDE0034	1.23
WATDE0035	NA
WATDE0036	1.07
WATDE0037	1.23
WATDE0038	NA
WATDE0040	NA
WATDE0041	0.87
WATDE0042	1.20
WATDE0043	1.07
WATDE0044	0.97
WATDE0045	1.77
WATDE0046	0.83
WATDE0047	1.13
WATDE0048	1.13
WATDE0049	0.97
WATDE0050	1.00
WATDE0051	1.07
WATDE0052	1.07
WATDE0053	1.07
WATDE0054	1.10
WATDE0055	1.00
WATDE0056	1.10
WATDE0057	1.00
WATDE0058	1.37
WATDE0059	0.83
WATDE0060	1.23
WATDE0062	1.07
WATDE0063	1.17
WATDE0064	1.13
WATDE0065	1.23
WATDE0066	1.03
WATDE0067	1.27
WATDE0068	1.07
WATDE0069	1.23
WATDE0070	1.23
WATDE0071	1.30
WATDE0072	1.37
WATDE0073	0.87
WATDE0074	1.43
WATDE0075	1.03
WATDE0076	1.20
WATDE0077	1.20
WATDE0078	1.07
WATDE0079	0.97
WATDE0080	1.03
WATDE0081	NA
WATDE0082	1.30
WATDE0083	1.00
WATDE0084	1.13
WATDE0085	1.43
WATDE0086	1.27
WATDE0087	1.17
WATDE0088	1.13
WATDE0089	1.57
WATDE0090	0.83
WATDE0091	1.07
WATDE0092	1.10
WATDE0093	1.13
WATDE0094	1.17
WATDE0095	1.10
WATDE0096	1.13
WATDE0097	1.30
WATDE0098	1.07
WATDE0099	1.37
WATDE0101	1.37
WATDE0102	1.07
WATDE0103	0.90
WATDE0104	1.40
WATDE0105	1.03
WATDE0106	1.30
WATDE0107	1.00
WATDE0108	1.23
WATDE0109	1.10
WATDE0110	1.17
WATDE0111	1.10
WATDE0112	1.30
WATDE0113	1.03
WATDE0114	1.23
WATDE0115	1.17
WATDE0116	1.23
WATDE0117	1.03
WATDE0118	1.23
WATDE0119	1.03
WATDE0120	1.10
WATDE0121	1.27
WATDE0122	1.33
WATDE0123	1.13
WATDE0124	1.17
WATDE0126	0.90
WATDE0127	1.33
WATDE0129	1.03
WATDE0131	1.03
WATDE0133	1.10
WATDE0134	1.10
WATDE0136	NA
WATDE0138	1.13
WATDE0140	1.30
WATDE0141	1.17
WATDE0143	NA
WATDE0144	1.10
WATDE0145	1.03
WATDE0146	1.00
WATDE0148	1.20
WATDE0149	1.20
WATDE0150	1.07
WATDE0151	0.97
WATDE0152	1.07
WATDE0153	1.40
WATDE0154	1.03
WATDE0156	1.10
WATDE0157	1.27
WATDE0158	1.17
WATDE0159	1.27
WATDE0160	1.33
WATDE0162	1.13
WATDE0164	1.27
WATDE0165	1.17
WATDE0168	1.47
WATDE0169	1.23
WATDE0171	NA
WATDE0173	1.20
WATDE0174	1.20
WATDE0175	1.10
WATDE0176	1.17
WATDE0177	0.87
WATDE0178	1.70
WATDE0180	1.00
WATDE0181	1.17
WATDE0182	1.57
WATDE0183	1.10
WATDE0184	1.57
WATDE0185	1.13
WATDE0187	NA
WATDE0188	1.27
WATDE0190	1.57
WATDE0191	1.47
WATDE0192	1.27
WATDE0194	1.37
WATDE0195	1.17
WATDE0196	1.00
WATDE0198	1.07
WATDE0199	1.13
WATDE0200	1.17
WATDE0202	1.33
WATDE0203	1.13
WATDE0204	1.17
WATDE0205	1.17
WATDE0206	1.37
WATDE0207	1.63
WATDE0209	1.50
WATDE0211	1.43
WATDE0212	1.17
WATDE0214	1.27
WATDE0215	1.50
WATDE0216	1.10
WATDE0217	1.27
WATDE0219	1.17
WATDE0220	1.17
WATDE0221	1.13
WATDE0222	1.50
WATDE0223	1.30
WATDE0224	0.93
WATDE0225	1.27
WATDE0227	1.10
WATDE0228	1.30
WATDE0229	1.33
WATDE0230	1.53
WATDE0232	1.47
WATDE0233	1.13
WATDE0234	1.10
WATDE0235	1.40
WATDE0236	1.63
WATDE0237	1.37
WATDE0238	1.20
WATDE0239	1.43
WATDE0241	NA
WATDE0242	1.70
WATDE0243	NA
WATDE0244	1.30
WATDE0246	1.50
WATDE0247	1.17
WATDE0248	1.07
WATDE0249	1.10
WATDE0250	1.13
WATDE0252	1.23
WATDE0253	1.30
WATDE0254	1.43
WATDE0255	1.20
WATDE0257	1.03
WATDE0258	1.23
WATDE0259	1.17
WATDE0260	1.27
WATDE0262	1.20
WATDE0263	1.07
WATDE0264	1.27
WATDE0266	1.57
WATDE0268	1.23
WATDE0270	1.30
WATDE0271	1.13
WATDE0272	1.10
WATDE0273	1.43
WATDE0275	0.90
WATDE0276	1.13
WATDE0277	1.40
WATDE0278	1.27
WATDE0280	1.17
WATDE0281	1.27
WATDE0282	1.17
WATDE0284	1.33
WATDE0285	1.17
WATDE0286	1.20
WATDE0287	1.30
WATDE0288	1.57
WATDE0290	1.17
WATDE0291	1.40
WATDE0292	1.03
WATDE0293	1.10
WATDE0294	1.17
WATDE0296	1.00
WATDE0298	1.13
WATDE0299	1.33
WATDE0301	1.20
WATDE0302	1.27
WATDE0303	NA
WATDE0304	1.03
WATDE0305	1.60
WATDE0306	1.30
WATDE0308	1.33
WATDE0310	1.10
WATDE0312	0.93
WATDE0313	1.20
WATDE0315	0.97
WATDE0316	1.13
WATDE0317	1.37
WATDE0318	1.13
WATDE0319	1.03
WATDE0321	1.23
WATDE0323	NA
WATDE0324	0.97
WATDE0325	1.07
WATDE0328	1.30
WATDE0329	1.03
WATDE0331	1.30
WATDE0332	1.30
WATDE0333	1.20
WATDE0334	0.93
WATDE0335	1.13
WATDE0336	0.90
WATDE0337	1.87
WATDE0340	1.43
WATDE0342	1.37
WATDE0343	1.60
WATDE0344	1.27
WATDE0345	1.33
WATDE0346	1.03
WATDE0347	1.50
WATDE0348	1.37
