IID	TN_Quzhou_20220422_Natural
Agron	NA
Alba	NA
Albatross	NA
Alcedo	NA
Alert	NA
Almus	NA
Altria	NA
ArinaLrFor	NA
Arminda	NA
Aronde	NA
Avalon	NA
Aztec	NA
WATDE0003	184
WATDE0010	NA
WATDE0339	NA
WATDE0459	244
WATDE0476	208
WATDE0526	NA
WATDE0532	165
WATDE0576	205
WATDE0612	136
WATDE0061	116
WATDE0668	128
WATDE0714	140
WATDE0762	218
WATDE0801	222
WATDE0868	212
WATDE0100	201
WATDE1030	160
Banco	NA
Bandit	NA
Banner	NA
Beauchamp	NA
Beaver	NA
Becard_Kachu	NA
Bersee	NA
Boreonos	NA
Bounty	NA
Boxer	NA
Buster	NA
Calif	NA
Camp_Remy	NA
Capitiane	NA
Capo	NA
Cappelle_Desprez	NA
Catamaran	NA
Cezanne	NA
Charger	NA
Chinese_Spring	NA
Cimcog26	NA
Cimcog3	NA
Cimcog47	NA
Cimcog56	NA
Claire	NA
Consort	NA
Courtot	NA
Crest	NA
Crusoe	NA
Diablo	NA
Diplomat	NA
Disponent	NA
Dorby	NA
Drake	NA
Drauhofener_Kolben	NA
Druid	NA
Encore	NA
Equinox	NA
Erla-Kolben	NA
Erland	NA
Eros	NA
Expert	NA
Extrem	NA
Fanal	NA
Felix	NA
Fiorello	NA
Flair	NA
Flame	NA
Flamingo	NA
Florida	NA
Gabo	NA
Galahad	NA
Garcia	NA
Gawain	NA
Glasgow	NA
Grafton	NA
Granada	NA
Haven	NA
Heine7	NA
Hereward	NA
Highbury	NA
Hobbit	NA
Holdfast	NA
Hybrid46	NA
Ibis	NA
Iena	NA
Ikarus	NA
Jagger	NA
Joss_Cambier	NA
Julius	NA
KWS_Santiago	NA
Karat	NA
Koga1	NA
Kontrast	NA
Kosack	NA
Kranich	NA
Lancelot	NA
Leda	NA
Legend	NA
Longbow	NA
Lutin	NA
MISR1	NA
Mahndorfer	NA
Marco	NA
Maris_Dove	NA
Maris_Widgeon	NA
MarisHuntsman	NA
Maris_ranger	NA
Minister	NA
Mironovska	NA
Moisson	NA
Muck	NA
Multiweiss	NA
Nautica	NA
Newhaven	NA
Norda	NA
Norin	NA
Obelisk	NA
Odeon	NA
Odin	NA
Oenus	NA
Opata	NA
Orlando	NA
Palur	NA
Pamyat	NA
Pastiche	NA
Pavon76	NA
Pepital	NA
Peragis	NA
Perlo	NA
Pfau	NA
Pomerelle	NA
Pony	NA
Prof_Marshall	NA
Prophet	NA
Rabe	NA
Rebel	NA
Recital	NA
Record	NA
Red_Fife	NA
Reedling	NA
Regent	NA
Renan	NA
Rendezvous	NA
Revelation	NA
Riband	NA
Rimpaus_Bastard2	NA
RitzlhoferNeu	NA
SYMattis	NA
Savannah	NA
Schweigers_Taca	NA
Scipion	NA
Shamrock	NA
Shango	NA
Sicco	NA
Slejpner	NA
Soissons	NA
Soleil	NA
Spark	NA
Sperber	NA
Spitfire	NA
Sportsman	NA
Stamm101	NA
Starke2	NA
Stava	NA
Stella	NA
Super152	NA
Svale	NA
Tadorna	NA
Talent	NA
Tambor	NA
Tandem	NA
Tanker	NA
Taras	NA
Thatcher	NA
Thor	NA
Titus	NA
Top	NA
Torfrida	NA
Trafalgar	NA
Treasure	NA
Tremie	NA
Triumph_NDL	NA
Tschermaks	NA
Turpin	NA
Urban	NA
Vaguedepis	NA
Vilmorin53	NA
Vilmorin27	NA
Virgo	NA
Vocal	NA
Voyage	NA
WATDE0001	213
WATDE0002	155
WATDE0004	174
WATDE0005	252
WATDE0006	180
WATDE0007	NA
WATDE0008	180
WATDE0009	202
WATDE0011	212
WATDE0012	203
WATDE0013	117
WATDE0014	NA
WATDE0015	210
WATDE0016	110
WATDE0017	NA
WATDE0018	110
WATDE0019	NA
WATDE0020	152
WATDE0021	160
WATDE0022	NA
WATDE0023	215
WATDE0024	NA
WATDE0025	154
WATDE0026	188
WATDE0027	193
WATDE0028	241
WATDE0029	NA
WATDE0030	NA
WATDE0031	172
WATDE0032	169
WATDE0033	141
WATDE0034	160
WATDE0035	NA
WATDE0036	155
WATDE0037	224
WATDE0038	NA
WATDE0040	NA
WATDE0041	155
WATDE0042	224
WATDE0043	171
WATDE0044	NA
WATDE0045	206
WATDE0046	253
WATDE0047	293
WATDE0048	NA
WATDE0049	273
WATDE0050	NA
WATDE0051	206
WATDE0052	NA
WATDE0053	176
WATDE0054	160
WATDE0055	163
WATDE0056	195
WATDE0057	178
WATDE0058	146
WATDE0059	NA
WATDE0060	174
WATDE0062	170
WATDE0063	203
WATDE0064	242
WATDE0065	200
WATDE0066	180
WATDE0067	300
WATDE0068	135
WATDE0069	205
WATDE0070	153
WATDE0071	203
WATDE0072	165
WATDE0073	250
WATDE0074	122
WATDE0075	256
WATDE0076	235
WATDE0077	206
WATDE0078	232
WATDE0079	300
WATDE0080	240
WATDE0081	NA
WATDE0082	142
WATDE0083	200
WATDE0084	264
WATDE0085	190
WATDE0086	98
WATDE0087	168
WATDE0088	46
WATDE0089	NA
WATDE0090	116
WATDE0091	223
WATDE0092	142
WATDE0093	160
WATDE0094	203
WATDE0095	138
WATDE0096	140
WATDE0097	115
WATDE0098	220
WATDE0099	165
WATDE0101	164
WATDE0102	107
WATDE0103	262
WATDE0104	NA
WATDE0105	186
WATDE0106	182
WATDE0107	235
WATDE0108	138
WATDE0109	179
WATDE0110	181
WATDE0111	165
WATDE0112	142
WATDE0113	198
WATDE0114	160
WATDE0115	182
WATDE0116	177
WATDE0117	164
WATDE0118	160
WATDE0119	216
WATDE0120	NA
WATDE0121	165
WATDE0122	181
WATDE0123	203
WATDE0124	163
WATDE0126	304
WATDE0127	178
WATDE0129	203
WATDE0131	253
WATDE0133	180
WATDE0134	NA
WATDE0136	246
WATDE0138	NA
WATDE0140	185
WATDE0141	NA
WATDE0143	NA
WATDE0144	192
WATDE0145	288
WATDE0146	307
WATDE0148	128
WATDE0149	204
WATDE0150	150
WATDE0151	236
WATDE0152	152
WATDE0153	216
WATDE0154	170
WATDE0156	115
WATDE0157	246
WATDE0158	118
WATDE0159	0
WATDE0160	216
WATDE0162	NA
WATDE0164	NA
WATDE0165	NA
WATDE0168	NA
