IID	SplN_Quzhou_2022_Natural_Sterility-Top
WATDE0229	0.00
WATDE0230	0.00
WATDE0232	0.00
WATDE0233	0.00
WATDE0234	0.00
WATDE0235	0.00
WATDE0236	0.00
WATDE0237	0.00
WATDE0238	0.00
WATDE0239	0.00
WATDE0241	NA
WATDE0242	0.00
WATDE0243	NA
WATDE0244	0.00
WATDE0246	0.00
WATDE0247	NA
WATDE0248	0.67
WATDE0249	0.00
WATDE0250	NA
WATDE0252	0.00
WATDE0253	0.00
WATDE0254	0.00
WATDE0255	0.00
WATDE0257	0.00
WATDE0258	0.00
WATDE0259	0.00
WATDE0260	0.00
WATDE0262	0.00
WATDE0263	0.00
WATDE0264	0.00
WATDE0266	0.67
WATDE0268	0.33
WATDE0270	0.00
WATDE0271	0.00
WATDE0272	0.00
WATDE0273	0.00
WATDE0275	0.00
WATDE0276	0.00
WATDE0277	0.00
WATDE0278	0.00
WATDE0280	NA
WATDE0281	0.00
WATDE0282	NA
WATDE0284	0.33
WATDE0285	0.00
WATDE0286	0.00
WATDE0287	0.00
WATDE0288	0.00
WATDE0290	0.00
WATDE0291	0.33
WATDE0292	0.00
WATDE0293	0.00
WATDE0294	NA
WATDE0296	NA
WATDE0298	0.00
WATDE0299	1.33
WATDE0301	0.33
WATDE0302	0.00
WATDE0303	NA
WATDE0304	0.33
WATDE0305	0.00
WATDE0306	0.00
WATDE0308	0.00
WATDE0310	1.00
WATDE0312	0.00
WATDE0313	0.33
WATDE0315	0.00
WATDE0316	0.00
WATDE0317	0.00
WATDE0318	0.00
WATDE0319	0.00
WATDE0321	0.00
WATDE0323	NA
WATDE0324	0.00
WATDE0325	0.00
WATDE0328	0.00
WATDE0329	0.00
WATDE0331	NA
WATDE0332	0.00
WATDE0333	0.00
WATDE0334	NA
WATDE0335	0.00
WATDE0336	0.00
WATDE0337	0.67
WATDE0340	2.67
WATDE0342	4.33
WATDE0343	NA
WATDE0344	0.67
WATDE0345	NA
WATDE0346	0.00
WATDE0347	0.67
WATDE0348	0.00
WATDE0350	0.33
WATDE0352	0.00
WATDE0353	NA
WATDE0354	0.67
WATDE0355	1.00
WATDE0356	0.67
WATDE0358	0.33
WATDE0359	NA
WATDE0361	0.00
WATDE0363	0.00
WATDE0365	0.00
WATDE0366	0.00
WATDE0368	0.00
WATDE0369	0.67
WATDE0370	0.00
WATDE0371	0.00
WATDE0372	0.00
WATDE0373	NA
WATDE0374	0.00
WATDE0375	0.00
WATDE0377	NA
WATDE0378	0.00
WATDE0379	0.00
WATDE0381	0.00
WATDE0382	0.00
WATDE0383	0.67
WATDE0385	0.67
WATDE0386	NA
WATDE0387	0.00
WATDE0389	0.33
WATDE0391	0.33
WATDE0392	1.33
WATDE0394	0.00
WATDE0396	0.00
WATDE0397	0.33
WATDE0399	0.00
WATDE0401	0.00
WATDE0403	0.00
WATDE0404	0.33
WATDE0405	NA
WATDE0407	0.00
WATDE0408	NA
WATDE0409	0.00
WATDE0410	0.00
WATDE0411	NA
WATDE0412	0.33
WATDE0413	0.00
WATDE0415	0.00
WATDE0417	1.33
WATDE0419	0.00
WATDE0420	0.00
WATDE0421	0.33
WATDE0422	0.00
WATDE0423	0.00
WATDE0424	NA
WATDE0425	0.00
WATDE0426	1.00
WATDE0427	0.33
WATDE0428	0.67
WATDE0429	0.00
WATDE0430	NA
WATDE0431	0.00
WATDE0432	0.00
WATDE0433	NA
WATDE0434	0.00
WATDE0435	0.33
WATDE0436	0.00
WATDE0438	NA
WATDE0439	0.00
WATDE0440	0.00
WATDE0441	NA
WATDE0442	0.00
WATDE0443	0.00
WATDE0444	2.00
WATDE0445	0.00
WATDE0446	0.00
WATDE0448	NA
WATDE0449	0.00
WATDE0450	0.00
WATDE0451	0.00
WATDE0452	0.67
WATDE0453	0.00
WATDE0454	0.00
WATDE0455	0.00
WATDE0456	0.33
WATDE0457	0.00
WATDE0460	0.33
WATDE0461	0.67
WATDE0462	0.00
WATDE0463	0.00
WATDE0465	0.67
WATDE0467	0.33
WATDE0469	0.00
WATDE0471	0.00
WATDE0474	0.00
WATDE0477	0.00
WATDE0479	0.00
WATDE0481	0.00
WATDE0482	0.00
WATDE0484	0.00
WATDE0486	0.00
WATDE0487	1.33
WATDE0488	0.00
WATDE0489	0.00
WATDE0490	0.33
WATDE0492	0.67
WATDE0494	0.67
WATDE0496	0.67
WATDE0498	0.00
WATDE0500	0.00
WATDE0501	0.00
WATDE0502	NA
WATDE0503	0.00
WATDE0504	1.33
WATDE0505	1.00
WATDE0507	NA
WATDE0509	0.00
WATDE0510	0.00
WATDE0511	0.33
WATDE0512	0.67
WATDE0513	NA
WATDE0515	NA
WATDE0516	0.67
WATDE0518	0.00
WATDE0519	0.33
WATDE0520	NA
WATDE0521	0.00
WATDE0522	0.33
WATDE0524	0.00
WATDE0527	NA
WATDE0529	NA
WATDE0531	0.00
WATDE0533	0.00
WATDE0534	NA
WATDE0536	0.00
WATDE0537	0.00
WATDE0538	0.33
WATDE0539	0.33
WATDE0540	0.00
WATDE0541	NA
WATDE0542	NA
WATDE0543	0.33
WATDE0544	0.00
WATDE0546	NA
WATDE0547	0.33
WATDE0549	0.00
WATDE0550	0.00
WATDE0552	0.00
WATDE0553	0.00
WATDE0555	0.00
WATDE0556	1.00
WATDE0557	NA
WATDE0558	NA
WATDE0560	NA
