IID	Ant_Shenzhen_2022_Natural_50percent
WATDE0181	127
WATDE0182	137
WATDE0183	112
WATDE0184	155
WATDE0185	115
WATDE0187	NA
WATDE0188	145
WATDE0190	143
WATDE0191	132
WATDE0192	NA
WATDE0194	NA
WATDE0195	139
WATDE0196	NA
WATDE0198	164
WATDE0199	NA
WATDE0200	NA
WATDE0202	134
WATDE0203	172
WATDE0204	171
WATDE0205	NA
WATDE0206	NA
WATDE0207	NA
WATDE0209	NA
WATDE0211	138
WATDE0212	NA
WATDE0214	NA
WATDE0215	108
WATDE0216	140
WATDE0217	143
WATDE0219	132
WATDE0220	126
WATDE0221	122
WATDE0222	106
WATDE0223	81
WATDE0224	85
WATDE0225	NA
WATDE0227	121
WATDE0228	120
WATDE0229	NA
WATDE0230	NA
WATDE0232	NA
WATDE0233	168
WATDE0234	147
WATDE0235	132
WATDE0236	125
WATDE0237	136
WATDE0238	172
WATDE0239	179
WATDE0241	NA
WATDE0242	141
WATDE0243	NA
WATDE0244	145
WATDE0246	144
WATDE0247	163
WATDE0248	NA
WATDE0249	NA
WATDE0250	168
WATDE0252	NA
WATDE0253	154
WATDE0254	156
WATDE0255	157
WATDE0257	121
WATDE0258	109
WATDE0259	110
WATDE0260	107
WATDE0262	105
WATDE0263	110
WATDE0264	88
WATDE0266	161
WATDE0268	157
WATDE0270	NA
WATDE0271	112
WATDE0272	92
WATDE0273	147
WATDE0275	89
WATDE0276	118
WATDE0277	NA
WATDE0278	123
WATDE0280	141
WATDE0281	147
WATDE0282	NA
WATDE0284	146
WATDE0285	121
WATDE0286	117
WATDE0287	157
WATDE0288	139
WATDE0290	135
WATDE0291	NA
WATDE0292	118
WATDE0293	NA
WATDE0294	155
WATDE0296	NA
WATDE0298	NA
WATDE0299	NA
WATDE0301	NA
WATDE0302	147
WATDE0303	NA
WATDE0304	146
WATDE0305	141
WATDE0306	140
WATDE0308	NA
WATDE0310	146
WATDE0312	149
WATDE0313	133
WATDE0315	143
WATDE0316	168
WATDE0317	129
WATDE0318	122
WATDE0319	117
WATDE0321	147
WATDE0323	NA
WATDE0324	108
WATDE0325	NA
WATDE0328	177
WATDE0329	144
WATDE0331	NA
WATDE0332	132
WATDE0333	132
WATDE0334	NA
WATDE0335	NA
WATDE0336	127
WATDE0337	153
WATDE0340	NA
WATDE0342	175
WATDE0343	NA
WATDE0344	NA
WATDE0345	NA
WATDE0346	157
WATDE0347	171
WATDE0348	NA
WATDE0350	152
WATDE0352	NA
WATDE0353	145
WATDE0354	136
WATDE0355	NA
WATDE0356	141
WATDE0358	153
WATDE0359	146
WATDE0361	NA
WATDE0363	130
WATDE0365	140
WATDE0366	152
WATDE0368	128
WATDE0369	151
WATDE0370	131
WATDE0371	127
WATDE0372	122
WATDE0373	140
WATDE0374	131
WATDE0375	121
WATDE0377	NA
WATDE0378	NA
WATDE0379	NA
WATDE0381	115
WATDE0382	129
WATDE0383	130
WATDE0385	123
WATDE0386	NA
WATDE0387	NA
WATDE0389	NA
WATDE0391	NA
WATDE0392	164
WATDE0394	132
WATDE0396	171
WATDE0397	147
WATDE0399	110
WATDE0401	125
WATDE0403	NA
WATDE0404	128
WATDE0405	NA
WATDE0407	129
WATDE0408	143
WATDE0409	126
WATDE0410	NA
WATDE0411	122
WATDE0412	135
WATDE0413	120
WATDE0415	136
WATDE0417	115
WATDE0419	109
WATDE0420	113
WATDE0421	113
WATDE0422	114
WATDE0423	114
WATDE0424	NA
WATDE0425	NA
WATDE0426	NA
WATDE0427	157
WATDE0428	141
WATDE0429	130
WATDE0430	131
WATDE0431	NA
WATDE0432	NA
WATDE0433	NA
WATDE0434	152
WATDE0435	135
WATDE0436	162
WATDE0438	NA
WATDE0439	122
WATDE0440	123
WATDE0441	134
WATDE0442	129
WATDE0443	151
WATDE0444	149
WATDE0445	132
WATDE0446	135
WATDE0448	156
WATDE0449	120
WATDE0450	115
WATDE0451	NA
WATDE0452	130
WATDE0453	116
WATDE0454	121
WATDE0455	118
WATDE0456	117
WATDE0457	NA
WATDE0460	132
WATDE0461	121
WATDE0462	105
WATDE0463	157
WATDE0465	NA
WATDE0467	162
WATDE0469	155
WATDE0471	155
WATDE0474	123
WATDE0477	155
WATDE0479	130
WATDE0481	129
WATDE0482	152
WATDE0484	NA
WATDE0486	144
WATDE0487	120
WATDE0488	157
WATDE0489	72
WATDE0490	129
WATDE0492	NA
WATDE0494	NA
WATDE0496	NA
WATDE0498	NA
WATDE0500	NA
WATDE0501	NA
WATDE0502	NA
WATDE0503	172
WATDE0504	164
WATDE0505	NA
WATDE0507	NA
WATDE0509	128
WATDE0510	157
WATDE0511	NA
WATDE0512	162
WATDE0513	140
WATDE0515	137
WATDE0516	NA
WATDE0518	174
WATDE0519	NA
WATDE0520	153
WATDE0521	130
WATDE0522	142
WATDE0524	NA
WATDE0527	171
WATDE0529	NA
WATDE0531	171
WATDE0533	172
WATDE0534	146
WATDE0536	NA
WATDE0537	139
WATDE0538	173
WATDE0539	139
WATDE0540	172
WATDE0541	86
WATDE0542	NA
WATDE0543	NA
WATDE0544	160
WATDE0546	NA
WATDE0547	155
WATDE0549	130
WATDE0550	169
WATDE0552	154
WATDE0553	146
WATDE0555	124
WATDE0556	119
WATDE0557	162
WATDE0558	NA
WATDE0560	NA
WATDE0561	NA
WATDE0562	157
WATDE0563	154
WATDE0565	122
WATDE0566	NA
WATDE0567	154
WATDE0568	155
WATDE0569	116
WATDE0570	NA
WATDE0571	126
WATDE0572	141
WATDE0574	143
WATDE0577	118
WATDE0578	170
WATDE0579	115
WATDE0581	130
WATDE0582	NA
WATDE0585	119
WATDE0586	NA
WATDE0588	132
WATDE0589	175
WATDE0591	NA
WATDE0592	NA
WATDE0594	154
WATDE0596	149
WATDE0597	132
WATDE0598	131
WATDE0599	NA
WATDE0600	132
WATDE0601	NA
WATDE0602	144
WATDE0603	145
WATDE0604	130
WATDE0606	131
WATDE0608	152
WATDE0609	161
WATDE0610	146
WATDE0611	137
WATDE0613	134
WATDE0614	128
WATDE0615	126
WATDE0616	124
WATDE0617	123
WATDE0618	NA
WATDE0620	144
WATDE0622	NA
WATDE0624	NA
WATDE0626	125
WATDE0627	NA
WATDE0628	132
