IID	SPAD_Quzhou_2022_Natural_Flowering
Agron	NA
Alba	NA
Albatross	NA
Alcedo	NA
Alert	NA
Almus	NA
Altria	NA
ArinaLrFor	NA
Arminda	NA
Aronde	NA
Avalon	NA
Aztec	NA
WATDE0003	41.93333333
WATDE0010	NA
WATDE0339	NA
WATDE0459	40.26666667
WATDE0476	48.46666667
WATDE0526	NA
WATDE0532	36.83333333
WATDE0576	38.63333333
WATDE0612	31.13333333
WATDE0061	NA
WATDE0668	36.26666667
WATDE0714	30.76666667
WATDE0762	33.26666667
WATDE0801	40.6
WATDE0868	46.66666667
WATDE0100	42.36666667
WATDE1030	45.43333333
Banco	NA
Bandit	NA
Banner	NA
Beauchamp	NA
Beaver	NA
Becard_Kachu	NA
Bersee	NA
Boreonos	NA
Bounty	NA
Boxer	NA
Buster	NA
Calif	NA
Camp_Remy	NA
Capitiane	NA
Capo	NA
Cappelle_Desprez	NA
Catamaran	NA
Cezanne	NA
Charger	NA
Chinese_Spring	NA
Cimcog26	NA
Cimcog3	NA
Cimcog47	NA
Cimcog56	NA
Claire	NA
Consort	NA
Courtot	NA
Crest	NA
Crusoe	NA
Diablo	NA
Diplomat	NA
Disponent	NA
Dorby	NA
Drake	NA
Drauhofener_Kolben	NA
Druid	NA
Encore	NA
Equinox	NA
Erla-Kolben	NA
Erland	NA
Eros	NA
Expert	NA
Extrem	NA
Fanal	NA
Felix	NA
Fiorello	NA
Flair	NA
Flame	NA
Flamingo	NA
Florida	NA
Gabo	NA
Galahad	NA
Garcia	NA
Gawain	NA
Glasgow	NA
Grafton	NA
Granada	NA
Haven	NA
Heine7	NA
Hereward	NA
Highbury	NA
Hobbit	NA
Holdfast	NA
Hybrid46	NA
Ibis	NA
Iena	NA
Ikarus	NA
Jagger	NA
Joss_Cambier	NA
Julius	NA
KWS_Santiago	NA
Karat	NA
Koga1	NA
Kontrast	NA
Kosack	NA
Kranich	NA
Lancelot	NA
Leda	NA
Legend	NA
Longbow	NA
Lutin	NA
MISR1	NA
Mahndorfer	NA
Marco	NA
Maris_Dove	NA
Maris_Widgeon	NA
MarisHuntsman	NA
Maris_ranger	NA
Minister	NA
Mironovska	NA
Moisson	NA
Muck	NA
Multiweiss	NA
Nautica	NA
Newhaven	NA
Norda	NA
Norin	NA
Obelisk	NA
Odeon	NA
Odin	NA
Oenus	NA
Opata	NA
Orlando	NA
Palur	NA
Pamyat	NA
Pastiche	NA
Pavon76	NA
Pepital	NA
Peragis	NA
Perlo	NA
Pfau	NA
Pomerelle	NA
Pony	NA
Prof_Marshall	NA
Prophet	NA
Rabe	NA
Rebel	NA
Recital	NA
Record	NA
Red_Fife	NA
Reedling	NA
Regent	NA
Renan	NA
Rendezvous	NA
Revelation	NA
Riband	NA
Rimpaus_Bastard2	NA
RitzlhoferNeu	NA
SYMattis	NA
Savannah	NA
Schweigers_Taca	NA
Scipion	NA
Shamrock	NA
Shango	NA
Sicco	NA
Slejpner	NA
Soissons	NA
Soleil	NA
Spark	NA
Sperber	NA
Spitfire	NA
Sportsman	NA
Stamm101	NA
Starke2	NA
Stava	NA
Stella	NA
Super152	NA
Svale	NA
Tadorna	NA
Talent	NA
Tambor	NA
Tandem	NA
Tanker	NA
Taras	NA
Thatcher	NA
Thor	NA
Titus	NA
Top	NA
Torfrida	NA
Trafalgar	NA
Treasure	NA
Tremie	NA
Triumph_NDL	NA
Tschermaks	NA
Turpin	NA
Urban	NA
Vaguedepis	NA
Vilmorin53	NA
Vilmorin27	NA
Virgo	NA
Vocal	NA
Voyage	NA
WATDE0001	28.63333333
WATDE0002	30.13333333
WATDE0004	48.56666667
WATDE0005	26.06666667
WATDE0006	40.2
WATDE0007	NA
WATDE0008	41.3
WATDE0009	45.3
WATDE0011	44.53333333
WATDE0012	41.8
WATDE0013	50.23333333
WATDE0014	NA
WATDE0015	31.06666667
WATDE0016	35.6
WATDE0017	NA
WATDE0018	41.5
WATDE0019	NA
WATDE0020	48.1
WATDE0021	42.4
WATDE0022	NA
WATDE0023	24.93333333
WATDE0024	NA
WATDE0025	31.23333333
WATDE0026	39.96666667
WATDE0027	38.23333333
WATDE0028	34.7
WATDE0029	NA
WATDE0030	NA
WATDE0031	44.1
WATDE0032	45.1
WATDE0033	31.8
WATDE0034	41.26666667
WATDE0035	NA
WATDE0036	35.66666667
WATDE0037	41.06666667
WATDE0038	NA
WATDE0040	NA
WATDE0041	21.43333333
WATDE0042	45.96666667
WATDE0043	49.63333333
WATDE0044	NA
WATDE0045	51.93333333
WATDE0046	43.8
WATDE0047	43.7
WATDE0048	NA
WATDE0049	43.83333333
WATDE0050	NA
WATDE0051	47.73333333
WATDE0052	NA
WATDE0053	24.33333333
WATDE0054	42.93333333
WATDE0055	43.23333333
WATDE0056	39.66666667
WATDE0057	32.36666667
WATDE0058	46.56666667
WATDE0059	NA
WATDE0060	44.16666667
WATDE0062	45.7
WATDE0063	31.46666667
WATDE0064	47.83333333
WATDE0065	43.63333333
WATDE0066	49.73333333
WATDE0067	37.23333333
WATDE0068	51.6
WATDE0069	42.63333333
WATDE0070	47.63333333
WATDE0071	42.13333333
WATDE0072	34.06666667
WATDE0073	23.3
WATDE0074	43.63333333
WATDE0075	42.23333333
WATDE0076	48.5
WATDE0077	45.36666667
WATDE0078	49.26666667
WATDE0079	44.1
WATDE0080	36.46666667
WATDE0081	NA
WATDE0082	46.96666667
WATDE0083	46.26666667
WATDE0084	48.6
WATDE0085	45.36666667
WATDE0086	41.4
WATDE0087	46.53333333
WATDE0088	35.53333333
WATDE0089	NA
WATDE0090	30.06666667
WATDE0091	35.43333333
WATDE0092	40.06666667
WATDE0093	29.63333333
WATDE0094	27.36666667
WATDE0095	40.56666667
WATDE0096	44.23333333
WATDE0097	33.5
WATDE0098	44.5
WATDE0099	46.9
WATDE0101	32.86666667
WATDE0102	47.8
WATDE0103	39.86666667
WATDE0104	NA
WATDE0105	35.33333333
WATDE0106	45.83333333
WATDE0107	50.83333333
WATDE0108	45.93333333
WATDE0109	41.83333333
WATDE0110	43.03333333
WATDE0111	45.43333333
WATDE0112	51.76666667
WATDE0113	42.03333333
WATDE0114	44.03333333
