IID	PH_Kaifeng_2020_Natural
WATDE0143	NA
WATDE0144	60.00
WATDE0145	59.50
WATDE0146	60.50
WATDE0148	77.00
WATDE0149	68.00
WATDE0150	81.00
WATDE0151	74.00
WATDE0152	73.33
WATDE0153	88.00
WATDE0154	79.50
WATDE0156	NA
WATDE0157	73.50
WATDE0158	80.00
WATDE0159	NA
WATDE0160	89.50
WATDE0162	96.00
WATDE0164	95.00
WATDE0165	NA
WATDE0168	NA
WATDE0169	56.00
WATDE0171	NA
WATDE0173	NA
WATDE0174	74.00
WATDE0175	NA
WATDE0176	77.50
WATDE0177	NA
WATDE0178	45.00
WATDE0180	62.00
WATDE0181	89.00
WATDE0182	NA
WATDE0183	82.67
WATDE0184	NA
WATDE0185	87.00
WATDE0187	NA
WATDE0188	69.50
WATDE0190	41.00
WATDE0191	68.50
WATDE0192	NA
WATDE0194	NA
WATDE0195	63.00
WATDE0196	NA
WATDE0198	63.00
WATDE0199	NA
WATDE0200	NA
WATDE0202	NA
WATDE0203	NA
WATDE0204	NA
WATDE0205	NA
WATDE0206	NA
WATDE0207	77.00
WATDE0209	69.00
WATDE0211	66.00
WATDE0212	NA
WATDE0214	70.00
WATDE0215	65.00
WATDE0216	NA
WATDE0217	NA
WATDE0219	55.00
WATDE0220	NA
WATDE0221	70.00
WATDE0222	NA
WATDE0223	72.75
WATDE0224	NA
WATDE0225	53.00
WATDE0227	77.00
WATDE0228	84.50
WATDE0229	NA
WATDE0230	102.00
WATDE0232	NA
WATDE0233	NA
WATDE0234	81.50
WATDE0235	75.00
WATDE0236	NA
WATDE0237	86.00
WATDE0238	NA
WATDE0239	NA
WATDE0241	NA
WATDE0242	NA
WATDE0243	NA
WATDE0244	77.00
WATDE0246	NA
WATDE0247	NA
WATDE0248	NA
WATDE0249	NA
WATDE0250	69.50
WATDE0252	NA
WATDE0253	NA
WATDE0254	91.50
WATDE0255	92.00
WATDE0257	55.00
WATDE0258	77.33
WATDE0259	90.50
WATDE0260	82.00
WATDE0262	58.00
WATDE0263	64.00
WATDE0264	NA
WATDE0266	58.00
WATDE0268	NA
WATDE0270	NA
WATDE0271	64.50
WATDE0272	82.00
WATDE0273	61.00
WATDE0275	NA
WATDE0276	70.00
WATDE0277	48.00
WATDE0278	74.50
WATDE0280	NA
WATDE0281	117.00
WATDE0282	NA
WATDE0284	73.00
WATDE0285	68.00
WATDE0286	65.00
WATDE0287	62.00
WATDE0288	NA
WATDE0290	NA
WATDE0291	88.00
WATDE0292	NA
WATDE0293	NA
