IID	SPAD_Shenzhen_2022_Nautural_Flowering
WATDE0154	NA
WATDE0156	40.7
WATDE0157	43.5
WATDE0158	37.1
WATDE0159	NA
WATDE0160	NA
WATDE0162	NA
WATDE0164	NA
WATDE0165	NA
WATDE0168	NA
WATDE0169	NA
WATDE0171	NA
WATDE0173	38.8
WATDE0174	NA
WATDE0175	NA
WATDE0176	NA
WATDE0177	NA
WATDE0178	NA
WATDE0180	43.8
WATDE0181	37.7
WATDE0182	NA
WATDE0183	27.7
WATDE0184	NA
WATDE0185	33.3
WATDE0187	NA
WATDE0188	NA
WATDE0190	NA
WATDE0191	40.7
WATDE0192	NA
WATDE0194	NA
WATDE0195	NA
WATDE0196	NA
WATDE0198	NA
WATDE0199	NA
WATDE0200	NA
WATDE0202	40.6
WATDE0203	NA
WATDE0204	NA
WATDE0205	NA
WATDE0206	NA
WATDE0207	NA
WATDE0209	NA
WATDE0211	44.8
WATDE0212	NA
WATDE0214	NA
WATDE0215	26.4
WATDE0216	NA
WATDE0217	NA
WATDE0219	48
WATDE0220	37.4
WATDE0221	37.5
WATDE0222	38.5
WATDE0223	40.7
WATDE0224	42.7
WATDE0225	NA
WATDE0227	39
WATDE0228	33.3
WATDE0229	NA
WATDE0230	NA
WATDE0232	NA
WATDE0233	NA
WATDE0234	NA
WATDE0235	NA
WATDE0236	NA
WATDE0237	NA
WATDE0238	NA
WATDE0239	NA
WATDE0241	NA
WATDE0242	NA
WATDE0243	NA
WATDE0244	NA
WATDE0246	NA
WATDE0247	NA
WATDE0248	NA
WATDE0249	NA
WATDE0250	NA
WATDE0252	NA
WATDE0253	NA
WATDE0254	NA
WATDE0255	NA
WATDE0257	43.5
WATDE0258	45.7
WATDE0259	37.4
WATDE0260	38
WATDE0262	39.2
WATDE0263	29.2
WATDE0264	39.5
WATDE0266	NA
WATDE0268	NA
WATDE0270	NA
WATDE0271	41.7
WATDE0272	19.6
WATDE0273	NA
WATDE0275	25.9
WATDE0276	34.9
WATDE0277	NA
WATDE0278	47.2
WATDE0280	NA
WATDE0281	NA
WATDE0282	NA
WATDE0284	NA
WATDE0285	44.2
WATDE0286	43.7
WATDE0287	NA
WATDE0288	NA
WATDE0290	NA
WATDE0291	NA
WATDE0292	38
WATDE0293	NA
WATDE0294	NA
WATDE0296	NA
WATDE0298	NA
WATDE0299	NA
WATDE0301	NA
WATDE0302	NA
WATDE0303	NA
WATDE0304	NA
WATDE0305	NA
WATDE0306	NA
WATDE0308	NA
WATDE0310	NA
WATDE0312	NA
WATDE0313	NA
WATDE0315	NA
WATDE0316	NA
WATDE0317	42.1
WATDE0318	39.8
WATDE0319	36.7
WATDE0321	NA
WATDE0323	NA
WATDE0324	43.6
WATDE0325	NA
WATDE0328	NA
WATDE0329	NA
WATDE0331	NA
WATDE0332	39
WATDE0333	39.5
WATDE0334	NA
WATDE0335	NA
WATDE0336	34.1
WATDE0337	NA
WATDE0340	NA
WATDE0342	NA
WATDE0343	NA
WATDE0344	NA
WATDE0345	NA
WATDE0346	NA
WATDE0347	NA
WATDE0348	NA
WATDE0350	NA
WATDE0352	NA
WATDE0353	NA
WATDE0354	NA
WATDE0355	NA
WATDE0356	NA
WATDE0358	NA
WATDE0359	NA
WATDE0361	NA
WATDE0363	42.4
WATDE0365	NA
WATDE0366	NA
WATDE0368	27.5
WATDE0369	NA
WATDE0370	NA
WATDE0371	29.1
WATDE0372	31.7
WATDE0373	NA
WATDE0374	33.8
WATDE0375	29.9
WATDE0377	NA
WATDE0378	NA
WATDE0379	NA
WATDE0381	43.8
WATDE0382	38.8
WATDE0383	37.6
WATDE0385	32.1
WATDE0386	NA
WATDE0387	NA
WATDE0389	NA
WATDE0391	NA
WATDE0392	NA
WATDE0394	NA
WATDE0396	NA
WATDE0397	NA
WATDE0399	31.7
WATDE0401	44.2
WATDE0403	NA
WATDE0404	34.6
WATDE0405	NA
WATDE0407	23.1
WATDE0408	NA
WATDE0409	38.7
WATDE0410	NA
WATDE0411	28.7
WATDE0412	38.8
WATDE0413	35.2
WATDE0415	NA
WATDE0417	NA
WATDE0419	34.3
WATDE0420	36.9
WATDE0421	44.7
WATDE0422	40.7
WATDE0423	41.2
WATDE0424	NA
WATDE0425	NA
WATDE0426	NA
WATDE0427	NA
WATDE0428	NA
WATDE0429	33.4
WATDE0430	40.1
WATDE0431	NA
WATDE0432	NA
WATDE0433	NA
WATDE0434	NA
WATDE0435	NA
WATDE0436	NA
WATDE0438	NA
WATDE0439	34.7
WATDE0440	39.8
WATDE0441	NA
WATDE0442	36.9
WATDE0443	NA
WATDE0444	NA
WATDE0445	NA
WATDE0446	NA
WATDE0448	NA
WATDE0449	34
WATDE0450	34.6
WATDE0451	NA
WATDE0452	34.6
WATDE0453	37.5
WATDE0454	36.3
WATDE0455	36.8
WATDE0456	33.2
WATDE0457	NA
WATDE0460	NA
WATDE0461	30.9
WATDE0462	38.8
WATDE0463	NA
WATDE0465	NA
WATDE0467	NA
WATDE0469	NA
WATDE0471	NA
WATDE0474	26.5
WATDE0477	NA
WATDE0479	39.4
WATDE0481	35.6
WATDE0482	NA
WATDE0484	NA
WATDE0486	NA
WATDE0487	38.1
WATDE0488	NA
WATDE0489	42.35
WATDE0490	32.2
WATDE0492	NA
WATDE0494	NA
WATDE0496	NA
WATDE0498	NA
WATDE0500	NA
WATDE0501	NA
WATDE0502	NA
WATDE0503	NA
WATDE0504	NA
WATDE0505	NA
WATDE0507	NA
WATDE0509	36.1
WATDE0510	NA
WATDE0511	NA
WATDE0512	NA
WATDE0513	NA
WATDE0515	NA
WATDE0516	NA
