IID	FT_Shenzhen-NN_2021_Natural
WATDE0173	130
WATDE0174	130
WATDE0175	NA
WATDE0176	NA
WATDE0177	NA
WATDE0178	130
WATDE0180	133
WATDE0181	130
WATDE0182	NA
WATDE0183	NA
WATDE0184	NA
WATDE0185	111
WATDE0187	NA
WATDE0188	130
WATDE0190	NA
WATDE0191	NA
WATDE0192	NA
WATDE0194	NA
WATDE0195	130
WATDE0196	NA
WATDE0198	NA
WATDE0199	NA
WATDE0200	NA
WATDE0202	NA
WATDE0203	NA
WATDE0204	NA
WATDE0205	NA
WATDE0206	NA
WATDE0207	NA
WATDE0209	NA
WATDE0211	NA
WATDE0212	NA
WATDE0214	NA
WATDE0215	NA
WATDE0216	NA
WATDE0217	NA
WATDE0219	130
WATDE0220	NA
WATDE0221	NA
WATDE0222	107
WATDE0223	93
WATDE0224	66
WATDE0225	NA
WATDE0227	NA
WATDE0228	NA
WATDE0229	128
WATDE0230	NA
WATDE0232	NA
WATDE0233	NA
WATDE0234	NA
WATDE0235	130
WATDE0236	NA
WATDE0237	NA
WATDE0238	NA
WATDE0239	NA
WATDE0241	NA
WATDE0242	NA
WATDE0243	NA
WATDE0244	NA
WATDE0246	NA
WATDE0247	NA
WATDE0248	NA
WATDE0249	NA
WATDE0250	158
WATDE0252	NA
WATDE0253	NA
WATDE0254	118
WATDE0255	136
WATDE0257	109
WATDE0258	107
WATDE0259	107
WATDE0260	NA
WATDE0262	NA
WATDE0263	107
WATDE0264	NA
WATDE0266	NA
WATDE0268	NA
WATDE0270	NA
WATDE0271	104
WATDE0272	NA
WATDE0273	NA
WATDE0275	93
WATDE0276	NA
WATDE0277	NA
WATDE0278	NA
WATDE0280	130
WATDE0281	118.5
WATDE0282	NA
WATDE0284	NA
WATDE0285	130
WATDE0286	112
WATDE0287	120
WATDE0288	NA
WATDE0290	NA
WATDE0291	NA
WATDE0292	NA
WATDE0293	NA
WATDE0294	NA
WATDE0296	NA
WATDE0298	NA
WATDE0299	NA
WATDE0301	NA
WATDE0302	119
WATDE0303	NA
WATDE0304	NA
WATDE0305	NA
WATDE0306	133
