IID	SplN_Shenzhen_2022_Natural_Sterility-Top
WATDE0149	0.33
WATDE0150	0.00
WATDE0151	1.67
WATDE0152	1.00
WATDE0153	0.67
WATDE0154	0.00
WATDE0156	0.00
WATDE0157	0.33
WATDE0158	1.33
WATDE0159	2.67
WATDE0160	NA
WATDE0162	NA
WATDE0164	NA
WATDE0165	NA
WATDE0168	NA
WATDE0169	NA
WATDE0171	NA
WATDE0173	2.33
WATDE0174	0.67
WATDE0175	1.33
WATDE0176	NA
WATDE0177	3.67
WATDE0178	1.33
WATDE0180	2.33
WATDE0181	6.67
WATDE0182	1.33
WATDE0183	2.33
WATDE0184	NA
WATDE0185	0.67
WATDE0187	NA
WATDE0188	0.67
WATDE0190	5.00
WATDE0191	7.00
WATDE0192	NA
WATDE0194	NA
WATDE0195	1.67
WATDE0196	NA
WATDE0198	6.67
WATDE0199	NA
WATDE0200	NA
WATDE0202	NA
WATDE0203	NA
WATDE0204	NA
WATDE0205	NA
WATDE0206	NA
WATDE0207	NA
WATDE0209	NA
WATDE0211	3.00
WATDE0212	NA
WATDE0214	NA
WATDE0215	2.00
WATDE0216	4.67
WATDE0217	1.00
WATDE0219	NA
WATDE0220	0.00
WATDE0221	6.33
WATDE0222	0.00
WATDE0223	1.00
WATDE0224	1.50
WATDE0225	NA
WATDE0227	2.33
WATDE0228	3.33
WATDE0229	NA
WATDE0230	NA
WATDE0232	NA
WATDE0233	NA
WATDE0234	0.33
WATDE0235	2.00
WATDE0236	NA
WATDE0237	8.00
WATDE0238	NA
WATDE0239	NA
WATDE0241	NA
WATDE0242	NA
WATDE0243	NA
WATDE0244	1.33
WATDE0246	NA
WATDE0247	2.00
WATDE0248	NA
WATDE0249	NA
WATDE0250	NA
WATDE0252	NA
WATDE0253	NA
WATDE0254	1.67
WATDE0255	NA
WATDE0257	6.50
WATDE0258	0.67
WATDE0259	1.00
WATDE0260	1.00
WATDE0262	1.67
WATDE0263	1.00
WATDE0264	NA
WATDE0266	NA
WATDE0268	2.33
WATDE0270	NA
WATDE0271	1.00
WATDE0272	0.00
WATDE0273	1.67
WATDE0275	2.33
WATDE0276	1.00
WATDE0277	NA
WATDE0278	12.33
WATDE0280	0.67
WATDE0281	0.67
WATDE0282	NA
WATDE0284	3.67
WATDE0285	2.33
WATDE0286	3.33
WATDE0287	NA
WATDE0288	1.33
WATDE0290	3.00
WATDE0291	NA
WATDE0292	2.00
WATDE0293	NA
WATDE0294	2.00
WATDE0296	NA
WATDE0298	NA
WATDE0299	NA
WATDE0301	NA
WATDE0302	0.67
WATDE0303	NA
WATDE0304	2.00
WATDE0305	1.00
WATDE0306	1.00
WATDE0308	NA
WATDE0310	7.00
WATDE0312	1.67
WATDE0313	1.33
WATDE0315	4.67
WATDE0316	NA
WATDE0317	7.33
WATDE0318	3.00
WATDE0319	1.00
WATDE0321	1.00
WATDE0323	NA
WATDE0324	1.00
WATDE0325	NA
WATDE0328	NA
WATDE0329	11.00
WATDE0331	NA
WATDE0332	3.67
WATDE0333	3.67
WATDE0334	NA
WATDE0335	NA
WATDE0336	1.67
WATDE0337	NA
WATDE0340	NA
WATDE0342	NA
WATDE0343	NA
WATDE0344	NA
WATDE0345	NA
WATDE0346	NA
WATDE0347	NA
WATDE0348	NA
