IID	InterCO2_Shenzhen_2022_Natural
Agron	NA
Alba	NA
Albatross	NA
Alcedo	NA
Alert	NA
Almus	NA
Altria	NA
ArinaLrFor	NA
Arminda	NA
Aronde	NA
Avalon	NA
Aztec	NA
WATDE0003	319.50
WATDE0010	NA
WATDE0339	309.17
WATDE0459	202.66
WATDE0476	242.93
WATDE0526	NA
WATDE0532	252.53
WATDE0576	290.81
WATDE0612	280.20
WATDE0061	218.38
WATDE0668	305.48
WATDE0714	288.98
WATDE0762	207.18
WATDE0801	304.88
WATDE0868	300.44
WATDE0100	230.57
WATDE1030	218.98
Banco	NA
Bandit	NA
Banner	NA
Beauchamp	NA
Beaver	NA
Becard_Kachu	NA
Bersee	NA
Boreonos	NA
Bounty	NA
Boxer	NA
Buster	NA
Calif	NA
Camp_Remy	NA
Capitiane	NA
Capo	NA
Cappelle_Desprez	NA
Catamaran	NA
Cezanne	NA
Charger	NA
Chinese_Spring	NA
Cimcog26	NA
Cimcog3	NA
Cimcog47	NA
Cimcog56	NA
Claire	NA
Consort	NA
Courtot	NA
Crest	NA
Crusoe	NA
Diablo	NA
Diplomat	NA
Disponent	NA
Dorby	NA
Drake	NA
Drauhofener_Kolben	NA
Druid	NA
Encore	NA
Equinox	NA
Erla-Kolben	NA
Erland	NA
Eros	NA
Expert	NA
Extrem	NA
Fanal	NA
Felix	NA
Fiorello	NA
Flair	NA
Flame	NA
Flamingo	NA
Florida	NA
Gabo	NA
Galahad	NA
Garcia	NA
Gawain	NA
Glasgow	NA
Grafton	NA
Granada	NA
Haven	NA
Heine7	NA
Hereward	NA
Highbury	NA
Hobbit	NA
Holdfast	NA
Hybrid46	NA
Ibis	NA
Iena	NA
Ikarus	NA
Jagger	NA
Joss_Cambier	NA
Julius	NA
KWS_Santiago	NA
Karat	NA
Koga1	NA
Kontrast	NA
Kosack	NA
Kranich	NA
Lancelot	NA
Leda	NA
Legend	NA
Longbow	NA
Lutin	NA
MISR1	NA
Mahndorfer	NA
Marco	NA
Maris_Dove	NA
Maris_Widgeon	NA
MarisHuntsman	NA
Maris_ranger	NA
Minister	NA
Mironovska	NA
Moisson	NA
Muck	NA
Multiweiss	NA
Nautica	NA
Newhaven	NA
Norda	NA
Norin	NA
Obelisk	NA
Odeon	NA
Odin	NA
Oenus	NA
Opata	NA
Orlando	NA
Palur	NA
Pamyat	NA
Pastiche	NA
Pavon76	NA
Pepital	NA
Peragis	NA
Perlo	NA
Pfau	NA
Pomerelle	NA
Pony	NA
Prof_Marshall	NA
Prophet	NA
Rabe	NA
Rebel	NA
Recital	NA
Record	NA
Red_Fife	NA
Reedling	NA
Regent	NA
Renan	NA
Rendezvous	NA
Revelation	NA
Riband	NA
Rimpaus_Bastard2	NA
RitzlhoferNeu	NA
SYMattis	NA
Savannah	NA
Schweigers_Taca	NA
Scipion	NA
Shamrock	NA
Shango	NA
Sicco	NA
Slejpner	NA
Soissons	NA
Soleil	NA
Spark	NA
Sperber	NA
Spitfire	NA
Sportsman	NA
Stamm101	NA
Starke2	NA
Stava	NA
Stella	NA
Super152	NA
Svale	NA
Tadorna	NA
Talent	NA
Tambor	NA
Tandem	NA
Tanker	NA
Taras	NA
Thatcher	NA
Thor	NA
Titus	NA
Top	NA
Torfrida	NA
Trafalgar	NA
Treasure	NA
Tremie	NA
Triumph_NDL	NA
Tschermaks	NA
Turpin	NA
Urban	NA
Vaguedepis	NA
Vilmorin53	NA
Vilmorin27	NA
Virgo	NA
Vocal	NA
Voyage	NA
WATDE0001	202.24
WATDE0002	263.12
WATDE0004	273.07
WATDE0005	302.20
WATDE0006	300.30
WATDE0007	NA
WATDE0008	309.14
WATDE0009	305.49
WATDE0011	213.99
WATDE0012	287.36
WATDE0013	289.20
WATDE0014	NA
WATDE0015	186.86
WATDE0016	226.91
WATDE0017	330.06
WATDE0018	328.49
WATDE0019	NA
WATDE0020	276.92
WATDE0021	299.14
WATDE0022	305.83
WATDE0023	334.97
WATDE0024	NA
WATDE0025	242.26
WATDE0026	272.33
WATDE0027	320.34
WATDE0028	253.06
WATDE0029	NA
WATDE0030	NA
WATDE0031	265.88
WATDE0032	298.52
WATDE0033	268.92
WATDE0034	306.92
WATDE0035	NA
WATDE0036	212.75
WATDE0037	293.93
WATDE0038	NA
WATDE0040	NA
WATDE0041	245.61
WATDE0042	182.38
WATDE0043	310.96
WATDE0044	NA
WATDE0045	305.73
WATDE0046	139.43
WATDE0047	210.91
WATDE0048	291.65
WATDE0049	216.31
WATDE0050	NA
WATDE0051	302.14
WATDE0052	NA
WATDE0053	297.17
WATDE0054	317.85
WATDE0055	325.68
WATDE0056	356.31
WATDE0057	261.23
WATDE0058	304.20
WATDE0059	306.91
WATDE0060	210.57
WATDE0062	243.78
WATDE0063	165.99
WATDE0064	156.87
WATDE0065	189.45
WATDE0066	139.64
WATDE0067	302.54
WATDE0068	305.02
WATDE0069	304.93
WATDE0070	311.66
WATDE0071	283.24
WATDE0072	289.23
WATDE0073	301.78
WATDE0074	219.89
WATDE0075	287.14
WATDE0076	140.80
WATDE0077	151.74
WATDE0078	253.69
WATDE0079	112.83
WATDE0080	262.70
WATDE0081	NA
WATDE0082	266.17
WATDE0083	308.60
WATDE0084	237.59
WATDE0085	313.07
WATDE0086	255.11
WATDE0087	156.33
WATDE0088	174.00
WATDE0089	NA
WATDE0090	330.45
WATDE0091	281.88
WATDE0092	320.95
WATDE0093	298.73
WATDE0094	250.46
WATDE0095	281.26
WATDE0096	295.01
WATDE0097	316.15
WATDE0098	NA
WATDE0099	213.07
WATDE0101	306.64
WATDE0102	279.26
WATDE0103	229.66
WATDE0104	NA
WATDE0105	230.68
WATDE0106	194.53
WATDE0107	182.47
WATDE0108	220.93
WATDE0109	278.59
WATDE0110	155.99
WATDE0111	203.66
WATDE0112	241.41
WATDE0113	208.72
WATDE0114	244.74
WATDE0115	268.88
WATDE0116	315.45
WATDE0117	264.30
WATDE0118	278.49
WATDE0119	282.55
WATDE0120	267.10
WATDE0121	279.76
WATDE0122	295.07
WATDE0123	158.67
WATDE0124	230.57
WATDE0126	170.25
WATDE0127	326.89
WATDE0129	286.15
WATDE0131	229.98
