IID	LeafWid_Shenzhen-NN_2021_Natural
WATDE0150	NA
WATDE0151	NA
WATDE0152	NA
WATDE0153	NA
WATDE0154	NA
WATDE0156	1.54
WATDE0157	NA
WATDE0158	NA
WATDE0159	NA
WATDE0160	NA
WATDE0162	NA
WATDE0164	NA
WATDE0165	NA
WATDE0168	NA
WATDE0169	NA
WATDE0171	NA
WATDE0173	NA
WATDE0174	1.76
WATDE0175	NA
WATDE0176	NA
WATDE0177	NA
WATDE0178	NA
WATDE0180	1.51
WATDE0181	NA
WATDE0182	NA
WATDE0183	1.49
WATDE0184	NA
WATDE0185	1.63
WATDE0187	NA
WATDE0188	1.72
WATDE0190	NA
WATDE0191	NA
WATDE0192	NA
WATDE0194	NA
WATDE0195	NA
WATDE0196	NA
WATDE0198	NA
WATDE0199	NA
WATDE0200	NA
WATDE0202	NA
WATDE0203	NA
WATDE0204	NA
WATDE0205	NA
WATDE0206	NA
WATDE0207	NA
WATDE0209	NA
WATDE0211	NA
WATDE0212	NA
WATDE0214	NA
WATDE0215	NA
WATDE0216	1.51
WATDE0217	NA
WATDE0219	NA
WATDE0220	1.36
WATDE0221	NA
WATDE0222	1.90
WATDE0223	1.51
WATDE0224	1.40
WATDE0225	NA
WATDE0227	1.43
WATDE0228	1.56
WATDE0229	NA
WATDE0230	NA
WATDE0232	NA
WATDE0233	NA
WATDE0234	NA
WATDE0235	NA
WATDE0236	NA
WATDE0237	NA
WATDE0238	NA
WATDE0239	NA
WATDE0241	NA
WATDE0242	NA
WATDE0243	NA
WATDE0244	NA
WATDE0246	NA
WATDE0247	NA
WATDE0248	NA
WATDE0249	NA
WATDE0250	NA
WATDE0252	NA
WATDE0253	NA
WATDE0254	1.47
WATDE0255	1.36
WATDE0257	NA
WATDE0258	1.53
WATDE0259	1.76
WATDE0260	1.82
WATDE0262	1.96
WATDE0263	1.43
WATDE0264	1.57
WATDE0266	NA
WATDE0268	NA
WATDE0270	NA
WATDE0271	NA
WATDE0272	NA
WATDE0273	NA
WATDE0275	1.70
WATDE0276	NA
WATDE0277	NA
WATDE0278	NA
WATDE0280	NA
WATDE0281	1.09
WATDE0282	NA
WATDE0284	NA
WATDE0285	1.57
WATDE0286	1.38
WATDE0287	1.17
WATDE0288	NA
WATDE0290	1.51
WATDE0291	NA
WATDE0292	NA
WATDE0293	NA
WATDE0294	NA
WATDE0296	NA
WATDE0298	NA
WATDE0299	NA
WATDE0301	NA
WATDE0302	1.36
WATDE0303	NA
WATDE0304	NA
WATDE0305	NA
WATDE0306	1.47
WATDE0308	NA
WATDE0310	NA
WATDE0312	1.40
WATDE0313	NA
WATDE0315	1.41
WATDE0316	NA
WATDE0317	1.55
WATDE0318	NA
WATDE0319	1.44
WATDE0321	1.10
WATDE0323	NA
WATDE0324	1.90
WATDE0325	NA
WATDE0328	NA
WATDE0329	NA
WATDE0331	NA
WATDE0332	1.48
WATDE0333	1.69
WATDE0334	1.88
WATDE0335	NA
WATDE0336	NA
WATDE0337	NA
WATDE0340	NA
WATDE0342	NA
WATDE0343	NA
WATDE0344	NA
WATDE0345	NA
WATDE0346	1.13
WATDE0347	NA
WATDE0348	NA
WATDE0350	1.33
WATDE0352	NA
WATDE0353	1.99
WATDE0354	NA
WATDE0355	NA
WATDE0356	NA
WATDE0358	NA
WATDE0359	NA
WATDE0361	NA
WATDE0363	NA
WATDE0365	NA
WATDE0366	NA
WATDE0368	1.49
WATDE0369	1.87
WATDE0370	NA
WATDE0371	NA
WATDE0372	1.31
WATDE0373	NA
WATDE0374	1.17
WATDE0375	1.40
WATDE0377	NA
WATDE0378	NA
WATDE0379	NA
WATDE0381	NA
WATDE0382	NA
WATDE0383	1.47
WATDE0385	NA
WATDE0386	NA
WATDE0387	NA
WATDE0389	NA
WATDE0391	NA
WATDE0392	NA
WATDE0394	1.24
WATDE0396	NA
WATDE0397	1.71
WATDE0399	1.63
WATDE0401	1.68
WATDE0403	NA
WATDE0404	1.47
WATDE0405	NA
WATDE0407	1.30
WATDE0408	NA
WATDE0409	1.63
WATDE0410	NA
WATDE0411	NA
WATDE0412	NA
WATDE0413	1.37
WATDE0415	1.57
WATDE0417	NA
WATDE0419	NA
WATDE0420	1.37
WATDE0421	NA
WATDE0422	NA
WATDE0423	1.79
WATDE0424	NA
WATDE0425	NA
WATDE0426	NA
WATDE0427	NA
WATDE0428	NA
WATDE0429	NA
WATDE0430	NA
WATDE0431	NA
WATDE0432	NA
WATDE0433	NA
WATDE0434	NA
WATDE0435	NA
WATDE0436	NA
WATDE0438	NA
WATDE0439	NA
WATDE0440	1.15
WATDE0441	1.60
WATDE0442	1.89
WATDE0443	NA
WATDE0444	NA
WATDE0445	NA
WATDE0446	NA
WATDE0448	1.13
WATDE0449	NA
WATDE0450	1.76
WATDE0451	NA
WATDE0452	NA
WATDE0453	NA
WATDE0454	1.59
WATDE0455	1.60
WATDE0456	1.33
WATDE0457	NA
WATDE0460	1.33
WATDE0461	NA
WATDE0462	1.58
WATDE0463	NA
WATDE0465	1.33
WATDE0467	1.26
WATDE0469	1.21
WATDE0471	1.56
WATDE0474	1.84
WATDE0477	1.05
WATDE0479	NA
WATDE0481	2.02
WATDE0482	1.48
WATDE0484	1.13
WATDE0486	1.18
WATDE0487	1.48
WATDE0488	NA
WATDE0489	NA
WATDE0490	NA
WATDE0492	1.62
WATDE0494	NA
WATDE0496	NA
WATDE0498	NA
WATDE0500	NA
