IID	SPAD_Shenzhen_2022_Nautural_tilling
WATDE0146	34.3
WATDE0148	36.3
WATDE0149	39.1
WATDE0150	34.6
WATDE0151	37.2
WATDE0152	38.5
WATDE0153	36.7
WATDE0154	39.2
WATDE0156	28.5
WATDE0157	39.3
WATDE0158	37.3
WATDE0159	33.96666667
WATDE0160	39.06666667
WATDE0162	NA
WATDE0164	NA
WATDE0165	NA
WATDE0168	NA
WATDE0169	NA
WATDE0171	NA
WATDE0173	30.6
WATDE0174	35.25
WATDE0175	NA
WATDE0176	NA
WATDE0177	NA
WATDE0178	32.6
WATDE0180	33.2
WATDE0181	30.2
WATDE0182	31.3
WATDE0183	39.2
WATDE0184	38.7
WATDE0185	32
WATDE0187	NA
WATDE0188	31
WATDE0190	31.05
WATDE0191	32.55
WATDE0192	35.45
WATDE0194	NA
WATDE0195	37.65
WATDE0196	NA
WATDE0198	NA
WATDE0199	NA
WATDE0200	NA
WATDE0202	30.6
WATDE0203	32
WATDE0204	35.05
WATDE0205	NA
WATDE0206	27.83333333
WATDE0207	NA
WATDE0209	NA
WATDE0211	40.9
WATDE0212	33.83333333
WATDE0214	NA
WATDE0215	33.7
WATDE0216	31.2
WATDE0217	NA
WATDE0219	44.6
WATDE0220	30
WATDE0221	30.6
WATDE0222	34.7
WATDE0223	57.5
WATDE0224	39.5
WATDE0225	NA
WATDE0227	34
WATDE0228	33.5
WATDE0229	25.3
WATDE0230	NA
WATDE0232	NA
WATDE0233	35
WATDE0234	NA
WATDE0235	37.7
WATDE0236	NA
WATDE0237	NA
WATDE0238	NA
WATDE0239	28.6
WATDE0241	NA
WATDE0242	34.6
WATDE0243	NA
WATDE0244	NA
WATDE0246	NA
WATDE0247	32.8
WATDE0248	NA
WATDE0249	27.6
WATDE0250	37
WATDE0252	NA
WATDE0253	NA
WATDE0254	36.2
WATDE0255	36.65
WATDE0257	43.9
WATDE0258	41.6
WATDE0259	33.1
WATDE0260	35.7
WATDE0262	32.4
WATDE0263	38
WATDE0264	39.2
WATDE0266	27.63333333
WATDE0268	NA
WATDE0270	NA
WATDE0271	31.7
WATDE0272	37.4
WATDE0273	31.45
WATDE0275	41.7
WATDE0276	32.1
WATDE0277	NA
WATDE0278	38.1
WATDE0280	37.3
WATDE0281	42.15
WATDE0282	NA
WATDE0284	NA
WATDE0285	31.6
WATDE0286	31.7
WATDE0287	41.3
WATDE0288	27.3
WATDE0290	32.1
WATDE0291	NA
WATDE0292	30.1
WATDE0293	39.3
WATDE0294	38.6
WATDE0296	NA
WATDE0298	NA
WATDE0299	NA
WATDE0301	38.85
WATDE0302	NA
WATDE0303	NA
WATDE0304	NA
WATDE0305	28.5
WATDE0306	38.7
WATDE0308	36.2
WATDE0310	NA
WATDE0312	34.9
WATDE0313	33.35
WATDE0315	31.4
WATDE0316	32.1
WATDE0317	29.7
WATDE0318	33.95
WATDE0319	32.5
WATDE0321	29.5
WATDE0323	NA
WATDE0324	34.6
WATDE0325	NA
WATDE0328	33.3
WATDE0329	NA
WATDE0331	37.55
WATDE0332	38.1
WATDE0333	35.6
WATDE0334	NA
WATDE0335	36.5
WATDE0336	35
WATDE0337	NA
WATDE0340	NA
WATDE0342	NA
WATDE0343	NA
WATDE0344	NA
WATDE0345	NA
WATDE0346	37.7
WATDE0347	NA
WATDE0348	NA
WATDE0350	29.5
WATDE0352	27.53333333
WATDE0353	39.5
WATDE0354	28.6
WATDE0355	NA
WATDE0356	37.7
WATDE0358	NA
WATDE0359	37.15
WATDE0361	NA
WATDE0363	33
WATDE0365	NA
WATDE0366	29.45
WATDE0368	34.2
WATDE0369	NA
WATDE0370	NA
WATDE0371	29.3
WATDE0372	33.2
WATDE0373	29.5
WATDE0374	32.75
WATDE0375	34.1
WATDE0377	NA
WATDE0378	NA
WATDE0379	33.3
WATDE0381	35.2
WATDE0382	39.9
WATDE0383	38.8
WATDE0385	33.5
WATDE0386	NA
WATDE0387	NA
WATDE0389	NA
WATDE0391	40.6
WATDE0392	NA
WATDE0394	30.6
WATDE0396	39.4
WATDE0397	36.05
WATDE0399	28.5
WATDE0401	33.1
WATDE0403	NA
WATDE0404	26.9
WATDE0405	NA
WATDE0407	33
WATDE0408	32.8
WATDE0409	34
WATDE0410	NA
WATDE0411	33.5
WATDE0412	35
WATDE0413	29.7
WATDE0415	36.3
WATDE0417	NA
WATDE0419	29.7
WATDE0420	34.7
WATDE0421	25.2
WATDE0422	35.5
WATDE0423	33.8
WATDE0424	NA
WATDE0425	NA
WATDE0426	NA
WATDE0427	37
WATDE0428	NA
WATDE0429	35.4
WATDE0430	30.1
WATDE0431	NA
WATDE0432	NA
WATDE0433	NA
WATDE0434	NA
WATDE0435	NA
WATDE0436	37.9
WATDE0438	NA
WATDE0439	30.2
WATDE0440	26.6
WATDE0441	40.25
WATDE0442	35
WATDE0443	39.2
WATDE0444	NA
WATDE0445	33.7
WATDE0446	31.85
WATDE0448	36.75
WATDE0449	35.5
WATDE0450	33.9
WATDE0451	NA
WATDE0452	37.5
WATDE0453	30.4
WATDE0454	31.6
WATDE0455	39.2
WATDE0456	33.4
WATDE0457	NA
WATDE0460	36.15
WATDE0461	34
WATDE0462	37.7
WATDE0463	36.75
WATDE0465	33.2
WATDE0467	NA
WATDE0469	38.4
WATDE0471	38.75
WATDE0474	34.7
WATDE0477	37.1
WATDE0479	30
WATDE0481	15.88
WATDE0482	14.76
WATDE0484	NA
WATDE0486	40.3
WATDE0487	31.4
WATDE0488	32.4
WATDE0489	36.3
WATDE0490	28.6
WATDE0492	NA
WATDE0494	30.76666667
WATDE0496	31.56666667
WATDE0498	31.35
WATDE0500	27.66666667
WATDE0501	NA
WATDE0502	NA
WATDE0503	45.85
WATDE0504	36.8
WATDE0505	NA
WATDE0507	NA
WATDE0509	33.1
WATDE0510	NA
WATDE0511	NA
WATDE0512	NA
WATDE0513	34
WATDE0515	37.7
WATDE0516	NA
WATDE0518	38.65
WATDE0519	35.63333333
WATDE0520	NA
WATDE0521	41.3
WATDE0522	NA
WATDE0524	NA
WATDE0527	35.7
WATDE0529	NA
WATDE0531	32.75
WATDE0533	40.15
WATDE0534	36.8
WATDE0536	NA
WATDE0537	33
WATDE0538	NA
WATDE0539	31.2
WATDE0540	36.56666667
WATDE0541	43.7
WATDE0542	NA
WATDE0543	30.8
WATDE0544	38.8
WATDE0546	NA
WATDE0547	32.7
WATDE0549	33.5
WATDE0550	35.1
WATDE0552	36.8
WATDE0553	36.7
WATDE0555	32.9
WATDE0556	35.4
WATDE0557	41.95
WATDE0558	NA
WATDE0560	NA
WATDE0561	30.63333333
WATDE0562	30.4
WATDE0563	33.2
WATDE0565	25.8
WATDE0566	NA
WATDE0567	34.85
WATDE0568	NA
WATDE0569	32
WATDE0570	38.65
WATDE0571	36.4
WATDE0572	37.9
WATDE0574	34
WATDE0577	22.8
WATDE0578	35.8
WATDE0579	35
WATDE0581	32
WATDE0582	28.4
WATDE0585	NA
WATDE0586	41
WATDE0588	32.1
WATDE0589	32.15
WATDE0591	NA
WATDE0592	NA
WATDE0594	29.7
WATDE0596	38.95
WATDE0597	28.2
WATDE0598	41.4
WATDE0599	NA
WATDE0600	26.3
WATDE0601	NA
WATDE0602	32
WATDE0603	NA
WATDE0604	NA
WATDE0606	20.23333333
WATDE0608	NA
WATDE0609	28.26666667
WATDE0610	21.6
WATDE0611	26.9
WATDE0613	32
WATDE0614	35.1
WATDE0615	34.2
WATDE0616	40.5
WATDE0617	6.116666667
WATDE0618	NA
WATDE0620	43.9
WATDE0622	NA
