IID	SplN_Shenzhen_2022_Natural_Sterility-Bottom
WATDE0136	NA
WATDE0138	NA
WATDE0140	3.67
WATDE0141	NA
WATDE0143	NA
WATDE0144	5.00
WATDE0145	3.00
WATDE0146	NA
WATDE0148	10.00
WATDE0149	2.67
WATDE0150	4.00
WATDE0151	0.67
WATDE0152	2.33
WATDE0153	2.33
WATDE0154	4.00
WATDE0156	5.67
WATDE0157	3.33
WATDE0158	5.00
WATDE0159	2.00
WATDE0160	NA
WATDE0162	NA
WATDE0164	NA
WATDE0165	NA
WATDE0168	NA
WATDE0169	NA
WATDE0171	NA
WATDE0173	2.67
WATDE0174	2.33
WATDE0175	3.33
WATDE0176	NA
WATDE0177	4.33
WATDE0178	3.67
WATDE0180	3.67
WATDE0181	6.33
WATDE0182	2.33
WATDE0183	4.00
WATDE0184	NA
WATDE0185	1.67
WATDE0187	NA
WATDE0188	2.33
WATDE0190	4.00
WATDE0191	5.00
WATDE0192	NA
WATDE0194	NA
WATDE0195	8.33
WATDE0196	NA
WATDE0198	5.00
WATDE0199	NA
WATDE0200	NA
WATDE0202	NA
WATDE0203	NA
WATDE0204	NA
WATDE0205	NA
WATDE0206	NA
WATDE0207	NA
WATDE0209	NA
WATDE0211	5.00
WATDE0212	NA
WATDE0214	NA
WATDE0215	2.00
WATDE0216	8.00
WATDE0217	3.67
WATDE0219	NA
WATDE0220	18.33
WATDE0221	2.33
WATDE0222	0.67
WATDE0223	2.33
WATDE0224	1.50
WATDE0225	NA
WATDE0227	5.00
WATDE0228	1.67
WATDE0229	NA
WATDE0230	NA
WATDE0232	NA
WATDE0233	NA
WATDE0234	0.67
WATDE0235	3.00
WATDE0236	NA
WATDE0237	11.33
WATDE0238	NA
WATDE0239	NA
WATDE0241	NA
WATDE0242	NA
WATDE0243	NA
WATDE0244	2.00
WATDE0246	NA
WATDE0247	4.33
WATDE0248	NA
WATDE0249	NA
WATDE0250	NA
WATDE0252	NA
WATDE0253	NA
WATDE0254	1.67
WATDE0255	NA
WATDE0257	4.00
WATDE0258	8.00
WATDE0259	4.00
WATDE0260	2.00
WATDE0262	2.33
WATDE0263	4.33
WATDE0264	NA
WATDE0266	NA
WATDE0268	3.00
WATDE0270	NA
WATDE0271	3.67
WATDE0272	4.33
WATDE0273	3.33
WATDE0275	4.00
WATDE0276	6.00
WATDE0277	NA
WATDE0278	10.67
WATDE0280	4.67
WATDE0281	8.00
WATDE0282	NA
WATDE0284	3.00
WATDE0285	6.00
WATDE0286	2.33
WATDE0287	NA
WATDE0288	1.33
WATDE0290	2.00
WATDE0291	NA
WATDE0292	5.67
WATDE0293	NA
WATDE0294	7.00
WATDE0296	NA
WATDE0298	NA
WATDE0299	NA
WATDE0301	NA
WATDE0302	2.00
WATDE0303	NA
WATDE0304	3.33
WATDE0305	1.67
WATDE0306	1.33
WATDE0308	NA
WATDE0310	7.00
WATDE0312	2.00
WATDE0313	2.33
WATDE0315	6.00
WATDE0316	NA
WATDE0317	4.33
WATDE0318	1.67
WATDE0319	3.50
WATDE0321	5.00
WATDE0323	NA
WATDE0324	3.00
WATDE0325	NA
WATDE0328	NA
WATDE0329	8.00
WATDE0331	NA
WATDE0332	2.00
WATDE0333	2.67
WATDE0334	NA
WATDE0335	NA
WATDE0336	4.00
WATDE0337	NA
WATDE0340	NA
WATDE0342	NA
WATDE0343	NA
WATDE0344	NA
WATDE0345	NA
WATDE0346	NA
WATDE0347	NA
WATDE0348	NA
WATDE0350	3.33
WATDE0352	NA
WATDE0353	4.33
WATDE0354	5.33
WATDE0355	NA
WATDE0356	NA
WATDE0358	2.33
WATDE0359	3.33
WATDE0361	NA
WATDE0363	3.67
WATDE0365	2.00
WATDE0366	NA
WATDE0368	2.67
WATDE0369	5.33
WATDE0370	4.67
WATDE0371	2.67
WATDE0372	5.67
WATDE0373	4.00
WATDE0374	NA
WATDE0375	3.33
WATDE0377	NA
WATDE0378	NA
WATDE0379	NA
WATDE0381	5.33
WATDE0382	12.00
WATDE0383	12.33
WATDE0385	3.33
WATDE0386	NA
WATDE0387	NA
WATDE0389	NA
WATDE0391	NA
WATDE0392	NA
WATDE0394	2.33
WATDE0396	2.67
WATDE0397	4.33
WATDE0399	3.33
WATDE0401	1.67
WATDE0403	NA
WATDE0404	1.33
WATDE0405	NA
WATDE0407	NA
WATDE0408	3.67
WATDE0409	6.00
WATDE0410	NA
WATDE0411	5.33
WATDE0412	2.00
WATDE0413	7.33
WATDE0415	3.67
WATDE0417	9.33
WATDE0419	4.00
WATDE0420	6.67
WATDE0421	4.00
WATDE0422	4.00
WATDE0423	2.00
WATDE0424	NA
WATDE0425	NA
WATDE0426	NA
WATDE0427	4.67
WATDE0428	5.00
WATDE0429	4.00
WATDE0430	10.67
WATDE0431	NA
WATDE0432	NA
WATDE0433	NA
WATDE0434	5.00
WATDE0435	NA
WATDE0436	2.33
WATDE0438	NA
WATDE0439	14.67
WATDE0440	8.33
WATDE0441	2.33
WATDE0442	4.67
WATDE0443	4.33
WATDE0444	2.33
WATDE0445	4.33
WATDE0446	7.00
WATDE0448	3.67
WATDE0449	4.00
WATDE0450	4.67
WATDE0451	NA
WATDE0452	1.67
WATDE0453	3.00
WATDE0454	3.33
WATDE0455	2.67
WATDE0456	2.67
WATDE0457	NA
WATDE0460	3.00
WATDE0461	2.33
WATDE0462	2.67
WATDE0463	3.33
WATDE0465	NA
WATDE0467	NA
WATDE0469	3.67
WATDE0471	3.33
WATDE0474	1.67
WATDE0477	5.00
WATDE0479	4.67
WATDE0481	3.67
WATDE0482	NA
WATDE0484	NA
WATDE0486	5.67
WATDE0487	1.67
WATDE0488	NA
WATDE0489	1.33
WATDE0490	4.00
WATDE0492	NA
WATDE0494	NA
WATDE0496	NA
WATDE0498	NA
WATDE0500	NA
WATDE0501	NA
WATDE0502	NA
WATDE0503	NA
WATDE0504	NA
WATDE0505	NA
WATDE0507	NA
WATDE0509	8.00
WATDE0510	3.33
WATDE0511	NA
WATDE0512	3.00
WATDE0513	5.00
WATDE0515	5.33
WATDE0516	NA
WATDE0518	NA
WATDE0519	NA
WATDE0520	4.00
WATDE0521	4.00
WATDE0522	NA
WATDE0524	NA
WATDE0527	NA
WATDE0529	NA
WATDE0531	NA
WATDE0533	NA
WATDE0534	2.33
WATDE0536	NA
WATDE0537	2.00
WATDE0538	3.33
WATDE0539	3.00
WATDE0540	NA
WATDE0541	NA
WATDE0542	NA
WATDE0543	NA
WATDE0544	4.33
WATDE0546	NA
WATDE0547	5.00
WATDE0549	1.00
WATDE0550	NA
WATDE0552	4.00
WATDE0553	2.33
WATDE0555	4.00
WATDE0556	4.33
WATDE0557	3.67
WATDE0558	NA
WATDE0560	NA
WATDE0561	NA
WATDE0562	2.33
WATDE0563	3.00
WATDE0565	5.67
WATDE0566	NA
WATDE0567	5.33
WATDE0568	6.33
WATDE0569	5.67
WATDE0570	NA
WATDE0571	19.67
WATDE0572	5.00
WATDE0574	3.33
WATDE0577	4.33
WATDE0578	NA
WATDE0579	NA
WATDE0581	3.33
WATDE0582	NA
WATDE0585	2.33
WATDE0586	NA
WATDE0588	3.67
WATDE0589	NA
WATDE0591	NA
WATDE0592	NA
WATDE0594	4.67
WATDE0596	3.33
WATDE0597	NA
WATDE0598	2.67
WATDE0599	NA
WATDE0600	NA
WATDE0601	NA
WATDE0602	NA
WATDE0603	6.00
WATDE0604	7.00
WATDE0606	3.00
WATDE0608	NA
WATDE0609	NA
WATDE0610	4.00
WATDE0611	2.67
WATDE0613	2.67
WATDE0614	2.33
WATDE0615	3.33
WATDE0616	3.67
WATDE0617	3.33
WATDE0618	NA
WATDE0620	2.00
WATDE0622	NA
WATDE0624	NA
WATDE0626	2.00
WATDE0627	NA
WATDE0628	2.33
WATDE0630	3.00
WATDE0631	4.00
WATDE0632	NA
WATDE0634	5.33
WATDE0635	1.67
WATDE0636	NA
WATDE0638	NA
WATDE0639	2.00
WATDE0640	1.67
WATDE0641	NA
WATDE0643	4.67
WATDE0644	NA
WATDE0646	3.33
WATDE0648	5.00
WATDE0649	4.00
WATDE0650	1.33
WATDE0651	1.00
WATDE0652	6.67
WATDE0653	1.33
WATDE0655	3.33
WATDE0657	NA
WATDE0658	NA
WATDE0659	0.67
WATDE0660	3.33
WATDE0661	3.67
WATDE0662	3.00
WATDE0663	5.33
WATDE0664	3.33
WATDE0665	3.33
WATDE0666	NA
WATDE0667	NA
WATDE0669	NA
WATDE0670	NA
WATDE0671	NA
WATDE0672	2.33
WATDE0674	3.33
WATDE0675	1.33
WATDE0676	5.67
WATDE0678	3.00
WATDE0679	3.00
WATDE0680	6.33
WATDE0682	2.67
WATDE0683	4.33
WATDE0685	3.67
WATDE0686	5.33
WATDE0687	5.00
WATDE0688	2.00
WATDE0689	4.00
WATDE0691	1.00
WATDE0693	7.67
WATDE0694	3.00
WATDE0695	NA
WATDE0697	5.00
WATDE0699	NA
WATDE0700	5.67
WATDE0701	4.67
WATDE0702	0.67
WATDE0703	2.67
WATDE0704	1.00
WATDE0705	3.33
WATDE0706	NA
WATDE0707	7.33
WATDE0709	0.33
WATDE0710	NA
WATDE0712	5.67
WATDE0713	NA
WATDE0716	NA
WATDE0718	3.00
WATDE0720	3.00
WATDE0721	5.00
WATDE0723	3.00
WATDE0725	4.33
WATDE0726	NA
WATDE0727	NA
WATDE0728	10.67
WATDE0729	6.67
WATDE0730	2.67
WATDE0732	3.67
WATDE0735	3.33
WATDE0736	4.33
WATDE0737	NA
WATDE0738	2.67
WATDE0739	3.67
WATDE0740	NA
WATDE0742	NA
WATDE0743	1.67
WATDE0744	NA
WATDE0745	5.67
WATDE0747	5.67
WATDE0748	NA
WATDE0749	3.67
WATDE0750	NA
WATDE0751	2.33
WATDE0752	3.33
WATDE0754	NA
WATDE0755	4.33
WATDE0756	4.33
WATDE0758	6.67
WATDE0759	2.67
WATDE0760	4.00
WATDE0761	3.33
WATDE0763	6.00
WATDE0765	4.67
WATDE0766	2.33
WATDE0768	5.00
WATDE0769	9.00
WATDE0770	2.33
WATDE0771	3.00
WATDE0773	5.33
WATDE0774	4.33
WATDE0775	1.67
WATDE0776	NA
WATDE0777	5.00
WATDE0779	NA
WATDE0780	9.00
WATDE0781	8.00
WATDE0782	5.67
WATDE0783	3.67
WATDE0785	6.00
WATDE0786	6.33
WATDE0788	3.67
WATDE0789	NA
WATDE0790	3.33
WATDE0791	8.00
WATDE0793	6.33
WATDE0794	2.67
WATDE0795	7.33
WATDE0797	4.33
WATDE0798	NA
WATDE0800	8.33
WATDE0802	6.67
WATDE0803	11.33
WATDE0804	6.33
WATDE0805	2.33
WATDE0807	0.33
WATDE0808	5.00
WATDE0810	NA
WATDE0811	8.67
WATDE0812	7.00
WATDE0814	9.00
WATDE0815	NA
WATDE0816	NA
WATDE0817	3.33
WATDE0818	NA
WATDE0819	NA
WATDE0821	NA
WATDE0823	5.33
WATDE0825	NA
WATDE0826	NA
WATDE0827	1.33
WATDE0828	NA
WATDE0830	4.33
WATDE0831	NA
WATDE0833	6.00
WATDE0835	2.00
WATDE0836	2.33
WATDE0837	3.33
WATDE0839	4.67
WATDE0840	NA
WATDE0841	1.67
WATDE0843	NA
WATDE0845	10.00
WATDE0846	12.67
WATDE0848	NA
WATDE0850	4.00
WATDE0851	13.33
WATDE0852	3.33
WATDE0854	1.33
WATDE0856	NA
WATDE0857	1.67
WATDE0859	2.67
WATDE0861	2.33
WATDE0862	3.00
WATDE0863	5.67
WATDE0864	NA
WATDE0865	5.33
WATDE0869	5.67
WATDE0871	3.33
WATDE0872	4.67
WATDE0873	NA
WATDE0874	NA
WATDE0875	NA
WATDE0876	1.00
WATDE0877	3.33
WATDE0878	NA
WATDE0879	NA
WATDE0880	NA
WATDE0881	NA
WATDE0882	NA
WATDE0883	NA
WATDE0884	NA
WATDE0887	NA
WATDE0888	NA
WATDE0889	5.67
WATDE0890	4.00
WATDE0892	3.00
WATDE0894	NA
WATDE0895	NA
WATDE0896	3.33
WATDE0898	NA
WATDE0899	3.33
WATDE0900	NA
WATDE0901	2.33
WATDE0902	1.67
WATDE0903	NA
WATDE0904	1.00
WATDE0905	1.33
WATDE0906	3.33
WATDE0907	5.00
WATDE0909	1.00
WATDE0910	0.33
WATDE0911	NA
WATDE0912	3.00
WATDE0913	4.00
WATDE0914	NA
WATDE0915	3.00
WATDE0916	2.67
WATDE0917	1.50
WATDE0918	NA
WATDE0919	8.67
WATDE0920	NA
WATDE0922	0.67
WATDE0923	0.33
WATDE0924	2.00
WATDE0926	4.67
WATDE0927	2.33
WATDE0928	2.33
WATDE0929	4.00
WATDE0930	NA
WATDE0932	NA
WATDE0933	5.33
WATDE0934	3.67
WATDE0935	4.00
WATDE0937	3.33
WATDE0938	3.33
WATDE0939	NA
WATDE0941	NA
WATDE0944	3.33
WATDE0945	6.00
WATDE0947	2.33
WATDE0950	2.33
WATDE0951	3.67
WATDE0952	6.33
WATDE0953	NA
WATDE0954	3.67
WATDE0955	NA
WATDE0957	4.33
WATDE0958	NA
WATDE0961	NA
WATDE0963	5.67
WATDE0965	NA
WATDE0966	4.00
WATDE0967	NA
WATDE0969	NA
WATDE0970	4.67
WATDE0971	5.00
WATDE0973	NA
WATDE0974	9.00
WATDE0975	NA
WATDE0977	7.67
WATDE0978	3.67
WATDE0979	2.67
WATDE0981	4.00
WATDE0982	5.33
WATDE0983	4.67
WATDE0984	1.67
WATDE0986	5.00
WATDE0987	5.00
WATDE0989	5.33
WATDE0991	1.33
WATDE0993	1.67
WATDE0995	4.33
WATDE0996	2.00
WATDE0997	NA
WATDE0999	8.00
WATDE1001	NA
WATDE1002	NA
WATDE1003	NA
WATDE1004	5.00
WATDE1005	1.67
WATDE1008	NA
WATDE1009	5.33
WATDE1010	2.33
WATDE1012	NA
WATDE1014	NA
WATDE1016	NA
WATDE1017	NA
WATDE1018	2.33
WATDE1019	4.67
WATDE1021	NA
WATDE1023	NA
WATDE1025	NA
WATDE1026	3.67
WATDE1027	NA
WATDE1029	2.67
WATDE1031	6.67
WATDE1032	5.67
WATDE1034	4.33
WATDE1035	3.67
WATDE1037	3.67
WATDE1038	1.33
WATDE1040	NA
WATDE1042	NA
WATDE1044	NA
WATDE1046	2.67
WATDE1048	3.33
WATDE1049	4.67
WATDE1050	6.33
WATDE1051	5.67
WATDE1052	NA
WATDE1053	NA
WATDE1055	1.33
WATDE1056	NA
WATDE1058	NA
WATDE1060	3.33
WATDE1061	3.00
WATDE1062	3.67
Walde	NA
Warrior	NA
Waxwing	NA
Werla	NA
Wizard	NA
Wyalkatatchen	NA
Xi19	NA
Zemon	NA
Zentos	NA
ability	NA
avocet	NA
blitz	NA
cadenza	NA
captor	NA
cimcog32	NA
david	NA
denver	NA
eagle	NA
festival	NA
fidel	NA
fielder	NA
holster	NA
lancer	NA
landmark	NA
mace	NA
malacca	NA
mendel	NA
mercia	NA
mina	NA
paragon	NA
robigus	NA
solstice	NA
stanley	NA
torch	NA
veritas	NA
wasp	NA
weebil	NA
