IID	Ant_Shenzhen_2022_Natural_1st
Agron	NA
Alba	NA
Albatross	NA
Alcedo	NA
Alert	NA
Almus	NA
Altria	NA
ArinaLrFor	NA
Arminda	NA
Aronde	NA
Avalon	NA
Aztec	NA
WATDE0003	114
WATDE0010	NA
WATDE0339	153
WATDE0459	126
WATDE0476	NA
WATDE0526	NA
WATDE0532	NA
WATDE0576	136
WATDE0612	120
WATDE0061	76
WATDE0668	117
WATDE0714	91
WATDE0762	115
WATDE0801	122
WATDE0868	124
WATDE0100	NA
WATDE1030	161
Banco	NA
Bandit	NA
Banner	NA
Beauchamp	NA
Beaver	NA
Becard_Kachu	NA
Bersee	NA
Boreonos	NA
Bounty	NA
Boxer	NA
Buster	NA
Calif	NA
Camp_Remy	NA
Capitiane	NA
Capo	NA
Cappelle_Desprez	NA
Catamaran	NA
Cezanne	NA
Charger	NA
Chinese_Spring	NA
Cimcog26	NA
Cimcog3	NA
Cimcog47	NA
Cimcog56	NA
Claire	NA
Consort	NA
Courtot	NA
Crest	NA
Crusoe	NA
Diablo	NA
Diplomat	NA
Disponent	NA
Dorby	NA
Drake	NA
Drauhofener_Kolben	NA
Druid	NA
Encore	NA
Equinox	NA
Erla-Kolben	NA
Erland	NA
Eros	NA
Expert	NA
Extrem	NA
Fanal	NA
Felix	NA
Fiorello	NA
Flair	NA
Flame	NA
Flamingo	NA
Florida	NA
Gabo	NA
Galahad	NA
Garcia	NA
Gawain	NA
Glasgow	NA
Grafton	NA
Granada	NA
Haven	NA
Heine7	NA
Hereward	NA
Highbury	NA
Hobbit	NA
Holdfast	NA
Hybrid46	NA
Ibis	NA
Iena	NA
Ikarus	NA
Jagger	NA
Joss_Cambier	NA
Julius	NA
KWS_Santiago	NA
Karat	NA
Koga1	NA
Kontrast	NA
Kosack	NA
Kranich	NA
Lancelot	NA
Leda	NA
Legend	NA
Longbow	NA
Lutin	NA
MISR1	NA
Mahndorfer	NA
Marco	NA
Maris_Dove	NA
Maris_Widgeon	NA
MarisHuntsman	NA
Maris_ranger	NA
Minister	NA
Mironovska	NA
Moisson	NA
Muck	NA
Multiweiss	NA
Nautica	NA
Newhaven	NA
Norda	NA
Norin	NA
Obelisk	NA
Odeon	NA
Odin	NA
Oenus	NA
Opata	NA
Orlando	NA
Palur	NA
Pamyat	NA
Pastiche	NA
Pavon76	NA
Pepital	NA
Peragis	NA
Perlo	NA
Pfau	NA
Pomerelle	NA
Pony	NA
Prof_Marshall	NA
Prophet	NA
Rabe	NA
Rebel	NA
Recital	NA
Record	NA
Red_Fife	NA
Reedling	NA
Regent	NA
Renan	NA
Rendezvous	NA
Revelation	NA
Riband	NA
Rimpaus_Bastard2	NA
RitzlhoferNeu	NA
SYMattis	NA
Savannah	NA
Schweigers_Taca	NA
Scipion	NA
Shamrock	NA
Shango	NA
Sicco	NA
Slejpner	NA
Soissons	NA
Soleil	NA
Spark	NA
Sperber	NA
Spitfire	NA
Sportsman	NA
Stamm101	NA
Starke2	NA
Stava	NA
Stella	NA
Super152	NA
Svale	NA
Tadorna	NA
Talent	NA
Tambor	NA
Tandem	NA
Tanker	NA
Taras	NA
Thatcher	NA
Thor	NA
Titus	NA
Top	NA
Torfrida	NA
Trafalgar	NA
Treasure	NA
Tremie	NA
Triumph_NDL	NA
Tschermaks	NA
Turpin	NA
Urban	NA
Vaguedepis	NA
Vilmorin53	NA
Vilmorin27	NA
Virgo	NA
Vocal	NA
Voyage	NA
WATDE0001	118
WATDE0002	80
WATDE0004	122
WATDE0005	59
WATDE0006	82
WATDE0007	NA
WATDE0008	132
WATDE0009	147
WATDE0011	128
WATDE0012	154
WATDE0013	122
WATDE0014	NA
WATDE0015	91
WATDE0016	129
WATDE0017	136
WATDE0018	114
WATDE0019	NA
WATDE0020	129
WATDE0021	129
WATDE0022	166
WATDE0023	76
WATDE0024	NA
WATDE0025	113
WATDE0026	119
WATDE0027	143
WATDE0028	110
WATDE0029	NA
WATDE0030	NA
WATDE0031	146
WATDE0032	130
WATDE0033	123
WATDE0034	122
WATDE0035	NA
WATDE0036	106
WATDE0037	122
WATDE0038	NA
WATDE0040	NA
WATDE0041	88
WATDE0042	176
WATDE0043	147
WATDE0044	NA
WATDE0045	127
WATDE0046	170
WATDE0047	135
WATDE0048	149
WATDE0049	132
WATDE0050	NA
WATDE0051	125
WATDE0052	NA
WATDE0053	110
WATDE0054	96
WATDE0055	139
WATDE0056	125
WATDE0057	106
WATDE0058	124
WATDE0059	155
WATDE0060	83
WATDE0062	118
WATDE0063	114
WATDE0064	132
WATDE0065	144
WATDE0066	121
WATDE0067	116
WATDE0068	123
WATDE0069	119
WATDE0070	142
WATDE0071	111
WATDE0072	118
WATDE0073	106
WATDE0074	119
WATDE0075	125
WATDE0076	172
WATDE0077	107
WATDE0078	150
WATDE0079	166
WATDE0080	125
WATDE0081	NA
WATDE0082	162
WATDE0083	118
WATDE0084	147
WATDE0085	162
WATDE0086	122
WATDE0087	122
WATDE0088	137
WATDE0089	NA
WATDE0090	113
WATDE0091	107
WATDE0092	122
WATDE0093	117
WATDE0094	136
WATDE0095	123
WATDE0096	132
WATDE0097	119
WATDE0098	102
WATDE0099	129
WATDE0101	78
WATDE0102	160
WATDE0103	NA
WATDE0104	NA
WATDE0105	122
WATDE0106	162
WATDE0107	126
WATDE0108	161
WATDE0109	NA
WATDE0110	119
WATDE0111	118
WATDE0112	76
WATDE0113	122
WATDE0114	146
WATDE0115	78
WATDE0116	114
WATDE0117	118
WATDE0118	119
WATDE0119	169
WATDE0120	116
WATDE0121	117
WATDE0122	124
WATDE0123	79
WATDE0124	80
WATDE0126	119
WATDE0127	138
WATDE0129	95
WATDE0131	114
WATDE0133	116
WATDE0134	131
WATDE0136	82
WATDE0138	NA
WATDE0140	128
WATDE0141	160
WATDE0143	NA
WATDE0144	130
WATDE0145	130
WATDE0146	129
WATDE0148	114
WATDE0149	76
WATDE0150	85
WATDE0151	119
WATDE0152	128
WATDE0153	93
WATDE0154	86
WATDE0156	113
WATDE0157	122
WATDE0158	102
WATDE0159	102
WATDE0160	104
WATDE0162	NA
WATDE0164	165
WATDE0165	163
WATDE0168	166
