IID	LeafLen_Shenzhen_2022_Second_Natural
WATDE0141	NA
WATDE0143	NA
WATDE0144	22.83
WATDE0145	21.90
WATDE0146	19.73
WATDE0148	39.13
WATDE0149	20.07
WATDE0150	36.97
WATDE0151	37.27
WATDE0152	22.90
WATDE0153	35.50
WATDE0154	19.57
WATDE0156	20.83
WATDE0157	23.20
WATDE0158	30.87
WATDE0159	NA
WATDE0160	19.03
WATDE0162	NA
WATDE0164	NA
WATDE0165	NA
WATDE0168	NA
WATDE0169	NA
WATDE0171	NA
WATDE0173	27.13
WATDE0174	23.50
WATDE0175	32.30
WATDE0176	NA
WATDE0177	25.50
WATDE0178	21.00
WATDE0180	25.80
WATDE0181	32.80
WATDE0182	24.47
WATDE0183	24.17
WATDE0184	19.60
WATDE0185	30.13
WATDE0187	NA
WATDE0188	22.57
WATDE0190	27.13
WATDE0191	24.97
WATDE0192	NA
WATDE0194	NA
WATDE0195	25.57
WATDE0196	NA
WATDE0198	24.50
WATDE0199	NA
WATDE0200	NA
WATDE0202	30.40
WATDE0203	NA
WATDE0204	NA
WATDE0205	NA
WATDE0206	NA
WATDE0207	NA
WATDE0209	NA
WATDE0211	16.27
WATDE0212	NA
WATDE0214	NA
WATDE0215	29.77
WATDE0216	39.57
WATDE0217	31.87
WATDE0219	28.77
WATDE0220	29.57
WATDE0221	33.87
WATDE0222	20.70
WATDE0223	30.80
WATDE0224	32.00
WATDE0225	NA
WATDE0227	33.20
WATDE0228	42.87
WATDE0229	NA
WATDE0230	NA
WATDE0232	NA
WATDE0233	24.20
WATDE0234	33.70
WATDE0235	33.07
WATDE0236	19.87
WATDE0237	28.60
WATDE0238	26.80
WATDE0239	NA
WATDE0241	NA
WATDE0242	27.63
WATDE0243	NA
WATDE0244	39.50
WATDE0246	25.40
WATDE0247	19.90
WATDE0248	NA
WATDE0249	NA
WATDE0250	NA
WATDE0252	NA
WATDE0253	21.23
WATDE0254	20.97
WATDE0255	18.77
WATDE0257	34.97
WATDE0258	33.80
WATDE0259	26.70
WATDE0260	27.80
WATDE0262	18.30
WATDE0263	27.60
WATDE0264	31.47
WATDE0266	18.30
WATDE0268	23.43
WATDE0270	NA
WATDE0271	21.70
WATDE0272	18.30
WATDE0273	23.33
WATDE0275	23.27
WATDE0276	25.20
WATDE0277	NA
WATDE0278	28.10
WATDE0280	27.90
WATDE0281	17.87
WATDE0282	NA
WATDE0284	28.53
WATDE0285	29.23
WATDE0286	36.97
WATDE0287	21.87
WATDE0288	29.07
WATDE0290	23.60
WATDE0291	NA
WATDE0292	36.93
WATDE0293	NA
WATDE0294	18.97
WATDE0296	NA
WATDE0298	NA
WATDE0299	NA
WATDE0301	NA
WATDE0302	NA
WATDE0303	NA
WATDE0304	26.47
WATDE0305	24.03
WATDE0306	23.30
WATDE0308	NA
WATDE0310	20.53
WATDE0312	19.93
WATDE0313	22.90
WATDE0315	32.33
WATDE0316	23.07
WATDE0317	30.50
WATDE0318	32.13
WATDE0319	23.50
WATDE0321	20.27
WATDE0323	NA
WATDE0324	18.20
WATDE0325	NA
WATDE0328	NA
WATDE0329	30.70
WATDE0331	NA
WATDE0332	28.53
WATDE0333	29.03
WATDE0334	NA
WATDE0335	NA
WATDE0336	25.43
WATDE0337	20.97
WATDE0340	NA
WATDE0342	NA
WATDE0343	NA
WATDE0344	NA
WATDE0345	NA
WATDE0346	14.43
WATDE0347	NA
WATDE0348	NA
WATDE0350	15.53
WATDE0352	NA
WATDE0353	29.13
WATDE0354	32.70
WATDE0355	NA
WATDE0356	34.13
WATDE0358	28.90
WATDE0359	25.23
WATDE0361	NA
WATDE0363	27.07
WATDE0365	29.10
WATDE0366	21.50
WATDE0368	21.33
WATDE0369	29.90
WATDE0370	37.60
WATDE0371	30.37
WATDE0372	46.03
WATDE0373	42.00
WATDE0374	30.43
WATDE0375	41.63
WATDE0377	NA
WATDE0378	NA
WATDE0379	NA
WATDE0381	17.43
WATDE0382	27.63
WATDE0383	32.20
WATDE0385	NA
WATDE0386	NA
WATDE0387	NA
WATDE0389	NA
WATDE0391	NA
WATDE0392	23.97
WATDE0394	32.20
WATDE0396	NA
WATDE0397	17.03
WATDE0399	32.53
WATDE0401	41.00
WATDE0403	NA
WATDE0404	20.93
WATDE0405	NA
WATDE0407	31.47
