IID	TN_Shenzhen_20220108_Natural
WATDE0146	349.50
WATDE0148	190.00
WATDE0149	NA
WATDE0150	162.50
WATDE0151	325.00
WATDE0152	278.00
WATDE0153	150.50
WATDE0154	255.00
WATDE0156	166.00
WATDE0157	293.00
WATDE0158	204.00
WATDE0159	257.00
WATDE0160	NA
WATDE0162	NA
WATDE0164	NA
WATDE0165	NA
WATDE0168	NA
WATDE0169	NA
WATDE0171	NA
WATDE0173	179.50
WATDE0174	161.50
WATDE0175	NA
WATDE0176	NA
WATDE0177	NA
WATDE0178	205.00
WATDE0180	140.50
WATDE0181	168.50
WATDE0182	263.50
WATDE0183	230.00
WATDE0184	174.50
WATDE0185	131.00
WATDE0187	NA
WATDE0188	239.00
WATDE0190	180.00
WATDE0191	161.00
WATDE0192	303.00
WATDE0194	NA
WATDE0195	208.50
WATDE0196	NA
WATDE0198	NA
WATDE0199	NA
WATDE0200	NA
WATDE0202	172.50
WATDE0203	338.00
WATDE0204	404.50
WATDE0205	NA
WATDE0206	207.50
WATDE0207	NA
WATDE0209	NA
WATDE0211	385.00
WATDE0212	262.50
WATDE0214	NA
WATDE0215	234.50
WATDE0216	221.50
WATDE0217	NA
WATDE0219	251.00
WATDE0220	250.00
WATDE0221	315.00
WATDE0222	119.00
WATDE0223	105.50
WATDE0224	270.00
WATDE0225	NA
WATDE0227	202.50
WATDE0228	191.00
WATDE0229	405.50
WATDE0230	NA
WATDE0232	NA
WATDE0233	447.00
WATDE0234	NA
WATDE0235	220.00
WATDE0236	NA
WATDE0237	NA
WATDE0238	NA
WATDE0239	216.00
WATDE0241	NA
WATDE0242	131.00
WATDE0243	NA
WATDE0244	NA
WATDE0246	NA
WATDE0247	367.50
WATDE0248	NA
WATDE0249	215.00
WATDE0250	130.00
WATDE0252	NA
WATDE0253	NA
WATDE0254	220.00
WATDE0255	221.50
WATDE0257	240.50
WATDE0258	200.00
WATDE0259	134.50
WATDE0260	175.00
WATDE0262	138.50
WATDE0263	196.50
WATDE0264	205.00
WATDE0266	235.00
WATDE0268	NA
WATDE0270	NA
WATDE0271	220.50
WATDE0272	128.50
WATDE0273	129.00
WATDE0275	211.00
WATDE0276	114.00
WATDE0277	NA
WATDE0278	183.00
WATDE0280	298.00
WATDE0281	250.00
WATDE0282	NA
WATDE0284	NA
WATDE0285	169.00
WATDE0286	215.00
WATDE0287	129.50
WATDE0288	184.00
WATDE0290	NA
WATDE0291	NA
