IID	Mat_Quzhou_2022_Natural
Agron	213
Alba	225
Albatross	213
Alcedo	213
Alert	224
Almus	223
Altria	213
ArinaLrFor	NA
Arminda	219
Aronde	224
Avalon	225
Aztec	213
WATDE0003	218
WATDE0010	NA
WATDE0339	224
WATDE0459	212
WATDE0476	219
WATDE0526	218
WATDE0532	221
WATDE0576	219
WATDE0612	209
WATDE0061	205
WATDE0668	218
WATDE0714	212
WATDE0762	215
WATDE0801	217
WATDE0868	212
WATDE0100	219
WATDE1030	219
Banco	225
Bandit	225
Banner	224
Beauchamp	228
Beaver	227
Becard_Kachu	209
Bersee	225
Boreonos	223
Bounty	225
Boxer	225
Buster	228
Calif	219
Camp_Remy	226
Capitiane	213
Capo	219
Cappelle_Desprez	225
Catamaran	226
Cezanne	213
Charger	217
Chinese_Spring	NA
Cimcog26	209
Cimcog3	209
Cimcog47	213
Cimcog56	213
Claire	NA
Consort	226
Courtot	219
Crest	226
Crusoe	224
Diablo	227
Diplomat	225
Disponent	225
Dorby	227
Drake	225
Drauhofener_Kolben	226
Druid	225
Encore	226
Equinox	224
Erla-Kolben	219
Erland	224
Eros	223
Expert	225
Extrem	225
Fanal	228
Felix	225
Fiorello	NA
Flair	225
Flame	223
Flamingo	226
Florida	223
Gabo	205
Galahad	223
Garcia	NA
Gawain	225
Glasgow	225
Grafton	NA
Granada	225
Haven	227
Heine7	225
Hereward	223
Highbury	219
Hobbit	213
Holdfast	225
Hybrid46	225
Ibis	225
Iena	219
Ikarus	223
Jagger	NA
Joss_Cambier	219
Julius	NA
KWS_Santiago	224
Karat	219
Koga1	NA
Kontrast	225
Kosack	222
Kranich	226
Lancelot	218
Leda	225
Legend	228
Longbow	225
Lutin	225
MISR1	209
Mahndorfer	227
Marco	226
Maris_Dove	224
Maris_Widgeon	225
MarisHuntsman	219
Maris_ranger	225
Minister	225
Mironovska	224
Moisson	213
Muck	225
Multiweiss	213
Nautica	213
Newhaven	227
Norda	226
Norin	NA
Obelisk	222
Odeon	223
Odin	227
Oenus	219
Opata	209
Orlando	213
Palur	223
Pamyat	227
Pastiche	225
Pavon76	212
Pepital	225
Peragis	225
Perlo	213
Pfau	213
Pomerelle	219
Pony	219
Prof_Marshall	225
Prophet	228
Rabe	225
Rebel	225
Recital	213
Record	224
Red_Fife	224
Reedling	213
Regent	226
Renan	223
Rendezvous	224
Revelation	NA
Riband	NA
Rimpaus_Bastard2	224
RitzlhoferNeu	225
