IID	TN_Shenzhen-NN_2021_Natural
WATDE0149	21.78
WATDE0150	NA
WATDE0151	19.41
WATDE0152	21.07
WATDE0153	NA
WATDE0154	18.82
WATDE0156	19.46
WATDE0157	19.29
WATDE0158	16.25
WATDE0159	NA
WATDE0160	18.49
WATDE0162	NA
WATDE0164	NA
WATDE0165	NA
WATDE0168	NA
WATDE0169	NA
WATDE0171	NA
WATDE0173	19.67
WATDE0174	14.07
WATDE0175	NA
WATDE0176	NA
WATDE0177	NA
WATDE0178	14.85
WATDE0180	26.39
WATDE0181	NA
WATDE0182	25.00
WATDE0183	33.30
WATDE0184	NA
WATDE0185	27.78
WATDE0187	NA
WATDE0188	27.98
WATDE0190	NA
WATDE0191	NA
WATDE0192	NA
WATDE0194	NA
WATDE0195	17.45
WATDE0196	NA
WATDE0198	NA
WATDE0199	NA
WATDE0200	NA
WATDE0202	17.27
WATDE0203	NA
WATDE0204	NA
WATDE0205	NA
WATDE0206	NA
WATDE0207	NA
WATDE0209	NA
WATDE0211	15.38
WATDE0212	NA
WATDE0214	NA
WATDE0215	NA
WATDE0216	22.43
WATDE0217	NA
WATDE0219	21.79
WATDE0220	26.08
WATDE0221	NA
WATDE0222	18.48
WATDE0223	20.64
WATDE0224	12.89
WATDE0225	NA
WATDE0227	14.23
WATDE0228	16.00
WATDE0229	16.73
WATDE0230	NA
WATDE0232	NA
WATDE0233	NA
WATDE0234	28.00
WATDE0235	17.92
WATDE0236	NA
WATDE0237	NA
WATDE0238	NA
WATDE0239	NA
WATDE0241	NA
WATDE0242	NA
WATDE0243	NA
WATDE0244	33.70
WATDE0246	NA
WATDE0247	NA
WATDE0248	NA
WATDE0249	NA
WATDE0250	20.00
WATDE0252	NA
WATDE0253	NA
WATDE0254	NA
WATDE0255	12.75
WATDE0257	15.88
WATDE0258	22.84
WATDE0259	16.83
WATDE0260	19.03
WATDE0262	13.67
WATDE0263	20.69
WATDE0264	16.89
WATDE0266	NA
WATDE0268	NA
WATDE0270	NA
WATDE0271	24.00
WATDE0272	22.88
WATDE0273	NA
WATDE0275	20.48
WATDE0276	NA
WATDE0277	NA
WATDE0278	NA
WATDE0280	NA
WATDE0281	13.81
WATDE0282	NA
WATDE0284	NA
WATDE0285	19.08
WATDE0286	19.23
WATDE0287	16.58
WATDE0288	13.42
WATDE0290	21.54
WATDE0291	NA
WATDE0292	16.36
WATDE0293	NA
WATDE0294	17.46
WATDE0296	NA
WATDE0298	NA
WATDE0299	NA
WATDE0301	NA
WATDE0302	24.00
WATDE0303	NA
WATDE0304	NA
WATDE0305	NA
WATDE0306	24.98
WATDE0308	NA
WATDE0310	NA
WATDE0312	18.61
WATDE0313	16.49
WATDE0315	20.46
WATDE0316	NA
WATDE0317	21.85
WATDE0318	NA
WATDE0319	20.74
