IID	CO2A_Shenzhen_2022_Natural
Agron	NA
Alba	NA
Albatross	NA
Alcedo	NA
Alert	NA
Almus	NA
Altria	NA
ArinaLrFor	NA
Arminda	NA
Aronde	NA
Avalon	NA
Aztec	NA
WATDE0003	20.40
WATDE0010	NA
WATDE0339	35.96
WATDE0459	32.38
WATDE0476	46.98
WATDE0526	NA
WATDE0532	34.79
WATDE0576	28.49
WATDE0612	34.53
WATDE0061	37.23
WATDE0668	49.71
WATDE0714	28.28
WATDE0762	48.55
WATDE0801	41.60
WATDE0868	28.78
WATDE0100	21.57
WATDE1030	25.24
Banco	NA
Bandit	NA
Banner	NA
Beauchamp	NA
Beaver	NA
Becard_Kachu	NA
Bersee	NA
Boreonos	NA
Bounty	NA
Boxer	NA
Buster	NA
Calif	NA
Camp_Remy	NA
Capitiane	NA
Capo	NA
Cappelle_Desprez	NA
Catamaran	NA
Cezanne	NA
Charger	NA
Chinese_Spring	NA
Cimcog26	NA
Cimcog3	NA
Cimcog47	NA
Cimcog56	NA
Claire	NA
Consort	NA
Courtot	NA
Crest	NA
Crusoe	NA
Diablo	NA
Diplomat	NA
Disponent	NA
Dorby	NA
Drake	NA
Drauhofener_Kolben	NA
Druid	NA
Encore	NA
Equinox	NA
Erla-Kolben	NA
Erland	NA
Eros	NA
Expert	NA
Extrem	NA
Fanal	NA
Felix	NA
Fiorello	NA
Flair	NA
Flame	NA
Flamingo	NA
Florida	NA
Gabo	NA
Galahad	NA
Garcia	NA
Gawain	NA
Glasgow	NA
Grafton	NA
Granada	NA
Haven	NA
Heine7	NA
Hereward	NA
Highbury	NA
Hobbit	NA
Holdfast	NA
Hybrid46	NA
Ibis	NA
Iena	NA
Ikarus	NA
Jagger	NA
Joss_Cambier	NA
Julius	NA
KWS_Santiago	NA
Karat	NA
Koga1	NA
Kontrast	NA
Kosack	NA
Kranich	NA
Lancelot	NA
Leda	NA
Legend	NA
Longbow	NA
Lutin	NA
MISR1	NA
Mahndorfer	NA
Marco	NA
Maris_Dove	NA
Maris_Widgeon	NA
MarisHuntsman	NA
Maris_ranger	NA
Minister	NA
Mironovska	NA
Moisson	NA
Muck	NA
Multiweiss	NA
Nautica	NA
Newhaven	NA
Norda	NA
Norin	NA
Obelisk	NA
Odeon	NA
Odin	NA
Oenus	NA
Opata	NA
Orlando	NA
Palur	NA
Pamyat	NA
Pastiche	NA
Pavon76	NA
Pepital	NA
Peragis	NA
Perlo	NA
Pfau	NA
Pomerelle	NA
Pony	NA
Prof_Marshall	NA
Prophet	NA
Rabe	NA
Rebel	NA
Recital	NA
Record	NA
Red_Fife	NA
Reedling	NA
Regent	NA
Renan	NA
Rendezvous	NA
Revelation	NA
Riband	NA
Rimpaus_Bastard2	NA
RitzlhoferNeu	NA
SYMattis	NA
Savannah	NA
Schweigers_Taca	NA
Scipion	NA
Shamrock	NA
Shango	NA
Sicco	NA
Slejpner	NA
Soissons	NA
Soleil	NA
Spark	NA
Sperber	NA
Spitfire	NA
Sportsman	NA
Stamm101	NA
Starke2	NA
Stava	NA
Stella	NA
Super152	NA
Svale	NA
Tadorna	NA
Talent	NA
Tambor	NA
Tandem	NA
Tanker	NA
Taras	NA
Thatcher	NA
Thor	NA
Titus	NA
Top	NA
Torfrida	NA
Trafalgar	NA
Treasure	NA
Tremie	NA
Triumph_NDL	NA
Tschermaks	NA
Turpin	NA
Urban	NA
Vaguedepis	NA
Vilmorin53	NA
Vilmorin27	NA
Virgo	NA
Vocal	NA
Voyage	NA
WATDE0001	56.56
WATDE0002	7.55
WATDE0004	48.66
WATDE0005	20.70
WATDE0006	24.26
WATDE0007	NA
WATDE0008	34.07
WATDE0009	26.98
WATDE0011	44.54
WATDE0012	23.83
WATDE0013	40.76
WATDE0014	NA
WATDE0015	29.87
WATDE0016	32.39
WATDE0017	9.18
WATDE0018	45.35
WATDE0019	NA
WATDE0020	32.60
WATDE0021	37.16
WATDE0022	23.38
WATDE0023	11.40
WATDE0024	NA
WATDE0025	35.55
WATDE0026	50.77
WATDE0027	47.73
WATDE0028	69.19
WATDE0029	NA
WATDE0030	NA
WATDE0031	28.47
WATDE0032	40.76
WATDE0033	40.30
WATDE0034	29.63
WATDE0035	NA
WATDE0036	51.38
WATDE0037	43.19
WATDE0038	NA
WATDE0040	NA
WATDE0041	33.92
WATDE0042	19.68
WATDE0043	39.99
WATDE0044	NA
WATDE0045	26.16
WATDE0046	41.64
WATDE0047	36.49
WATDE0048	23.46
WATDE0049	30.12
WATDE0050	NA
WATDE0051	24.81
WATDE0052	NA
WATDE0053	37.42
WATDE0054	12.94
WATDE0055	49.73
WATDE0056	4.23
WATDE0057	29.01
WATDE0058	40.33
WATDE0059	27.15
WATDE0060	25.36
WATDE0062	33.46
WATDE0063	18.73
WATDE0064	36.18
WATDE0065	58.04
WATDE0066	24.14
WATDE0067	38.91
WATDE0068	38.20
WATDE0069	26.97
WATDE0070	44.17
WATDE0071	31.97
WATDE0072	50.26
WATDE0073	51.26
WATDE0074	40.52
WATDE0075	21.47
WATDE0076	22.12
WATDE0077	35.25
WATDE0078	45.58
WATDE0079	22.73
WATDE0080	30.33
WATDE0081	NA
WATDE0082	28.18
WATDE0083	31.26
WATDE0084	32.38
WATDE0085	17.45
WATDE0086	42.13
WATDE0087	34.58
WATDE0088	32.88
WATDE0089	NA
WATDE0090	34.50
WATDE0091	50.35
WATDE0092	40.00
WATDE0093	23.34
WATDE0094	29.16
WATDE0095	40.59
WATDE0096	30.62
WATDE0097	20.22
WATDE0098	10.89
WATDE0099	47.22
WATDE0101	23.04
WATDE0102	32.16
WATDE0103	31.09
WATDE0104	NA
WATDE0105	47.45
WATDE0106	24.52
WATDE0107	35.53
WATDE0108	41.04
WATDE0109	32.36
WATDE0110	24.30
WATDE0111	42.41
WATDE0112	42.91
WATDE0113	36.81
WATDE0114	24.71
WATDE0115	24.63
WATDE0116	27.45
WATDE0117	26.18
WATDE0118	41.18
WATDE0119	16.89
WATDE0120	48.35
WATDE0121	61.90
WATDE0122	23.95
WATDE0123	21.19
WATDE0124	31.87
WATDE0126	37.71
WATDE0127	41.33
WATDE0129	24.87
WATDE0131	51.98
