IID	SplN_Kaifeng-GH_2020_Natural_Sterility
WATDE0134	NA
WATDE0136	1.75
WATDE0138	NA
WATDE0140	NA
WATDE0141	NA
WATDE0143	NA
WATDE0144	19.00
WATDE0145	9.00
WATDE0146	7.00
WATDE0148	15.00
WATDE0149	12.00
WATDE0150	1.00
WATDE0151	10.00
WATDE0152	14.00
WATDE0153	3.00
WATDE0154	11.00
WATDE0156	8.22
WATDE0157	3.00
WATDE0158	14.00
WATDE0159	9.33
WATDE0160	19.67
WATDE0162	15.33
WATDE0164	12.67
WATDE0165	19.33
WATDE0168	NA
WATDE0169	24.00
WATDE0171	NA
WATDE0173	NA
WATDE0174	NA
WATDE0175	NA
WATDE0176	NA
WATDE0177	NA
WATDE0178	NA
WATDE0180	2.00
WATDE0181	7.00
WATDE0182	12.00
WATDE0183	1.00
WATDE0184	NA
WATDE0185	NA
WATDE0187	NA
WATDE0188	NA
WATDE0190	NA
WATDE0191	14.00
WATDE0192	NA
WATDE0194	20.00
WATDE0195	13.00
WATDE0196	NA
WATDE0198	NA
WATDE0199	NA
WATDE0200	NA
WATDE0202	4.33
WATDE0203	NA
WATDE0204	NA
WATDE0205	NA
WATDE0206	NA
WATDE0207	8.33
WATDE0209	16.00
WATDE0211	NA
WATDE0212	4.00
WATDE0214	NA
WATDE0215	3.00
WATDE0216	16.67
WATDE0217	NA
WATDE0219	NA
WATDE0220	10.14
WATDE0221	17.00
WATDE0222	1.00
WATDE0223	7.00
WATDE0224	0.13
WATDE0225	9.75
WATDE0227	1.00
WATDE0228	NA
WATDE0229	6.33
WATDE0230	11.33
WATDE0232	17.50
WATDE0233	NA
WATDE0234	22.00
WATDE0235	NA
WATDE0236	18.67
WATDE0237	NA
WATDE0238	NA
WATDE0239	10.33
WATDE0241	NA
WATDE0242	14.00
WATDE0243	NA
WATDE0244	NA
WATDE0246	5.00
WATDE0247	NA
WATDE0248	NA
WATDE0249	1.67
WATDE0250	4.00
WATDE0252	NA
WATDE0253	12.00
WATDE0254	1.00
WATDE0255	0.00
WATDE0257	5.00
WATDE0258	3.00
WATDE0259	0.00
WATDE0260	1.00
WATDE0262	7.00
WATDE0263	4.00
WATDE0264	6.40
WATDE0266	20.00
WATDE0268	NA
WATDE0270	18.50
WATDE0271	5.00
WATDE0272	3.00
WATDE0273	NA
WATDE0275	8.67
WATDE0276	6.00
WATDE0277	16.00
WATDE0278	7.00
WATDE0280	13.00
WATDE0281	0.00
WATDE0282	9.00
WATDE0284	NA
WATDE0285	6.00
WATDE0286	9.00
WATDE0287	4.33
WATDE0288	8.00
WATDE0290	7.75
WATDE0291	12.00
WATDE0292	0.56
WATDE0293	NA
WATDE0294	11.00
WATDE0296	NA
WATDE0298	NA
WATDE0299	4.33
WATDE0301	8.00
WATDE0302	2.67
WATDE0303	NA
WATDE0304	8.00
WATDE0305	NA
WATDE0306	NA
WATDE0308	NA
WATDE0310	NA
WATDE0312	0.89
WATDE0313	20.00
WATDE0315	15.00
WATDE0316	NA
WATDE0317	8.00
WATDE0318	9.00
WATDE0319	9.00
WATDE0321	3.00
WATDE0323	NA
WATDE0324	5.57
WATDE0325	NA
WATDE0328	8.00
WATDE0329	18.00
WATDE0331	11.67
WATDE0332	6.00
WATDE0333	NA
WATDE0334	12.33
WATDE0335	NA
WATDE0336	NA
WATDE0337	NA
WATDE0340	9.67
WATDE0342	16.00
WATDE0343	NA
WATDE0344	NA
WATDE0345	NA
WATDE0346	0.33
WATDE0347	13.33
WATDE0348	NA
WATDE0350	8.00
WATDE0352	10.00
WATDE0353	NA
WATDE0354	NA
WATDE0355	13.33
WATDE0356	15.00
WATDE0358	20.00
WATDE0359	11.00
WATDE0361	NA
WATDE0363	15.00
WATDE0365	12.00
WATDE0366	NA
WATDE0368	11.00
WATDE0369	6.00
WATDE0370	8.00
WATDE0371	11.00
WATDE0372	2.00
WATDE0373	NA
WATDE0374	0.29
WATDE0375	4.00
WATDE0377	NA
WATDE0378	18.00
WATDE0379	NA
WATDE0381	NA
WATDE0382	20.00
WATDE0383	NA
WATDE0385	19.00
WATDE0386	NA
WATDE0387	0.00
WATDE0389	0.83
WATDE0391	1.33
WATDE0392	NA
WATDE0394	3.44
WATDE0396	5.50
WATDE0397	3.00
WATDE0399	5.00
WATDE0401	6.00
WATDE0403	0.00
WATDE0404	10.00
WATDE0405	NA
WATDE0407	6.00
WATDE0408	7.00
WATDE0409	4.00
WATDE0410	11.00
WATDE0411	7.00
WATDE0412	12.00
WATDE0413	0.33
WATDE0415	5.00
WATDE0417	4.00
WATDE0419	6.00
WATDE0420	9.00
WATDE0421	11.00
WATDE0422	5.00
WATDE0423	0.00
WATDE0424	NA
WATDE0425	NA
WATDE0426	NA
WATDE0427	NA
WATDE0428	NA
WATDE0429	NA
WATDE0430	10.00
WATDE0431	NA
WATDE0432	NA
WATDE0433	10.00
WATDE0434	NA
WATDE0435	NA
WATDE0436	2.00
WATDE0438	NA
WATDE0439	1.00
WATDE0440	4.00
WATDE0441	2.33
WATDE0442	20.00
WATDE0443	NA
WATDE0444	NA
WATDE0445	NA
WATDE0446	NA
WATDE0448	2.00
WATDE0449	3.00
WATDE0450	6.00
WATDE0451	9.00
WATDE0452	18.00
WATDE0453	NA
WATDE0454	2.67
WATDE0455	3.33
WATDE0456	5.00
WATDE0457	7.00
WATDE0460	1.56
WATDE0461	5.00
WATDE0462	0.00
WATDE0463	7.00
WATDE0465	4.00
WATDE0467	0.25
WATDE0469	0.75
WATDE0471	1.33
WATDE0474	4.11
WATDE0477	1.86
WATDE0479	4.00
WATDE0481	2.50
WATDE0482	1.11
WATDE0484	8.25
WATDE0486	8.71
WATDE0487	2.00
WATDE0488	0.67
WATDE0489	6.11
WATDE0490	10.00
WATDE0492	18.00
WATDE0494	4.33
WATDE0496	3.67
WATDE0498	13.33
WATDE0500	9.00
WATDE0501	8.33
WATDE0502	NA
WATDE0503	NA
WATDE0504	5.67
WATDE0505	NA
WATDE0507	NA
WATDE0509	14.00
WATDE0510	NA
WATDE0511	NA
WATDE0512	2.00
WATDE0513	2.00
WATDE0515	NA
WATDE0516	NA
WATDE0518	NA
WATDE0519	NA
WATDE0520	NA
WATDE0521	2.00
WATDE0522	4.67
WATDE0524	NA
WATDE0527	NA
WATDE0529	NA
WATDE0531	NA
WATDE0533	3.33
WATDE0534	4.00
WATDE0536	NA
WATDE0537	4.00
WATDE0538	NA
WATDE0539	3.00
WATDE0540	1.67
WATDE0541	NA
WATDE0542	NA
WATDE0543	0.67
WATDE0544	NA
WATDE0546	NA
WATDE0547	0.00
WATDE0549	NA
WATDE0550	NA
WATDE0552	NA
WATDE0553	2.33
WATDE0555	7.33
WATDE0556	12.00
WATDE0557	NA
WATDE0558	NA
WATDE0560	NA
WATDE0561	NA
WATDE0562	2.33
WATDE0563	4.00
WATDE0565	7.00
WATDE0566	2.00
WATDE0567	15.00
WATDE0568	NA
WATDE0569	4.00
WATDE0570	8.00
WATDE0571	NA
WATDE0572	5.33
WATDE0574	0.00
WATDE0577	10.00
WATDE0578	1.67
WATDE0579	11.80
WATDE0581	3.11
WATDE0582	NA
WATDE0585	3.67
WATDE0586	3.00
WATDE0588	NA
WATDE0589	NA
WATDE0591	NA
WATDE0592	NA
WATDE0594	NA
WATDE0596	NA
WATDE0597	2.78
WATDE0598	NA
WATDE0599	NA
WATDE0600	3.00
WATDE0601	NA
WATDE0602	NA
WATDE0603	10.00
WATDE0604	10.00
WATDE0606	NA
WATDE0608	NA
WATDE0609	NA
WATDE0610	7.00
WATDE0611	1.75
WATDE0613	2.80
WATDE0614	7.00
WATDE0615	9.00
WATDE0616	4.00
WATDE0617	1.33
WATDE0618	1.00
WATDE0620	NA
WATDE0622	3.67
WATDE0624	NA
WATDE0626	11.50
WATDE0627	NA
WATDE0628	15.00
WATDE0630	9.00
WATDE0631	5.00
WATDE0632	NA
WATDE0634	NA
WATDE0635	5.67
WATDE0636	1.00
WATDE0638	1.00
WATDE0639	NA
WATDE0640	25.00
WATDE0641	NA
WATDE0643	9.00
WATDE0644	NA
WATDE0646	4.50
WATDE0648	13.00
WATDE0649	1.00
WATDE0650	0.33
WATDE0651	2.00
WATDE0652	NA
WATDE0653	10.00
WATDE0655	4.00
WATDE0657	3.00
WATDE0658	NA
WATDE0659	1.00
WATDE0660	0.00
WATDE0661	2.78
WATDE0662	NA
WATDE0663	14.00
WATDE0664	NA
WATDE0665	6.00
WATDE0666	10.67
WATDE0667	6.00
WATDE0669	NA
WATDE0670	5.33
WATDE0671	NA
WATDE0672	2.00
WATDE0674	2.50
WATDE0675	NA
WATDE0676	NA
WATDE0678	24.00
WATDE0679	0.67
WATDE0680	4.00
WATDE0682	13.00
WATDE0683	5.00
WATDE0685	7.00
WATDE0686	9.00
WATDE0687	1.33
WATDE0688	NA
WATDE0689	1.33
WATDE0691	1.00
WATDE0693	4.80
WATDE0694	3.11
WATDE0695	3.00
WATDE0697	3.22
WATDE0699	NA
WATDE0700	3.00
WATDE0701	NA
WATDE0702	12.00
WATDE0703	NA
WATDE0704	5.00
WATDE0705	15.00
WATDE0706	1.00
WATDE0707	16.00
WATDE0709	4.33
WATDE0710	8.00
WATDE0712	11.00
WATDE0713	0.67
WATDE0716	NA
WATDE0718	7.00
WATDE0720	NA
WATDE0721	5.00
WATDE0723	6.00
WATDE0725	NA
WATDE0726	NA
WATDE0727	NA
WATDE0728	17.00
WATDE0729	4.00
WATDE0730	NA
WATDE0732	8.00
WATDE0735	2.56
WATDE0736	12.00
WATDE0737	5.00
WATDE0738	11.00
WATDE0739	NA
WATDE0740	NA
WATDE0742	NA
WATDE0743	NA
WATDE0744	NA
WATDE0745	13.00
WATDE0747	NA
WATDE0748	NA
WATDE0749	NA
WATDE0750	NA
WATDE0751	3.00
WATDE0752	NA
WATDE0754	9.00
WATDE0755	8.00
WATDE0756	3.00
WATDE0758	6.00
WATDE0759	11.00
WATDE0760	2.00
WATDE0761	5.22
WATDE0763	5.11
WATDE0765	4.89
WATDE0766	7.00
WATDE0768	5.00
WATDE0769	4.50
WATDE0770	4.00
WATDE0771	14.00
WATDE0773	6.00
WATDE0774	NA
WATDE0775	NA
WATDE0776	4.00
WATDE0777	5.50
WATDE0779	NA
WATDE0780	NA
WATDE0781	NA
WATDE0782	3.33
WATDE0783	5.00
WATDE0785	7.56
WATDE0786	NA
WATDE0788	2.67
WATDE0789	2.43
WATDE0790	2.44
WATDE0791	15.00
WATDE0793	15.00
WATDE0794	14.00
WATDE0795	6.33
WATDE0797	2.11
WATDE0798	2.00
WATDE0800	8.00
WATDE0802	5.00
WATDE0803	NA
WATDE0804	NA
WATDE0805	NA
WATDE0807	NA
WATDE0808	NA
WATDE0810	NA
WATDE0811	4.67
WATDE0812	NA
WATDE0814	NA
WATDE0815	NA
WATDE0816	3.00
WATDE0817	NA
WATDE0818	14.00
WATDE0819	NA
WATDE0821	NA
WATDE0823	2.60
WATDE0825	NA
WATDE0826	NA
WATDE0827	NA
WATDE0828	NA
WATDE0830	1.50
WATDE0831	NA
WATDE0833	NA
WATDE0835	0.56
WATDE0836	0.67
WATDE0837	1.00
WATDE0839	5.00
WATDE0840	NA
WATDE0841	2.00
WATDE0843	NA
WATDE0845	NA
WATDE0846	5.00
WATDE0848	2.67
WATDE0850	16.00
WATDE0851	6.00
WATDE0852	20.00
WATDE0854	4.00
WATDE0856	NA
WATDE0857	2.71
WATDE0859	0.00
WATDE0861	3.00
WATDE0862	7.00
WATDE0863	1.89
WATDE0864	10.00
WATDE0865	7.00
WATDE0869	16.00
WATDE0871	2.33
WATDE0872	10.00
WATDE0873	16.00
WATDE0874	13.00
WATDE0875	NA
WATDE0876	10.00
WATDE0877	NA
WATDE0878	3.67
WATDE0879	1.33
WATDE0880	1.00
WATDE0881	0.67
WATDE0882	NA
WATDE0883	NA
WATDE0884	16.00
WATDE0887	6.33
WATDE0888	1.11
WATDE0889	6.22
WATDE0890	NA
WATDE0892	NA
WATDE0894	1.00
WATDE0895	NA
WATDE0896	NA
WATDE0898	NA
WATDE0899	12.00
WATDE0900	NA
WATDE0901	10.00
WATDE0902	9.00
WATDE0903	NA
WATDE0904	6.00
WATDE0905	5.00
WATDE0906	3.00
WATDE0907	3.00
WATDE0909	7.00
WATDE0910	0.00
WATDE0911	NA
WATDE0912	NA
WATDE0913	0.67
WATDE0914	NA
WATDE0915	NA
WATDE0916	1.00
WATDE0917	2.00
WATDE0918	0.50
WATDE0919	2.89
WATDE0920	5.00
WATDE0922	12.00
WATDE0923	11.00
WATDE0924	14.56
WATDE0926	3.00
WATDE0927	1.00
WATDE0928	1.33
WATDE0929	3.00
WATDE0930	3.00
WATDE0932	0.33
WATDE0933	9.00
WATDE0934	17.00
WATDE0935	NA
WATDE0937	6.33
WATDE0938	2.00
WATDE0939	2.00
WATDE0941	0.00
WATDE0944	0.00
WATDE0945	6.67
WATDE0947	NA
WATDE0950	NA
WATDE0951	14.00
WATDE0952	NA
WATDE0953	3.00
WATDE0954	NA
WATDE0955	NA
WATDE0957	NA
WATDE0958	4.50
WATDE0961	5.67
WATDE0963	4.67
WATDE0965	11.00
WATDE0966	2.67
WATDE0967	3.80
WATDE0969	8.50
WATDE0970	NA
WATDE0971	NA
WATDE0973	NA
WATDE0974	NA
WATDE0975	NA
WATDE0977	NA
WATDE0978	2.00
WATDE0979	5.00
WATDE0981	8.33
WATDE0982	NA
WATDE0983	2.67
WATDE0984	2.38
WATDE0986	4.00
WATDE0987	5.00
WATDE0989	17.00
WATDE0991	3.78
WATDE0993	6.00
WATDE0995	3.33
WATDE0996	NA
WATDE0997	8.00
WATDE0999	1.25
WATDE1001	11.67
WATDE1002	5.00
WATDE1003	4.00
WATDE1004	2.00
WATDE1005	1.00
WATDE1008	NA
WATDE1009	2.43
WATDE1010	1.00
WATDE1012	3.00
WATDE1014	0.00
WATDE1016	6.33
WATDE1017	8.00
WATDE1018	6.33
WATDE1019	NA
WATDE1021	2.67
WATDE1023	5.00
WATDE1025	6.00
WATDE1026	0.78
WATDE1027	19.00
WATDE1029	NA
WATDE1031	7.33
WATDE1032	0.67
WATDE1034	NA
WATDE1035	0.00
WATDE1037	3.33
WATDE1038	10.60
WATDE1040	0.33
WATDE1042	9.67
WATDE1044	5.00
WATDE1046	8.11
WATDE1048	1.00
WATDE1049	4.00
WATDE1050	NA
WATDE1051	2.11
WATDE1052	9.50
WATDE1053	NA
WATDE1055	7.50
WATDE1056	10.00
WATDE1058	8.33
WATDE1060	4.11
WATDE1061	13.00
WATDE1062	NA
Walde	NA
Warrior	NA
Waxwing	NA
Werla	NA
Wizard	NA
Wyalkatatchen	NA
Xi19	NA
Zemon	NA
Zentos	NA
ability	NA
avocet	NA
blitz	NA
cadenza	NA
captor	NA
cimcog32	NA
david	NA
denver	NA
eagle	NA
festival	NA
fidel	NA
fielder	NA
holster	NA
lancer	NA
landmark	NA
mace	NA
malacca	NA
mendel	NA
mercia	NA
mina	NA
paragon	NA
robigus	NA
solstice	NA
stanley	NA
torch	NA
veritas	NA
wasp	NA
weebil	NA
