IID	Hd_Kaifeng-GH_2020_Natural
WATDE0148	136.00
WATDE0149	127.00
WATDE0150	121.00
WATDE0151	128.00
WATDE0152	141.00
WATDE0153	125.00
WATDE0154	129.00
WATDE0156	64.00
WATDE0157	NA
WATDE0158	134.00
WATDE0159	126.00
WATDE0160	127.33
WATDE0162	131.67
WATDE0164	128.67
WATDE0165	128.33
WATDE0168	NA
WATDE0169	139.00
WATDE0171	NA
WATDE0173	148.00
WATDE0174	149.00
WATDE0175	156.00
WATDE0176	156.00
WATDE0177	NA
WATDE0178	145.00
WATDE0180	136.00
WATDE0181	143.00
WATDE0182	148.00
WATDE0183	125.00
WATDE0184	NA
WATDE0185	128.00
WATDE0187	NA
WATDE0188	149.00
WATDE0190	151.00
WATDE0191	137.00
WATDE0192	NA
WATDE0194	NA
WATDE0195	143.00
WATDE0196	167.00
WATDE0198	NA
WATDE0199	NA
WATDE0200	161.00
WATDE0202	NA
WATDE0203	175.00
WATDE0204	NA
WATDE0205	NA
WATDE0206	NA
WATDE0207	127.00
WATDE0209	128.33
WATDE0211	166.00
WATDE0212	133.33
WATDE0214	149.00
WATDE0215	125.00
WATDE0216	88.50
WATDE0217	154.00
WATDE0219	129.00
WATDE0220	85.00
WATDE0221	139.00
WATDE0222	54.00
WATDE0223	121.00
WATDE0224	NA
WATDE0225	127.33
WATDE0227	121.00
WATDE0228	128.00
WATDE0229	121.33
WATDE0230	131.50
WATDE0232	143.50
WATDE0233	NA
WATDE0234	138.00
WATDE0235	148.00
WATDE0236	140.00
WATDE0237	143.00
WATDE0238	NA
WATDE0239	123.00
WATDE0241	NA
WATDE0242	144.00
WATDE0243	NA
WATDE0244	156.00
WATDE0246	137.00
WATDE0247	172.00
WATDE0248	NA
WATDE0249	128.00
WATDE0250	154.00
WATDE0252	164.00
WATDE0253	158.00
WATDE0254	118.33
WATDE0255	116.00
WATDE0257	136.00
WATDE0258	126.00
WATDE0259	112.00
WATDE0260	116.00
WATDE0262	127.00
WATDE0263	117.00
WATDE0264	101.33
WATDE0266	136.00
WATDE0268	NA
WATDE0270	132.50
WATDE0271	136.00
WATDE0272	129.00
WATDE0273	147.00
WATDE0275	66.50
WATDE0276	128.00
WATDE0277	134.00
WATDE0278	NA
WATDE0280	143.00
WATDE0281	114.67
WATDE0282	144.00
WATDE0284	NA
WATDE0285	134.00
WATDE0286	126.00
WATDE0287	125.50
WATDE0288	NA
WATDE0290	92.50
WATDE0291	154.00
WATDE0292	62.00
WATDE0293	NA
WATDE0294	NA
WATDE0296	NA
WATDE0298	NA
WATDE0299	127.00
WATDE0301	133.00
WATDE0302	122.33
WATDE0303	NA
WATDE0304	NA
WATDE0305	151.00
WATDE0306	144.00
WATDE0308	154.00
WATDE0310	NA
WATDE0312	76.67
WATDE0313	NA
WATDE0315	134.00
WATDE0316	NA
WATDE0317	136.00
WATDE0318	132.00
WATDE0319	139.00
WATDE0321	119.67
WATDE0323	NA
WATDE0324	54.00
WATDE0325	NA
WATDE0328	132.00
WATDE0329	139.00
WATDE0331	128.33
WATDE0332	123.00
WATDE0333	125.00
WATDE0334	126.00
WATDE0335	NA
WATDE0336	NA
WATDE0337	NA
WATDE0340	140.33
WATDE0342	143.50
WATDE0343	146.00
WATDE0344	153.00
WATDE0345	153.00
WATDE0346	111.33
WATDE0347	130.00
WATDE0348	NA
WATDE0350	148.00
WATDE0352	131.33
WATDE0353	149.00
WATDE0354	144.00
WATDE0355	121.67
WATDE0356	NA
WATDE0358	130.00
WATDE0359	136.00
WATDE0361	NA
WATDE0363	139.00
WATDE0365	NA
WATDE0366	146.00
WATDE0368	141.00
WATDE0369	143.00
WATDE0370	128.00
WATDE0371	131.00
WATDE0372	127.00
WATDE0373	147.00
WATDE0374	83.00
WATDE0375	67.67
WATDE0377	NA
WATDE0378	139.00
WATDE0379	NA
WATDE0381	143.00
WATDE0382	137.00
WATDE0383	146.00
WATDE0385	129.00
WATDE0386	NA
WATDE0387	121.00
WATDE0389	118.33
WATDE0391	117.00
WATDE0392	NA
WATDE0394	NA
WATDE0396	135.67
WATDE0397	155.00
WATDE0399	73.33
WATDE0401	128.00
WATDE0403	118.00
WATDE0404	138.00
WATDE0405	NA
WATDE0407	125.00
WATDE0408	130.00
WATDE0409	123.00
WATDE0410	130.00
WATDE0411	131.00
WATDE0412	144.00
WATDE0413	120.00
WATDE0415	141.00
WATDE0417	139.00
WATDE0419	127.00
WATDE0420	NA
WATDE0421	125.00
WATDE0422	125.00
WATDE0423	121.00
WATDE0424	NA
WATDE0425	NA
WATDE0426	NA
WATDE0427	NA
WATDE0428	167.00
WATDE0429	NA
WATDE0430	141.00
WATDE0431	168.00
WATDE0432	164.00
WATDE0433	156.00
WATDE0434	172.00
WATDE0435	154.00
WATDE0436	125.67
WATDE0438	NA
WATDE0439	129.00
WATDE0440	74.00
WATDE0441	91.00
WATDE0442	138.00
WATDE0443	148.00
WATDE0444	164.00
WATDE0445	162.00
WATDE0446	136.00
WATDE0448	122.00
WATDE0449	NA
WATDE0450	60.33
WATDE0451	128.00
WATDE0452	137.00
WATDE0453	132.00
WATDE0454	66.00
WATDE0455	64.50
WATDE0456	131.00
WATDE0457	130.00
WATDE0460	67.00
WATDE0461	128.00
WATDE0462	121.00
WATDE0463	NA
WATDE0465	123.33
WATDE0467	104.00
WATDE0469	116.25
WATDE0471	114.67
WATDE0474	67.00
WATDE0477	97.00
WATDE0479	136.00
WATDE0481	89.00
WATDE0482	102.00
WATDE0484	129.00
WATDE0486	90.50
WATDE0487	111.67
WATDE0488	125.67
WATDE0489	73.50
WATDE0490	132.00
WATDE0492	134.00
WATDE0494	120.33
WATDE0496	123.00
WATDE0498	131.33
WATDE0500	136.00
WATDE0501	137.33
WATDE0502	NA
WATDE0503	NA
WATDE0504	120.67
WATDE0505	NA
WATDE0507	NA
WATDE0509	129.00
WATDE0510	NA
WATDE0511	170.00
WATDE0512	126.50
WATDE0513	117.33
WATDE0515	158.00
WATDE0516	NA
WATDE0518	NA
WATDE0519	NA
WATDE0520	NA
WATDE0521	128.00
WATDE0522	115.00
WATDE0524	NA
WATDE0527	NA
WATDE0529	NA
WATDE0531	NA
WATDE0533	124.67
WATDE0534	71.00
WATDE0536	NA
WATDE0537	NA
WATDE0538	NA
WATDE0539	129.00
WATDE0540	140.67
WATDE0541	172.00
WATDE0542	166.00
WATDE0543	119.00
WATDE0544	NA
WATDE0546	167.00
WATDE0547	110.00
WATDE0549	NA
WATDE0550	NA
WATDE0552	168.00
WATDE0553	NA
WATDE0555	64.00
WATDE0556	136.00
WATDE0557	157.00
WATDE0558	NA
WATDE0560	NA
WATDE0561	NA
WATDE0562	126.50
WATDE0563	118.33
WATDE0565	134.00
WATDE0566	134.00
WATDE0567	166.00
WATDE0568	NA
WATDE0569	127.00
WATDE0570	134.00
WATDE0571	128.00
WATDE0572	123.33
WATDE0574	NA
WATDE0577	134.00
WATDE0578	122.33
WATDE0579	86.00
WATDE0581	64.00
WATDE0582	149.00
WATDE0585	75.00
WATDE0586	124.33
WATDE0588	148.00
WATDE0589	NA
WATDE0591	NA
WATDE0592	NA
WATDE0594	149.00
WATDE0596	NA
WATDE0597	63.67
WATDE0598	NA
WATDE0599	NA
WATDE0600	120.33
WATDE0601	NA
WATDE0602	166.00
WATDE0603	149.00
WATDE0604	NA
WATDE0606	151.00
WATDE0608	159.00
WATDE0609	NA
WATDE0610	139.00
WATDE0611	83.67
WATDE0613	104.00
WATDE0614	129.00
WATDE0615	132.00
WATDE0616	64.00
WATDE0617	124.00
WATDE0618	115.33
WATDE0620	165.00
WATDE0622	121.00
WATDE0624	NA
WATDE0626	61.00
WATDE0627	164.00
WATDE0628	156.00
WATDE0630	132.00
WATDE0631	115.33
WATDE0632	NA
WATDE0634	148.00
WATDE0635	112.00
WATDE0636	115.67
WATDE0638	NA
WATDE0639	147.00
WATDE0640	143.00
WATDE0641	NA
WATDE0643	140.00
WATDE0644	NA
WATDE0646	NA
WATDE0648	144.00
WATDE0649	123.00
WATDE0650	115.67
WATDE0651	125.00
WATDE0652	152.00
WATDE0653	122.00
WATDE0655	127.00
WATDE0657	128.00
WATDE0658	NA
WATDE0659	118.00
WATDE0660	103.00
WATDE0661	66.00
WATDE0662	NA
WATDE0663	131.00
WATDE0664	NA
WATDE0665	136.00
WATDE0666	136.67
WATDE0667	122.33
WATDE0669	NA
WATDE0670	NA
WATDE0671	NA
WATDE0672	121.00
WATDE0674	119.67
WATDE0675	173.00
WATDE0676	NA
WATDE0678	139.00
WATDE0679	72.00
