IID	SplN_Shenzhen_2022_Natural
Agron	NA
Alba	NA
Albatross	NA
Alcedo	NA
Alert	NA
Almus	NA
Altria	NA
ArinaLrFor	NA
Arminda	NA
Aronde	NA
Avalon	NA
Aztec	NA
WATDE0003	26.33
WATDE0010	NA
WATDE0339	22.67
WATDE0459	27.00
WATDE0476	NA
WATDE0526	NA
WATDE0532	NA
WATDE0576	31.00
WATDE0612	18.67
WATDE0061	23.00
WATDE0668	31.33
WATDE0714	25.67
WATDE0762	24.67
WATDE0801	NA
WATDE0868	31.33
WATDE0100	NA
WATDE1030	NA
Banco	NA
Bandit	NA
Banner	NA
Beauchamp	NA
Beaver	NA
Becard_Kachu	NA
Bersee	NA
Boreonos	NA
Bounty	NA
Boxer	NA
Buster	NA
Calif	NA
Camp_Remy	NA
Capitiane	NA
Capo	NA
Cappelle_Desprez	NA
Catamaran	NA
Cezanne	NA
Charger	NA
Chinese_Spring	NA
Cimcog26	NA
Cimcog3	NA
Cimcog47	NA
Cimcog56	NA
Claire	NA
Consort	NA
Courtot	NA
Crest	NA
Crusoe	NA
Diablo	NA
Diplomat	NA
Disponent	NA
Dorby	NA
Drake	NA
Drauhofener_Kolben	NA
Druid	NA
Encore	NA
Equinox	NA
Erla-Kolben	NA
Erland	NA
Eros	NA
Expert	NA
Extrem	NA
Fanal	NA
Felix	NA
Fiorello	NA
Flair	NA
Flame	NA
Flamingo	NA
Florida	NA
Gabo	NA
Galahad	NA
Garcia	NA
Gawain	NA
Glasgow	NA
Grafton	NA
Granada	NA
Haven	NA
Heine7	NA
Hereward	NA
Highbury	NA
Hobbit	NA
Holdfast	NA
Hybrid46	NA
Ibis	NA
Iena	NA
Ikarus	NA
Jagger	NA
Joss_Cambier	NA
Julius	NA
KWS_Santiago	NA
Karat	NA
Koga1	NA
Kontrast	NA
Kosack	NA
Kranich	NA
Lancelot	NA
Leda	NA
Legend	NA
Longbow	NA
Lutin	NA
MISR1	NA
Mahndorfer	NA
Marco	NA
Maris_Dove	NA
Maris_Widgeon	NA
MarisHuntsman	NA
Maris_ranger	NA
Minister	NA
Mironovska	NA
Moisson	NA
Muck	NA
Multiweiss	NA
Nautica	NA
Newhaven	NA
Norda	NA
Norin	NA
Obelisk	NA
Odeon	NA
Odin	NA
Oenus	NA
Opata	NA
Orlando	NA
Palur	NA
Pamyat	NA
Pastiche	NA
Pavon76	NA
Pepital	NA
Peragis	NA
Perlo	NA
Pfau	NA
Pomerelle	NA
Pony	NA
Prof_Marshall	NA
Prophet	NA
Rabe	NA
Rebel	NA
Recital	NA
Record	NA
Red_Fife	NA
Reedling	NA
Regent	NA
Renan	NA
Rendezvous	NA
Revelation	NA
Riband	NA
Rimpaus_Bastard2	NA
RitzlhoferNeu	NA
SYMattis	NA
Savannah	NA
Schweigers_Taca	NA
Scipion	NA
Shamrock	NA
Shango	NA
Sicco	NA
Slejpner	NA
Soissons	NA
Soleil	NA
Spark	NA
Sperber	NA
Spitfire	NA
Sportsman	NA
Stamm101	NA
Starke2	NA
Stava	NA
Stella	NA
Super152	NA
Svale	NA
Tadorna	NA
Talent	NA
Tambor	NA
Tandem	NA
Tanker	NA
Taras	NA
Thatcher	NA
Thor	NA
Titus	NA
Top	NA
Torfrida	NA
Trafalgar	NA
Treasure	NA
Tremie	NA
Triumph_NDL	NA
Tschermaks	NA
Turpin	NA
Urban	NA
Vaguedepis	NA
Vilmorin53	NA
Vilmorin27	NA
Virgo	NA
Vocal	NA
Voyage	NA
WATDE0001	35.00
WATDE0002	26.33
WATDE0004	29.33
WATDE0005	15.00
WATDE0006	NA
WATDE0007	NA
WATDE0008	29.00
WATDE0009	20.67
WATDE0011	31.00
WATDE0012	NA
WATDE0013	35.00
WATDE0014	NA
WATDE0015	27.33
WATDE0016	NA
WATDE0017	27.67
WATDE0018	35.67
WATDE0019	NA
WATDE0020	26.33
WATDE0021	26.33
WATDE0022	NA
WATDE0023	21.33
WATDE0024	NA
WATDE0025	24.33
WATDE0026	23.67
WATDE0027	22.33
WATDE0028	26.00
WATDE0029	NA
WATDE0030	NA
WATDE0031	21.67
WATDE0032	20.33
WATDE0033	31.33
WATDE0034	32.00
WATDE0035	NA
WATDE0036	NA
WATDE0037	36.67
WATDE0038	NA
WATDE0040	NA
WATDE0041	30.00
WATDE0042	NA
WATDE0043	NA
WATDE0044	NA
WATDE0045	NA
WATDE0046	29.00
WATDE0047	29.33
WATDE0048	21.33
WATDE0049	NA
WATDE0050	NA
WATDE0051	34.33
WATDE0052	NA
WATDE0053	23.00
WATDE0054	28.00
WATDE0055	20.67
WATDE0056	27.33
WATDE0057	20.33
WATDE0058	22.67
WATDE0059	NA
WATDE0060	23.67
WATDE0062	25.33
WATDE0063	23.00
WATDE0064	24.33
WATDE0065	NA
WATDE0066	30.50
WATDE0067	26.00
WATDE0068	40.67
WATDE0069	NA
WATDE0070	30.00
WATDE0071	31.33
WATDE0072	28.67
WATDE0073	NA
WATDE0074	28.67
WATDE0075	24.00
WATDE0076	NA
WATDE0077	25.33
WATDE0078	NA
WATDE0079	NA
WATDE0080	20.67
WATDE0081	NA
WATDE0082	NA
WATDE0083	40.33
WATDE0084	NA
WATDE0085	NA
WATDE0086	32.67
WATDE0087	29.00
WATDE0088	21.67
WATDE0089	NA
WATDE0090	33.33
WATDE0091	26.33
WATDE0092	25.67
WATDE0093	24.00
WATDE0094	26.00
WATDE0095	34.00
WATDE0096	27.00
WATDE0097	25.67
WATDE0098	30.67
WATDE0099	23.67
WATDE0101	24.67
WATDE0102	NA
WATDE0103	NA
WATDE0104	NA
WATDE0105	28.00
WATDE0106	18.67
WATDE0107	27.67
WATDE0108	NA
WATDE0109	NA
WATDE0110	29.67
WATDE0111	31.33
WATDE0112	24.67
WATDE0113	35.33
WATDE0114	23.00
WATDE0115	NA
WATDE0116	22.00
WATDE0117	34.00
WATDE0118	28.33
WATDE0119	NA
WATDE0120	30.33
WATDE0121	45.33
WATDE0122	25.33
WATDE0123	22.67
WATDE0124	NA
WATDE0126	25.00
WATDE0127	22.67
WATDE0129	24.67
WATDE0131	28.00
WATDE0133	27.50
WATDE0134	23.33
WATDE0136	NA
