IID	LeafLen_Quzhou_2022_Second_Natural
Agron	16.43
Alba	19.60
Albatross	18.50
Alcedo	23.67
Alert	15.17
Almus	15.77
Altria	18.00
ArinaLrFor	NA
Arminda	22.10
Aronde	24.90
Avalon	21.43
Aztec	20.00
WATDE0003	29.93
WATDE0010	NA
WATDE0339	25.20
WATDE0459	32.30
WATDE0476	24.30
WATDE0526	21.43
WATDE0532	27.43
WATDE0576	23.17
WATDE0612	22.33
WATDE0061	25.53
WATDE0668	30.33
WATDE0714	26.67
WATDE0762	36.17
WATDE0801	33.17
WATDE0868	31.83
WATDE0100	21.43
WATDE1030	27.80
Banco	21.47
Bandit	15.30
Banner	15.60
Beauchamp	NA
Beaver	22.10
Becard_Kachu	NA
Bersee	19.57
Boreonos	20.50
Bounty	20.80
Boxer	19.30
Buster	14.67
Calif	20.67
Camp_Remy	14.83
Capitiane	17.50
Capo	22.50
Cappelle_Desprez	20.17
Catamaran	13.37
Cezanne	18.93
Charger	14.33
Chinese_Spring	NA
Cimcog26	NA
Cimcog3	NA
Cimcog47	22.83
Cimcog56	25.73
Claire	NA
Consort	13.97
Courtot	19.10
Crest	14.93
Crusoe	17.50
Diablo	18.17
Diplomat	20.93
Disponent	16.80
Dorby	14.10
Drake	NA
Drauhofener_Kolben	23.50
Druid	20.33
Encore	13.77
Equinox	17.43
Erla-Kolben	15.27
Erland	14.17
Eros	20.07
Expert	16.00
Extrem	17.00
Fanal	21.70
Felix	25.00
Fiorello	NA
Flair	19.67
Flame	14.37
Flamingo	19.10
Florida	24.60
Gabo	17.23
Galahad	16.07
Garcia	NA
Gawain	23.27
Glasgow	17.17
Grafton	NA
Granada	23.07
Haven	19.50
Heine7	16.93
Hereward	13.50
Highbury	24.50
Hobbit	20.50
Holdfast	21.00
Hybrid46	19.60
Ibis	23.83
Iena	19.33
Ikarus	16.50
Jagger	NA
Joss_Cambier	19.33
Julius	NA
KWS_Santiago	17.93
Karat	15.00
Koga1	NA
Kontrast	16.00
Kosack	19.67
Kranich	17.77
Lancelot	16.80
Leda	19.97
Legend	13.53
Longbow	21.97
Lutin	21.47
MISR1	20.67
Mahndorfer	24.50
Marco	19.70
Maris_Dove	19.33
Maris_Widgeon	24.67
MarisHuntsman	26.43
Maris_ranger	23.00
Minister	27.83
Mironovska	21.07
Moisson	20.73
Muck	14.25
Multiweiss	20.60
Nautica	19.33
Newhaven	14.83
Norda	24.93
Norin	NA
Obelisk	17.83
Odeon	19.83
Odin	26.83
Oenus	15.93
Opata	15.83
Orlando	19.43
Palur	18.83
Pamyat	23.33
Pastiche	17.40
Pavon76	23.83
Pepital	16.73
Peragis	16.67
Perlo	25.33
Pfau	21.73
Pomerelle	16.50
Pony	19.57
Prof_Marshall	14.43
Prophet	14.23
Rabe	27.40
Rebel	19.17
Recital	21.50
Record	20.73
Red_Fife	21.23
Reedling	19.67
Regent	17.27
Renan	15.73
Rendezvous	19.80
Revelation	NA
Riband	NA
Rimpaus_Bastard2	21.77
RitzlhoferNeu	16.60
SYMattis	NA
Savannah	NA
Schweigers_Taca	20.50
Scipion	18.50
Shamrock	16.73
Shango	17.57
Sicco	21.67
Slejpner	18.50
Soissons	16.50
Soleil	18.20
Spark	14.73
Sperber	15.00
Spitfire	15.33
Sportsman	24.13
Stamm101	15.83
Starke2	24.27
Stava	15.27
Stella	22.27
Super152	18.33
Svale	20.33
Tadorna	23.73
Talent	17.43
Tambor	13.00
Tandem	18.17
Tanker	17.77
Taras	15.77
Thatcher	20.77
Thor	18.27
Titus	18.33
Top	20.33
Torfrida	16.00
Trafalgar	NA
Treasure	20.00
Tremie	15.43
Triumph_NDL	19.00
