IID	Boot_Shenzhen_2022_Natural_1st
WATDE0182	119
WATDE0183	82
WATDE0184	116
WATDE0185	94
WATDE0187	NA
WATDE0188	128
WATDE0190	118
WATDE0191	115
WATDE0192	162
WATDE0194	NA
WATDE0195	117
WATDE0196	NA
WATDE0198	145
WATDE0199	NA
WATDE0200	NA
WATDE0202	116
WATDE0203	151
WATDE0204	151
WATDE0205	NA
WATDE0206	150
WATDE0207	NA
WATDE0209	NA
WATDE0211	118
WATDE0212	141
WATDE0214	NA
WATDE0215	90
WATDE0216	87
WATDE0217	118
WATDE0219	118
WATDE0220	104
WATDE0221	97
WATDE0222	83
WATDE0223	61
WATDE0224	63
WATDE0225	NA
WATDE0227	109
WATDE0228	98
WATDE0229	162
WATDE0230	158
WATDE0232	NA
WATDE0233	146
WATDE0234	120
WATDE0235	114
WATDE0236	102
WATDE0237	119
WATDE0238	161
WATDE0239	152
WATDE0241	NA
WATDE0242	116
WATDE0243	NA
WATDE0244	133
WATDE0246	123
WATDE0247	128
WATDE0248	NA
WATDE0249	166
WATDE0250	151
WATDE0252	NA
WATDE0253	119
WATDE0254	140
WATDE0255	84
WATDE0257	106
WATDE0258	88
WATDE0259	84
WATDE0260	81
WATDE0262	70
WATDE0263	94
WATDE0264	64
WATDE0266	145
WATDE0268	145
WATDE0270	NA
WATDE0271	85
WATDE0272	70
WATDE0273	131
WATDE0275	66
WATDE0276	94
WATDE0277	NA
WATDE0278	104
WATDE0280	112
WATDE0281	130
WATDE0282	NA
WATDE0284	132
WATDE0285	101
WATDE0286	82
WATDE0287	135
WATDE0288	125
WATDE0290	113
WATDE0291	NA
WATDE0292	97
WATDE0293	162
WATDE0294	143
WATDE0296	161
WATDE0298	NA
WATDE0299	132
WATDE0301	134
WATDE0302	135
WATDE0303	NA
WATDE0304	132
WATDE0305	118
WATDE0306	125
WATDE0308	162
WATDE0310	133
WATDE0312	133
WATDE0313	120
WATDE0315	116
WATDE0316	126
WATDE0317	114
WATDE0318	79
WATDE0319	98
WATDE0321	121
WATDE0323	NA
WATDE0324	85
WATDE0325	NA
WATDE0328	151
WATDE0329	127
WATDE0331	NA
WATDE0332	104
WATDE0333	110
WATDE0334	NA
WATDE0335	157
WATDE0336	109
WATDE0337	135
WATDE0340	169
WATDE0342	165
WATDE0343	NA
WATDE0344	NA
WATDE0345	NA
WATDE0346	134
WATDE0347	160
WATDE0348	NA
WATDE0350	136
WATDE0352	NA
WATDE0353	126
WATDE0354	116
WATDE0355	NA
WATDE0356	126
WATDE0358	135
WATDE0359	72
WATDE0361	NA
WATDE0363	116
WATDE0365	124
WATDE0366	134
WATDE0368	68
WATDE0369	133
WATDE0370	115
WATDE0371	109
WATDE0372	100
WATDE0373	119
WATDE0374	114
WATDE0375	110
WATDE0377	NA
WATDE0378	NA
WATDE0379	122
WATDE0381	93
WATDE0382	115
WATDE0383	115
WATDE0385	104
WATDE0386	NA
WATDE0387	NA
WATDE0389	NA
WATDE0391	161
WATDE0392	154
WATDE0394	116
WATDE0396	108
WATDE0397	133
WATDE0399	87
WATDE0401	96
WATDE0403	NA
WATDE0404	116
WATDE0405	NA
WATDE0407	110
WATDE0408	122
WATDE0409	107
WATDE0410	NA
WATDE0411	98
WATDE0412	118
WATDE0413	98
WATDE0415	120
WATDE0417	102
WATDE0419	91
WATDE0420	93
WATDE0421	91
WATDE0422	94
WATDE0423	92
WATDE0424	NA
WATDE0425	NA
WATDE0426	NA
WATDE0427	134
WATDE0428	127
WATDE0429	115
WATDE0430	114
WATDE0431	NA
WATDE0432	NA
WATDE0433	NA
WATDE0434	122
WATDE0435	120
WATDE0436	148
WATDE0438	NA
WATDE0439	104
WATDE0440	103
WATDE0441	116
WATDE0442	117
WATDE0443	133
WATDE0444	136
WATDE0445	118
WATDE0446	117
WATDE0448	116
WATDE0449	104
WATDE0450	87
WATDE0451	NA
WATDE0452	117
