IID	OSAVI_Shenzhen-LN_2020_Natural
WATDE0651	NA
WATDE0652	NA
WATDE0653	0.61072787
WATDE0655	NA
WATDE0657	NA
WATDE0658	NA
WATDE0659	0.682189325
WATDE0660	NA
WATDE0661	0.782796035
WATDE0662	NA
WATDE0663	NA
WATDE0664	NA
WATDE0665	NA
WATDE0666	NA
WATDE0667	NA
WATDE0669	NA
WATDE0670	0.620748329
WATDE0671	NA
WATDE0672	NA
WATDE0674	NA
WATDE0675	NA
WATDE0676	NA
WATDE0678	NA
WATDE0679	0.622754185
WATDE0680	NA
WATDE0682	NA
WATDE0683	NA
WATDE0685	NA
WATDE0686	NA
WATDE0687	NA
WATDE0688	NA
WATDE0689	0.707833507
WATDE0691	NA
WATDE0693	0.460304488
WATDE0694	0.578521132
WATDE0695	0.666260515
WATDE0697	0.568476209
WATDE0699	NA
WATDE0700	NA
WATDE0701	NA
WATDE0702	NA
WATDE0703	NA
WATDE0704	NA
WATDE0705	NA
WATDE0706	0.324912538
WATDE0707	NA
WATDE0709	NA
WATDE0710	NA
WATDE0712	NA
WATDE0713	NA
WATDE0716	NA
WATDE0718	NA
WATDE0720	NA
WATDE0721	NA
WATDE0723	NA
WATDE0725	NA
WATDE0726	NA
WATDE0727	NA
WATDE0728	NA
WATDE0729	0.454450249
WATDE0730	NA
WATDE0732	NA
WATDE0735	0.669010881
WATDE0736	NA
WATDE0737	NA
WATDE0738	NA
WATDE0739	NA
WATDE0740	NA
WATDE0742	NA
WATDE0743	NA
WATDE0744	NA
WATDE0745	NA
WATDE0747	NA
WATDE0748	NA
WATDE0749	NA
WATDE0750	NA
WATDE0751	0.671570357
WATDE0752	NA
WATDE0754	NA
WATDE0755	NA
WATDE0756	0.73237666
WATDE0758	NA
WATDE0759	NA
WATDE0760	NA
WATDE0761	0.556215539
WATDE0763	0.670381986
WATDE0765	0.658046962
WATDE0766	NA
WATDE0768	0.628353682
WATDE0769	0.645052784
WATDE0770	NA
WATDE0771	NA
WATDE0773	NA
WATDE0774	NA
WATDE0775	NA
WATDE0776	NA
WATDE0777	NA
WATDE0779	NA
WATDE0780	NA
WATDE0781	NA
WATDE0782	0.417741831
WATDE0783	0.651365579
WATDE0785	0.637467171
WATDE0786	NA
WATDE0788	0.401386841
WATDE0789	0.568368638
WATDE0790	0.447660734
WATDE0791	0.665397271
WATDE0793	NA
WATDE0794	0.704437458
WATDE0795	0.622653225
WATDE0797	0.565756283
WATDE0798	0.758024426
WATDE0800	NA
WATDE0802	NA
WATDE0803	NA
WATDE0804	NA
WATDE0805	NA
WATDE0807	NA
WATDE0808	NA
WATDE0810	NA
WATDE0811	NA
WATDE0812	NA
WATDE0814	NA
WATDE0815	NA
WATDE0816	NA
WATDE0817	NA
WATDE0818	NA
WATDE0819	NA
WATDE0821	NA
WATDE0823	NA
WATDE0825	NA
WATDE0826	NA
WATDE0827	NA
WATDE0828	NA
WATDE0830	NA
WATDE0831	NA
WATDE0833	NA
WATDE0835	0.537114637
WATDE0836	0.565543852
WATDE0837	NA
WATDE0839	NA
WATDE0840	NA
WATDE0841	NA
WATDE0843	NA
WATDE0845	NA
WATDE0846	NA
WATDE0848	NA
WATDE0850	NA
WATDE0851	NA
WATDE0852	NA
WATDE0854	0.202485704
WATDE0856	NA
WATDE0857	0.346361673
WATDE0859	NA
WATDE0861	0.557983999
WATDE0862	0.537942262
WATDE0863	0.46789718
WATDE0864	NA
WATDE0865	0.689157328
WATDE0869	NA
WATDE0871	NA
WATDE0872	NA
WATDE0873	NA
WATDE0874	NA
WATDE0875	NA
WATDE0876	NA
WATDE0877	NA
WATDE0878	NA
WATDE0879	NA
WATDE0880	NA
WATDE0881	NA
WATDE0882	NA
WATDE0883	NA
WATDE0884	NA
WATDE0887	NA
WATDE0888	0.541026323
WATDE0889	0.464279476
WATDE0890	0.599158057
WATDE0892	NA
WATDE0894	NA
WATDE0895	0.766669689
WATDE0896	NA
WATDE0898	NA
WATDE0899	NA
WATDE0900	NA
WATDE0901	NA
WATDE0902	NA
WATDE0903	NA
WATDE0904	NA
WATDE0905	NA
WATDE0906	NA
WATDE0907	NA
WATDE0909	0.383246585
WATDE0910	0.176893479
WATDE0911	NA
WATDE0912	NA
WATDE0913	0.272885627
WATDE0914	NA
WATDE0915	NA
WATDE0916	NA
WATDE0917	NA
WATDE0918	NA
WATDE0919	0.308596147
WATDE0920	NA
WATDE0922	NA
WATDE0923	NA
WATDE0924	0.359391467
WATDE0926	0.358452514
WATDE0927	0.491847731
WATDE0928	0.485803091
WATDE0929	NA
WATDE0930	0.627824211
WATDE0932	0.392981394
WATDE0933	NA
WATDE0934	NA
WATDE0935	NA
WATDE0937	0.462929939
WATDE0938	NA
WATDE0939	0.350303841
WATDE0941	NA
WATDE0944	0.507047117
WATDE0945	0.457702
WATDE0947	NA
WATDE0950	NA
WATDE0951	NA
WATDE0952	NA
WATDE0953	NA
WATDE0954	NA
WATDE0955	NA
WATDE0957	0.599589023
WATDE0958	NA
WATDE0961	NA
WATDE0963	0.595723454
WATDE0965	NA
WATDE0966	NA
WATDE0967	NA
WATDE0969	NA
WATDE0970	NA
WATDE0971	NA
WATDE0973	NA
WATDE0974	NA
WATDE0975	NA
WATDE0977	NA
WATDE0978	NA
WATDE0979	NA
WATDE0981	NA
WATDE0982	NA
WATDE0983	0.65882207
WATDE0984	0.641904907
WATDE0986	NA
WATDE0987	NA
WATDE0989	NA
WATDE0991	0.657664258
WATDE0993	0.692772927
WATDE0995	0.633380392
WATDE0996	NA
WATDE0997	NA
WATDE0999	NA
WATDE1001	NA
WATDE1002	0.625471439
WATDE1003	NA
WATDE1004	0.674077049
WATDE1005	0.546485331
WATDE1008	NA
WATDE1009	0.711090256
WATDE1010	0.611309354
WATDE1012	NA
WATDE1014	NA
WATDE1016	NA
WATDE1017	NA
WATDE1018	NA
WATDE1019	NA
WATDE1021	0.642062323
WATDE1023	NA
WATDE1025	NA
WATDE1026	NA
WATDE1027	NA
WATDE1029	NA
WATDE1031	0.659003612
WATDE1032	NA
WATDE1034	NA
WATDE1035	NA
WATDE1037	0.603457251
WATDE1038	0.326246022
WATDE1040	NA
WATDE1042	NA
WATDE1044	NA
WATDE1046	0.509042561
WATDE1048	0.584523521
WATDE1049	0.532470158
WATDE1050	0.773043735
WATDE1051	0.597633027
WATDE1052	0.614237306
WATDE1053	NA
WATDE1055	NA
WATDE1056	NA
WATDE1058	NA
WATDE1060	0.676708552
WATDE1061	NA
WATDE1062	NA
Walde	NA
Warrior	NA
Waxwing	NA
Werla	NA
Wizard	NA
Wyalkatatchen	NA
Xi19	NA
Zemon	NA
Zentos	NA
ability	NA
avocet	NA
blitz	NA
cadenza	NA
captor	NA
cimcog32	NA
david	NA
denver	NA
eagle	NA
festival	NA
fidel	NA
fielder	NA
holster	NA
lancer	NA
landmark	NA
mace	NA
malacca	NA
mendel	NA
mercia	NA
mina	NA
paragon	NA
robigus	NA
solstice	NA
stanley	NA
torch	NA
veritas	NA
wasp	NA
weebil	NA
