IID	FHB_Shenzhen_2022_Natural
WATDE0152	0.66
WATDE0153	0.55
WATDE0154	NA
WATDE0156	0.31
WATDE0157	NA
WATDE0158	NA
WATDE0159	NA
WATDE0160	NA
WATDE0162	NA
WATDE0164	NA
WATDE0165	NA
WATDE0168	NA
WATDE0169	NA
WATDE0171	NA
WATDE0173	NA
WATDE0174	NA
WATDE0175	NA
WATDE0176	NA
WATDE0177	NA
WATDE0178	NA
WATDE0180	0.20
WATDE0181	0.33
WATDE0182	NA
WATDE0183	NA
WATDE0184	NA
WATDE0185	0.70
WATDE0187	NA
WATDE0188	NA
WATDE0190	NA
WATDE0191	NA
WATDE0192	NA
WATDE0194	NA
WATDE0195	NA
WATDE0196	NA
WATDE0198	NA
WATDE0199	NA
WATDE0200	NA
WATDE0202	NA
WATDE0203	NA
WATDE0204	NA
WATDE0205	NA
WATDE0206	NA
WATDE0207	NA
WATDE0209	NA
WATDE0211	NA
WATDE0212	NA
WATDE0214	NA
WATDE0215	NA
WATDE0216	NA
WATDE0217	NA
WATDE0219	NA
WATDE0220	0.49
WATDE0221	NA
WATDE0222	0.44
WATDE0223	0.75
WATDE0224	NA
WATDE0225	NA
WATDE0227	0.51
WATDE0228	0.82
WATDE0229	NA
WATDE0230	NA
WATDE0232	NA
WATDE0233	NA
WATDE0234	NA
WATDE0235	0.69
WATDE0236	NA
WATDE0237	NA
WATDE0238	NA
WATDE0239	NA
WATDE0241	NA
WATDE0242	0.97
WATDE0243	NA
WATDE0244	NA
WATDE0246	NA
WATDE0247	NA
WATDE0248	NA
WATDE0249	NA
WATDE0250	NA
WATDE0252	NA
WATDE0253	NA
WATDE0254	NA
WATDE0255	NA
WATDE0257	NA
WATDE0258	0.57
WATDE0259	0.69
WATDE0260	0.60
WATDE0262	NA
WATDE0263	NA
WATDE0264	NA
WATDE0266	NA
WATDE0268	NA
WATDE0270	NA
WATDE0271	0.71
WATDE0272	0.62
WATDE0273	0.24
WATDE0275	0.85
WATDE0276	NA
WATDE0277	NA
WATDE0278	NA
WATDE0280	0.72
WATDE0281	0.92
WATDE0282	NA
WATDE0284	NA
WATDE0285	0.46
WATDE0286	NA
WATDE0287	NA
WATDE0288	NA
WATDE0290	NA
WATDE0291	NA
WATDE0292	0.73
WATDE0293	NA
WATDE0294	NA
WATDE0296	NA
WATDE0298	NA
WATDE0299	NA
WATDE0301	NA
WATDE0302	NA
WATDE0303	NA
WATDE0304	NA
WATDE0305	NA
WATDE0306	NA
WATDE0308	NA
WATDE0310	NA
WATDE0312	0.69
WATDE0313	0.31
WATDE0315	0.72
WATDE0316	NA
WATDE0317	NA
WATDE0318	0.75
WATDE0319	NA
WATDE0321	NA
WATDE0323	NA
WATDE0324	0.23
WATDE0325	NA
WATDE0328	NA
WATDE0329	NA
WATDE0331	NA
WATDE0332	NA
WATDE0333	NA
WATDE0334	NA
WATDE0335	NA
WATDE0336	NA
WATDE0337	NA
WATDE0340	NA
WATDE0342	NA
WATDE0343	NA
WATDE0344	NA
WATDE0345	NA
WATDE0346	NA
WATDE0347	NA
WATDE0348	NA
WATDE0350	0.72
WATDE0352	NA
WATDE0353	NA
WATDE0354	NA
WATDE0355	NA
WATDE0356	0.95
WATDE0358	NA
WATDE0359	NA
WATDE0361	NA
WATDE0363	NA
WATDE0365	NA
WATDE0366	NA
WATDE0368	NA
WATDE0369	NA
WATDE0370	NA
WATDE0371	NA
WATDE0372	0.33
WATDE0373	NA
WATDE0374	0.64
WATDE0375	NA
WATDE0377	NA
WATDE0378	NA
WATDE0379	NA
WATDE0381	0.67
WATDE0382	NA
WATDE0383	NA
WATDE0385	NA
WATDE0386	NA
WATDE0387	NA
WATDE0389	NA
WATDE0391	NA
WATDE0392	NA
WATDE0394	0.47
WATDE0396	0.58
WATDE0397	0.81
WATDE0399	0.56
WATDE0401	0.70
WATDE0403	NA
WATDE0404	NA
WATDE0405	NA
WATDE0407	0.80
WATDE0408	NA
WATDE0409	NA
WATDE0410	NA
WATDE0411	NA
WATDE0412	NA
WATDE0413	NA
WATDE0415	NA
WATDE0417	NA
WATDE0419	NA
WATDE0420	NA
WATDE0421	0.28
WATDE0422	NA
WATDE0423	0.41
WATDE0424	NA
WATDE0425	NA
WATDE0426	NA
WATDE0427	NA
WATDE0428	NA
WATDE0429	NA
WATDE0430	NA
WATDE0431	NA
WATDE0432	NA
WATDE0433	NA
WATDE0434	NA
WATDE0435	NA
WATDE0436	NA
WATDE0438	NA
WATDE0439	0.30
WATDE0440	0.42
WATDE0441	0.70
WATDE0442	NA
WATDE0443	0.94
WATDE0444	NA
WATDE0445	NA
WATDE0446	0.43
WATDE0448	NA
WATDE0449	NA
WATDE0450	0.96
WATDE0451	NA
WATDE0452	NA
WATDE0453	NA
WATDE0454	NA
WATDE0455	NA
WATDE0456	0.18
WATDE0457	NA
WATDE0460	NA
WATDE0461	NA
WATDE0462	NA
WATDE0463	NA
WATDE0465	NA
WATDE0467	NA
WATDE0469	NA
WATDE0471	NA
WATDE0474	NA
WATDE0477	NA
WATDE0479	NA
WATDE0481	NA
WATDE0482	0.75
WATDE0484	NA
WATDE0486	NA
WATDE0487	0.42
WATDE0488	NA
WATDE0489	0.55
WATDE0490	NA
WATDE0492	NA
WATDE0494	NA
WATDE0496	NA
WATDE0498	NA
WATDE0500	NA
WATDE0501	NA
WATDE0502	NA
WATDE0503	NA
WATDE0504	NA
WATDE0505	NA
WATDE0507	NA
WATDE0509	0.49
WATDE0510	NA
WATDE0511	NA
WATDE0512	NA
WATDE0513	NA
WATDE0515	NA
WATDE0516	NA
WATDE0518	NA
WATDE0519	NA
WATDE0520	NA
WATDE0521	0.82
WATDE0522	NA
WATDE0524	NA
WATDE0527	NA
WATDE0529	NA
WATDE0531	NA
WATDE0533	NA
WATDE0534	NA
WATDE0536	NA
WATDE0537	0.60
WATDE0538	NA
WATDE0539	0.40
WATDE0540	NA
WATDE0541	NA
WATDE0542	NA
WATDE0543	NA
WATDE0544	NA
WATDE0546	NA
WATDE0547	NA
WATDE0549	NA
WATDE0550	NA
WATDE0552	NA
WATDE0553	0.71
WATDE0555	NA
WATDE0556	NA
WATDE0557	NA
WATDE0558	NA
WATDE0560	NA
WATDE0561	NA
WATDE0562	NA
WATDE0563	0.86
WATDE0565	NA
WATDE0566	NA
WATDE0567	NA
WATDE0568	NA
WATDE0569	NA
WATDE0570	0.43
WATDE0571	0.96
WATDE0572	NA
WATDE0574	0.76
WATDE0577	NA
WATDE0578	NA
WATDE0579	0.77
WATDE0581	1.00
WATDE0582	NA
WATDE0585	0.55
WATDE0586	NA
WATDE0588	0.37
WATDE0589	NA
WATDE0591	NA
WATDE0592	NA
WATDE0594	0.93
WATDE0596	0.52
WATDE0597	NA
WATDE0598	NA
WATDE0599	NA
WATDE0600	NA
WATDE0601	NA
WATDE0602	0.80
WATDE0603	NA
WATDE0604	0.85
WATDE0606	NA
WATDE0608	NA
WATDE0609	NA
WATDE0610	NA
WATDE0611	NA
WATDE0613	NA
WATDE0614	0.39
WATDE0615	NA
WATDE0616	0.66
WATDE0617	0.62
WATDE0618	NA
WATDE0620	0.35
WATDE0622	NA
WATDE0624	NA
WATDE0626	0.53
WATDE0627	NA
WATDE0628	0.72
WATDE0630	NA
WATDE0631	0.79
WATDE0632	NA
WATDE0634	NA
WATDE0635	NA
WATDE0636	NA
WATDE0638	NA
WATDE0639	NA
WATDE0640	NA
WATDE0641	NA
WATDE0643	0.82
WATDE0644	NA
WATDE0646	0.45
WATDE0648	NA
WATDE0649	NA
WATDE0650	NA
WATDE0651	NA
WATDE0652	NA
WATDE0653	0.35
WATDE0655	0.59
WATDE0657	NA
WATDE0658	NA
WATDE0659	0.66
WATDE0660	NA
WATDE0661	0.66
WATDE0662	0.78
WATDE0663	0.44
WATDE0664	NA
WATDE0665	NA
WATDE0666	NA
WATDE0667	NA
WATDE0669	NA
WATDE0670	NA
WATDE0671	NA
WATDE0672	NA
WATDE0674	0.41
WATDE0675	NA
WATDE0676	NA
WATDE0678	NA
WATDE0679	1.00
WATDE0680	0.52
WATDE0682	NA
WATDE0683	NA
WATDE0685	0.64
WATDE0686	0.78
WATDE0687	NA
WATDE0688	NA
WATDE0689	0.59
WATDE0691	0.67
WATDE0693	0.34
WATDE0694	NA
WATDE0695	0.60
WATDE0697	NA
WATDE0699	NA
WATDE0700	0.28
WATDE0701	0.61
WATDE0702	NA
WATDE0703	NA
WATDE0704	NA
WATDE0705	NA
WATDE0706	NA
WATDE0707	NA
WATDE0709	0.73
WATDE0710	NA
WATDE0712	0.58
WATDE0713	NA
WATDE0716	NA
WATDE0718	NA
WATDE0720	0.86
WATDE0721	NA
WATDE0723	0.37
WATDE0725	NA
WATDE0726	NA
WATDE0727	NA
WATDE0728	0.70
WATDE0729	0.30
WATDE0730	NA
WATDE0732	NA
WATDE0735	0.34
WATDE0736	NA
WATDE0737	NA
WATDE0738	0.26
WATDE0739	0.82
WATDE0740	NA
WATDE0742	NA
WATDE0743	NA
WATDE0744	NA
WATDE0745	NA
WATDE0747	0.63
WATDE0748	NA
WATDE0749	0.27
WATDE0750	NA
WATDE0751	0.52
WATDE0752	NA
WATDE0754	NA
WATDE0755	0.47
WATDE0756	NA
WATDE0758	0.59
WATDE0759	0.63
WATDE0760	0.30
WATDE0761	0.44
WATDE0763	0.97
WATDE0765	0.48
WATDE0766	0.71
WATDE0768	0.88
WATDE0769	0.71
WATDE0770	NA
WATDE0771	NA
WATDE0773	0.78
WATDE0774	NA
WATDE0775	NA
WATDE0776	NA
WATDE0777	NA
WATDE0779	NA
WATDE0780	NA
WATDE0781	NA
WATDE0782	NA
WATDE0783	NA
WATDE0785	0.53
WATDE0786	NA
WATDE0788	0.53
WATDE0789	0.89
WATDE0790	0.62
WATDE0791	0.80
WATDE0793	0.23
WATDE0794	0.27
WATDE0795	NA
WATDE0797	0.81
WATDE0798	0.82
WATDE0800	NA
WATDE0802	0.38
WATDE0803	NA
WATDE0804	0.58
WATDE0805	NA
WATDE0807	NA
WATDE0808	NA
WATDE0810	NA
WATDE0811	0.74
WATDE0812	NA
WATDE0814	NA
WATDE0815	NA
WATDE0816	NA
WATDE0817	0.75
WATDE0818	NA
WATDE0819	NA
WATDE0821	NA
WATDE0823	NA
WATDE0825	NA
WATDE0826	NA
WATDE0827	0.50
WATDE0828	NA
WATDE0830	NA
WATDE0831	NA
WATDE0833	NA
WATDE0835	NA
WATDE0836	0.43
WATDE0837	0.75
WATDE0839	NA
WATDE0840	NA
WATDE0841	0.77
WATDE0843	NA
WATDE0845	NA
WATDE0846	NA
WATDE0848	NA
WATDE0850	0.16
WATDE0851	NA
WATDE0852	0.43
WATDE0854	0.76
WATDE0856	NA
WATDE0857	0.99
WATDE0859	0.85
WATDE0861	0.56
WATDE0862	NA
WATDE0863	NA
WATDE0864	NA
WATDE0865	NA
WATDE0869	NA
WATDE0871	0.74
WATDE0872	NA
WATDE0873	NA
WATDE0874	NA
WATDE0875	0.93
WATDE0876	0.98
WATDE0877	NA
WATDE0878	NA
WATDE0879	NA
WATDE0880	NA
WATDE0881	NA
WATDE0882	NA
WATDE0883	NA
WATDE0884	NA
WATDE0887	NA
WATDE0888	NA
WATDE0889	0.69
WATDE0890	NA
WATDE0892	0.90
WATDE0894	NA
WATDE0895	NA
WATDE0896	NA
WATDE0898	NA
WATDE0899	NA
WATDE0900	NA
WATDE0901	NA
WATDE0902	NA
WATDE0903	NA
WATDE0904	0.33
WATDE0905	NA
WATDE0906	0.48
WATDE0907	NA
WATDE0909	0.93
WATDE0910	0.91
WATDE0911	NA
WATDE0912	NA
WATDE0913	0.43
WATDE0914	NA
WATDE0915	0.76
WATDE0916	0.91
WATDE0917	1.00
WATDE0918	NA
WATDE0919	0.95
WATDE0920	NA
WATDE0922	NA
WATDE0923	0.77
WATDE0924	0.73
WATDE0926	NA
WATDE0927	0.71
WATDE0928	0.74
WATDE0929	NA
WATDE0930	NA
