IID	SplN_Kaifeng-GH_2020_Natural_Fertile
WATDE0148	9.00
WATDE0149	10.00
WATDE0150	20.00
WATDE0151	14.00
WATDE0152	10.00
WATDE0153	19.00
WATDE0154	10.00
WATDE0156	17.67
WATDE0157	18.00
WATDE0158	10.00
WATDE0159	19.33
WATDE0160	8.33
WATDE0162	8.67
WATDE0164	11.67
WATDE0165	10.00
WATDE0168	NA
WATDE0169	1.00
WATDE0171	NA
WATDE0173	NA
WATDE0174	NA
WATDE0175	NA
WATDE0176	NA
WATDE0177	NA
WATDE0178	NA
WATDE0180	21.00
WATDE0181	17.00
WATDE0182	9.00
WATDE0183	21.00
WATDE0184	NA
WATDE0185	NA
WATDE0187	NA
WATDE0188	NA
WATDE0190	NA
WATDE0191	15.00
WATDE0192	NA
WATDE0194	2.00
WATDE0195	9.00
WATDE0196	NA
WATDE0198	NA
WATDE0199	NA
WATDE0200	NA
WATDE0202	18.00
WATDE0203	NA
WATDE0204	NA
WATDE0205	NA
WATDE0206	NA
WATDE0207	15.33
WATDE0209	10.33
WATDE0211	NA
WATDE0212	21.33
WATDE0214	NA
WATDE0215	19.00
WATDE0216	7.83
WATDE0217	NA
WATDE0219	NA
WATDE0220	8.29
WATDE0221	5.00
WATDE0222	18.56
WATDE0223	16.00
WATDE0224	13.31
WATDE0225	13.00
WATDE0227	20.00
WATDE0228	NA
WATDE0229	20.33
WATDE0230	13.67
WATDE0232	8.50
WATDE0233	NA
WATDE0234	4.00
WATDE0235	NA
WATDE0236	7.67
WATDE0237	NA
WATDE0238	NA
WATDE0239	12.33
WATDE0241	NA
WATDE0242	13.00
WATDE0243	NA
WATDE0244	NA
WATDE0246	17.00
WATDE0247	NA
WATDE0248	NA
WATDE0249	19.00
WATDE0250	4.00
WATDE0252	NA
WATDE0253	6.00
WATDE0254	22.00
WATDE0255	25.67
WATDE0257	17.00
WATDE0258	17.00
WATDE0259	19.00
WATDE0260	17.00
WATDE0262	18.00
WATDE0263	13.00
WATDE0264	16.20
WATDE0266	4.00
WATDE0268	NA
WATDE0270	4.50
WATDE0271	12.00
WATDE0272	15.00
WATDE0273	NA
WATDE0275	9.11
WATDE0276	19.00
WATDE0277	6.00
WATDE0278	16.00
WATDE0280	7.00
WATDE0281	19.67
WATDE0282	11.00
WATDE0284	NA
