IID	LeafLen_Shenzhen_2022_Flag_Natural
Agron	25.85
Alba	NA
Albatross	26.85
Alcedo	NA
Alert	NA
Almus	NA
Altria	13.90
ArinaLrFor	NA
Arminda	24.85
Aronde	35.40
Avalon	NA
Aztec	21.45
WATDE0003	60.55
WATDE0010	NA
WATDE0339	40.70
WATDE0459	26.05
WATDE0476	NA
WATDE0526	NA
WATDE0532	NA
WATDE0576	31.05
WATDE0612	26.60
WATDE0061	27.00
WATDE0668	32.30
WATDE0714	NA
WATDE0762	52.10
WATDE0801	58.65
WATDE0868	23.55
WATDE0100	NA
WATDE1030	NA
Banco	NA
Bandit	33.65
Banner	NA
Beauchamp	28.25
Beaver	NA
Becard_Kachu	NA
Bersee	46.20
Boreonos	NA
Bounty	NA
Boxer	NA
Buster	NA
Calif	NA
Camp_Remy	NA
Capitiane	19.90
Capo	NA
Cappelle_Desprez	39.55
Catamaran	22.40
Cezanne	21.30
Charger	NA
Chinese_Spring	NA
Cimcog26	NA
Cimcog3	NA
Cimcog47	NA
Cimcog56	32.55
Claire	NA
Consort	NA
Courtot	38.40
Crest	NA
Crusoe	NA
Diablo	NA
Diplomat	28.20
Disponent	NA
Dorby	26.30
Drake	NA
Drauhofener_Kolben	NA
Druid	NA
Encore	NA
Equinox	NA
Erla-Kolben	NA
Erland	NA
Eros	NA
Expert	NA
Extrem	NA
Fanal	NA
Felix	NA
Fiorello	NA
Flair	21.65
Flame	22.85
Flamingo	NA
Florida	NA
Gabo	29.90
Galahad	NA
Garcia	NA
Gawain	NA
Glasgow	29.25
Grafton	NA
Granada	NA
Haven	NA
Heine7	NA
Hereward	NA
Highbury	39.25
Hobbit	NA
Holdfast	NA
Hybrid46	NA
Ibis	39.35
Iena	28.60
Ikarus	NA
Jagger	NA
Joss_Cambier	29.50
Julius	NA
KWS_Santiago	NA
Karat	NA
Koga1	NA
Kontrast	NA
Kosack	NA
Kranich	NA
Lancelot	20.60
Leda	NA
Legend	NA
Longbow	NA
Lutin	23.10
MISR1	28.90
Mahndorfer	NA
Marco	NA
Maris_Dove	36.35
Maris_Widgeon	34.10
MarisHuntsman	NA
Maris_ranger	49.00
Minister	NA
Mironovska	22.85
Moisson	NA
Muck	24.60
Multiweiss	NA
Nautica	NA
Newhaven	NA
Norda	NA
Norin	NA
Obelisk	NA
