IID	FT_Kaifeng-GH_2020_Natural
WATDE0146	128.00
WATDE0148	136.00
WATDE0149	129.00
WATDE0150	123.00
WATDE0151	129.00
WATDE0152	143.00
WATDE0153	NA
WATDE0154	130.00
WATDE0156	70.00
WATDE0157	138.00
WATDE0158	136.00
WATDE0159	128.33
WATDE0160	131.33
WATDE0162	134.00
WATDE0164	130.67
WATDE0165	130.33
WATDE0168	NA
WATDE0169	142.00
WATDE0171	NA
WATDE0173	149.00
WATDE0174	151.00
WATDE0175	158.00
WATDE0176	158.00
WATDE0177	NA
WATDE0178	149.00
WATDE0180	139.00
WATDE0181	144.00
WATDE0182	150.00
WATDE0183	128.00
WATDE0184	NA
WATDE0185	128.00
WATDE0187	NA
WATDE0188	152.00
WATDE0190	155.00
WATDE0191	139.00
WATDE0192	NA
WATDE0194	156.00
WATDE0195	144.00
WATDE0196	172.00
WATDE0198	NA
WATDE0199	NA
WATDE0200	164.00
WATDE0202	84.00
WATDE0203	173.00
WATDE0204	NA
WATDE0205	NA
WATDE0206	NA
WATDE0207	130.00
WATDE0209	131.00
WATDE0211	168.00
WATDE0212	137.33
WATDE0214	152.00
WATDE0215	129.00
WATDE0216	98.00
WATDE0217	155.00
WATDE0219	130.00
WATDE0220	97.67
WATDE0221	141.00
WATDE0222	59.00
WATDE0223	123.00
WATDE0224	98.50
WATDE0225	130.67
WATDE0227	123.00
WATDE0228	129.00
WATDE0229	123.00
WATDE0230	134.00
WATDE0232	145.50
WATDE0233	NA
WATDE0234	139.00
WATDE0235	151.00
WATDE0236	138.50
WATDE0237	150.00
WATDE0238	NA
WATDE0239	126.67
WATDE0241	NA
WATDE0242	146.00
WATDE0243	NA
WATDE0244	158.00
WATDE0246	139.00
WATDE0247	173.00
WATDE0248	NA
WATDE0249	136.00
WATDE0250	155.00
WATDE0252	168.00
WATDE0253	162.00
WATDE0254	120.67
WATDE0255	119.67
WATDE0257	136.00
WATDE0258	128.00
WATDE0259	118.00
WATDE0260	119.00
WATDE0262	128.00
WATDE0263	119.00
WATDE0264	111.33
WATDE0266	141.00
WATDE0268	NA
WATDE0270	135.00
WATDE0271	137.00
WATDE0272	132.00
WATDE0273	149.00
WATDE0275	73.50
WATDE0276	129.00
WATDE0277	136.00
WATDE0278	134.00
WATDE0280	144.00
WATDE0281	119.00
WATDE0282	146.00
WATDE0284	NA
WATDE0285	136.00
WATDE0286	128.00
WATDE0287	126.33
WATDE0288	134.00
WATDE0290	98.00
WATDE0291	156.00
WATDE0292	64.00
WATDE0293	NA
WATDE0294	105.50
WATDE0296	NA
WATDE0298	NA
WATDE0299	132.00
WATDE0301	136.00
WATDE0302	127.67
WATDE0303	NA
WATDE0304	143.00
WATDE0305	154.00
WATDE0306	147.00
WATDE0308	152.67
WATDE0310	NA
WATDE0312	80.33
WATDE0313	134.00
WATDE0315	137.00
WATDE0316	NA
WATDE0317	137.00
WATDE0318	134.00
WATDE0319	141.00
WATDE0321	123.00
WATDE0323	NA
WATDE0324	63.00
WATDE0325	NA
WATDE0328	135.00
WATDE0329	143.00
WATDE0331	130.33
WATDE0332	128.00
WATDE0333	127.00
WATDE0334	128.00
WATDE0335	NA
WATDE0336	NA
WATDE0337	NA
WATDE0340	142.00
WATDE0342	141.00
WATDE0343	149.00
WATDE0344	154.00
WATDE0345	154.00
WATDE0346	116.00
WATDE0347	133.00
WATDE0348	NA
WATDE0350	151.00
WATDE0352	132.50
WATDE0353	154.00
WATDE0354	146.00
WATDE0355	126.33
WATDE0356	134.00
WATDE0358	132.00
WATDE0359	139.00
WATDE0361	NA
WATDE0363	143.00
WATDE0365	134.00
WATDE0366	148.00
WATDE0368	143.00
WATDE0369	145.00
WATDE0370	131.00
WATDE0371	134.00
WATDE0372	128.00
WATDE0373	150.00
WATDE0374	84.67
WATDE0375	70.33
WATDE0377	NA
WATDE0378	142.00
WATDE0379	NA
WATDE0381	148.00
WATDE0382	141.00
WATDE0383	152.00
WATDE0385	130.00
WATDE0386	NA
WATDE0387	124.00
WATDE0389	121.50
WATDE0391	122.00
WATDE0392	NA
WATDE0394	71.67
WATDE0396	138.00
WATDE0397	156.00
WATDE0399	78.67
WATDE0401	129.00
WATDE0403	121.00
WATDE0404	139.00
WATDE0405	NA
WATDE0407	128.00
WATDE0408	132.00
WATDE0409	125.00
WATDE0410	130.00
WATDE0411	134.00
WATDE0412	146.00
WATDE0413	124.67
WATDE0415	143.00
WATDE0417	142.00
WATDE0419	128.00
WATDE0420	134.00
WATDE0421	128.00
WATDE0422	128.00
WATDE0423	123.00
WATDE0424	NA
WATDE0425	NA
WATDE0426	NA
WATDE0427	NA
WATDE0428	168.00
WATDE0429	NA
WATDE0430	143.00
WATDE0431	173.00
WATDE0432	169.00
WATDE0433	158.00
WATDE0434	NA
WATDE0435	155.00
WATDE0436	127.00
WATDE0438	NA
WATDE0439	130.00
WATDE0440	80.67
WATDE0441	97.00
WATDE0442	141.00
WATDE0443	150.00
WATDE0444	166.00
WATDE0445	164.00
WATDE0446	139.00
WATDE0448	124.33
WATDE0449	134.00
WATDE0450	63.00
WATDE0451	129.00
WATDE0452	139.00
WATDE0453	137.00
WATDE0454	70.33
WATDE0455	68.33
WATDE0456	134.00
WATDE0457	137.00
WATDE0460	70.67
WATDE0461	128.00
WATDE0462	123.00
WATDE0463	NA
WATDE0465	126.33
WATDE0467	109.00
WATDE0469	120.50
WATDE0471	119.00
WATDE0474	69.00
WATDE0477	99.33
WATDE0479	137.00
WATDE0481	84.00
WATDE0482	107.33
WATDE0484	135.50
WATDE0486	98.00
WATDE0487	119.00
WATDE0488	133.67
WATDE0489	74.33
WATDE0490	134.00
WATDE0492	141.00
WATDE0494	124.67
WATDE0496	126.00
WATDE0498	134.00
WATDE0500	137.33
WATDE0501	139.67
WATDE0502	NA
WATDE0503	NA
WATDE0504	122.67
WATDE0505	NA
WATDE0507	NA
WATDE0509	130.00
WATDE0510	NA
WATDE0511	171.00
WATDE0512	128.75
WATDE0513	121.00
WATDE0515	162.00
WATDE0516	NA
WATDE0518	NA
