IID	GrnSpk_Shenzhen-NN_2021_Natural
WATDE0151	NA
WATDE0152	NA
WATDE0153	NA
WATDE0154	42.33
WATDE0156	51.00
WATDE0157	NA
WATDE0158	NA
WATDE0159	NA
WATDE0160	NA
WATDE0162	12.00
WATDE0164	NA
WATDE0165	NA
WATDE0168	NA
WATDE0169	NA
WATDE0171	NA
WATDE0173	NA
WATDE0174	NA
WATDE0175	NA
WATDE0176	NA
WATDE0177	NA
WATDE0178	NA
WATDE0180	33.67
WATDE0181	34.00
WATDE0182	NA
WATDE0183	28.33
WATDE0184	NA
WATDE0185	38.00
WATDE0187	NA
WATDE0188	NA
WATDE0190	NA
WATDE0191	NA
WATDE0192	NA
WATDE0194	NA
WATDE0195	NA
WATDE0196	NA
WATDE0198	NA
WATDE0199	NA
WATDE0200	NA
WATDE0202	NA
WATDE0203	NA
WATDE0204	NA
WATDE0205	NA
WATDE0206	NA
WATDE0207	NA
WATDE0209	NA
WATDE0211	NA
WATDE0212	NA
WATDE0214	NA
WATDE0215	NA
WATDE0216	NA
WATDE0217	NA
WATDE0219	NA
WATDE0220	NA
WATDE0221	NA
WATDE0222	38.17
WATDE0223	NA
WATDE0224	NA
WATDE0225	NA
WATDE0227	31.67
WATDE0228	40.50
WATDE0229	NA
WATDE0230	NA
WATDE0232	NA
WATDE0233	NA
WATDE0234	NA
WATDE0235	NA
WATDE0236	NA
WATDE0237	NA
WATDE0238	NA
WATDE0239	NA
WATDE0241	NA
WATDE0242	NA
WATDE0243	NA
WATDE0244	NA
WATDE0246	NA
WATDE0247	NA
WATDE0248	NA
WATDE0249	NA
WATDE0250	NA
WATDE0252	NA
WATDE0253	NA
WATDE0254	NA
WATDE0255	NA
WATDE0257	33.00
WATDE0258	42.33
WATDE0259	36.00
WATDE0260	NA
WATDE0262	53.00
WATDE0263	33.33
WATDE0264	NA
WATDE0266	NA
WATDE0268	NA
WATDE0270	NA
WATDE0271	38.00
WATDE0272	39.67
WATDE0273	NA
WATDE0275	48.33
WATDE0276	NA
WATDE0277	NA
WATDE0278	NA
WATDE0280	NA
WATDE0281	NA
WATDE0282	NA
WATDE0284	NA
WATDE0285	35.00
WATDE0286	31.17
WATDE0287	NA
WATDE0288	NA
WATDE0290	23.25
WATDE0291	NA
WATDE0292	NA
WATDE0293	NA
WATDE0294	NA
WATDE0296	NA
WATDE0298	NA
WATDE0299	NA
WATDE0301	NA
WATDE0302	NA
WATDE0303	NA
WATDE0304	NA
WATDE0305	NA
WATDE0306	NA
WATDE0308	NA
WATDE0310	NA
WATDE0312	NA
WATDE0313	NA
WATDE0315	19.67
WATDE0316	NA
WATDE0317	NA
WATDE0318	NA
WATDE0319	38.08
WATDE0321	NA
WATDE0323	NA
WATDE0324	33.00
WATDE0325	NA
WATDE0328	NA
WATDE0329	NA
WATDE0331	NA
WATDE0332	34.50
WATDE0333	31.83
WATDE0334	NA
WATDE0335	NA
WATDE0336	NA
WATDE0337	NA
WATDE0340	NA
WATDE0342	NA
WATDE0343	NA
WATDE0344	NA
WATDE0345	NA
WATDE0346	19.50
WATDE0347	NA
WATDE0348	NA
WATDE0350	NA
WATDE0352	NA
WATDE0353	NA
WATDE0354	NA
WATDE0355	NA
WATDE0356	NA
WATDE0358	NA
WATDE0359	NA
WATDE0361	NA
WATDE0363	NA
WATDE0365	NA
WATDE0366	NA
WATDE0368	NA
WATDE0369	NA
WATDE0370	NA
WATDE0371	NA
WATDE0372	29.50
WATDE0373	NA
WATDE0374	17.50
WATDE0375	39.33
WATDE0377	NA
WATDE0378	NA
WATDE0379	NA
WATDE0381	NA
WATDE0382	NA
WATDE0383	NA
WATDE0385	24.00
WATDE0386	NA
WATDE0387	NA
WATDE0389	NA
WATDE0391	NA
WATDE0392	NA
WATDE0394	NA
WATDE0396	NA
WATDE0397	NA
WATDE0399	NA
WATDE0401	39.00
WATDE0403	NA
WATDE0404	29.67
WATDE0405	NA
WATDE0407	32.33
WATDE0408	29.67
WATDE0409	NA
WATDE0410	NA
WATDE0411	NA
WATDE0412	NA
WATDE0413	44.00
WATDE0415	NA
WATDE0417	NA
WATDE0419	NA
WATDE0420	27.33
WATDE0421	22.67
WATDE0422	NA
WATDE0423	48.42
WATDE0424	NA
WATDE0425	NA
WATDE0426	NA
WATDE0427	NA
WATDE0428	NA
WATDE0429	NA
WATDE0430	NA
WATDE0431	NA
WATDE0432	NA
WATDE0433	NA
WATDE0434	NA
WATDE0435	NA
WATDE0436	21.00
WATDE0438	NA
WATDE0439	32.00
WATDE0440	NA
WATDE0441	33.33
WATDE0442	NA
WATDE0443	NA
WATDE0444	NA
WATDE0445	NA
WATDE0446	37.67
WATDE0448	25.50
WATDE0449	NA
WATDE0450	44.33
WATDE0451	NA
WATDE0452	NA
WATDE0453	NA
WATDE0454	43.67
WATDE0455	34.33
WATDE0456	25.33
WATDE0457	NA
WATDE0460	30.50
WATDE0461	38.00
WATDE0462	45.50
WATDE0463	NA
WATDE0465	NA
WATDE0467	NA
WATDE0469	NA
WATDE0471	12.00
WATDE0474	51.75
WATDE0477	36.00
WATDE0479	NA
WATDE0481	44.00
WATDE0482	41.17
WATDE0484	26.33
WATDE0486	29.67
WATDE0487	NA
WATDE0488	32.67
WATDE0489	49.00
WATDE0490	NA
WATDE0492	49.00
WATDE0494	NA
WATDE0496	NA
WATDE0498	NA
WATDE0500	NA
WATDE0501	NA
WATDE0502	NA
WATDE0503	NA
WATDE0504	NA
WATDE0505	NA
WATDE0507	NA
WATDE0509	29.83
WATDE0510	NA
WATDE0511	NA
WATDE0512	NA
WATDE0513	NA
WATDE0515	26.00
WATDE0516	NA
WATDE0518	NA
WATDE0519	NA
WATDE0520	NA
WATDE0521	27.33
WATDE0522	28.00
WATDE0524	NA
WATDE0527	NA
WATDE0529	NA
WATDE0531	NA
WATDE0533	NA
WATDE0534	NA
WATDE0536	NA
WATDE0537	NA
WATDE0538	NA
WATDE0539	NA
WATDE0540	NA
WATDE0541	NA
WATDE0542	NA
WATDE0543	NA
WATDE0544	NA
WATDE0546	NA
WATDE0547	26.92
WATDE0549	NA
WATDE0550	NA
WATDE0552	NA
WATDE0553	23.00
WATDE0555	25.50
WATDE0556	31.00
WATDE0557	39.00
WATDE0558	NA
WATDE0560	NA
WATDE0561	NA
WATDE0562	NA
WATDE0563	23.00
WATDE0565	NA
WATDE0566	31.33
WATDE0567	NA
WATDE0568	NA
WATDE0569	41.00
WATDE0570	36.67
WATDE0571	31.33
WATDE0572	31.67
WATDE0574	42.33
WATDE0577	30.67
WATDE0578	NA
WATDE0579	24.33
WATDE0581	NA
WATDE0582	NA
WATDE0585	NA
WATDE0586	NA
WATDE0588	26.00
WATDE0589	NA
WATDE0591	NA
WATDE0592	NA
WATDE0594	NA
WATDE0596	NA
WATDE0597	43.17
WATDE0598	NA
WATDE0599	NA
WATDE0600	NA
WATDE0601	NA
WATDE0602	NA
WATDE0603	NA
WATDE0604	30.00
WATDE0606	57.33
WATDE0608	NA
WATDE0609	NA
WATDE0610	NA
WATDE0611	35.42
WATDE0613	39.00
WATDE0614	33.33
WATDE0615	30.83
WATDE0616	36.00
WATDE0617	NA
WATDE0618	NA
WATDE0620	NA
WATDE0622	NA
WATDE0624	NA
WATDE0626	NA
WATDE0627	NA
WATDE0628	NA
WATDE0630	NA
WATDE0631	11.50
WATDE0632	NA
WATDE0634	NA
WATDE0635	72.33
WATDE0636	NA
WATDE0638	NA
WATDE0639	NA
WATDE0640	34.33
WATDE0641	NA
WATDE0643	25.00
WATDE0644	NA
WATDE0646	43.00
WATDE0648	NA
WATDE0649	24.67
WATDE0650	29.50
WATDE0651	40.83
WATDE0652	26.33
WATDE0653	31.75
WATDE0655	44.33
WATDE0657	38.00
WATDE0658	NA
WATDE0659	33.83
WATDE0660	40.67
WATDE0661	20.67
WATDE0662	NA
WATDE0663	NA
WATDE0664	NA
WATDE0665	NA
WATDE0666	NA
WATDE0667	NA
WATDE0669	NA
WATDE0670	NA
WATDE0671	NA
WATDE0672	NA
WATDE0674	NA
WATDE0675	NA
WATDE0676	NA
WATDE0678	NA
WATDE0679	48.92
WATDE0680	33.67
WATDE0682	NA
WATDE0683	26.67
WATDE0685	NA
WATDE0686	NA
WATDE0687	NA
WATDE0688	NA
WATDE0689	34.83
WATDE0691	44.67
WATDE0693	NA
WATDE0694	20.67
WATDE0695	32.17
WATDE0697	NA
WATDE0699	NA
WATDE0700	NA
WATDE0701	NA
WATDE0702	NA
WATDE0703	NA
WATDE0704	48.67
WATDE0705	NA
WATDE0706	48.00
WATDE0707	NA
WATDE0709	53.33
WATDE0710	NA
WATDE0712	NA
WATDE0713	NA
WATDE0716	NA
WATDE0718	NA
WATDE0720	NA
WATDE0721	NA
WATDE0723	NA
WATDE0725	NA
WATDE0726	NA
WATDE0727	NA
WATDE0728	NA
WATDE0729	35.17
WATDE0730	NA
WATDE0732	NA
WATDE0735	31.00
WATDE0736	NA
WATDE0737	28.33
WATDE0738	27.00
WATDE0739	NA
WATDE0740	NA
