IID	PH_Kaifeng-GH_2020_Natural
WATDE0149	85.00
WATDE0150	102.00
WATDE0151	89.00
WATDE0152	102.00
WATDE0153	85.00
WATDE0154	85.00
WATDE0156	149.67
WATDE0157	104.00
WATDE0158	79.00
WATDE0159	131.00
WATDE0160	118.00
WATDE0162	136.33
WATDE0164	133.25
WATDE0165	111.67
WATDE0168	NA
WATDE0169	105.00
WATDE0171	NA
WATDE0173	NA
WATDE0174	NA
WATDE0175	NA
WATDE0176	NA
WATDE0177	NA
WATDE0178	NA
WATDE0180	87.00
WATDE0181	85.00
WATDE0182	NA
WATDE0183	85.00
WATDE0184	NA
WATDE0185	98.00
WATDE0187	NA
WATDE0188	NA
WATDE0190	NA
WATDE0191	89.00
WATDE0192	NA
WATDE0194	NA
WATDE0195	101.00
WATDE0196	NA
WATDE0198	NA
WATDE0199	NA
WATDE0200	NA
WATDE0202	157.00
WATDE0203	NA
WATDE0204	NA
WATDE0205	NA
WATDE0206	NA
WATDE0207	102.00
WATDE0209	93.33
WATDE0211	NA
WATDE0212	149.67
WATDE0214	NA
WATDE0215	93.00
WATDE0216	152.00
WATDE0217	NA
WATDE0219	99.00
WATDE0220	124.67
WATDE0221	91.00
WATDE0222	141.00
WATDE0223	93.00
WATDE0224	93.83
WATDE0225	89.33
WATDE0227	99.00
WATDE0228	99.00
WATDE0229	126.67
WATDE0230	115.33
WATDE0232	103.00
WATDE0233	NA
WATDE0234	110.00
WATDE0235	NA
WATDE0236	106.00
WATDE0237	NA
WATDE0238	NA
WATDE0239	116.33
WATDE0241	NA
WATDE0242	81.00
WATDE0243	NA
WATDE0244	NA
WATDE0246	95.00
WATDE0247	NA
WATDE0248	NA
WATDE0249	173.67
WATDE0250	NA
WATDE0252	NA
WATDE0253	NA
WATDE0254	147.33
WATDE0255	146.00
WATDE0257	94.00
WATDE0258	100.00
WATDE0259	106.00
WATDE0260	111.00
WATDE0262	80.00
WATDE0263	79.00
WATDE0264	128.33
WATDE0266	83.00
WATDE0268	NA
WATDE0270	104.00
WATDE0271	70.00
WATDE0272	95.00
WATDE0273	NA
WATDE0275	123.00
WATDE0276	101.00
WATDE0277	68.00
WATDE0278	95.00
WATDE0280	95.00
WATDE0281	136.00
WATDE0282	101.00
WATDE0284	NA
WATDE0285	93.00
WATDE0286	88.00
WATDE0287	101.33
WATDE0288	99.00
WATDE0290	129.50
WATDE0291	NA
WATDE0292	146.00
WATDE0293	NA
WATDE0294	135.00
WATDE0296	NA
WATDE0298	NA
WATDE0299	131.67
WATDE0301	133.00
WATDE0302	115.67
WATDE0303	NA
WATDE0304	103.00
WATDE0305	NA
WATDE0306	NA
WATDE0308	NA
WATDE0310	NA
WATDE0312	164.33
WATDE0313	89.00
WATDE0315	91.00
WATDE0316	NA
WATDE0317	97.00
WATDE0318	107.00
WATDE0319	68.00
WATDE0321	128.00
WATDE0323	NA
WATDE0324	137.33
WATDE0325	NA
WATDE0328	119.00
WATDE0329	100.00
WATDE0331	126.67
WATDE0332	80.00
WATDE0333	NA
WATDE0334	113.33
WATDE0335	NA
WATDE0336	NA
WATDE0337	NA
WATDE0340	126.67
WATDE0342	103.00
WATDE0343	NA
WATDE0344	NA
WATDE0345	NA
WATDE0346	108.00
WATDE0347	96.33
WATDE0348	NA
WATDE0350	NA
WATDE0352	87.33
WATDE0353	NA
WATDE0354	84.00
WATDE0355	104.67
WATDE0356	105.00
WATDE0358	86.00
WATDE0359	90.00
WATDE0361	NA
WATDE0363	99.00
WATDE0365	81.00
WATDE0366	NA
WATDE0368	102.00
WATDE0369	99.00
WATDE0370	92.00
WATDE0371	81.00
WATDE0372	108.00
WATDE0373	NA
WATDE0374	136.67
WATDE0375	157.67
WATDE0377	NA
WATDE0378	82.00
WATDE0379	NA
WATDE0381	NA
WATDE0382	76.00
WATDE0383	NA
WATDE0385	91.00
WATDE0386	NA
WATDE0387	125.67
WATDE0389	125.17
WATDE0391	117.33
WATDE0392	NA
WATDE0394	151.00
WATDE0396	161.50
WATDE0397	NA
WATDE0399	158.33
WATDE0401	95.00
WATDE0403	91.00
WATDE0404	83.00
WATDE0405	NA
WATDE0407	108.00
WATDE0408	102.00
WATDE0409	108.00
WATDE0410	101.00
WATDE0411	102.00
WATDE0412	86.00
WATDE0413	71.00
WATDE0415	86.00
WATDE0417	90.00
WATDE0419	67.00
WATDE0420	98.00
WATDE0421	101.00
WATDE0422	95.00
WATDE0423	92.00
WATDE0424	NA
WATDE0425	NA
WATDE0426	NA
WATDE0427	NA
WATDE0428	NA
WATDE0429	NA
WATDE0430	101.00
WATDE0431	NA
WATDE0432	NA
WATDE0433	NA
WATDE0434	NA
WATDE0435	NA
WATDE0436	122.00
WATDE0438	NA
WATDE0439	79.00
WATDE0440	149.33
WATDE0441	143.67
WATDE0442	80.00
WATDE0443	NA
WATDE0444	NA
WATDE0445	NA
WATDE0446	80.00
WATDE0448	113.00
WATDE0449	90.00
WATDE0450	131.00
WATDE0451	77.00
WATDE0452	93.00
WATDE0453	74.00
WATDE0454	131.67
WATDE0455	126.67
WATDE0456	81.00
WATDE0457	156.00
WATDE0460	143.00
WATDE0461	83.00
WATDE0462	99.00
WATDE0463	122.33
WATDE0465	121.00
WATDE0467	108.50
WATDE0469	134.00
WATDE0471	141.67
WATDE0474	141.67
WATDE0477	167.00
WATDE0479	109.00
WATDE0481	176.50
WATDE0482	80.00
WATDE0484	90.00
WATDE0486	188.67
WATDE0487	126.33
WATDE0488	106.33
