IID	EAR_Kaifeng-GH_2020_Natural
Agron	NA
Alba	NA
Albatross	NA
Alcedo	NA
Alert	NA
Almus	NA
Altria	NA
ArinaLrFor	NA
Arminda	NA
Aronde	NA
Avalon	NA
Aztec	NA
WATDE0003	129.00
WATDE0010	NA
WATDE0339	NA
WATDE0459	76.00
WATDE0476	130.00
WATDE0526	154.00
WATDE0532	NA
WATDE0576	72.00
WATDE0612	141.00
WATDE0061	115.00
WATDE0668	129.00
WATDE0714	74.67
WATDE0762	137.00
WATDE0801	123.00
WATDE0868	139.00
WATDE0100	118.00
WATDE1030	174.00
Banco	NA
Bandit	NA
Banner	NA
Beauchamp	NA
Beaver	NA
Becard_Kachu	NA
Bersee	NA
Boreonos	NA
Bounty	NA
Boxer	NA
Buster	NA
Calif	NA
Camp_Remy	NA
Capitiane	NA
Capo	NA
Cappelle_Desprez	NA
Catamaran	NA
Cezanne	NA
Charger	NA
Chinese_Spring	NA
Cimcog26	NA
Cimcog3	NA
Cimcog47	NA
Cimcog56	NA
Claire	NA
Consort	NA
Courtot	NA
Crest	NA
Crusoe	NA
Diablo	NA
Diplomat	NA
Disponent	NA
Dorby	NA
Drake	NA
Drauhofener_Kolben	NA
Druid	NA
Encore	NA
Equinox	NA
Erla-Kolben	NA
Erland	NA
Eros	NA
Expert	NA
Extrem	NA
Fanal	NA
Felix	NA
Fiorello	NA
Flair	NA
Flame	NA
Flamingo	NA
Florida	NA
Gabo	NA
Galahad	NA
Garcia	NA
Gawain	NA
Glasgow	NA
Grafton	NA
Granada	NA
Haven	NA
Heine7	NA
Hereward	NA
Highbury	NA
Hobbit	NA
Holdfast	NA
Hybrid46	NA
Ibis	NA
Iena	NA
Ikarus	NA
Jagger	NA
Joss_Cambier	NA
Julius	NA
KWS_Santiago	NA
Karat	NA
Koga1	NA
Kontrast	NA
Kosack	NA
Kranich	NA
Lancelot	NA
Leda	NA
Legend	NA
Longbow	NA
Lutin	NA
MISR1	NA
Mahndorfer	NA
Marco	NA
Maris_Dove	NA
Maris_Widgeon	NA
MarisHuntsman	NA
Maris_ranger	NA
Minister	NA
Mironovska	NA
Moisson	NA
Muck	NA
Multiweiss	NA
Nautica	NA
Newhaven	NA
Norda	NA
Norin	NA
Obelisk	NA
Odeon	NA
Odin	NA
Oenus	NA
Opata	NA
Orlando	NA
Palur	NA
Pamyat	NA
Pastiche	NA
Pavon76	NA
Pepital	NA
Peragis	NA
Perlo	NA
Pfau	NA
Pomerelle	NA
Pony	NA
Prof_Marshall	NA
Prophet	NA
Rabe	NA
Rebel	NA
Recital	NA
Record	NA
Red_Fife	NA
Reedling	NA
Regent	NA
Renan	NA
Rendezvous	NA
Revelation	NA
Riband	NA
Rimpaus_Bastard2	NA
RitzlhoferNeu	NA
SYMattis	NA
Savannah	NA
Schweigers_Taca	NA
Scipion	NA
Shamrock	NA
Shango	NA
Sicco	NA
Slejpner	NA
Soissons	NA
Soleil	NA
Spark	NA
Sperber	NA
Spitfire	NA
Sportsman	NA
Stamm101	NA
Starke2	NA
Stava	NA
Stella	NA
Super152	NA
Svale	NA
Tadorna	NA
Talent	NA
Tambor	NA
Tandem	NA
Tanker	NA
Taras	NA
Thatcher	NA
Thor	NA
Titus	NA
Top	NA
Torfrida	NA
Trafalgar	NA
Treasure	NA
Tremie	NA
Triumph_NDL	NA
Tschermaks	NA
Turpin	NA
Urban	NA
Vaguedepis	NA
Vilmorin53	NA
Vilmorin27	NA
Virgo	NA
Vocal	NA
Voyage	NA
WATDE0001	53.00
WATDE0002	119.00
WATDE0004	101.67
WATDE0005	NA
WATDE0006	116.33
WATDE0007	NA
WATDE0008	NA
WATDE0009	154.00
WATDE0011	116.00
WATDE0012	112.80
WATDE0013	136.00
WATDE0014	127.80
WATDE0015	115.00
WATDE0016	74.00
WATDE0017	139.00
WATDE0018	125.00
WATDE0019	144.00
WATDE0020	134.00
WATDE0021	NA
WATDE0022	NA
WATDE0023	115.00
WATDE0024	NA
WATDE0025	125.00
WATDE0026	63.00
WATDE0027	61.00
WATDE0028	NA
WATDE0029	NA
WATDE0030	NA
WATDE0031	156.00
WATDE0032	134.00
WATDE0033	62.50
WATDE0034	132.00
WATDE0035	NA
WATDE0036	123.00
WATDE0037	102.00
WATDE0038	NA
WATDE0040	NA
WATDE0041	115.00
WATDE0042	151.00
WATDE0043	110.67
WATDE0044	122.00
WATDE0045	NA
WATDE0046	NA
WATDE0047	141.00
WATDE0048	NA
WATDE0049	121.00
WATDE0050	174.00
WATDE0051	NA
WATDE0052	164.00
WATDE0053	119.00
WATDE0054	125.00
WATDE0055	131.33
WATDE0056	119.00
WATDE0057	63.00
WATDE0058	74.00
WATDE0059	114.33
WATDE0060	140.00
WATDE0062	129.00
WATDE0063	NA
WATDE0064	61.00
WATDE0065	123.00
WATDE0066	121.00
WATDE0067	128.00
WATDE0068	139.00
WATDE0069	132.00
WATDE0070	160.00
WATDE0071	123.00
WATDE0072	123.00
WATDE0073	165.00
WATDE0074	61.00
WATDE0075	134.00
WATDE0076	154.00
WATDE0077	64.00
WATDE0078	125.00
WATDE0079	124.33
WATDE0080	74.33
WATDE0081	NA
WATDE0082	NA
WATDE0083	125.00
WATDE0084	119.33
WATDE0085	117.00
WATDE0086	NA
WATDE0087	132.00
WATDE0088	NA
WATDE0089	NA
WATDE0090	162.00
WATDE0091	130.00
WATDE0092	128.00
WATDE0093	132.33
WATDE0094	NA
WATDE0095	91.67
WATDE0096	155.00
WATDE0097	154.00
WATDE0098	86.00
WATDE0099	123.00
WATDE0101	129.00
WATDE0102	NA
WATDE0103	129.00
WATDE0104	119.00
WATDE0105	95.33
WATDE0106	NA
WATDE0107	NA
WATDE0108	169.00
WATDE0109	134.00
WATDE0110	NA
WATDE0111	62.67
WATDE0112	NA
WATDE0113	93.00
WATDE0114	NA
WATDE0115	NA
WATDE0116	125.00
WATDE0117	154.00
WATDE0118	120.33
WATDE0119	109.00
WATDE0120	125.00
WATDE0121	116.00
WATDE0122	136.00
WATDE0123	119.00
WATDE0124	119.00
WATDE0126	134.00
WATDE0127	139.00
WATDE0129	125.00
WATDE0131	117.00
WATDE0133	128.00
