IID	SplN_Quzhou_2022_Natural
Agron	NA
Alba	22.67
Albatross	23.00
Alcedo	19.33
Alert	24.33
Almus	NA
Altria	22.67
ArinaLrFor	NA
Arminda	20.67
Aronde	19.00
Avalon	24.00
Aztec	22.67
WATDE0003	18.33
WATDE0010	NA
WATDE0339	20.67
WATDE0459	18.67
WATDE0476	NA
WATDE0526	NA
WATDE0532	17.33
WATDE0576	21.00
WATDE0612	15.00
WATDE0061	16.00
WATDE0668	NA
WATDE0714	19.33
WATDE0762	19.00
WATDE0801	18.67
WATDE0868	20.33
WATDE0100	23.67
WATDE1030	19.33
Banco	24.33
Bandit	25.00
Banner	NA
Beauchamp	NA
Beaver	25.33
Becard_Kachu	NA
Bersee	22.00
Boreonos	NA
Bounty	23.33
Boxer	22.67
Buster	22.00
Calif	NA
Camp_Remy	21.67
Capitiane	20.33
Capo	NA
Cappelle_Desprez	22.33
Catamaran	21.67
Cezanne	19.33
Charger	24.33
Chinese_Spring	NA
Cimcog26	NA
Cimcog3	NA
Cimcog47	NA
Cimcog56	NA
Claire	NA
Consort	21.67
Courtot	21.67
Crest	22.33
Crusoe	20.00
Diablo	21.33
Diplomat	23.00
Disponent	20.67
Dorby	20.67
Drake	23.67
Drauhofener_Kolben	25.00
Druid	21.33
Encore	21.00
Equinox	21.33
Erla-Kolben	19.00
Erland	NA
Eros	24.33
Expert	NA
Extrem	NA
Fanal	24.67
Felix	26.67
Fiorello	NA
Flair	NA
Flame	NA
Flamingo	24.33
Florida	23.33
Gabo	19.33
Galahad	23.67
Garcia	NA
Gawain	24.67
Glasgow	26.00
Grafton	NA
Granada	22.00
Haven	23.00
Heine7	23.67
Hereward	22.67
Highbury	18.00
Hobbit	18.67
Holdfast	19.67
Hybrid46	22.33
Ibis	NA
Iena	NA
Ikarus	24.00
Jagger	NA
Joss_Cambier	27.33
Julius	NA
KWS_Santiago	19.33
Karat	NA
Koga1	NA
Kontrast	22.00
Kosack	25.33
Kranich	25.33
Lancelot	16.00
Leda	24.33
Legend	23.67
Longbow	23.33
Lutin	18.00
MISR1	NA
Mahndorfer	21.00
Marco	22.33
Maris_Dove	20.33
Maris_Widgeon	21.67
MarisHuntsman	22.67
Maris_ranger	25.00
Minister	23.67
Mironovska	18.67
Moisson	NA
Muck	NA
Multiweiss	21.67
Nautica	20.67
Newhaven	22.33
Norda	22.33
Norin	NA
Obelisk	20.67
Odeon	23.00
Odin	23.67
Oenus	22.67
Opata	20.00
Orlando	18.33
Palur	25.00
Pamyat	21.33
Pastiche	21.00
Pavon76	21.67
Pepital	NA
Peragis	19.00
Perlo	20.67
Pfau	NA
Pomerelle	19.33
Pony	23.00
Prof_Marshall	20.33
Prophet	NA
Rabe	22.67
Rebel	24.00
Recital	20.00
Record	17.67
Red_Fife	23.33
Reedling	NA
Regent	22.00
Renan	NA
Rendezvous	24.50
Revelation	NA
Riband	NA
Rimpaus_Bastard2	21.33
RitzlhoferNeu	22.00
SYMattis	NA
Savannah	NA
Schweigers_Taca	NA
Scipion	22.67
Shamrock	23.00
Shango	NA
Sicco	27.33
Slejpner	22.00
Soissons	NA
Soleil	22.00
Spark	22.67
Sperber	22.33
Spitfire	19.67
Sportsman	19.00
Stamm101	16.00
Starke2	26.33
Stava	25.00
Stella	25.00
Super152	NA
Svale	23.67
Tadorna	22.67
Talent	24.00
Tambor	19.33
Tandem	24.00
Tanker	25.67
Taras	21.00
Thatcher	24.67
Thor	26.33
Titus	20.67
Top	23.67
Torfrida	20.67
Trafalgar	NA
Treasure	19.00
Tremie	18.33
Triumph_NDL	NA
Tschermaks	NA
Turpin	24.67
Urban	22.67
Vaguedepis	24.00
Vilmorin53	21.33
Vilmorin27	22.67
Virgo	NA
Vocal	27.67
Voyage	24.00
WATDE0001	19.00
WATDE0002	19.67
WATDE0004	20.67
WATDE0005	18.67
WATDE0006	24.33
WATDE0007	NA
WATDE0008	16.00
WATDE0009	NA
WATDE0011	22.33
WATDE0012	22.33
WATDE0013	NA
WATDE0014	22.67
WATDE0015	21.00
WATDE0016	19.00
WATDE0017	21.00
WATDE0018	NA
WATDE0019	22.00
WATDE0020	23.00
WATDE0021	19.67
WATDE0022	23.33
WATDE0023	16.00
WATDE0024	20.00
WATDE0025	18.00
WATDE0026	18.00
WATDE0027	12.00
WATDE0028	18.00
WATDE0029	NA
WATDE0030	NA
WATDE0031	22.00
WATDE0032	NA
WATDE0033	19.00
WATDE0034	16.00
WATDE0035	NA
WATDE0036	17.00
WATDE0037	17.00
WATDE0038	NA
WATDE0040	NA
WATDE0041	16.33
WATDE0042	22.67
WATDE0043	20.00
WATDE0044	20.33
WATDE0045	21.33
WATDE0046	17.67
WATDE0047	22.00
WATDE0048	22.33
WATDE0049	17.33
WATDE0050	19.67
WATDE0051	NA
WATDE0052	17.33
WATDE0053	15.00
WATDE0054	19.33
WATDE0055	19.33
WATDE0056	20.33
WATDE0057	17.67
WATDE0058	21.33
WATDE0059	22.67
WATDE0060	18.67
WATDE0062	17.00
WATDE0063	18.33
WATDE0064	19.33
WATDE0065	20.67
WATDE0066	22.00
WATDE0067	17.00
WATDE0068	20.67
WATDE0069	18.67
WATDE0070	NA
WATDE0071	NA
WATDE0072	19.00
WATDE0073	20.00
WATDE0074	18.67
WATDE0075	19.33
WATDE0076	NA
WATDE0077	19.67
WATDE0078	19.00
WATDE0079	19.67
WATDE0080	15.67
WATDE0081	NA
WATDE0082	NA
WATDE0083	21.33
WATDE0084	20.67
WATDE0085	17.33
WATDE0086	21.00
WATDE0087	20.33
WATDE0088	19.00
WATDE0089	21.00
WATDE0090	20.33
WATDE0091	18.33
WATDE0092	17.33
WATDE0093	20.33
WATDE0094	21.33
WATDE0095	19.67
WATDE0096	21.67
WATDE0097	18.67
WATDE0098	16.67
WATDE0099	18.00
WATDE0101	21.00
WATDE0102	21.00
WATDE0103	23.00
WATDE0104	19.00
WATDE0105	23.00
WATDE0106	21.33
WATDE0107	20.00
WATDE0108	21.00
WATDE0109	22.00
WATDE0110	21.67
WATDE0111	21.00
WATDE0112	23.00
WATDE0113	23.00
WATDE0114	19.67
WATDE0115	18.33
WATDE0116	19.00
WATDE0117	19.00
WATDE0118	21.67
WATDE0119	18.33
WATDE0120	21.00
WATDE0121	21.67
WATDE0122	21.00
WATDE0123	18.33
WATDE0124	17.33
WATDE0126	18.00
WATDE0127	15.00
WATDE0129	14.33
WATDE0131	17.33
WATDE0133	20.00
WATDE0134	18.00
WATDE0136	16.67
WATDE0138	21.33
WATDE0140	NA
WATDE0141	19.33
WATDE0143	NA
WATDE0144	21.33
WATDE0145	20.33
WATDE0146	19.00
WATDE0148	NA
WATDE0149	21.00
WATDE0150	18.33
WATDE0151	19.00
WATDE0152	21.33
WATDE0153	19.00
WATDE0154	19.33
WATDE0156	25.00
WATDE0157	18.67
WATDE0158	18.67
WATDE0159	25.33
WATDE0160	24.33
WATDE0162	19.33
WATDE0164	19.33
