IID	LeafWid_Shenzhen_2022_Flag_Natural
WATDE0382	1.63
WATDE0383	1.50
WATDE0385	NA
WATDE0386	NA
WATDE0387	NA
WATDE0389	NA
WATDE0391	NA
WATDE0392	1.50
WATDE0394	1.43
WATDE0396	NA
WATDE0397	1.20
WATDE0399	2.03
WATDE0401	2.27
WATDE0403	NA
WATDE0404	NA
WATDE0405	NA
WATDE0407	1.63
WATDE0408	1.67
WATDE0409	1.53
WATDE0410	NA
WATDE0411	1.73
WATDE0412	1.47
WATDE0413	2.00
WATDE0415	1.23
WATDE0417	1.73
WATDE0419	1.40
WATDE0420	1.17
WATDE0421	1.17
WATDE0422	1.40
WATDE0423	1.37
WATDE0424	NA
WATDE0425	NA
WATDE0426	NA
WATDE0427	1.13
WATDE0428	1.20
WATDE0429	1.53
WATDE0430	1.57
WATDE0431	NA
WATDE0432	NA
WATDE0433	NA
WATDE0434	1.30
WATDE0435	1.20
WATDE0436	1.13
WATDE0438	NA
WATDE0439	1.33
WATDE0440	1.37
WATDE0441	1.57
WATDE0442	1.27
WATDE0443	1.47
WATDE0444	1.80
WATDE0445	1.37
WATDE0446	1.30
WATDE0448	1.00
WATDE0449	1.67
WATDE0450	2.07
WATDE0451	NA
WATDE0452	1.57
WATDE0453	1.47
WATDE0454	2.10
WATDE0455	2.10
WATDE0456	1.53
WATDE0457	NA
WATDE0460	0.77
WATDE0461	1.80
WATDE0462	1.70
WATDE0463	1.23
WATDE0465	NA
WATDE0467	NA
WATDE0469	1.20
WATDE0471	1.27
WATDE0474	2.00
WATDE0477	0.63
WATDE0479	1.67
WATDE0481	1.80
WATDE0482	1.47
WATDE0484	NA
WATDE0486	0.90
WATDE0487	1.60
WATDE0488	1.57
WATDE0489	1.53
WATDE0490	1.37
WATDE0492	NA
WATDE0494	NA
WATDE0496	NA
WATDE0498	NA
WATDE0500	NA
WATDE0501	NA
WATDE0502	NA
WATDE0503	NA
WATDE0504	NA
WATDE0505	NA
WATDE0507	NA
WATDE0509	1.97
WATDE0510	1.23
WATDE0511	NA
WATDE0512	NA
WATDE0513	1.17
WATDE0515	1.17
WATDE0516	NA
WATDE0518	NA
WATDE0519	NA
WATDE0520	1.10
WATDE0521	1.10
WATDE0522	1.70
WATDE0524	NA
WATDE0527	NA
WATDE0529	NA
WATDE0531	NA
WATDE0533	1.20
WATDE0534	0.93
WATDE0536	NA
WATDE0537	1.17
WATDE0538	NA
WATDE0539	1.23
WATDE0540	NA
WATDE0541	1.83
WATDE0542	NA
WATDE0543	NA
WATDE0544	1.13
WATDE0546	NA
WATDE0547	1.03
WATDE0549	1.63
WATDE0550	NA
WATDE0552	1.43
WATDE0553	1.10
WATDE0555	1.40
WATDE0556	2.10
WATDE0557	1.10
WATDE0558	NA
WATDE0560	NA
WATDE0561	NA
WATDE0562	0.90
WATDE0563	1.10
WATDE0565	1.60
WATDE0566	NA
WATDE0567	0.93
WATDE0568	1.17
WATDE0569	1.70
WATDE0570	NA
WATDE0571	1.67
WATDE0572	1.20
WATDE0574	1.63
WATDE0577	1.50
WATDE0578	NA
WATDE0579	1.43
WATDE0581	1.47
WATDE0582	NA
WATDE0585	1.47
WATDE0586	NA
WATDE0588	1.33
WATDE0589	NA
WATDE0591	NA
WATDE0592	NA
WATDE0594	0.80
WATDE0596	0.87
WATDE0597	1.80
WATDE0598	1.77
WATDE0599	NA
WATDE0600	1.17
WATDE0601	NA
WATDE0602	1.23
WATDE0603	1.33
WATDE0604	1.57
WATDE0606	1.27
WATDE0608	1.40
WATDE0609	1.03
WATDE0610	1.33
WATDE0611	1.50
WATDE0613	1.03
WATDE0614	1.33
WATDE0615	1.50
WATDE0616	1.87
WATDE0617	1.73
WATDE0618	NA
WATDE0620	1.33
WATDE0622	NA
WATDE0624	NA
WATDE0626	2.13
WATDE0627	NA
WATDE0628	1.10
WATDE0630	1.20
WATDE0631	0.80
WATDE0632	NA
WATDE0634	1.10
WATDE0635	1.67
WATDE0636	NA
WATDE0638	NA
WATDE0639	1.50
WATDE0640	1.97
WATDE0641	NA
WATDE0643	1.10
WATDE0644	NA
WATDE0646	1.90
WATDE0648	1.43
WATDE0649	1.97
WATDE0650	1.57
WATDE0651	1.23
WATDE0652	1.27
WATDE0653	1.80
WATDE0655	1.77
WATDE0657	1.97
WATDE0658	NA
WATDE0659	1.30
WATDE0660	NA
WATDE0661	1.57
WATDE0662	1.20
WATDE0663	1.17
WATDE0664	0.97
WATDE0665	1.10
WATDE0666	NA
WATDE0667	NA
WATDE0669	NA
WATDE0670	NA
WATDE0671	NA
WATDE0672	2.00
WATDE0674	1.43
WATDE0675	1.37
WATDE0676	1.27
WATDE0678	1.27
WATDE0679	2.07
WATDE0680	1.87
WATDE0682	1.63
WATDE0683	1.87
WATDE0685	1.63
WATDE0686	1.57
WATDE0687	1.30
WATDE0688	1.30
WATDE0689	1.20
WATDE0691	1.60
WATDE0693	1.47
WATDE0694	1.07
WATDE0695	1.33
WATDE0697	1.07
WATDE0699	NA
WATDE0700	1.50
WATDE0701	1.33
WATDE0702	1.20
WATDE0703	1.53
WATDE0704	1.30
WATDE0705	1.33
WATDE0706	1.70
WATDE0707	2.13
WATDE0709	1.07
WATDE0710	NA
WATDE0712	NA
WATDE0713	NA
WATDE0716	NA
WATDE0718	1.30
WATDE0720	1.13
WATDE0721	1.07
WATDE0723	1.63
WATDE0725	1.10
WATDE0726	NA
WATDE0727	NA
WATDE0728	1.47
WATDE0729	1.67
WATDE0730	1.20
WATDE0732	1.45
WATDE0735	1.47
WATDE0736	1.67
WATDE0737	1.73
WATDE0738	1.57
WATDE0739	1.30
WATDE0740	NA
WATDE0742	NA
WATDE0743	1.07
WATDE0744	NA
WATDE0745	1.70
WATDE0747	1.27
WATDE0748	NA
WATDE0749	1.27
WATDE0750	NA
WATDE0751	2.33
WATDE0752	1.33
WATDE0754	1.23
WATDE0755	1.63
WATDE0756	1.83
WATDE0758	1.10
WATDE0759	1.13
WATDE0760	1.87
WATDE0761	1.67
WATDE0763	2.17
WATDE0765	1.63
WATDE0766	1.40
WATDE0768	1.63
WATDE0769	2.07
WATDE0770	1.97
WATDE0771	1.80
WATDE0773	1.90
WATDE0774	1.33
WATDE0775	1.57
WATDE0776	0.70
WATDE0777	1.30
WATDE0779	NA
WATDE0780	1.17
WATDE0781	1.63
WATDE0782	1.53
WATDE0783	1.07
WATDE0785	1.60
WATDE0786	0.97
WATDE0788	1.03
WATDE0789	1.37
WATDE0790	1.30
WATDE0791	1.33
WATDE0793	1.47
WATDE0794	1.57
WATDE0795	1.73
WATDE0797	2.10
WATDE0798	2.00
WATDE0800	1.40
WATDE0802	1.43
WATDE0803	1.40
WATDE0804	1.10
WATDE0805	1.47
WATDE0807	1.90
WATDE0808	1.07
WATDE0810	1.13
WATDE0811	1.63
WATDE0812	NA
WATDE0814	2.20
WATDE0815	NA
WATDE0816	NA
WATDE0817	1.47
WATDE0818	NA
WATDE0819	NA
WATDE0821	NA
WATDE0823	1.20
WATDE0825	NA
WATDE0826	NA
WATDE0827	1.60
WATDE0828	NA
WATDE0830	1.23
WATDE0831	NA
WATDE0833	1.00
WATDE0835	1.50
WATDE0836	1.63
WATDE0837	0.80
WATDE0839	1.50
WATDE0840	1.33
WATDE0841	1.07
WATDE0843	NA
WATDE0845	NA
WATDE0846	1.77
WATDE0848	NA
WATDE0850	1.47
WATDE0851	1.37
WATDE0852	1.63
WATDE0854	1.07
WATDE0856	1.30
WATDE0857	1.37
WATDE0859	1.00
WATDE0861	1.53
WATDE0862	1.13
WATDE0863	1.67
WATDE0864	NA
WATDE0865	1.13
WATDE0869	1.13
WATDE0871	1.47
WATDE0872	1.20
WATDE0873	1.47
WATDE0874	1.57
WATDE0875	1.57
WATDE0876	1.50
WATDE0877	1.30
WATDE0878	NA
WATDE0879	NA
WATDE0880	1.27
WATDE0881	NA
WATDE0882	1.00
WATDE0883	1.10
WATDE0884	NA
WATDE0887	NA
WATDE0888	1.50
WATDE0889	1.43
WATDE0890	1.07
WATDE0892	1.30
WATDE0894	1.13
WATDE0895	NA
WATDE0896	1.40
WATDE0898	NA
WATDE0899	1.93
WATDE0900	NA
WATDE0901	1.43
WATDE0902	1.70
WATDE0903	NA
WATDE0904	1.77
WATDE0905	1.63
WATDE0906	1.50
WATDE0907	1.90
WATDE0909	1.60
WATDE0910	1.83
WATDE0911	NA
WATDE0912	1.03
WATDE0913	1.67
WATDE0914	NA
WATDE0915	0.97
WATDE0916	1.63
WATDE0917	1.83
WATDE0918	NA
WATDE0919	1.73
WATDE0920	NA
WATDE0922	1.40
WATDE0923	1.50
WATDE0924	2.00
WATDE0926	1.57
WATDE0927	1.50
WATDE0928	1.00
WATDE0929	1.03
WATDE0930	1.27
WATDE0932	1.60
WATDE0933	1.73
WATDE0934	1.13
WATDE0935	1.03
WATDE0937	1.23
WATDE0938	1.40
WATDE0939	1.43
WATDE0941	NA
WATDE0944	1.10
WATDE0945	1.23
WATDE0947	1.47
WATDE0950	1.23
WATDE0951	1.57
WATDE0952	1.13
WATDE0953	NA
WATDE0954	1.10
WATDE0955	NA
WATDE0957	1.27
WATDE0958	NA
WATDE0961	NA
WATDE0963	1.03
WATDE0965	NA
WATDE0966	1.53
WATDE0967	NA
WATDE0969	1.40
WATDE0970	1.10
WATDE0971	1.17
WATDE0973	NA
WATDE0974	1.43
WATDE0975	NA
WATDE0977	1.23
WATDE0978	1.30
WATDE0979	1.40
WATDE0981	NA
WATDE0982	1.43
WATDE0983	1.37
WATDE0984	1.90
WATDE0986	2.40
WATDE0987	1.20
WATDE0989	1.30
WATDE0991	1.17
WATDE0993	1.47
WATDE0995	1.77
WATDE0996	1.50
WATDE0997	NA
WATDE0999	1.00
WATDE1001	NA
WATDE1002	NA
WATDE1003	NA
WATDE1004	1.33
WATDE1005	0.93
WATDE1008	NA
WATDE1009	1.07
WATDE1010	1.10
WATDE1012	2.20
WATDE1014	1.00
WATDE1016	NA
WATDE1017	NA
WATDE1018	1.27
WATDE1019	1.03
WATDE1021	NA
WATDE1023	NA
WATDE1025	1.13
WATDE1026	1.77
WATDE1027	NA
WATDE1029	1.53
WATDE1031	1.33
WATDE1032	1.37
WATDE1034	1.57
WATDE1035	1.33
WATDE1037	0.97
WATDE1038	1.63
WATDE1040	NA
WATDE1042	NA
WATDE1044	1.10
WATDE1046	1.67
WATDE1048	0.90
WATDE1049	1.47
WATDE1050	1.47
WATDE1051	1.63
WATDE1052	1.03
WATDE1053	NA
WATDE1055	1.33
WATDE1056	1.13
WATDE1058	1.20
WATDE1060	1.83
WATDE1061	1.20
WATDE1062	1.47
Walde	NA
Warrior	NA
Waxwing	NA
Werla	NA
Wizard	NA
Wyalkatatchen	NA
Xi19	1.53
Zemon	1.40
Zentos	NA
ability	NA
avocet	1.77
blitz	NA
cadenza	NA
captor	NA
cimcog32	1.67
david	1.60
denver	1.20
eagle	NA
festival	1.27
fidel	1.60
fielder	NA
holster	NA
lancer	NA
landmark	NA
mace	NA
malacca	NA
mendel	NA
mercia	NA
mina	NA
paragon	NA
robigus	NA
solstice	NA
stanley	NA
torch	NA
veritas	NA
wasp	NA
weebil	NA
