IID	LeafTem_Shenzhen_2022_Natural
Agron	NA
Alba	NA
Albatross	NA
Alcedo	NA
Alert	NA
Almus	NA
Altria	NA
ArinaLrFor	NA
Arminda	NA
Aronde	NA
Avalon	NA
Aztec	NA
WATDE0003	29.69
WATDE0010	NA
WATDE0339	28.91
WATDE0459	29.78
WATDE0476	29.47
WATDE0526	NA
WATDE0532	29.46
WATDE0576	29.71
WATDE0612	29.82
WATDE0061	29.70
WATDE0668	28.89
WATDE0714	29.69
WATDE0762	29.60
WATDE0801	29.25
WATDE0868	29.58
WATDE0100	29.98
WATDE1030	29.70
Banco	NA
Bandit	NA
Banner	NA
Beauchamp	NA
Beaver	NA
Becard_Kachu	NA
Bersee	NA
Boreonos	NA
Bounty	NA
Boxer	NA
Buster	NA
Calif	NA
Camp_Remy	NA
Capitiane	NA
Capo	NA
Cappelle_Desprez	NA
Catamaran	NA
Cezanne	NA
Charger	NA
Chinese_Spring	NA
Cimcog26	NA
Cimcog3	NA
Cimcog47	NA
Cimcog56	NA
Claire	NA
Consort	NA
Courtot	NA
Crest	NA
Crusoe	NA
Diablo	NA
Diplomat	NA
Disponent	NA
Dorby	NA
Drake	NA
Drauhofener_Kolben	NA
Druid	NA
Encore	NA
Equinox	NA
Erla-Kolben	NA
Erland	NA
Eros	NA
Expert	NA
Extrem	NA
Fanal	NA
Felix	NA
Fiorello	NA
Flair	NA
Flame	NA
Flamingo	NA
Florida	NA
Gabo	NA
Galahad	NA
Garcia	NA
Gawain	NA
Glasgow	NA
Grafton	NA
Granada	NA
Haven	NA
Heine7	NA
Hereward	NA
Highbury	NA
Hobbit	NA
Holdfast	NA
Hybrid46	NA
Ibis	NA
Iena	NA
Ikarus	NA
Jagger	NA
Joss_Cambier	NA
Julius	NA
KWS_Santiago	NA
Karat	NA
Koga1	NA
Kontrast	NA
Kosack	NA
Kranich	NA
Lancelot	NA
Leda	NA
Legend	NA
Longbow	NA
Lutin	NA
MISR1	NA
Mahndorfer	NA
Marco	NA
Maris_Dove	NA
Maris_Widgeon	NA
MarisHuntsman	NA
Maris_ranger	NA
Minister	NA
Mironovska	NA
Moisson	NA
Muck	NA
Multiweiss	NA
Nautica	NA
Newhaven	NA
Norda	NA
Norin	NA
Obelisk	NA
Odeon	NA
Odin	NA
Oenus	NA
Opata	NA
Orlando	NA
Palur	NA
Pamyat	NA
Pastiche	NA
Pavon76	NA
Pepital	NA
Peragis	NA
Perlo	NA
Pfau	NA
Pomerelle	NA
Pony	NA
Prof_Marshall	NA
Prophet	NA
Rabe	NA
Rebel	NA
Recital	NA
Record	NA
Red_Fife	NA
Reedling	NA
Regent	NA
Renan	NA
Rendezvous	NA
Revelation	NA
Riband	NA
Rimpaus_Bastard2	NA
RitzlhoferNeu	NA
SYMattis	NA
Savannah	NA
Schweigers_Taca	NA
Scipion	NA
Shamrock	NA
Shango	NA
Sicco	NA
Slejpner	NA
Soissons	NA
Soleil	NA
Spark	NA
Sperber	NA
Spitfire	NA
Sportsman	NA
Stamm101	NA
Starke2	NA
Stava	NA
Stella	NA
Super152	NA
Svale	NA
Tadorna	NA
Talent	NA
Tambor	NA
Tandem	NA
Tanker	NA
Taras	NA
Thatcher	NA
Thor	NA
Titus	NA
Top	NA
Torfrida	NA
Trafalgar	NA
Treasure	NA
Tremie	NA
Triumph_NDL	NA
Tschermaks	NA
Turpin	NA
Urban	NA
Vaguedepis	NA
Vilmorin53	NA
Vilmorin27	NA
Virgo	NA
Vocal	NA
Voyage	NA
WATDE0001	29.62
WATDE0002	30.61
WATDE0004	28.91
WATDE0005	29.83
WATDE0006	29.89
WATDE0007	NA
WATDE0008	29.26
WATDE0009	29.59
WATDE0011	29.56
WATDE0012	29.89
WATDE0013	29.54
WATDE0014	NA
WATDE0015	29.79
WATDE0016	29.84
WATDE0017	29.77
WATDE0018	28.61
WATDE0019	NA
WATDE0020	29.96
WATDE0021	29.25
WATDE0022	29.61
WATDE0023	29.91
WATDE0024	NA
WATDE0025	29.28
WATDE0026	28.85
WATDE0027	28.86
WATDE0028	29.48
WATDE0029	NA
WATDE0030	NA
WATDE0031	29.02
WATDE0032	29.09
WATDE0033	29.17
WATDE0034	29.41
WATDE0035	NA
WATDE0036	29.84
WATDE0037	29.26
WATDE0038	NA
WATDE0040	NA
WATDE0041	30.09
WATDE0042	29.90
WATDE0043	29.05
WATDE0044	NA
WATDE0045	29.93
WATDE0046	29.83
WATDE0047	29.49
WATDE0048	29.55
WATDE0049	29.93
WATDE0050	NA
WATDE0051	29.57
WATDE0052	NA
WATDE0053	29.29
WATDE0054	29.59
WATDE0055	28.37
WATDE0056	30.16
WATDE0057	29.07
WATDE0058	28.85
WATDE0059	29.20
WATDE0060	29.62
WATDE0062	29.01
WATDE0063	30.26
WATDE0064	30.70
WATDE0065	29.51
WATDE0066	29.86
WATDE0067	29.08
WATDE0068	29.12
WATDE0069	29.37
WATDE0070	28.73
WATDE0071	29.59
WATDE0072	29.12
WATDE0073	29.29
WATDE0074	29.59
WATDE0075	29.82
WATDE0076	30.04
WATDE0077	30.12
WATDE0078	29.22
WATDE0079	30.05
WATDE0080	29.41
WATDE0081	NA
WATDE0082	29.53
WATDE0083	29.02
WATDE0084	29.45
WATDE0085	29.40
WATDE0086	29.34
WATDE0087	30.30
WATDE0088	29.78
WATDE0089	NA
WATDE0090	28.84
WATDE0091	29.35
WATDE0092	28.85
WATDE0093	29.50
WATDE0094	29.43
WATDE0095	28.69
WATDE0096	29.38
WATDE0097	28.31
WATDE0098	30.18
WATDE0099	29.90
WATDE0101	29.68
WATDE0102	29.42
WATDE0103	29.77
WATDE0104	NA
WATDE0105	29.64
WATDE0106	29.60
WATDE0107	29.64
WATDE0108	29.88
WATDE0109	29.79
WATDE0110	30.21
WATDE0111	29.79
WATDE0112	29.58
WATDE0113	29.96
WATDE0114	29.90
WATDE0115	29.68
WATDE0116	29.14
WATDE0117	29.52
WATDE0118	29.20
WATDE0119	30.07
WATDE0120	29.34
WATDE0121	29.14
WATDE0122	29.34
WATDE0123	30.55
WATDE0124	29.76
WATDE0126	29.74
WATDE0127	28.99
WATDE0129	29.37
WATDE0131	29.64
