IID	PH_Shenzhen-LN_2021_Natural
WATDE0149	100.10
WATDE0150	NA
WATDE0151	114.79
WATDE0152	NA
WATDE0153	114.31
WATDE0154	NA
WATDE0156	105.13
WATDE0157	106.33
WATDE0158	126.92
WATDE0159	NA
WATDE0160	69.87
WATDE0162	79.58
WATDE0164	NA
WATDE0165	52.59
WATDE0168	NA
WATDE0169	NA
WATDE0171	NA
WATDE0173	107.36
WATDE0174	NA
WATDE0175	NA
WATDE0176	NA
WATDE0177	NA
WATDE0178	95.62
WATDE0180	98.49
WATDE0181	101.91
WATDE0182	NA
WATDE0183	104.46
WATDE0184	NA
WATDE0185	135.63
WATDE0187	NA
WATDE0188	NA
WATDE0190	NA
WATDE0191	NA
WATDE0192	NA
WATDE0194	NA
WATDE0195	NA
WATDE0196	NA
WATDE0198	NA
WATDE0199	NA
WATDE0200	NA
WATDE0202	120.65
WATDE0203	NA
WATDE0204	NA
WATDE0205	NA
WATDE0206	NA
WATDE0207	50.94
WATDE0209	NA
WATDE0211	NA
WATDE0212	92.64
WATDE0214	NA
WATDE0215	NA
WATDE0216	95.60
WATDE0217	NA
WATDE0219	NA
WATDE0220	84.66
WATDE0221	NA
WATDE0222	123.11
WATDE0223	112.05
WATDE0224	119.81
WATDE0225	NA
WATDE0227	103.62
WATDE0228	126.58
WATDE0229	81.25
WATDE0230	NA
WATDE0232	NA
WATDE0233	NA
WATDE0234	NA
WATDE0235	27.81
WATDE0236	NA
WATDE0237	NA
WATDE0238	NA
WATDE0239	95.34
WATDE0241	NA
WATDE0242	NA
WATDE0243	NA
WATDE0244	105.22
WATDE0246	NA
WATDE0247	NA
WATDE0248	NA
WATDE0249	63.91
WATDE0250	NA
WATDE0252	NA
WATDE0253	NA
WATDE0254	112.94
WATDE0255	96.93
WATDE0257	124.60
WATDE0258	118.14
WATDE0259	111.97
WATDE0260	123.44
WATDE0262	NA
WATDE0263	108.96
WATDE0264	94.13
WATDE0266	NA
WATDE0268	NA
WATDE0270	NA
WATDE0271	109.33
WATDE0272	123.98
WATDE0273	NA
WATDE0275	120.09
WATDE0276	NA
WATDE0277	NA
WATDE0278	NA
WATDE0280	NA
WATDE0281	98.10
WATDE0282	NA
WATDE0284	NA
WATDE0285	NA
WATDE0286	113.31
WATDE0287	83.73
WATDE0288	NA
WATDE0290	103.91
WATDE0291	NA
WATDE0292	128.33
WATDE0293	NA
WATDE0294	NA
WATDE0296	NA
WATDE0298	NA
WATDE0299	NA
WATDE0301	NA
WATDE0302	89.15
WATDE0303	NA
WATDE0304	NA
WATDE0305	NA
WATDE0306	107.07
WATDE0308	NA
WATDE0310	NA
WATDE0312	82.64
WATDE0313	95.94
WATDE0315	86.29
WATDE0316	NA
WATDE0317	114.09
WATDE0318	NA
WATDE0319	105.62
WATDE0321	109.41
WATDE0323	NA
WATDE0324	118.45
WATDE0325	NA
WATDE0328	NA
WATDE0329	NA
WATDE0331	81.63
WATDE0332	99.85
WATDE0333	98.78
WATDE0334	NA
WATDE0335	NA
WATDE0336	NA
WATDE0337	NA
WATDE0340	NA
WATDE0342	NA
WATDE0343	NA
WATDE0344	NA
WATDE0345	NA
WATDE0346	87.63
WATDE0347	NA
WATDE0348	NA
WATDE0350	83.62
WATDE0352	63.59
WATDE0353	NA
WATDE0354	116.97
WATDE0355	NA
WATDE0356	NA
WATDE0358	NA
WATDE0359	116.00
WATDE0361	NA
WATDE0363	NA
WATDE0365	NA
WATDE0366	NA
WATDE0368	111.05
WATDE0369	NA
WATDE0370	NA
WATDE0371	133.64
WATDE0372	117.05
WATDE0373	NA
WATDE0374	115.89
WATDE0375	119.38
WATDE0377	NA
WATDE0378	NA
WATDE0379	NA
WATDE0381	112.72
WATDE0382	113.96
WATDE0383	NA
WATDE0385	NA
WATDE0386	NA
WATDE0387	NA
WATDE0389	116.59
WATDE0391	119.30
WATDE0392	NA
WATDE0394	67.20
WATDE0396	80.58
WATDE0397	NA
WATDE0399	120.63
WATDE0401	140.42
WATDE0403	NA
WATDE0404	86.23
WATDE0405	NA
WATDE0407	96.75
WATDE0408	99.84
WATDE0409	87.13
WATDE0410	NA
WATDE0411	138.55
WATDE0412	117.58
WATDE0413	67.04
WATDE0415	NA
WATDE0417	NA
WATDE0419	70.82
WATDE0420	119.48
WATDE0421	NA
WATDE0422	118.60
WATDE0423	110.92
WATDE0424	NA
WATDE0425	NA
WATDE0426	NA
WATDE0427	NA
WATDE0428	NA
WATDE0429	NA
WATDE0430	116.82
WATDE0431	NA
WATDE0432	NA
WATDE0433	NA
WATDE0434	NA
WATDE0435	NA
WATDE0436	77.73
WATDE0438	NA
WATDE0439	130.97
WATDE0440	102.74
WATDE0441	97.74
WATDE0442	NA
WATDE0443	NA
WATDE0444	NA
WATDE0445	NA
WATDE0446	124.52
WATDE0448	80.60
WATDE0449	131.00
WATDE0450	140.53
WATDE0451	NA
WATDE0452	119.66
WATDE0453	121.36
WATDE0454	138.65
WATDE0455	121.98
WATDE0456	NA
WATDE0457	67.80
WATDE0460	104.12
WATDE0461	NA
WATDE0462	126.14
WATDE0463	NA
WATDE0465	80.04
WATDE0467	71.58
WATDE0469	102.48
WATDE0471	98.82
WATDE0474	116.45
WATDE0477	108.32
WATDE0479	105.65
WATDE0481	142.15
WATDE0482	92.07
WATDE0484	66.15
WATDE0486	117.48
WATDE0487	123.70
WATDE0488	74.26
WATDE0489	92.13
WATDE0490	101.47
WATDE0492	NA
WATDE0494	58.64
WATDE0496	NA
WATDE0498	61.99
WATDE0500	NA
WATDE0501	89.58
WATDE0502	NA
WATDE0503	NA
WATDE0504	78.48
WATDE0505	NA
WATDE0507	NA
WATDE0509	108.12
WATDE0510	NA
WATDE0511	NA
WATDE0512	97.18
WATDE0513	95.51
WATDE0515	NA
WATDE0516	NA
WATDE0518	NA
WATDE0519	NA
WATDE0520	NA
WATDE0521	89.25
WATDE0522	101.39
WATDE0524	NA
WATDE0527	NA
WATDE0529	NA
WATDE0531	NA
WATDE0533	72.33
WATDE0534	94.46
WATDE0536	NA
WATDE0537	100.61
WATDE0538	NA
WATDE0539	108.20
WATDE0540	81.32
WATDE0541	NA
WATDE0542	NA
WATDE0543	89.46
WATDE0544	NA
WATDE0546	NA
WATDE0547	108.33
WATDE0549	NA
WATDE0550	NA
WATDE0552	NA
WATDE0553	93.11
WATDE0555	109.07
WATDE0556	91.59
WATDE0557	75.29
WATDE0558	NA
WATDE0560	NA
WATDE0561	NA
WATDE0562	70.68
WATDE0563	87.30
WATDE0565	NA
