IID	BM_Quzhou_2022_Natural_Spike-Mature
WATDE0146	5.31
WATDE0148	8.24
WATDE0149	9.12
WATDE0150	11.16
WATDE0151	7.13
WATDE0152	6.23
WATDE0153	4.98
WATDE0154	8.49
WATDE0156	6.18
WATDE0157	9.4
WATDE0158	11.81
WATDE0159	10.34
WATDE0160	9.81
WATDE0162	NA
WATDE0164	NA
WATDE0165	NA
WATDE0168	NA
WATDE0169	NA
WATDE0171	NA
WATDE0173	8.72
WATDE0174	13.48
WATDE0175	NA
WATDE0176	NA
WATDE0177	NA
WATDE0178	10.89
WATDE0180	7.5
WATDE0181	7.88
WATDE0182	0
WATDE0183	5.74
WATDE0184	12.23
WATDE0185	5.05
WATDE0187	NA
WATDE0188	6.4
WATDE0190	11.65
WATDE0191	8.66
WATDE0192	7.29
WATDE0194	NA
WATDE0195	5.9
WATDE0196	NA
WATDE0198	NA
WATDE0199	NA
WATDE0200	NA
WATDE0202	12.28
WATDE0203	9.98
WATDE0204	9.42
WATDE0205	NA
WATDE0206	10.38
WATDE0207	NA
WATDE0209	NA
WATDE0211	8.84
WATDE0212	7.54
WATDE0214	NA
WATDE0215	9.74
WATDE0216	9
WATDE0217	NA
WATDE0219	0
WATDE0220	13
WATDE0221	6.8
WATDE0222	12.93
WATDE0223	10.19
WATDE0224	4.07
WATDE0225	NA
WATDE0227	7.98
WATDE0228	8
WATDE0229	10.2
WATDE0230	NA
WATDE0232	NA
WATDE0233	6.82
WATDE0234	NA
WATDE0235	13.52
WATDE0236	NA
WATDE0237	NA
WATDE0238	NA
WATDE0239	10.03
WATDE0241	NA
WATDE0242	10.99
WATDE0243	NA
WATDE0244	NA
WATDE0246	NA
WATDE0247	7.27
WATDE0248	NA
WATDE0249	6.25
WATDE0250	5.01
WATDE0252	NA
WATDE0253	NA
WATDE0254	5.99
WATDE0255	8.26
WATDE0257	10.36
WATDE0258	5.29
WATDE0259	8.08
WATDE0260	8.93
WATDE0262	5.84
WATDE0263	8.74
WATDE0264	10.73
WATDE0266	8.53
WATDE0268	NA
WATDE0270	NA
WATDE0271	6.65
WATDE0272	11.16
WATDE0273	10.4
WATDE0275	8.89
WATDE0276	10.24
WATDE0277	NA
WATDE0278	11.23
WATDE0280	7.62
WATDE0281	9.58
WATDE0282	NA
WATDE0284	NA
WATDE0285	6.41
WATDE0286	6.23
WATDE0287	5.75
WATDE0288	10.19
WATDE0290	5.69
WATDE0291	NA
WATDE0292	9.56
WATDE0293	7.58
WATDE0294	7.35
WATDE0296	NA
WATDE0298	NA
WATDE0299	NA
WATDE0301	7.3
WATDE0302	NA
WATDE0303	NA
WATDE0304	NA
WATDE0305	12.22
WATDE0306	10.52
WATDE0308	7.72
WATDE0310	NA
WATDE0312	10.3
WATDE0313	7.09
WATDE0315	6.83
WATDE0316	5.94
WATDE0317	11.87
WATDE0318	5.94
WATDE0319	5.67
WATDE0321	8.53
WATDE0323	NA
WATDE0324	7.27
WATDE0325	NA
WATDE0328	8.84
WATDE0329	NA
WATDE0331	8.55
WATDE0332	6.05
WATDE0333	8.07
WATDE0334	NA
WATDE0335	4.77
WATDE0336	5.95
WATDE0337	NA
WATDE0340	NA
WATDE0342	NA
WATDE0343	NA
WATDE0344	NA
WATDE0345	NA
WATDE0346	9.49
WATDE0347	NA
WATDE0348	NA
WATDE0350	6.94
WATDE0352	7.87
WATDE0353	10.39
WATDE0354	7.29
WATDE0355	NA
WATDE0356	8.59
WATDE0358	NA
WATDE0359	0
WATDE0361	NA
WATDE0363	11.96
WATDE0365	NA
WATDE0366	12.9
WATDE0368	9.38
WATDE0369	NA
WATDE0370	NA
WATDE0371	6.96
WATDE0372	5.55
WATDE0373	8.71
WATDE0374	7.51
WATDE0375	7.83
WATDE0377	NA
WATDE0378	NA
WATDE0379	7.96
WATDE0381	9.73
WATDE0382	9.86
WATDE0383	7.6
WATDE0385	7.12
WATDE0386	NA
WATDE0387	NA
WATDE0389	NA
WATDE0391	8.79
WATDE0392	NA
WATDE0394	5.59
WATDE0396	6.74
WATDE0397	8.35
WATDE0399	13.12
WATDE0401	10.34
WATDE0403	NA
WATDE0404	7.36
WATDE0405	NA
WATDE0407	6.56
WATDE0408	8.39
WATDE0409	6.56
WATDE0410	NA
WATDE0411	10.5
WATDE0412	9.34
WATDE0413	10.09
WATDE0415	7.6
