IID	Mat_Shenzhen_2022_Natural_50percentXin
WATDE0180	154
WATDE0181	160
WATDE0182	170
WATDE0183	145
WATDE0184	NA
WATDE0185	146
WATDE0187	NA
WATDE0188	174
WATDE0190	173
WATDE0191	173
WATDE0192	NA
WATDE0194	NA
WATDE0195	NA
WATDE0196	NA
WATDE0198	NA
WATDE0199	NA
WATDE0200	NA
WATDE0202	173
WATDE0203	NA
WATDE0204	NA
WATDE0205	NA
WATDE0206	NA
WATDE0207	NA
WATDE0209	NA
WATDE0211	173
WATDE0212	NA
WATDE0214	NA
WATDE0215	135
WATDE0216	NA
WATDE0217	NA
WATDE0219	157
WATDE0220	162
WATDE0221	151
WATDE0222	147
WATDE0223	123
WATDE0224	127
WATDE0225	NA
WATDE0227	158
WATDE0228	151
WATDE0229	NA
WATDE0230	NA
WATDE0232	NA
WATDE0233	NA
WATDE0234	NA
WATDE0235	167
WATDE0236	156
WATDE0237	NA
WATDE0238	NA
WATDE0239	NA
WATDE0241	NA
WATDE0242	174
WATDE0243	NA
WATDE0244	NA
WATDE0246	NA
WATDE0247	NA
WATDE0248	NA
WATDE0249	NA
WATDE0250	NA
WATDE0252	NA
WATDE0253	NA
WATDE0254	NA
WATDE0255	184
WATDE0257	157
WATDE0258	145
WATDE0259	152
WATDE0260	144
WATDE0262	139
WATDE0263	145
WATDE0264	133
WATDE0266	184
WATDE0268	NA
WATDE0270	NA
WATDE0271	152
WATDE0272	137
WATDE0273	173
WATDE0275	135
WATDE0276	149
WATDE0277	NA
WATDE0278	149
WATDE0280	171
WATDE0281	177
WATDE0282	NA
WATDE0284	NA
WATDE0285	156
WATDE0286	151
WATDE0287	NA
WATDE0288	173
WATDE0290	169
WATDE0291	NA
WATDE0292	156
WATDE0293	NA
WATDE0294	184
WATDE0296	NA
WATDE0298	NA
WATDE0299	NA
WATDE0301	NA
WATDE0302	NA
WATDE0303	NA
WATDE0304	NA
WATDE0305	NA
WATDE0306	174
WATDE0308	NA
WATDE0310	184
WATDE0312	179
WATDE0313	159
WATDE0315	172
WATDE0316	NA
WATDE0317	166
WATDE0318	153
WATDE0319	142
WATDE0321	177
WATDE0323	NA
WATDE0324	139
WATDE0325	NA
WATDE0328	NA
WATDE0329	NA
WATDE0331	NA
WATDE0332	169
WATDE0333	168
WATDE0334	NA
WATDE0335	NA
WATDE0336	176
WATDE0337	NA
WATDE0340	NA
WATDE0342	NA
WATDE0343	NA
WATDE0344	NA
WATDE0345	NA
WATDE0346	NA
WATDE0347	NA
WATDE0348	NA
WATDE0350	177
WATDE0352	NA
WATDE0353	174
WATDE0354	165
WATDE0355	NA
WATDE0356	170
WATDE0358	NA
WATDE0359	182
WATDE0361	NA
WATDE0363	171
WATDE0365	169
WATDE0366	174
WATDE0368	148
WATDE0369	NA
WATDE0370	154
WATDE0371	141
WATDE0372	151
WATDE0373	171
WATDE0374	NA
WATDE0375	158
WATDE0377	NA
WATDE0378	NA
WATDE0379	NA
WATDE0381	155
WATDE0382	161
WATDE0383	154
WATDE0385	154
WATDE0386	NA
WATDE0387	NA
WATDE0389	NA
WATDE0391	NA
WATDE0392	NA
WATDE0394	152
WATDE0396	NA
WATDE0397	173
WATDE0399	140
WATDE0401	151
WATDE0403	NA
WATDE0404	159
WATDE0405	NA
WATDE0407	161
WATDE0408	171
WATDE0409	149
WATDE0410	NA
WATDE0411	157
WATDE0412	168
WATDE0413	169
WATDE0415	167
WATDE0417	153
WATDE0419	150
WATDE0420	158
WATDE0421	141
WATDE0422	154
WATDE0423	148
WATDE0424	NA
WATDE0425	NA
WATDE0426	NA
WATDE0427	NA
WATDE0428	NA
WATDE0429	167
WATDE0430	165
WATDE0431	NA
WATDE0432	NA
WATDE0433	NA
WATDE0434	NA
WATDE0435	NA
WATDE0436	NA
WATDE0438	NA
WATDE0439	152
WATDE0440	153
WATDE0441	169
WATDE0442	177
WATDE0443	NA
WATDE0444	NA
WATDE0445	166
WATDE0446	167
WATDE0448	NA
WATDE0449	151
WATDE0450	147
WATDE0451	NA
WATDE0452	158
WATDE0453	147
