chr1H	0	5000000	1	.	+	0.0023328
chr1H	5000000	10000000	2	.	+	0.0016226
chr1H	10000000	15000000	3	.	+	0.0039830
chr1H	15000000	20000000	4	.	+	0.0014998
chr1H	20000000	25000000	5	.	+	0.0024000
chr1H	25000000	30000000	6	.	+	0.0006644
chr1H	30000000	35000000	7	.	+	0.0019304
chr1H	35000000	40000000	8	.	+	0.0021772
chr1H	40000000	45000000	9	.	+	0.0016696
chr1H	45000000	50000000	10	.	+	0.0016074
chr1H	50000000	55000000	11	.	+	0.0014182
chr1H	55000000	60000000	12	.	+	0.0032074
chr1H	60000000	65000000	13	.	+	0.0007842
chr1H	65000000	70000000	14	.	+	0.0006588
chr1H	70000000	75000000	15	.	+	0.0041564
chr1H	75000000	80000000	16	.	+	0.0023582
chr1H	80000000	85000000	17	.	+	0.0019176
chr1H	85000000	90000000	18	.	+	0.0016542
chr1H	90000000	95000000	19	.	+	0.0007448
chr1H	95000000	100000000	20	.	+	0.0022374
chr1H	100000000	105000000	21	.	+	0.0015378
chr1H	105000000	110000000	22	.	+	0.0025618
chr1H	110000000	115000000	23	.	+	0.0014040
chr1H	115000000	120000000	24	.	+	0.0021508
chr1H	120000000	125000000	25	.	+	0.0010482
chr1H	125000000	130000000	26	.	+	0.0012714
chr1H	130000000	135000000	27	.	+	0.0012300
chr1H	135000000	140000000	28	.	+	0.0023544
chr1H	140000000	145000000	29	.	+	0.0015706
chr1H	145000000	150000000	30	.	+	0.0006714
chr1H	150000000	155000000	31	.	+	0.0009034
chr1H	155000000	160000000	32	.	+	0.0016652
chr1H	160000000	165000000	33	.	+	0.0010328
chr1H	165000000	170000000	34	.	+	0.0017582
chr1H	170000000	175000000	35	.	+	0.0008032
chr1H	175000000	180000000	36	.	+	0.0042338
chr1H	180000000	185000000	37	.	+	0.0020248
chr1H	185000000	190000000	38	.	+	0.0018988
chr1H	190000000	195000000	39	.	+	0.0024658
chr1H	195000000	200000000	40	.	+	0.0018542
chr1H	200000000	205000000	41	.	+	0.0029144
chr1H	205000000	210000000	42	.	+	0.0008598
chr1H	210000000	215000000	43	.	+	0.0023906
chr1H	215000000	220000000	44	.	+	0.0049394
chr1H	220000000	225000000	45	.	+	0.0020142
chr1H	225000000	230000000	46	.	+	0.0012198
chr1H	230000000	235000000	47	.	+	0.0013520
chr1H	235000000	240000000	48	.	+	0.0024348
chr1H	240000000	245000000	49	.	+	0.0023826
chr1H	245000000	250000000	50	.	+	0.0036758
chr1H	250000000	255000000	51	.	+	0.0017688
chr1H	255000000	260000000	52	.	+	0.0044218
chr1H	260000000	265000000	53	.	+	0.0015442
chr1H	265000000	270000000	54	.	+	0.0010268
chr1H	270000000	275000000	55	.	+	0.0011738
chr1H	275000000	280000000	56	.	+	0.0007232
chr1H	280000000	285000000	57	.	+	0.0016042
chr1H	285000000	290000000	58	.	+	0.0031882
chr1H	290000000	295000000	59	.	+	0.0013790
chr1H	295000000	300000000	60	.	+	0.0011346
chr1H	300000000	305000000	61	.	+	0.0018386
chr1H	305000000	310000000	62	.	+	0.0014298
chr1H	310000000	315000000	63	.	+	0.0025360
chr1H	315000000	320000000	64	.	+	0.0008896
chr1H	320000000	325000000	65	.	+	0.0007004
chr1H	325000000	330000000	66	.	+	0.0020174
chr1H	330000000	335000000	67	.	+	0.0023588
chr1H	335000000	340000000	68	.	+	0.0013104
chr1H	340000000	345000000	69	.	+	0.0022028
chr1H	345000000	350000000	70	.	+	0.0008266
chr1H	350000000	355000000	71	.	+	0.0022346
chr1H	355000000	360000000	72	.	+	0.0011996
chr1H	360000000	365000000	73	.	+	0.0019940
chr1H	365000000	370000000	74	.	+	0.0010418
chr1H	370000000	375000000	75	.	+	0.0018190
chr1H	375000000	380000000	76	.	+	0.0019732
chr1H	380000000	385000000	77	.	+	0.0019026
chr1H	385000000	390000000	78	.	+	0.0014186
chr1H	390000000	395000000	79	.	+	0.0020368
chr1H	395000000	400000000	80	.	+	0.0011586
chr1H	400000000	405000000	81	.	+	0.0005460
chr1H	405000000	410000000	82	.	+	0.0029750
chr1H	410000000	415000000	83	.	+	0.0007818
chr1H	415000000	420000000	84	.	+	0.0011120
chr1H	420000000	425000000	85	.	+	0.0017302
chr1H	425000000	430000000	86	.	+	0.0012406
chr1H	430000000	435000000	87	.	+	0.0011596
chr1H	435000000	440000000	88	.	+	0.0024842
chr1H	440000000	445000000	89	.	+	0.0008766
chr1H	445000000	450000000	90	.	+	0.0013536
chr1H	450000000	455000000	91	.	+	0.0013092
chr1H	455000000	460000000	92	.	+	0.0009886
chr1H	460000000	465000000	93	.	+	0.0008958
chr1H	465000000	470000000	94	.	+	0.0015688
chr1H	470000000	475000000	95	.	+	0.0041210
chr1H	475000000	480000000	96	.	+	0.0019442
chr1H	480000000	485000000	97	.	+	0.0027398
chr1H	485000000	490000000	98	.	+	0.0023736
chr1H	490000000	495000000	99	.	+	0.0021970
chr1H	495000000	500000000	100	.	+	0.0040438
chr1H	500000000	505000000	101	.	+	0.0027520
chr1H	505000000	510000000	102	.	+	0.0028502
chr1H	510000000	515000000	103	.	+	0.0030098
chr1H	515000000	516505932	104	.	+	0.0018978
