chr1H	0	5000000	1	.	+	0.0886136
chr1H	5000000	10000000	2	.	+	0.1198890
chr1H	10000000	15000000	3	.	+	0.1410564
chr1H	15000000	20000000	4	.	+	0.1656054
chr1H	20000000	25000000	5	.	+	0.1948024
chr1H	25000000	30000000	6	.	+	0.3261980
chr1H	30000000	35000000	7	.	+	0.2419960
chr1H	35000000	40000000	8	.	+	0.3055276
chr1H	40000000	45000000	9	.	+	0.3493056
chr1H	45000000	50000000	10	.	+	0.3213624
chr1H	50000000	55000000	11	.	+	0.3945652
chr1H	55000000	60000000	12	.	+	0.3199060
chr1H	60000000	65000000	13	.	+	0.3906382
chr1H	65000000	70000000	14	.	+	0.3851252
chr1H	70000000	75000000	15	.	+	0.3342074
chr1H	75000000	80000000	16	.	+	0.3985378
chr1H	80000000	85000000	17	.	+	0.3999370
chr1H	85000000	90000000	18	.	+	0.3888586
chr1H	90000000	95000000	19	.	+	0.3688918
chr1H	95000000	100000000	20	.	+	0.4195390
chr1H	100000000	105000000	21	.	+	0.3862754
chr1H	105000000	110000000	22	.	+	0.4097236
chr1H	110000000	115000000	23	.	+	0.3867224
chr1H	115000000	120000000	24	.	+	0.4425494
chr1H	120000000	125000000	25	.	+	0.3987044
chr1H	125000000	130000000	26	.	+	0.4149530
chr1H	130000000	135000000	27	.	+	0.4068362
chr1H	135000000	140000000	28	.	+	0.4665284
chr1H	140000000	145000000	29	.	+	0.3575368
chr1H	145000000	150000000	30	.	+	0.4177194
chr1H	150000000	155000000	31	.	+	0.3898658
chr1H	155000000	160000000	32	.	+	0.3993566
chr1H	160000000	165000000	33	.	+	0.3478426
chr1H	165000000	170000000	34	.	+	0.3426548
chr1H	170000000	175000000	35	.	+	0.3790622
chr1H	175000000	180000000	36	.	+	0.3715834
chr1H	180000000	185000000	37	.	+	0.3687310
chr1H	185000000	190000000	38	.	+	0.3459464
chr1H	190000000	195000000	39	.	+	0.3379158
chr1H	195000000	200000000	40	.	+	0.3424888
chr1H	200000000	205000000	41	.	+	0.3761004
chr1H	205000000	210000000	42	.	+	0.6178334
chr1H	210000000	215000000	43	.	+	0.3382230
chr1H	215000000	220000000	44	.	+	0.3594484
chr1H	220000000	225000000	45	.	+	0.3457786
chr1H	225000000	230000000	46	.	+	0.3183424
chr1H	230000000	235000000	47	.	+	0.3306594
chr1H	235000000	240000000	48	.	+	0.3558298
chr1H	240000000	245000000	49	.	+	0.3412988
chr1H	245000000	250000000	50	.	+	0.3759864
chr1H	250000000	255000000	51	.	+	0.3374234
chr1H	255000000	260000000	52	.	+	0.3480546
chr1H	260000000	265000000	53	.	+	0.3587154
chr1H	265000000	270000000	54	.	+	0.3744216
chr1H	270000000	275000000	55	.	+	0.3620070
chr1H	275000000	280000000	56	.	+	0.3724050
chr1H	280000000	285000000	57	.	+	0.4040742
chr1H	285000000	290000000	58	.	+	0.3616972
chr1H	290000000	295000000	59	.	+	0.3610346
chr1H	295000000	300000000	60	.	+	0.3823780
chr1H	300000000	305000000	61	.	+	0.3376988
chr1H	305000000	310000000	62	.	+	0.3663514
chr1H	310000000	315000000	63	.	+	0.3366032
chr1H	315000000	320000000	64	.	+	0.3694202
chr1H	320000000	325000000	65	.	+	0.4049438
chr1H	325000000	330000000	66	.	+	0.3557832
chr1H	330000000	335000000	67	.	+	0.3605116
chr1H	335000000	340000000	68	.	+	0.3627970
chr1H	340000000	345000000	69	.	+	0.3373218
chr1H	345000000	350000000	70	.	+	0.3292500
chr1H	350000000	355000000	71	.	+	0.3712576
chr1H	355000000	360000000	72	.	+	0.3530018
chr1H	360000000	365000000	73	.	+	0.3373370
chr1H	365000000	370000000	74	.	+	0.3669772
chr1H	370000000	375000000	75	.	+	0.3442696
chr1H	375000000	380000000	76	.	+	0.3686782
chr1H	380000000	385000000	77	.	+	0.3351678
chr1H	385000000	390000000	78	.	+	0.3424738
chr1H	390000000	395000000	79	.	+	0.3400340
chr1H	395000000	400000000	80	.	+	0.3099426
chr1H	400000000	405000000	81	.	+	0.3382296
chr1H	405000000	410000000	82	.	+	0.3081276
chr1H	410000000	415000000	83	.	+	0.3539274
chr1H	415000000	420000000	84	.	+	0.3202676
chr1H	420000000	425000000	85	.	+	0.3140762
chr1H	425000000	430000000	86	.	+	0.3043336
chr1H	430000000	435000000	87	.	+	0.3493124
chr1H	435000000	440000000	88	.	+	0.2635906
chr1H	440000000	445000000	89	.	+	0.3451388
chr1H	445000000	450000000	90	.	+	0.2798856
chr1H	450000000	455000000	91	.	+	0.2858982
chr1H	455000000	460000000	92	.	+	0.2625610
chr1H	460000000	465000000	93	.	+	0.2820972
chr1H	465000000	470000000	94	.	+	0.3333310
chr1H	470000000	475000000	95	.	+	0.2765328
chr1H	475000000	480000000	96	.	+	0.2315184
chr1H	480000000	485000000	97	.	+	0.2727244
chr1H	485000000	490000000	98	.	+	0.2050614
chr1H	490000000	495000000	99	.	+	0.1677954
chr1H	495000000	500000000	100	.	+	0.1477846
chr1H	500000000	505000000	101	.	+	0.1532466
chr1H	505000000	510000000	102	.	+	0.1364500
chr1H	510000000	515000000	103	.	+	0.1562190
chr1H	515000000	516505932	104	.	+	0.1804670
