IID	BM_Shenzhen_2022_Natural_spike-flowering
WATDE0151	4.27
WATDE0152	2.26
WATDE0153	NA
WATDE0154	NA
WATDE0156	2.22
WATDE0157	1.76
WATDE0158	NA
WATDE0159	NA
WATDE0160	NA
WATDE0162	NA
WATDE0164	NA
WATDE0165	NA
WATDE0168	NA
WATDE0169	NA
WATDE0171	NA
WATDE0173	1.53
WATDE0174	1.11
WATDE0175	NA
WATDE0176	NA
WATDE0177	NA
WATDE0178	1.59
WATDE0180	3.54
WATDE0181	2.17
WATDE0182	1.24
WATDE0183	3.9
WATDE0184	3.9
WATDE0185	NA
WATDE0187	NA
WATDE0188	NA
WATDE0190	1.34
WATDE0191	1.43
WATDE0192	NA
WATDE0194	NA
WATDE0195	1.82
WATDE0196	NA
WATDE0198	NA
WATDE0199	NA
WATDE0200	NA
WATDE0202	3.62
WATDE0203	NA
WATDE0204	NA
WATDE0205	NA
WATDE0206	NA
WATDE0207	NA
WATDE0209	NA
WATDE0211	NA
WATDE0212	NA
WATDE0214	NA
WATDE0215	NA
WATDE0216	2.42
WATDE0217	NA
WATDE0219	2.22
WATDE0220	1.73
WATDE0221	3.41
WATDE0222	NA
WATDE0223	2.55
WATDE0224	1.92
WATDE0225	NA
WATDE0227	3.29
WATDE0228	6.01
WATDE0229	NA
WATDE0230	NA
WATDE0232	NA
WATDE0233	NA
WATDE0234	NA
WATDE0235	2.12
WATDE0236	NA
WATDE0237	NA
WATDE0238	NA
WATDE0239	NA
WATDE0241	NA
WATDE0242	2.16
WATDE0243	NA
WATDE0244	NA
WATDE0246	NA
WATDE0247	2.67
WATDE0248	NA
WATDE0249	NA
WATDE0250	NA
WATDE0252	NA
WATDE0253	NA
WATDE0254	2.8
WATDE0255	1.84
WATDE0257	3.49
WATDE0258	NA
WATDE0259	NA
WATDE0260	NA
WATDE0262	NA
WATDE0263	NA
WATDE0264	3.07
WATDE0266	3.21
WATDE0268	NA
WATDE0270	NA
WATDE0271	4.48
WATDE0272	NA
WATDE0273	NA
WATDE0275	1.83
WATDE0276	3.5
WATDE0277	NA
WATDE0278	2.27
WATDE0280	2.17
WATDE0281	NA
WATDE0282	NA
WATDE0284	NA
WATDE0285	2.55
WATDE0286	2.76
WATDE0287	2.59
WATDE0288	1.63
WATDE0290	1.56
WATDE0291	NA
WATDE0292	NA
WATDE0293	NA
WATDE0294	1.53
WATDE0296	NA
WATDE0298	NA
WATDE0299	NA
WATDE0301	NA
WATDE0302	NA
WATDE0303	NA
WATDE0304	NA
WATDE0305	NA
WATDE0306	1.42
WATDE0308	NA
WATDE0310	NA
WATDE0312	NA
WATDE0313	1
WATDE0315	NA
WATDE0316	NA
WATDE0317	2.08
WATDE0318	2.87
WATDE0319	NA
WATDE0321	NA
WATDE0323	NA
WATDE0324	NA
WATDE0325	NA
WATDE0328	NA
WATDE0329	NA
WATDE0331	NA
WATDE0332	2.14
WATDE0333	2.33
WATDE0334	NA
WATDE0335	NA
WATDE0336	4.11
WATDE0337	NA
WATDE0340	NA
WATDE0342	NA
WATDE0343	NA
WATDE0344	NA
WATDE0345	NA
WATDE0346	2.87
WATDE0347	NA
WATDE0348	NA
WATDE0350	1.56
WATDE0352	NA
WATDE0353	NA
WATDE0354	1.48
WATDE0355	NA
WATDE0356	1.44
WATDE0358	NA
WATDE0359	NA
WATDE0361	NA
WATDE0363	1.62
WATDE0365	NA
WATDE0366	NA
WATDE0368	4.15
WATDE0369	NA
WATDE0370	NA
WATDE0371	1.88
WATDE0372	4.28
WATDE0373	2.01
WATDE0374	NA
