IID	SplN_Shenzhen_2022_Natural_Fertile
Agron	NA
Alba	NA
Albatross	NA
Alcedo	NA
Alert	NA
Almus	NA
Altria	NA
ArinaLrFor	NA
Arminda	NA
Aronde	NA
Avalon	NA
Aztec	NA
WATDE0003	14.00
WATDE0010	NA
WATDE0339	19.33
WATDE0459	20.67
WATDE0476	NA
WATDE0526	NA
WATDE0532	NA
WATDE0576	24.33
WATDE0612	16.33
WATDE0061	19.00
WATDE0668	20.00
WATDE0714	20.00
WATDE0762	19.67
WATDE0801	NA
WATDE0868	22.00
WATDE0100	NA
WATDE1030	NA
Banco	NA
Bandit	NA
Banner	NA
Beauchamp	NA
Beaver	NA
Becard_Kachu	NA
Bersee	NA
Boreonos	NA
Bounty	NA
Boxer	NA
Buster	NA
Calif	NA
Camp_Remy	NA
Capitiane	NA
Capo	NA
Cappelle_Desprez	NA
Catamaran	NA
Cezanne	NA
Charger	NA
Chinese_Spring	NA
Cimcog26	NA
Cimcog3	NA
Cimcog47	NA
Cimcog56	NA
Claire	NA
Consort	NA
Courtot	NA
Crest	NA
Crusoe	NA
Diablo	NA
Diplomat	NA
Disponent	NA
Dorby	NA
Drake	NA
Drauhofener_Kolben	NA
Druid	NA
Encore	NA
Equinox	NA
Erla-Kolben	NA
Erland	NA
Eros	NA
Expert	NA
Extrem	NA
Fanal	NA
Felix	NA
Fiorello	NA
Flair	NA
Flame	NA
Flamingo	NA
Florida	NA
Gabo	NA
Galahad	NA
Garcia	NA
Gawain	NA
Glasgow	NA
Grafton	NA
Granada	NA
Haven	NA
Heine7	NA
Hereward	NA
Highbury	NA
Hobbit	NA
Holdfast	NA
Hybrid46	NA
Ibis	NA
Iena	NA
Ikarus	NA
Jagger	NA
Joss_Cambier	NA
Julius	NA
KWS_Santiago	NA
Karat	NA
Koga1	NA
Kontrast	NA
Kosack	NA
Kranich	NA
Lancelot	NA
Leda	NA
Legend	NA
Longbow	NA
Lutin	NA
MISR1	NA
Mahndorfer	NA
Marco	NA
Maris_Dove	NA
Maris_Widgeon	NA
MarisHuntsman	NA
Maris_ranger	NA
Minister	NA
Mironovska	NA
Moisson	NA
Muck	NA
Multiweiss	NA
Nautica	NA
Newhaven	NA
Norda	NA
Norin	NA
Obelisk	NA
Odeon	NA
Odin	NA
Oenus	NA
Opata	NA
Orlando	NA
Palur	NA
Pamyat	NA
Pastiche	NA
Pavon76	NA
Pepital	NA
Peragis	NA
Perlo	NA
Pfau	NA
Pomerelle	NA
Pony	NA
Prof_Marshall	NA
Prophet	NA
Rabe	NA
Rebel	NA
Recital	NA
Record	NA
Red_Fife	NA
Reedling	NA
Regent	NA
Renan	NA
Rendezvous	NA
Revelation	NA
Riband	NA
Rimpaus_Bastard2	NA
RitzlhoferNeu	NA
SYMattis	NA
Savannah	NA
Schweigers_Taca	NA
Scipion	NA
Shamrock	NA
Shango	NA
Sicco	NA
Slejpner	NA
Soissons	NA
Soleil	NA
Spark	NA
Sperber	NA
Spitfire	NA
Sportsman	NA
Stamm101	NA
Starke2	NA
Stava	NA
Stella	NA
Super152	NA
Svale	NA
Tadorna	NA
Talent	NA
Tambor	NA
Tandem	NA
Tanker	NA
Taras	NA
Thatcher	NA
Thor	NA
Titus	NA
Top	NA
Torfrida	NA
Trafalgar	NA
Treasure	NA
Tremie	NA
Triumph_NDL	NA
Tschermaks	NA
Turpin	NA
Urban	NA
Vaguedepis	NA
Vilmorin53	NA
Vilmorin27	NA
Virgo	NA
Vocal	NA
Voyage	NA
WATDE0001	23.33
WATDE0002	22.33
WATDE0004	22.67
WATDE0005	14.00
WATDE0006	NA
WATDE0007	NA
WATDE0008	25.67
WATDE0009	14.67
WATDE0011	21.00
WATDE0012	NA
WATDE0013	23.33
WATDE0014	NA
WATDE0015	24.67
WATDE0016	NA
WATDE0017	19.67
WATDE0018	19.67
WATDE0019	NA
WATDE0020	17.67
WATDE0021	22.67
WATDE0022	NA
WATDE0023	20.33
WATDE0024	NA
WATDE0025	19.00
WATDE0026	18.67
WATDE0027	18.00
WATDE0028	21.00
WATDE0029	NA
WATDE0030	NA
WATDE0031	17.67
WATDE0032	16.67
WATDE0033	26.00
WATDE0034	21.33
WATDE0035	NA
WATDE0036	NA
WATDE0037	23.00
WATDE0038	NA
WATDE0040	NA
WATDE0041	26.67
WATDE0042	NA
WATDE0043	NA
WATDE0044	NA
WATDE0045	NA
WATDE0046	25.67
WATDE0047	25.67
WATDE0048	18.00
WATDE0049	NA
WATDE0050	NA
WATDE0051	22.67
WATDE0052	NA
WATDE0053	19.33
WATDE0054	22.33
WATDE0055	14.67
WATDE0056	23.00
WATDE0057	18.67
WATDE0058	18.00
WATDE0059	NA
WATDE0060	21.00
WATDE0062	19.33
WATDE0063	20.00
WATDE0064	18.67
WATDE0065	NA
WATDE0066	22.50
WATDE0067	19.67
WATDE0068	23.33
WATDE0069	NA
WATDE0070	23.67
WATDE0071	19.33
WATDE0072	22.33
WATDE0073	NA
WATDE0074	24.33
WATDE0075	17.67
WATDE0076	NA
WATDE0077	21.33
WATDE0078	NA
WATDE0079	NA
WATDE0080	15.67
WATDE0081	NA
WATDE0082	NA
WATDE0083	24.00
WATDE0084	NA
WATDE0085	NA
WATDE0086	28.33
WATDE0087	21.33
WATDE0088	17.67
WATDE0089	NA
WATDE0090	24.00
WATDE0091	21.00
WATDE0092	19.33
WATDE0093	20.00
WATDE0094	25.00
WATDE0095	24.33
WATDE0096	22.00
WATDE0097	22.33
WATDE0098	23.00
WATDE0099	19.00
WATDE0101	24.00
WATDE0102	NA
WATDE0103	NA
WATDE0104	NA
WATDE0105	23.67
WATDE0106	18.67
WATDE0107	21.00
WATDE0108	NA
WATDE0109	NA
WATDE0110	22.00
WATDE0111	24.33
WATDE0112	23.00
WATDE0113	28.33
WATDE0114	19.67
WATDE0115	NA
WATDE0116	16.67
WATDE0117	26.33
WATDE0118	24.33
WATDE0119	NA
WATDE0120	23.00
WATDE0121	26.00
WATDE0122	18.33
WATDE0123	19.00
WATDE0124	NA
WATDE0126	18.50
WATDE0127	18.00
WATDE0129	21.67
WATDE0131	23.67
WATDE0133	23.50
WATDE0134	18.33
WATDE0136	NA
