IID	SRPI_Shenzhen-LN_2020_Natural
WATDE0511	NA
WATDE0512	NA
WATDE0513	NA
WATDE0515	NA
WATDE0516	NA
WATDE0518	NA
WATDE0519	NA
WATDE0520	NA
WATDE0521	0.512120699
WATDE0522	0.659339006
WATDE0524	NA
WATDE0527	NA
WATDE0529	NA
WATDE0531	NA
WATDE0533	0.6216341
WATDE0534	NA
WATDE0536	NA
WATDE0537	NA
WATDE0538	NA
WATDE0539	0.690618687
WATDE0540	NA
WATDE0541	NA
WATDE0542	NA
WATDE0543	NA
WATDE0544	NA
WATDE0546	NA
WATDE0547	NA
WATDE0549	NA
WATDE0550	NA
WATDE0552	NA
WATDE0553	0.399135893
WATDE0555	0.432318394
WATDE0556	NA
WATDE0557	NA
WATDE0558	NA
WATDE0560	NA
WATDE0561	NA
WATDE0562	NA
WATDE0563	0.570322832
WATDE0565	NA
WATDE0566	NA
WATDE0567	NA
WATDE0568	NA
WATDE0569	NA
WATDE0570	0.4859867
WATDE0571	NA
WATDE0572	NA
WATDE0574	0.495774185
WATDE0577	NA
WATDE0578	NA
WATDE0579	0.707352258
WATDE0581	0.539014123
WATDE0582	NA
WATDE0585	0.491851489
WATDE0586	NA
WATDE0588	NA
WATDE0589	NA
WATDE0591	NA
WATDE0592	NA
WATDE0594	NA
WATDE0596	NA
WATDE0597	0.381917921
WATDE0598	NA
WATDE0599	NA
WATDE0600	NA
WATDE0601	NA
WATDE0602	NA
WATDE0603	NA
WATDE0604	NA
WATDE0606	0.38893125
WATDE0608	NA
WATDE0609	NA
WATDE0610	NA
WATDE0611	0.455076828
WATDE0613	0.47131735
WATDE0614	NA
WATDE0615	NA
WATDE0616	0.914270262
WATDE0617	NA
WATDE0618	NA
WATDE0620	NA
WATDE0622	NA
WATDE0624	NA
WATDE0626	0.46459038
WATDE0627	NA
WATDE0628	NA
WATDE0630	NA
WATDE0631	0.432851171
WATDE0632	NA
WATDE0634	NA
WATDE0635	0.379796901
WATDE0636	NA
WATDE0638	NA
WATDE0639	NA
WATDE0640	NA
WATDE0641	NA
WATDE0643	0.587673964
WATDE0644	NA
WATDE0646	0.422284876
WATDE0648	NA
WATDE0649	0.570297704
WATDE0650	NA
