IID	SplN_Quzhou_2022_Natural_Sterility-All
WATDE0126	2.00
WATDE0127	3.33
WATDE0129	0.00
WATDE0131	3.33
WATDE0133	1.67
WATDE0134	2.00
WATDE0136	0.00
WATDE0138	0.33
WATDE0140	NA
WATDE0141	3.33
WATDE0143	NA
WATDE0144	3.33
WATDE0145	2.33
WATDE0146	2.00
WATDE0148	NA
WATDE0149	2.00
WATDE0150	1.00
WATDE0151	2.33
WATDE0152	2.00
WATDE0153	2.00
WATDE0154	1.67
WATDE0156	3.00
WATDE0157	3.00
WATDE0158	0.67
WATDE0159	1.33
WATDE0160	1.00
WATDE0162	1.33
WATDE0164	0.67
WATDE0165	2.33
WATDE0168	2.00
WATDE0169	NA
WATDE0171	NA
WATDE0173	3.00
WATDE0174	3.00
WATDE0175	2.33
WATDE0176	5.50
WATDE0177	5.33
WATDE0178	2.67
WATDE0180	NA
WATDE0181	NA
WATDE0182	NA
WATDE0183	1.00
WATDE0184	3.00
WATDE0185	1.67
WATDE0187	NA
WATDE0188	3.00
WATDE0190	NA
WATDE0191	3.00
WATDE0192	3.33
WATDE0194	2.33
WATDE0195	2.67
WATDE0196	NA
WATDE0198	2.00
WATDE0199	0.00
WATDE0200	NA
WATDE0202	1.33
WATDE0203	3.67
WATDE0204	2.67
WATDE0205	3.00
WATDE0206	2.67
WATDE0207	0.00
WATDE0209	2.00
WATDE0211	2.00
WATDE0212	3.33
WATDE0214	5.00
WATDE0215	0.67
WATDE0216	4.00
WATDE0217	2.33
WATDE0219	3.00
WATDE0220	3.67
WATDE0221	2.67
WATDE0222	1.00
WATDE0223	2.67
WATDE0224	2.67
WATDE0225	1.67
WATDE0227	2.33
WATDE0228	1.67
WATDE0229	1.33
WATDE0230	0.00
WATDE0232	1.33
WATDE0233	4.33
WATDE0234	4.00
WATDE0235	1.33
WATDE0236	0.33
WATDE0237	2.67
WATDE0238	0.67
WATDE0239	2.67
WATDE0241	NA
WATDE0242	4.00
WATDE0243	NA
WATDE0244	1.33
WATDE0246	3.67
WATDE0247	NA
WATDE0248	2.67
WATDE0249	2.33
WATDE0250	NA
WATDE0252	1.33
WATDE0253	1.33
WATDE0254	3.00
WATDE0255	3.67
WATDE0257	1.33
WATDE0258	1.67
WATDE0259	1.00
WATDE0260	2.33
WATDE0262	1.67
WATDE0263	3.00
WATDE0264	1.00
WATDE0266	1.67
WATDE0268	3.33
WATDE0270	0.33
WATDE0271	2.33
WATDE0272	2.00
WATDE0273	2.67
WATDE0275	3.33
WATDE0276	3.67
WATDE0277	0.67
WATDE0278	1.00
WATDE0280	NA
WATDE0281	3.67
WATDE0282	NA
WATDE0284	2.00
WATDE0285	4.00
WATDE0286	3.67
WATDE0287	1.67
WATDE0288	2.00
WATDE0290	3.00
WATDE0291	4.33
WATDE0292	2.00
WATDE0293	1.67
WATDE0294	NA
WATDE0296	NA
WATDE0298	1.00
WATDE0299	3.67
WATDE0301	4.33
WATDE0302	2.33
WATDE0303	NA
