IID	GY_Shenzhen-NN_2021_Natural_1plot
WATDE0150	NA
WATDE0151	101.00
WATDE0152	75.00
WATDE0153	106.00
WATDE0154	230.00
WATDE0156	246.50
WATDE0157	84.00
WATDE0158	NA
WATDE0159	NA
WATDE0160	NA
WATDE0162	NA
WATDE0164	NA
WATDE0165	NA
WATDE0168	NA
WATDE0169	NA
WATDE0171	NA
WATDE0173	168.00
WATDE0174	99.00
WATDE0175	NA
WATDE0176	NA
WATDE0177	NA
WATDE0178	55.00
WATDE0180	126.00
WATDE0181	85.00
WATDE0182	47.00
WATDE0183	161.50
WATDE0184	NA
WATDE0185	266.50
WATDE0187	NA
WATDE0188	50.00
WATDE0190	85.00
WATDE0191	NA
WATDE0192	NA
WATDE0194	NA
WATDE0195	59.00
WATDE0196	NA
WATDE0198	NA
WATDE0199	NA
WATDE0200	NA
WATDE0202	82.00
WATDE0203	NA
WATDE0204	NA
WATDE0205	NA
WATDE0206	NA
WATDE0207	NA
WATDE0209	NA
WATDE0211	58.00
WATDE0212	NA
WATDE0214	NA
WATDE0215	57.00
WATDE0216	77.00
WATDE0217	NA
WATDE0219	47.00
WATDE0220	97.00
WATDE0221	NA
WATDE0222	354.00
WATDE0223	323.50
WATDE0224	150.00
WATDE0225	NA
WATDE0227	160.50
WATDE0228	140.50
WATDE0229	NA
WATDE0230	NA
WATDE0232	NA
WATDE0233	NA
WATDE0234	NA
WATDE0235	67.50
WATDE0236	NA
WATDE0237	NA
WATDE0238	NA
WATDE0239	NA
WATDE0241	NA
WATDE0242	NA
WATDE0243	NA
WATDE0244	33.00
WATDE0246	NA
WATDE0247	NA
WATDE0248	NA
WATDE0249	NA
WATDE0250	NA
WATDE0252	NA
WATDE0253	NA
WATDE0254	NA
WATDE0255	NA
WATDE0257	284.00
WATDE0258	313.50
WATDE0259	170.50
WATDE0260	67.00
WATDE0262	128.00
WATDE0263	NA
WATDE0264	67.00
WATDE0266	NA
WATDE0268	NA
WATDE0270	NA
WATDE0271	62.00
WATDE0272	331.00
WATDE0273	NA
WATDE0275	263.50
WATDE0276	NA
WATDE0277	NA
WATDE0278	NA
WATDE0280	84.00
WATDE0281	NA
WATDE0282	NA
WATDE0284	NA
