IID	TN_Shenzhen_20220412_Natural
WATDE0164	NA
WATDE0165	NA
WATDE0168	NA
WATDE0169	NA
WATDE0171	NA
WATDE0173	139
WATDE0174	80
WATDE0175	NA
WATDE0176	NA
WATDE0177	NA
WATDE0178	60.5
WATDE0180	NA
WATDE0181	NA
WATDE0182	78.5
WATDE0183	109
WATDE0184	55
WATDE0185	NA
WATDE0187	NA
WATDE0188	118.5
WATDE0190	98
WATDE0191	88
WATDE0192	NA
WATDE0194	NA
WATDE0195	NA
WATDE0196	NA
WATDE0198	NA
WATDE0199	NA
WATDE0200	NA
WATDE0202	72.5
WATDE0203	NA
WATDE0204	NA
WATDE0205	NA
WATDE0206	154
WATDE0207	NA
WATDE0209	NA
WATDE0211	184.5
WATDE0212	NA
WATDE0214	NA
WATDE0215	NA
WATDE0216	NA
WATDE0217	NA
WATDE0219	59.5
WATDE0220	NA
WATDE0221	NA
WATDE0222	NA
WATDE0223	NA
WATDE0224	NA
WATDE0225	NA
WATDE0227	NA
WATDE0228	107
WATDE0229	215
WATDE0230	NA
WATDE0232	NA
WATDE0233	NA
WATDE0234	NA
WATDE0235	55
WATDE0236	NA
WATDE0237	NA
WATDE0238	NA
WATDE0239	164
WATDE0241	NA
WATDE0242	68
WATDE0243	NA
WATDE0244	NA
WATDE0246	NA
WATDE0247	136
WATDE0248	NA
WATDE0249	200
WATDE0250	253
WATDE0252	NA
WATDE0253	NA
WATDE0254	124
WATDE0255	127
WATDE0257	NA
WATDE0258	NA
WATDE0259	NA
WATDE0260	NA
WATDE0262	NA
WATDE0263	NA
WATDE0264	NA
WATDE0266	62
WATDE0268	NA
WATDE0270	NA
WATDE0271	105.5
WATDE0272	NA
WATDE0273	84
WATDE0275	NA
WATDE0276	122
WATDE0277	NA
WATDE0278	NA
WATDE0280	NA
WATDE0281	100
WATDE0282	NA
WATDE0284	NA
WATDE0285	NA
WATDE0286	NA
WATDE0287	98
WATDE0288	115
WATDE0290	65
WATDE0291	NA
WATDE0292	NA
WATDE0293	NA
WATDE0294	94
WATDE0296	NA
WATDE0298	NA
WATDE0299	NA
WATDE0301	126.5
WATDE0302	NA
WATDE0303	NA
WATDE0304	NA
WATDE0305	92
WATDE0306	78
WATDE0308	168
WATDE0310	NA
WATDE0312	NA
WATDE0313	NA
WATDE0315	94
WATDE0316	125
WATDE0317	NA
WATDE0318	NA
WATDE0319	NA
WATDE0321	129
WATDE0323	NA
WATDE0324	NA
WATDE0325	NA
WATDE0328	129
