IID	GrnSpk_Kaifeng-GH_2020_Natural
WATDE0148	15.00
WATDE0149	22.00
WATDE0150	39.00
WATDE0151	25.00
WATDE0152	17.00
WATDE0153	35.00
WATDE0154	19.00
WATDE0156	36.89
WATDE0157	30.00
WATDE0158	11.00
WATDE0159	32.33
WATDE0160	14.33
WATDE0162	19.00
WATDE0164	20.67
WATDE0165	17.33
WATDE0168	NA
WATDE0169	1.00
WATDE0171	NA
WATDE0173	NA
WATDE0174	NA
WATDE0175	NA
WATDE0176	NA
WATDE0177	NA
WATDE0178	NA
WATDE0180	28.00
WATDE0181	30.00
WATDE0182	14.00
WATDE0183	30.00
WATDE0184	NA
WATDE0185	NA
WATDE0187	NA
WATDE0188	NA
WATDE0190	NA
WATDE0191	19.00
WATDE0192	NA
WATDE0194	2.00
WATDE0195	12.00
WATDE0196	NA
WATDE0198	NA
WATDE0199	NA
WATDE0200	NA
WATDE0202	41.00
WATDE0203	NA
WATDE0204	NA
WATDE0205	NA
WATDE0206	NA
WATDE0207	22.33
WATDE0209	23.67
WATDE0211	NA
WATDE0212	38.67
WATDE0214	NA
WATDE0215	42.00
WATDE0216	22.17
WATDE0217	NA
WATDE0219	NA
WATDE0220	10.43
WATDE0221	6.00
WATDE0222	40.44
WATDE0223	22.00
WATDE0224	31.81
WATDE0225	20.75
WATDE0227	40.00
WATDE0228	NA
WATDE0229	36.33
WATDE0230	25.00
WATDE0232	16.50
WATDE0233	NA
WATDE0234	7.00
WATDE0235	NA
WATDE0236	12.67
WATDE0237	NA
WATDE0238	NA
WATDE0239	22.33
WATDE0241	NA
WATDE0242	22.00
WATDE0243	NA
WATDE0244	NA
WATDE0246	5.00
WATDE0247	NA
WATDE0248	NA
WATDE0249	31.67
WATDE0250	7.00
WATDE0252	NA
WATDE0253	12.00
WATDE0254	54.33
WATDE0255	70.67
WATDE0257	30.00
WATDE0258	35.00
WATDE0259	42.00
WATDE0260	37.00
WATDE0262	28.00
WATDE0263	22.00
WATDE0264	47.60
WATDE0266	6.00
WATDE0268	NA
WATDE0270	7.50
WATDE0271	19.00
WATDE0272	28.00
WATDE0273	NA
WATDE0275	18.78
WATDE0276	35.00
WATDE0277	9.00
WATDE0278	23.00
WATDE0280	11.00
WATDE0281	49.67
WATDE0282	18.00
WATDE0284	NA
WATDE0285	25.50
WATDE0286	23.00
WATDE0287	37.67
WATDE0288	14.00
WATDE0290	25.50
WATDE0291	10.00
WATDE0292	43.89
WATDE0293	NA
WATDE0294	16.00
WATDE0296	NA
WATDE0298	NA
WATDE0299	26.00
WATDE0301	21.33
WATDE0302	29.00
WATDE0303	NA
WATDE0304	22.00
WATDE0305	NA
WATDE0306	NA
WATDE0308	NA
WATDE0310	NA
WATDE0312	45.56
WATDE0313	6.00
WATDE0315	17.00
WATDE0316	NA
WATDE0317	26.00
WATDE0318	25.00
WATDE0319	19.00
WATDE0321	40.67
WATDE0323	NA
WATDE0324	37.71
WATDE0325	NA
WATDE0328	27.00
WATDE0329	4.00
WATDE0331	28.00
WATDE0332	27.00
WATDE0333	NA
WATDE0334	17.33
WATDE0335	NA
WATDE0336	NA
WATDE0337	NA
WATDE0340	40.67
WATDE0342	15.50
WATDE0343	NA
WATDE0344	NA
WATDE0345	NA
WATDE0346	49.33
WATDE0347	30.00
WATDE0348	NA
WATDE0350	19.00
WATDE0352	21.50
WATDE0353	NA
WATDE0354	NA
WATDE0355	17.00
WATDE0356	17.00
WATDE0358	5.00
WATDE0359	10.00
WATDE0361	NA
WATDE0363	23.00
WATDE0365	18.00
WATDE0366	NA
WATDE0368	14.00
WATDE0369	30.00
WATDE0370	26.00
WATDE0371	12.00
WATDE0372	32.00
WATDE0373	NA
WATDE0374	24.57
WATDE0375	37.22
WATDE0377	NA
WATDE0378	2.00
WATDE0379	NA
WATDE0381	NA
WATDE0382	2.00
WATDE0383	NA
WATDE0385	2.00
WATDE0386	NA
WATDE0387	39.00
WATDE0389	36.50
