IID	GW_Quzhou_2022_Natural_100Xin
Agron	4.839
Alba	NA
Albatross	3.832
Alcedo	NA
Alert	NA
Almus	3.049
Altria	4.449
ArinaLrFor	NA
Arminda	4.136
Aronde	NA
Avalon	NA
Aztec	3.99
WATDE0003	3.76
WATDE0010	NA
WATDE0339	3.88
WATDE0459	4.46
WATDE0476	4.39
WATDE0526	4.14
WATDE0532	3.80
WATDE0576	2.72
WATDE0612	3.71
WATDE0061	4.74
WATDE0668	4.04
WATDE0714	3.78
WATDE0762	4.53
WATDE0801	4.65
WATDE0868	3.68
WATDE0100	3.19
WATDE1030	3.54
Banco	NA
Bandit	NA
Banner	NA
Beauchamp	NA
Beaver	NA
Becard_Kachu	NA
Bersee	NA
Boreonos	NA
Bounty	NA
Boxer	NA
Buster	NA
Calif	NA
Camp_Remy	NA
Capitiane	4.766
Capo	3.944
Cappelle_Desprez	NA
Catamaran	NA
Cezanne	4.789
Charger	3.529
Chinese_Spring	NA
Cimcog26	3.849
Cimcog3	NA
Cimcog47	4.702
Cimcog56	5.704
Claire	NA
Consort	NA
Courtot	NA
Crest	NA
Crusoe	NA
Diablo	NA
Diplomat	4.019
Disponent	NA
Dorby	NA
Drake	NA
Drauhofener_Kolben	NA
Druid	NA
Encore	2.876
Equinox	3.263
Erla-Kolben	NA
Erland	NA
Eros	NA
Expert	NA
Extrem	3.682
Fanal	NA
Felix	NA
Fiorello	NA
Flair	NA
Flame	NA
Flamingo	NA
Florida	NA
Gabo	4
Galahad	NA
Garcia	NA
Gawain	NA
Glasgow	3.805
Grafton	NA
Granada	NA
Haven	NA
Heine7	NA
Hereward	NA
Highbury	NA
Hobbit	NA
Holdfast	NA
Hybrid46	NA
Ibis	3.301
Iena	4.24
Ikarus	3.081
Jagger	NA
Joss_Cambier	4.218
Julius	NA
KWS_Santiago	NA
Karat	NA
Koga1	NA
Kontrast	NA
Kosack	NA
Kranich	NA
Lancelot	3.758
Leda	NA
Legend	NA
Longbow	NA
Lutin	NA
MISR1	4.511
Mahndorfer	NA
Marco	NA
Maris_Dove	3.319
Maris_Widgeon	NA
MarisHuntsman	NA
Maris_ranger	NA
Minister	NA
Mironovska	NA
Moisson	4.863
Muck	NA
Multiweiss	NA
Nautica	3.833
Newhaven	NA
Norda	NA
Norin	NA
Obelisk	NA
Odeon	NA
Odin	NA
Oenus	3.943
Opata	3.923
Orlando	NA
Palur	NA
Pamyat	NA
Pastiche	NA
Pavon76	4.31
Pepital	NA
Peragis	4.279
Perlo	NA
Pfau	5.038
Pomerelle	3.902
Pony	4.483
Prof_Marshall	NA
Prophet	NA
Rabe	NA
Rebel	3.212
Recital	3.774
Record	NA
Red_Fife	NA
Reedling	4.733
Regent	3.657
Renan	NA
Rendezvous	NA
Revelation	NA
Riband	NA
Rimpaus_Bastard2	3.642
RitzlhoferNeu	NA
SYMattis	NA
Savannah	NA
Schweigers_Taca	NA
Scipion	4.659
Shamrock	2.893
Shango	NA
Sicco	3.161
Slejpner	NA
Soissons	4.156
Soleil	3.819
Spark	NA
Sperber	NA
Spitfire	NA
Sportsman	NA
Stamm101	NA
Starke2	NA
Stava	NA
Stella	NA
Super152	5.096
Svale	NA
Tadorna	NA
Talent	NA
Tambor	NA
Tandem	3.512
Tanker	NA
Taras	4.191
Thatcher	NA
Thor	NA
Titus	4.321
Top	NA
Torfrida	3.853
Trafalgar	NA
Treasure	4.167
Tremie	NA
Triumph_NDL	NA
Tschermaks	4.198
Turpin	NA
Urban	NA
Vaguedepis	NA
Vilmorin53	NA
Vilmorin27	NA
Virgo	NA
Vocal	NA
Voyage	NA
WATDE0001	3.95
WATDE0002	4.18
WATDE0004	3.46
WATDE0005	NA
WATDE0006	4.05
WATDE0007	NA
WATDE0008	3.88
WATDE0009	4.04
WATDE0011	3.05
WATDE0012	3.50
WATDE0013	4.74
WATDE0014	3.69
WATDE0015	3.98
WATDE0016	3.06
WATDE0017	4.56
WATDE0018	4.69
WATDE0019	3.79
WATDE0020	2.77
WATDE0021	4.36
WATDE0022	3.42
WATDE0023	3.79
WATDE0024	4.47
WATDE0025	4.07
WATDE0026	4.30
WATDE0027	4.07
WATDE0028	3.59
WATDE0029	NA
WATDE0030	NA
WATDE0031	3.70
WATDE0032	4.39
WATDE0033	3.08
WATDE0034	4.46
WATDE0035	NA
WATDE0036	4.30
WATDE0037	3.96
WATDE0038	NA
WATDE0040	NA
WATDE0041	4.07
WATDE0042	3.58
WATDE0043	4.31
WATDE0044	4.14
WATDE0045	3.10
WATDE0046	3.58
