IID	LenWidRa_Quzhou_2022_Natural
Agron	2.076
Alba	NA
Albatross	2.169
Alcedo	NA
Alert	NA
Almus	2.227
Altria	1.926
ArinaLrFor	NA
Arminda	2.227
Aronde	NA
Avalon	NA
Aztec	1.894
WATDE0003	2.11
WATDE0010	NA
WATDE0339	2.10
WATDE0459	2.25
WATDE0476	2.08
WATDE0526	2.40
WATDE0532	2.33
WATDE0576	2.28
WATDE0612	2.00
WATDE0061	2.24
WATDE0668	2.30
WATDE0714	2.21
WATDE0762	2.42
WATDE0801	2.29
WATDE0868	2.09
WATDE0100	2.28
WATDE1030	2.27
Banco	NA
Bandit	NA
Banner	NA
Beauchamp	NA
Beaver	NA
Becard_Kachu	NA
Bersee	NA
Boreonos	NA
Bounty	NA
Boxer	NA
Buster	NA
Calif	NA
Camp_Remy	NA
Capitiane	1.969
Capo	2.195
Cappelle_Desprez	NA
Catamaran	NA
Cezanne	2.042
Charger	2.147
Chinese_Spring	NA
Cimcog26	1.86
Cimcog3	NA
Cimcog47	2.058
Cimcog56	2.055
Claire	NA
Consort	NA
Courtot	NA
Crest	NA
Crusoe	NA
Diablo	NA
Diplomat	2.134
Disponent	NA
Dorby	NA
Drake	NA
Drauhofener_Kolben	NA
Druid	NA
Encore	2.039
Equinox	2.358
Erla-Kolben	NA
Erland	NA
Eros	NA
Expert	NA
Extrem	2.019
Fanal	NA
Felix	NA
Fiorello	NA
Flair	NA
Flame	NA
Flamingo	NA
Florida	NA
Gabo	1.853
Galahad	NA
Garcia	NA
Gawain	NA
Glasgow	2.02
Grafton	NA
Granada	NA
Haven	NA
Heine7	NA
Hereward	NA
Highbury	NA
Hobbit	NA
Holdfast	NA
Hybrid46	NA
Ibis	2.135
Iena	2.218
Ikarus	2.161
Jagger	NA
Joss_Cambier	2.042
Julius	NA
KWS_Santiago	NA
Karat	NA
Koga1	NA
Kontrast	NA
Kosack	NA
Kranich	NA
Lancelot	2.042
Leda	NA
Legend	NA
Longbow	NA
Lutin	NA
MISR1	2.025
Mahndorfer	NA
Marco	NA
Maris_Dove	1.992
Maris_Widgeon	NA
MarisHuntsman	NA
Maris_ranger	NA
Minister	NA
Mironovska	NA
Moisson	1.867
Muck	NA
Multiweiss	NA
Nautica	2.172
Newhaven	NA
Norda	NA
Norin	NA
Obelisk	NA
Odeon	NA
Odin	NA
Oenus	2.151
Opata	2.096
Orlando	NA
Palur	NA
Pamyat	NA
Pastiche	NA
Pavon76	2.116
Pepital	NA
Peragis	2.183
Perlo	NA
Pfau	1.904
Pomerelle	2.05
Pony	1.906
Prof_Marshall	NA
Prophet	NA
Rabe	NA
Rebel	2.209
Recital	1.849
Record	NA
Red_Fife	NA
Reedling	2.028
Regent	2.177
Renan	NA
Rendezvous	NA
Revelation	NA
Riband	NA
Rimpaus_Bastard2	2.295
RitzlhoferNeu	NA
SYMattis	NA
Savannah	NA
Schweigers_Taca	NA
Scipion	2.056
Shamrock	2.262
Shango	NA
Sicco	1.988
Slejpner	NA
Soissons	1.97
Soleil	2.107
Spark	NA
Sperber	NA
Spitfire	NA
Sportsman	NA
Stamm101	NA
Starke2	NA
Stava	NA
Stella	NA
Super152	1.88
Svale	NA
Tadorna	NA
Talent	NA
Tambor	NA
Tandem	2.174
Tanker	NA
Taras	1.941
Thatcher	NA
Thor	NA
Titus	2.217
Top	NA
Torfrida	2.056
Trafalgar	NA
Treasure	2.24
Tremie	NA
Triumph_NDL	NA
Tschermaks	2.249
Turpin	NA
Urban	NA
Vaguedepis	NA
Vilmorin53	NA
Vilmorin27	NA
Virgo	NA
Vocal	NA
Voyage	NA
WATDE0001	2.11
WATDE0002	2.15
WATDE0004	2.10
WATDE0005	NA
WATDE0006	1.83
WATDE0007	NA
WATDE0008	2.43
WATDE0009	2.38
