IID	GrnSpl_Kaifeng-GH_2020_Natural
WATDE0134	NA
WATDE0136	2.50
WATDE0138	NA
WATDE0140	NA
WATDE0141	NA
WATDE0143	NA
WATDE0144	1.00
WATDE0145	2.00
WATDE0146	2.00
WATDE0148	2.00
WATDE0149	3.00
WATDE0150	2.00
WATDE0151	2.00
WATDE0152	2.00
WATDE0153	2.00
WATDE0154	2.00
WATDE0156	3.00
WATDE0157	2.00
WATDE0158	2.00
WATDE0159	2.67
WATDE0160	3.33
WATDE0162	2.33
WATDE0164	2.33
WATDE0165	2.67
WATDE0168	NA
WATDE0169	1.00
WATDE0171	NA
WATDE0173	NA
WATDE0174	NA
WATDE0175	NA
WATDE0176	NA
WATDE0177	NA
WATDE0178	NA
WATDE0180	2.00
WATDE0181	2.00
WATDE0182	2.00
WATDE0183	2.00
WATDE0184	NA
WATDE0185	NA
WATDE0187	NA
WATDE0188	NA
WATDE0190	NA
WATDE0191	3.00
WATDE0192	NA
WATDE0194	1.00
WATDE0195	2.00
WATDE0196	NA
WATDE0198	NA
WATDE0199	NA
WATDE0200	NA
WATDE0202	3.00
WATDE0203	NA
WATDE0204	NA
WATDE0205	NA
WATDE0206	NA
WATDE0207	2.67
WATDE0209	3.00
WATDE0211	NA
WATDE0212	2.67
WATDE0214	NA
WATDE0215	3.00
WATDE0216	3.83
WATDE0217	NA
WATDE0219	NA
WATDE0220	2.00
WATDE0221	3.00
WATDE0222	3.00
WATDE0223	2.00
WATDE0224	3.19
WATDE0225	2.00
WATDE0227	2.00
WATDE0228	NA
WATDE0229	2.33
WATDE0230	3.00
WATDE0232	3.00
WATDE0233	NA
WATDE0234	2.00
WATDE0235	NA
WATDE0236	2.33
WATDE0237	NA
WATDE0238	NA
WATDE0239	3.00
WATDE0241	NA
WATDE0242	2.00
WATDE0243	NA
WATDE0244	NA
WATDE0246	1.00
WATDE0247	NA
WATDE0248	NA
WATDE0249	3.00
WATDE0250	2.00
WATDE0252	NA
WATDE0253	2.00
WATDE0254	4.00
WATDE0255	3.33
WATDE0257	2.00
WATDE0258	3.00
WATDE0259	3.00
WATDE0260	3.00
WATDE0262	2.00
WATDE0263	2.00
WATDE0264	3.80
WATDE0266	2.00
WATDE0268	NA
WATDE0270	2.50
WATDE0271	2.00
WATDE0272	2.00
WATDE0273	NA
WATDE0275	3.00
WATDE0276	2.00
WATDE0277	2.00
WATDE0278	2.00
WATDE0280	2.00
WATDE0281	3.33
WATDE0282	3.00
WATDE0284	NA
WATDE0285	2.50
WATDE0286	3.00
WATDE0287	3.33
WATDE0288	2.00
WATDE0290	2.25
WATDE0291	2.00
WATDE0292	2.89
WATDE0293	NA
WATDE0294	2.00
WATDE0296	NA
WATDE0298	NA
WATDE0299	2.67
WATDE0301	2.00
WATDE0302	2.33
WATDE0303	NA
WATDE0304	2.00
WATDE0305	NA
WATDE0306	NA
WATDE0308	NA
WATDE0310	NA
WATDE0312	2.78
WATDE0313	2.00
WATDE0315	2.00
WATDE0316	NA
WATDE0317	2.00
WATDE0318	2.00
WATDE0319	2.00
WATDE0321	3.33
WATDE0323	NA
WATDE0324	3.14
WATDE0325	NA
WATDE0328	2.00
WATDE0329	1.00
WATDE0331	2.00
WATDE0332	2.00
WATDE0333	NA
WATDE0334	2.00
WATDE0335	NA
WATDE0336	NA
WATDE0337	NA
WATDE0340	4.33
WATDE0342	2.50
WATDE0343	NA
WATDE0344	NA
WATDE0345	NA
WATDE0346	3.00
WATDE0347	3.00
WATDE0348	NA
WATDE0350	2.00
WATDE0352	3.00
WATDE0353	NA
WATDE0354	NA
WATDE0355	2.33
WATDE0356	2.00
WATDE0358	2.00
WATDE0359	2.00
WATDE0361	NA
WATDE0363	4.00
WATDE0365	2.00
WATDE0366	NA
WATDE0368	2.00
WATDE0369	2.00
WATDE0370	2.00
WATDE0371	2.00
WATDE0372	2.00
WATDE0373	NA
WATDE0374	2.14
WATDE0375	2.44
WATDE0377	NA
WATDE0378	1.00
WATDE0379	NA
WATDE0381	NA
WATDE0382	1.00
WATDE0383	NA
WATDE0385	1.00
WATDE0386	NA
WATDE0387	3.00
WATDE0389	2.33
WATDE0391	3.00
WATDE0392	NA
WATDE0394	2.28
WATDE0396	3.00
WATDE0397	2.00
WATDE0399	3.00
WATDE0401	2.00
WATDE0403	3.00
WATDE0404	2.00
WATDE0405	NA
WATDE0407	3.00
WATDE0408	2.00
WATDE0409	2.00
WATDE0410	2.00
WATDE0411	3.00
WATDE0412	2.00
WATDE0413	2.00
WATDE0415	2.00
WATDE0417	2.00
WATDE0419	2.00
WATDE0420	3.00
WATDE0421	2.00
WATDE0422	3.00
WATDE0423	3.00
WATDE0424	NA
WATDE0425	NA
WATDE0426	NA
WATDE0427	NA
WATDE0428	NA
WATDE0429	NA
WATDE0430	2.00
WATDE0431	NA
WATDE0432	NA
WATDE0433	3.00
WATDE0434	NA
WATDE0435	NA
WATDE0436	2.67
WATDE0438	NA
WATDE0439	3.00
WATDE0440	3.11
WATDE0441	3.67
WATDE0442	1.00
WATDE0443	NA
WATDE0444	NA
WATDE0445	NA
WATDE0446	NA
WATDE0448	2.33
WATDE0449	2.00
WATDE0450	2.78
WATDE0451	2.00
WATDE0452	1.00
WATDE0453	NA
WATDE0454	2.78
WATDE0455	2.22
WATDE0456	2.00
WATDE0457	3.00
WATDE0460	3.00
WATDE0461	2.00
WATDE0462	2.00
WATDE0463	3.67
WATDE0465	3.33
WATDE0467	3.25
WATDE0469	2.50
WATDE0471	2.33
WATDE0474	3.00
WATDE0477	3.43
WATDE0479	2.00
WATDE0481	3.50
WATDE0482	4.22
WATDE0484	4.00
WATDE0486	3.86
WATDE0487	3.33
WATDE0488	3.00
WATDE0489	2.78
WATDE0490	3.00
WATDE0492	2.00
WATDE0494	3.00
WATDE0496	3.33
WATDE0498	3.67
WATDE0500	2.67
WATDE0501	2.67
WATDE0502	NA
WATDE0503	NA
WATDE0504	3.67
WATDE0505	NA
WATDE0507	NA
WATDE0509	2.00
WATDE0510	NA
WATDE0511	NA
WATDE0512	2.75
WATDE0513	3.00
WATDE0515	NA
WATDE0516	NA
WATDE0518	NA
WATDE0519	NA
WATDE0520	NA
WATDE0521	3.00
WATDE0522	2.67
WATDE0524	NA
WATDE0527	NA
WATDE0529	NA
WATDE0531	NA
WATDE0533	2.33
WATDE0534	2.33
WATDE0536	NA
WATDE0537	2.00
WATDE0538	NA
WATDE0539	3.00
WATDE0540	2.33
WATDE0541	NA
WATDE0542	NA
WATDE0543	3.00
WATDE0544	NA
WATDE0546	NA
WATDE0547	4.33
WATDE0549	NA
WATDE0550	NA
WATDE0552	NA
WATDE0553	2.33
WATDE0555	2.11
WATDE0556	2.00
WATDE0557	NA
WATDE0558	NA
WATDE0560	NA
WATDE0561	NA
WATDE0562	2.33
WATDE0563	3.00
WATDE0565	2.00
WATDE0566	3.00
WATDE0567	1.00
WATDE0568	NA
WATDE0569	2.00
WATDE0570	2.00
WATDE0571	NA
WATDE0572	2.67
WATDE0574	4.22
WATDE0577	2.00
WATDE0578	2.67
WATDE0579	2.40
WATDE0581	2.78
WATDE0582	NA
WATDE0585	3.33
WATDE0586	3.00
WATDE0588	NA
WATDE0589	NA
WATDE0591	NA
WATDE0592	NA
WATDE0594	NA
WATDE0596	NA
WATDE0597	3.00
WATDE0598	NA
WATDE0599	NA
