IID	TN_Shenzhen-LN_2021_Natural
Agron	NA
Alba	NA
Albatross	NA
Alcedo	NA
Alert	NA
Almus	NA
Altria	NA
ArinaLrFor	NA
Arminda	NA
Aronde	NA
Avalon	NA
Aztec	NA
WATDE0003	NA
WATDE0010	NA
WATDE0339	8.06
WATDE0459	15.01
WATDE0476	24.37
WATDE0526	NA
WATDE0532	NA
WATDE0576	10.56
WATDE0612	NA
WATDE0061	16.31
WATDE0668	NA
WATDE0714	11.51
WATDE0762	12.25
WATDE0801	15.02
WATDE0868	11.79
WATDE0100	17.55
WATDE1030	NA
Banco	NA
Bandit	NA
Banner	NA
Beauchamp	NA
Beaver	NA
Becard_Kachu	NA
Bersee	NA
Boreonos	NA
Bounty	NA
Boxer	NA
Buster	NA
Calif	NA
Camp_Remy	NA
Capitiane	NA
Capo	NA
Cappelle_Desprez	NA
Catamaran	NA
Cezanne	NA
Charger	NA
Chinese_Spring	NA
Cimcog26	NA
Cimcog3	NA
Cimcog47	NA
Cimcog56	NA
Claire	NA
Consort	NA
Courtot	NA
Crest	NA
Crusoe	NA
Diablo	NA
Diplomat	NA
Disponent	NA
Dorby	NA
Drake	NA
Drauhofener_Kolben	NA
Druid	NA
Encore	NA
Equinox	NA
Erla-Kolben	NA
Erland	NA
Eros	NA
Expert	NA
Extrem	NA
Fanal	NA
Felix	NA
Fiorello	NA
Flair	NA
Flame	NA
Flamingo	NA
Florida	NA
Gabo	NA
Galahad	NA
Garcia	NA
Gawain	NA
Glasgow	NA
Grafton	NA
Granada	NA
Haven	NA
Heine7	NA
Hereward	NA
Highbury	NA
Hobbit	NA
Holdfast	NA
Hybrid46	NA
Ibis	NA
Iena	NA
Ikarus	NA
Jagger	NA
Joss_Cambier	NA
Julius	NA
KWS_Santiago	NA
Karat	NA
Koga1	NA
Kontrast	NA
Kosack	NA
Kranich	NA
Lancelot	NA
Leda	NA
Legend	NA
Longbow	NA
Lutin	NA
MISR1	NA
Mahndorfer	NA
Marco	NA
Maris_Dove	NA
Maris_Widgeon	NA
MarisHuntsman	NA
Maris_ranger	NA
Minister	NA
Mironovska	NA
Moisson	NA
Muck	NA
Multiweiss	NA
Nautica	NA
Newhaven	NA
Norda	NA
Norin	NA
Obelisk	NA
Odeon	NA
Odin	NA
Oenus	NA
Opata	NA
Orlando	NA
Palur	NA
Pamyat	NA
Pastiche	NA
Pavon76	NA
Pepital	NA
Peragis	NA
Perlo	NA
Pfau	NA
Pomerelle	NA
Pony	NA
Prof_Marshall	NA
Prophet	NA
Rabe	NA
Rebel	NA
Recital	NA
Record	NA
Red_Fife	NA
Reedling	NA
Regent	NA
Renan	NA
Rendezvous	NA
Revelation	NA
Riband	NA
Rimpaus_Bastard2	NA
RitzlhoferNeu	NA
SYMattis	NA
Savannah	NA
Schweigers_Taca	NA
Scipion	NA
Shamrock	NA
Shango	NA
Sicco	NA
Slejpner	NA
Soissons	NA
Soleil	NA
Spark	NA
Sperber	NA
Spitfire	NA
Sportsman	NA
Stamm101	NA
Starke2	NA
Stava	NA
Stella	NA
Super152	NA
Svale	NA
Tadorna	NA
Talent	NA
Tambor	NA
Tandem	NA
Tanker	NA
Taras	NA
Thatcher	NA
Thor	NA
Titus	NA
Top	NA
Torfrida	NA
Trafalgar	NA
Treasure	NA
Tremie	NA
Triumph_NDL	NA
Tschermaks	NA
Turpin	NA
Urban	NA
Vaguedepis	NA
Vilmorin53	NA
Vilmorin27	NA
Virgo	NA
Vocal	NA
Voyage	NA
WATDE0001	13.20
WATDE0002	5.22
WATDE0004	14.73
WATDE0005	9.89
WATDE0006	NA
WATDE0007	NA
WATDE0008	NA
WATDE0009	NA
WATDE0011	4.82
WATDE0012	NA
WATDE0013	13.49
WATDE0014	10.09
WATDE0015	10.07
WATDE0016	15.35
WATDE0017	NA
WATDE0018	14.50
WATDE0019	NA
WATDE0020	9.03
WATDE0021	NA
WATDE0022	NA
WATDE0023	15.76
WATDE0024	NA
WATDE0025	20.22
WATDE0026	12.48
WATDE0027	20.99
WATDE0028	18.91
WATDE0029	NA
WATDE0030	NA
WATDE0031	15.52
WATDE0032	17.04
WATDE0033	15.39
WATDE0034	15.79
WATDE0035	NA
WATDE0036	13.20
WATDE0037	16.69
WATDE0038	NA
WATDE0040	NA
WATDE0041	18.25
WATDE0042	17.64
WATDE0043	14.67
WATDE0044	13.90
WATDE0045	NA
WATDE0046	NA
WATDE0047	16.55
WATDE0048	NA
WATDE0049	14.81
WATDE0050	NA
WATDE0051	NA
WATDE0052	NA
WATDE0053	11.75
WATDE0054	16.82
WATDE0055	15.79
WATDE0056	16.99
WATDE0057	14.26
WATDE0058	16.31
WATDE0059	8.92
WATDE0060	33.31
WATDE0062	13.73
WATDE0063	20.41
WATDE0064	16.19
WATDE0065	NA
WATDE0066	25.33
WATDE0067	6.67
WATDE0068	14.95
WATDE0069	17.67
WATDE0070	NA
WATDE0071	12.13
WATDE0072	12.09
WATDE0073	NA
WATDE0074	9.42
WATDE0075	15.11
WATDE0076	17.24
WATDE0077	11.97
WATDE0078	13.36
WATDE0079	NA
WATDE0080	16.95
WATDE0081	NA
WATDE0082	NA
WATDE0083	14.88
WATDE0084	4.93
WATDE0085	16.25
WATDE0086	NA
WATDE0087	NA
WATDE0088	NA
WATDE0089	NA
WATDE0090	NA
WATDE0091	13.49
WATDE0092	14.83
WATDE0093	11.03
WATDE0094	11.50
WATDE0095	12.40
WATDE0096	9.45
WATDE0097	13.13
WATDE0098	13.55
WATDE0099	NA
WATDE0101	15.38
WATDE0102	NA
WATDE0103	NA
WATDE0104	NA
WATDE0105	12.99
WATDE0106	NA
WATDE0107	13.09
WATDE0108	NA
WATDE0109	12.88
WATDE0110	15.75
WATDE0111	13.50
WATDE0112	9.16
WATDE0113	13.09
WATDE0114	15.39
WATDE0115	8.76
WATDE0116	18.19
WATDE0117	NA
WATDE0118	13.36
WATDE0119	6.01
WATDE0120	NA
WATDE0121	12.39
WATDE0122	18.62
WATDE0123	10.02
WATDE0124	4.64
WATDE0126	20.36
WATDE0127	20.49
WATDE0129	17.61
WATDE0131	16.90
WATDE0133	7.86
WATDE0134	NA
WATDE0136	NA
