IID	EmerNo_Shenzhen_2022_Natural
Agron	NA
Alba	NA
Albatross	NA
Alcedo	NA
Alert	NA
Almus	NA
Altria	NA
ArinaLrFor	NA
Arminda	NA
Aronde	NA
Avalon	NA
Aztec	NA
WATDE0003	57.00
WATDE0010	NA
WATDE0339	NA
WATDE0459	75.00
WATDE0476	75.50
WATDE0526	NA
WATDE0532	40.50
WATDE0576	71.50
WATDE0612	66.00
WATDE0061	62.50
WATDE0668	72.00
WATDE0714	100.00
WATDE0762	83.00
WATDE0801	63.00
WATDE0868	NA
WATDE0100	57.00
WATDE1030	82.50
Banco	NA
Bandit	NA
Banner	NA
Beauchamp	NA
Beaver	NA
Becard_Kachu	NA
Bersee	NA
Boreonos	NA
Bounty	NA
Boxer	NA
Buster	NA
Calif	NA
Camp_Remy	NA
Capitiane	NA
Capo	NA
Cappelle_Desprez	NA
Catamaran	NA
Cezanne	NA
Charger	NA
Chinese_Spring	NA
Cimcog26	NA
Cimcog3	NA
Cimcog47	NA
Cimcog56	NA
Claire	NA
Consort	NA
Courtot	NA
Crest	NA
Crusoe	NA
Diablo	NA
Diplomat	NA
Disponent	NA
Dorby	NA
Drake	NA
Drauhofener_Kolben	NA
Druid	NA
Encore	NA
Equinox	NA
Erla-Kolben	NA
Erland	NA
Eros	NA
Expert	NA
Extrem	NA
Fanal	NA
Felix	NA
Fiorello	NA
Flair	NA
Flame	NA
Flamingo	NA
Florida	NA
Gabo	NA
Galahad	NA
Garcia	NA
Gawain	NA
Glasgow	NA
Grafton	NA
Granada	NA
Haven	NA
Heine7	NA
Hereward	NA
Highbury	NA
Hobbit	NA
Holdfast	NA
Hybrid46	NA
Ibis	NA
Iena	NA
Ikarus	NA
Jagger	NA
Joss_Cambier	NA
Julius	NA
KWS_Santiago	NA
Karat	NA
Koga1	NA
Kontrast	NA
Kosack	NA
Kranich	NA
Lancelot	NA
Leda	NA
Legend	NA
Longbow	NA
Lutin	NA
MISR1	NA
Mahndorfer	NA
Marco	NA
Maris_Dove	NA
Maris_Widgeon	NA
MarisHuntsman	NA
Maris_ranger	NA
Minister	NA
Mironovska	NA
Moisson	NA
Muck	NA
Multiweiss	NA
Nautica	NA
Newhaven	NA
Norda	NA
Norin	NA
Obelisk	NA
Odeon	NA
Odin	NA
Oenus	NA
Opata	NA
Orlando	NA
Palur	NA
Pamyat	NA
Pastiche	NA
Pavon76	NA
Pepital	NA
Peragis	NA
Perlo	NA
Pfau	NA
Pomerelle	NA
Pony	NA
Prof_Marshall	NA
Prophet	NA
Rabe	NA
Rebel	NA
Recital	NA
Record	NA
Red_Fife	NA
Reedling	NA
Regent	NA
Renan	NA
Rendezvous	NA
Revelation	NA
Riband	NA
Rimpaus_Bastard2	NA
RitzlhoferNeu	NA
SYMattis	NA
Savannah	NA
Schweigers_Taca	NA
Scipion	NA
Shamrock	NA
Shango	NA
Sicco	NA
Slejpner	NA
Soissons	NA
Soleil	NA
Spark	NA
Sperber	NA
Spitfire	NA
Sportsman	NA
Stamm101	NA
Starke2	NA
Stava	NA
Stella	NA
Super152	NA
Svale	NA
Tadorna	NA
Talent	NA
Tambor	NA
Tandem	NA
Tanker	NA
Taras	NA
Thatcher	NA
Thor	NA
Titus	NA
Top	NA
Torfrida	NA
Trafalgar	NA
Treasure	NA
Tremie	NA
Triumph_NDL	NA
Tschermaks	NA
Turpin	NA
Urban	NA
Vaguedepis	NA
Vilmorin53	NA
Vilmorin27	NA
Virgo	NA
Vocal	NA
Voyage	NA
WATDE0001	87.50
WATDE0002	83.50
WATDE0004	80.50
WATDE0005	72.50
WATDE0006	115.00
WATDE0007	NA
WATDE0008	62.00
WATDE0009	51.50
WATDE0011	62.50
WATDE0012	83.00
WATDE0013	67.50
WATDE0014	NA
WATDE0015	62.50
WATDE0016	65.50
WATDE0017	NA
WATDE0018	74.00
WATDE0019	NA
WATDE0020	82.00
WATDE0021	48.50
WATDE0022	NA
WATDE0023	101.00
WATDE0024	NA
WATDE0025	71.00
WATDE0026	93.50
WATDE0027	50.00
WATDE0028	50.50
WATDE0029	NA
WATDE0030	NA
WATDE0031	111.00
WATDE0032	31.50
WATDE0033	56.00
WATDE0034	72.00
WATDE0035	NA
WATDE0036	64.50
WATDE0037	65.50
WATDE0038	NA
WATDE0040	NA
WATDE0041	101.50
WATDE0042	72.50
WATDE0043	119.50
WATDE0044	NA
WATDE0045	54.00
WATDE0046	83.50
WATDE0047	25.00
WATDE0048	NA
WATDE0049	90.00
WATDE0050	NA
WATDE0051	50.50
WATDE0052	NA
WATDE0053	68.00
WATDE0054	52.00
WATDE0055	46.00
WATDE0056	74.50
WATDE0057	68.50
WATDE0058	39.00
WATDE0059	NA
WATDE0060	29.50
WATDE0062	71.50
WATDE0063	54.50
WATDE0064	119.50
WATDE0065	81.50
WATDE0066	66.50
WATDE0067	61.50
WATDE0068	58.00
WATDE0069	81.00
WATDE0070	76.00
WATDE0071	70.50
WATDE0072	77.50
WATDE0073	85.50
WATDE0074	49.50
WATDE0075	73.50
WATDE0076	55.00
WATDE0077	49.00
WATDE0078	107.00
WATDE0079	103.00
WATDE0080	55.00
WATDE0081	NA
WATDE0082	44.00
WATDE0083	39.00
WATDE0084	72.00
WATDE0085	116.00
WATDE0086	38.00
WATDE0087	38.50
WATDE0088	40.50
WATDE0089	NA
WATDE0090	66.50
WATDE0091	80.00
WATDE0092	67.00
WATDE0093	64.50
WATDE0094	84.00
WATDE0095	71.50
WATDE0096	51.00
WATDE0097	44.00
WATDE0098	59.00
WATDE0099	55.00
WATDE0101	69.50
WATDE0102	58.00
WATDE0103	90.50
WATDE0104	NA
WATDE0105	53.50
WATDE0106	63.50
WATDE0107	49.00
WATDE0108	54.50
WATDE0109	97.50
WATDE0110	61.50
WATDE0111	58.00
WATDE0112	72.00
WATDE0113	69.50
WATDE0114	65.50
WATDE0115	58.00
WATDE0116	56.50
WATDE0117	56.00
WATDE0118	61.50
WATDE0119	80.00
WATDE0120	NA
WATDE0121	74.50
WATDE0122	48.50
WATDE0123	81.00
WATDE0124	44.00
WATDE0126	74.00
WATDE0127	87.00
WATDE0129	113.00
WATDE0131	100.00
WATDE0133	56.50
