ID,Accession,Run title,BioProject accession,Experiment accession,Run data file type,Read filename 1,Read file1 MD5,DownLoad Read file1,Read filename 2,Read file2 MD5,DownLoad Read file2,Index filename 1,Index file1 MD5,DownLoad Index file1,Index filename 2,Index file2 MD5,DownLoad Index file2,Reference file name,MD5 for reference file,Assembly Name or Accession,Assembly Accession URL,other_db,accession_in_other_db,other_db_url
13,CRR875552,Agron-2,PRJCA019636,CRX791106,fastq,CRR875552_f1.fastq.gz (54674491270 bytes),70a628cac1bc8737517f2570fd305552,ftp://download.big.ac.cn/gsa/CRA012590/CRR875552/CRR875552_f1.fastq.gz,CRR875552_r2.fastq.gz (53479351360 bytes),f99d435c9a524c7023a7add7f2795884,ftp://download.big.ac.cn/gsa/CRA012590/CRR875552/CRR875552_r2.fastq.gz,,,,,,,,,,,,,
14,CRR875559,Alert-1,PRJCA019636,CRX791107,fastq,CRR875559_f1.fastq.gz (13509394650 bytes),3c9cd11b66c16398a3d3a278f8e9c0b1,ftp://download.big.ac.cn/gsa/CRA012590/CRR875559/CRR875559_f1.fastq.gz,CRR875559_r2.fastq.gz (13607427836 bytes),b1eab2306b508208d1af30d98d6398f0,ftp://download.big.ac.cn/gsa/CRA012590/CRR875559/CRR875559_r2.fastq.gz,,,,,,,,,,,,,
15,CRR875560,Alert-2,PRJCA019636,CRX791107,fastq,CRR875560_f1.fastq.gz (16772750801 bytes),afc6f3d361cc473fb64437b34cc875fa,ftp://download.big.ac.cn/gsa/CRA012590/CRR875560/CRR875560_f1.fastq.gz,CRR875560_r2.fastq.gz (17551251816 bytes),2b5b9591f39684c0924957664167e1b2,ftp://download.big.ac.cn/gsa/CRA012590/CRR875560/CRR875560_r2.fastq.gz,,,,,,,,,,,,,
16,CRR875561,Alert-3,PRJCA019636,CRX791107,fastq,CRR875561_f1.fastq.gz (11277513234 bytes),bbb0ada4ad49be6dcaa93fdb41f70eaa,ftp://download.big.ac.cn/gsa/CRA012590/CRR875561/CRR875561_f1.fastq.gz,CRR875561_r2.fastq.gz (11388516610 bytes),38c398387e09631d934715e8b120515f,ftp://download.big.ac.cn/gsa/CRA012590/CRR875561/CRR875561_r2.fastq.gz,,,,,,,,,,,,,
17,CRR875562,Alert-4,PRJCA019636,CRX791107,fastq,CRR875562_f1.fastq.gz (17106335075 bytes),2637ef7b3df32317449d908a78632b2d,ftp://download.big.ac.cn/gsa/CRA012590/CRR875562/CRR875562_f1.fastq.gz,CRR875562_r2.fastq.gz (17942268940 bytes),6ae7e5a31e5798bcc44686f9ac12ab20,ftp://download.big.ac.cn/gsa/CRA012590/CRR875562/CRR875562_r2.fastq.gz,,,,,,,,,,,,,
18,CRR875563,Almus-1,PRJCA019636,CRX791108,fastq,CRR875563_f1.fastq.gz (49931819684 bytes),73cac124c8bf9be8022f25bddbb68a59,ftp://download.big.ac.cn/gsa/CRA012590/CRR875563/CRR875563_f1.fastq.gz,CRR875563_r2.fastq.gz (48093535389 bytes),6a7b0b0509cb9cb8afe08dbbc8376522,ftp://download.big.ac.cn/gsa/CRA012590/CRR875563/CRR875563_r2.fastq.gz,,,,,,,,,,,,,
19,CRR875564,Almus-2,PRJCA019636,CRX791108,fastq,CRR875564_f1.fastq.gz (40285071540 bytes),dbd61b9811ede8bbf0c9423c8724034f,ftp://download.big.ac.cn/gsa/CRA012590/CRR875564/CRR875564_f1.fastq.gz,CRR875564_r2.fastq.gz (39081690989 bytes),de7b458c403c8c0f4c06bd7bdbf893cb,ftp://download.big.ac.cn/gsa/CRA012590/CRR875564/CRR875564_r2.fastq.gz,,,,,,,,,,,,,
20,CRR875565,Almus-3,PRJCA019636,CRX791108,fastq,CRR875565_f1.fastq.gz (33009618692 bytes),1652b2644b089c28595943b13a03c4aa,ftp://download.big.ac.cn/gsa/CRA012590/CRR875565/CRR875565_f1.fastq.gz,CRR875565_r2.fastq.gz (31733122055 bytes),5b1c17d4f2e1b54c016b86b66fcedd4d,ftp://download.big.ac.cn/gsa/CRA012590/CRR875565/CRR875565_r2.fastq.gz,,,,,,,,,,,,,
21,CRR875566,Almus-4,PRJCA019636,CRX791108,fastq,CRR875566_f1.fastq.gz (41096153820 bytes),d98547c69114d221355a87e75ca5315e,ftp://download.big.ac.cn/gsa/CRA012590/CRR875566/CRR875566_f1.fastq.gz,CRR875566_r2.fastq.gz (39270978394 bytes),b7439d7c164d156b18a29fb3c4c09756,ftp://download.big.ac.cn/gsa/CRA012590/CRR875566/CRR875566_r2.fastq.gz,,,,,,,,,,,,,
22,CRR875567,Altria-1,PRJCA019636,CRX791109,fastq,CRR875567_f1.fastq.gz (25119891471 bytes),ede0b3f8ef51c214cbdc022838d308b2,ftp://download.big.ac.cn/gsa/CRA012590/CRR875567/CRR875567_f1.fastq.gz,CRR875567_r2.fastq.gz (24058626994 bytes),b1b9a152910a0ac8c10a7cc58a34860d,ftp://download.big.ac.cn/gsa/CRA012590/CRR875567/CRR875567_r2.fastq.gz,,,,,,,,,,,,,
