# 66 data1
CRR876009	Slejpner-2  #
CRR876011	Soissons-2  #
CRR876012	Soissons-3  #
CRR876013	Soleil-1    #
CRR876014	Soleil-2    #
CRR876015	Solstice-1  #
CRR876017	Solstice-3  #
CRR876019	Spark-2 #
CRR876020	Spark-3 #
CRR876022	Sperber-1   #
# 115 11
CRR876023	Sperber-2   #
CRR876024	Sperber-3   #
CRR876026	Spitfire-1  #
CRR876027	Spitfire-2  #
CRR876028	Sportsman-1 #
CRR876029	Sportsman-2 #
CRR876030	Stamm 101-1 #
CRR876031	Stamm 101-2 #
CRR876033	Starke 2-1  #
CRR876034	Starke 2-2  #
CRR876035	Stava-1 #
CRR876036	Stava-2 #
CRR876037	Stella-1    #
CRR876038	Stella-2    #
CRR876041	Super 152-2 #
CRR876043	Svale-2 #
CRR876044	Svale-3 #
CRR876045	Tadorna-1   #
CRR876046	Tadorna-2   #
CRR876047	Tadorna-3   #
CRR876048	Talent-1    #
CRR876049	Talent-2    #
CRR876050	Tambor-1    #
CRR876051	Tambor-2    #
CRR876052	Tandem-1    #
# 115 12
CRR876053	Tandem-2    #
CRR876054	Tanker-1    #
CRR876055	Tanker-2    #
CRR876056	Tanker-3    #
CRR876057	Tanker-4    #
CRR876058	Taras-1 #
CRR876059	Taras-2 #
CRR876061	Taras-4 #
CRR876062	Thatcher-1  #
CRR876063	Thatcher-2  #
CRR876064	Thor-1  #
CRR876065	Thor-2  #
CRR876066	Thor-3  #
CRR876067	Titus-1 #
CRR876068	Titus-2 #
CRR876069	Titus-3 #
CRR876070	Top-1   #
CRR876071	Top-2   #
CRR876072	Top-3   #
CRR876073	Torch-1 #
CRR876074	Torch-2 #
CRR876075	Torfrida-1  #
CRR876076	Torfrida-2  #
CRR876077	Trafalgar-1 #
CRR876078	Trafalgar-2 #
# 115 13
CRR876079	Trafalgar-3 #
CRR876080	Treasure-1  #
CRR876081	Treasure-2  #
CRR876082	Tremie-1    #
CRR876083	Tremie-2    #
CRR876084	Triumph NDL-1   #
CRR876085	Triumph NDL-2   #
CRR876086	Tschermaks-1    #
CRR876087	Tschermaks-2    #
CRR876088	Turpin-1    #
CRR876089	Turpin-2    #
CRR876090	Urban-1 #
CRR876091	Urban-2 #
CRR876092	Vaguedepis-1    #
CRR876094	Vaguedepis-3    #
CRR876095	Veritas-1   #
CRR876097	Veritas-3   #
CRR876098	Veritas-4   #
CRR876099	Vilmorin 27-1   #
CRR876100	Vilmorin 27-2   #
CRR876101	Vilmorin 27-3   #
CRR876104	Vilmorin 53-3   #
CRR876105	Virgo-1 #
CRR876106	Virgo-2 #
CRR876107	Vocal-1 #
CRR876108	Vocal-2 #
