IID	SC_Shenzhen_2022_Natural
WATDE0145	0.44
WATDE0146	0.61
WATDE0148	1.27
WATDE0149	0.62
WATDE0150	1.04
WATDE0151	0.30
WATDE0152	0.21
WATDE0153	0.61
WATDE0154	0.27
WATDE0156	0.34
WATDE0157	0.44
WATDE0158	0.35
WATDE0159	0.68
WATDE0160	0.91
WATDE0162	NA
WATDE0164	0.73
WATDE0165	0.69
WATDE0168	0.54
WATDE0169	NA
WATDE0171	NA
WATDE0173	0.59
WATDE0174	0.43
WATDE0175	0.95
WATDE0176	NA
WATDE0177	0.79
WATDE0178	0.50
WATDE0180	1.19
WATDE0181	0.90
WATDE0182	0.64
WATDE0183	0.61
WATDE0184	0.57
WATDE0185	1.24
WATDE0187	NA
WATDE0188	0.37
WATDE0190	0.90
WATDE0191	0.49
WATDE0192	0.30
WATDE0194	NA
WATDE0195	1.00
WATDE0196	NA
WATDE0198	0.62
WATDE0199	NA
WATDE0200	NA
WATDE0202	0.38
WATDE0203	0.33
WATDE0204	0.30
WATDE0205	NA
WATDE0206	0.41
WATDE0207	NA
WATDE0209	2.69
WATDE0211	0.34
WATDE0212	0.26
WATDE0214	NA
WATDE0215	0.70
WATDE0216	0.65
WATDE0217	0.86
WATDE0219	2.32
WATDE0220	0.80
WATDE0221	0.38
WATDE0222	1.15
WATDE0223	0.49
WATDE0224	0.16
WATDE0225	NA
WATDE0227	0.14
WATDE0228	0.52
WATDE0229	0.25
WATDE0230	1.19
WATDE0232	NA
WATDE0233	0.84
WATDE0234	0.89
WATDE0235	0.59
WATDE0236	1.11
WATDE0237	0.96
WATDE0238	1.50
WATDE0239	0.54
WATDE0241	NA
WATDE0242	0.44
WATDE0243	NA
WATDE0244	2.28
WATDE0246	0.80
WATDE0247	1.08
WATDE0248	NA
WATDE0249	0.44
WATDE0250	0.52
WATDE0252	NA
WATDE0253	2.53
WATDE0254	0.58
WATDE0255	0.30
WATDE0257	0.45
WATDE0258	0.92
WATDE0259	0.16
WATDE0260	0.35
WATDE0262	0.63
WATDE0263	0.29
