IID	TN_Shenzhen_20220308_Natural
WATDE0159	87
WATDE0160	166
WATDE0162	NA
WATDE0164	NA
WATDE0165	NA
WATDE0168	NA
WATDE0169	NA
WATDE0171	NA
WATDE0173	138
WATDE0174	114.5
WATDE0175	NA
WATDE0176	NA
WATDE0177	NA
WATDE0178	98
WATDE0180	NA
WATDE0181	NA
WATDE0182	145.5
WATDE0183	NA
WATDE0184	109.5
WATDE0185	NA
WATDE0187	NA
WATDE0188	135.5
WATDE0190	105
WATDE0191	86
WATDE0192	84.5
WATDE0194	NA
WATDE0195	157.5
WATDE0196	NA
WATDE0198	NA
WATDE0199	NA
WATDE0200	NA
WATDE0202	59
WATDE0203	268.5
WATDE0204	196.5
WATDE0205	NA
WATDE0206	211
WATDE0207	NA
WATDE0209	NA
WATDE0211	151
WATDE0212	217
WATDE0214	NA
WATDE0215	NA
WATDE0216	151.5
WATDE0217	NA
WATDE0219	168
WATDE0220	154
WATDE0221	201
WATDE0222	NA
WATDE0223	NA
WATDE0224	90
WATDE0225	NA
WATDE0227	112
WATDE0228	NA
WATDE0229	263
WATDE0230	NA
WATDE0232	NA
WATDE0233	189.5
WATDE0234	NA
WATDE0235	50
WATDE0236	NA
WATDE0237	NA
WATDE0238	NA
WATDE0239	197
WATDE0241	NA
WATDE0242	121.5
WATDE0243	NA
WATDE0244	NA
WATDE0246	NA
WATDE0247	132.5
WATDE0248	NA
WATDE0249	240
WATDE0250	416
WATDE0252	NA
WATDE0253	NA
WATDE0254	102
WATDE0255	93.5
WATDE0257	NA
WATDE0258	NA
WATDE0259	NA
WATDE0260	NA
WATDE0262	NA
WATDE0263	NA
WATDE0264	NA
WATDE0266	98
WATDE0268	NA
WATDE0270	NA
WATDE0271	NA
WATDE0272	NA
WATDE0273	89.5
WATDE0275	NA
WATDE0276	NA
WATDE0277	NA
WATDE0278	85
WATDE0280	138
WATDE0281	51.5
WATDE0282	NA
WATDE0284	NA
WATDE0285	NA
WATDE0286	NA
WATDE0287	97.5
WATDE0288	111
WATDE0290	113
WATDE0291	NA
WATDE0292	NA
WATDE0293	142
WATDE0294	222
WATDE0296	NA
WATDE0298	NA
WATDE0299	NA
WATDE0301	163
WATDE0302	NA
WATDE0303	NA
WATDE0304	NA
WATDE0305	105
WATDE0306	104
WATDE0308	161
WATDE0310	NA
WATDE0312	168
WATDE0313	142
WATDE0315	114
WATDE0316	124.5
WATDE0317	109
WATDE0318	148
WATDE0319	NA
WATDE0321	212.5
WATDE0323	NA
WATDE0324	NA
WATDE0325	NA
WATDE0328	150
WATDE0329	NA
WATDE0331	125.5
WATDE0332	70
WATDE0333	83.5
WATDE0334	NA
WATDE0335	83
WATDE0336	115
WATDE0337	NA
WATDE0340	NA
WATDE0342	NA
WATDE0343	NA
WATDE0344	NA
WATDE0345	NA
WATDE0346	125
WATDE0347	NA
WATDE0348	NA
WATDE0350	174
WATDE0352	290
WATDE0353	117
WATDE0354	121
WATDE0355	NA
WATDE0356	119.5
WATDE0358	NA
WATDE0359	135
WATDE0361	NA
WATDE0363	108
WATDE0365	NA
WATDE0366	134
WATDE0368	NA
WATDE0369	NA
WATDE0370	NA
WATDE0371	169
WATDE0372	136
WATDE0373	106.5
WATDE0374	150
WATDE0375	118.5
WATDE0377	NA
WATDE0378	NA
WATDE0379	90
WATDE0381	NA
WATDE0382	121
WATDE0383	132
WATDE0385	NA
WATDE0386	NA
WATDE0387	NA
WATDE0389	NA
WATDE0391	185.5
WATDE0392	NA
WATDE0394	137.5
WATDE0396	133
WATDE0397	178.5
WATDE0399	NA
WATDE0401	NA
WATDE0403	NA
WATDE0404	173
WATDE0405	NA
WATDE0407	101
WATDE0408	108.5
WATDE0409	209.5
WATDE0410	NA
WATDE0411	116.5
WATDE0412	90
WATDE0413	155
WATDE0415	161
WATDE0417	NA
WATDE0419	NA
WATDE0420	NA
WATDE0421	NA
WATDE0422	NA
WATDE0423	NA
WATDE0424	NA
WATDE0425	NA
WATDE0426	NA
WATDE0427	128.5
WATDE0428	NA
WATDE0429	142
WATDE0430	95
WATDE0431	NA
WATDE0432	NA
WATDE0433	NA
WATDE0434	NA
WATDE0435	NA
WATDE0436	262.5
WATDE0438	NA
WATDE0439	147.5
WATDE0440	105.5
WATDE0441	107
WATDE0442	159.5
WATDE0443	151
WATDE0444	NA
WATDE0445	117
WATDE0446	183.5
WATDE0448	171.5
WATDE0449	NA
WATDE0450	NA
WATDE0451	NA
WATDE0452	131.5
WATDE0453	NA
WATDE0454	NA
WATDE0455	NA
WATDE0456	230
WATDE0457	NA
WATDE0460	163
WATDE0461	NA
WATDE0462	NA
WATDE0463	260.5
WATDE0465	140.5
WATDE0467	NA
WATDE0469	178
WATDE0471	213.5
WATDE0474	NA
WATDE0477	235
WATDE0479	123.5
WATDE0481	137.5
WATDE0482	122.5
WATDE0484	NA
WATDE0486	123.5
WATDE0487	NA
WATDE0488	140
WATDE0489	NA
WATDE0490	145.5
WATDE0492	NA
WATDE0494	165.5
WATDE0496	120
WATDE0498	227
WATDE0500	128.5
WATDE0501	NA
WATDE0502	NA
WATDE0503	231.5
WATDE0504	112
WATDE0505	NA
WATDE0507	NA
WATDE0509	126.5
WATDE0510	NA
WATDE0511	NA
WATDE0512	NA
WATDE0513	256
WATDE0515	92
WATDE0516	NA
WATDE0518	257
WATDE0519	217.5
WATDE0520	NA
WATDE0521	186.5
WATDE0522	NA
WATDE0524	NA
WATDE0527	224.5
WATDE0529	NA
WATDE0531	156.5
WATDE0533	82
WATDE0534	202.5
WATDE0536	NA
WATDE0537	109
WATDE0538	NA
WATDE0539	127.5
WATDE0540	208.5
WATDE0541	NA
WATDE0542	NA
WATDE0543	180.5
WATDE0544	138.5
WATDE0546	NA
WATDE0547	170
WATDE0549	166
WATDE0550	220
WATDE0552	147.5
WATDE0553	97.5
WATDE0555	164.5
WATDE0556	NA
WATDE0557	236.5
WATDE0558	NA
WATDE0560	NA
WATDE0561	198
WATDE0562	230
WATDE0563	115
WATDE0565	163.5
WATDE0566	NA
WATDE0567	83.5
WATDE0568	NA
WATDE0569	NA
WATDE0570	313
WATDE0571	192.5
WATDE0572	116.5
WATDE0574	76.5
WATDE0577	NA
WATDE0578	189.5
WATDE0579	NA
WATDE0581	175.5
WATDE0582	153.5
WATDE0585	NA
WATDE0586	63
WATDE0588	199
WATDE0589	232
WATDE0591	NA
WATDE0592	NA
WATDE0594	176
WATDE0596	200
WATDE0597	95.5
WATDE0598	102
WATDE0599	NA
WATDE0600	162
WATDE0601	NA
WATDE0602	212.5
WATDE0603	NA
WATDE0604	80.5
WATDE0606	115
WATDE0608	NA
WATDE0609	148.5
WATDE0610	162.5
WATDE0611	187
WATDE0613	127.5
WATDE0614	140
WATDE0615	195
WATDE0616	132.5
WATDE0617	73
WATDE0618	NA
WATDE0620	107
WATDE0622	NA
WATDE0624	NA
WATDE0626	79
WATDE0627	NA
WATDE0628	127.5
WATDE0630	147
WATDE0631	159.5
WATDE0632	133.5
WATDE0634	224
WATDE0635	197
WATDE0636	123.5
WATDE0638	222.5
WATDE0639	NA
WATDE0640	NA
WATDE0641	NA
WATDE0643	165
WATDE0644	NA
WATDE0646	82.5
WATDE0648	NA
WATDE0649	173
WATDE0650	129.5
WATDE0651	116
WATDE0652	177.5
WATDE0653	96
WATDE0655	89.5
WATDE0657	142
WATDE0658	134.5
WATDE0659	125.5
WATDE0660	181.5
WATDE0661	120
WATDE0662	241.5
WATDE0663	NA
WATDE0664	235.5
WATDE0665	177
WATDE0666	190
WATDE0667	146
WATDE0669	NA
WATDE0670	124.5
WATDE0671	81.5
WATDE0672	NA
WATDE0674	114.5
WATDE0675	NA
WATDE0676	186.5
WATDE0678	84.5
WATDE0679	107.5
WATDE0680	142.5
WATDE0682	83
WATDE0683	114
WATDE0685	216
WATDE0686	107.5
WATDE0687	215
WATDE0688	NA
WATDE0689	148
WATDE0691	NA
WATDE0693	108
WATDE0694	133
WATDE0695	74
WATDE0697	173
WATDE0699	NA
WATDE0700	117
WATDE0701	117
WATDE0702	NA
WATDE0703	160.5
WATDE0704	NA
WATDE0705	129
WATDE0706	53.5
WATDE0707	127
WATDE0709	187
WATDE0710	NA
WATDE0712	96
WATDE0713	95
WATDE0716	NA
WATDE0718	146
WATDE0720	250
WATDE0721	234.5
WATDE0723	65
WATDE0725	229.5
WATDE0726	NA
WATDE0727	NA
WATDE0728	130.5
WATDE0729	140.5
