IID	SplN_Kaifeng-GH_2020_Natural
WATDE0148	24.00
WATDE0149	22.00
WATDE0150	21.00
WATDE0151	24.00
WATDE0152	24.00
WATDE0153	22.00
WATDE0154	21.00
WATDE0156	25.89
WATDE0157	21.00
WATDE0158	24.00
WATDE0159	28.67
WATDE0160	28.00
WATDE0162	24.00
WATDE0164	24.33
WATDE0165	29.33
WATDE0168	NA
WATDE0169	25.00
WATDE0171	NA
WATDE0173	NA
WATDE0174	NA
WATDE0175	NA
WATDE0176	NA
WATDE0177	NA
WATDE0178	NA
WATDE0180	23.00
WATDE0181	24.00
WATDE0182	21.00
WATDE0183	22.00
WATDE0184	NA
WATDE0185	18.00
WATDE0187	NA
WATDE0188	NA
WATDE0190	NA
WATDE0191	29.00
WATDE0192	NA
WATDE0194	22.00
WATDE0195	22.00
WATDE0196	NA
WATDE0198	NA
WATDE0199	NA
WATDE0200	NA
WATDE0202	22.33
WATDE0203	NA
WATDE0204	NA
WATDE0205	NA
WATDE0206	NA
WATDE0207	23.67
WATDE0209	26.33
WATDE0211	NA
WATDE0212	25.33
WATDE0214	NA
WATDE0215	22.00
WATDE0216	24.50
WATDE0217	NA
WATDE0219	25.00
WATDE0220	18.43
WATDE0221	22.00
WATDE0222	19.67
WATDE0223	23.00
WATDE0224	13.44
WATDE0225	23.25
WATDE0227	21.00
WATDE0228	NA
WATDE0229	26.67
WATDE0230	25.00
WATDE0232	26.00
WATDE0233	NA
WATDE0234	26.00
WATDE0235	NA
WATDE0236	26.33
WATDE0237	NA
WATDE0238	NA
WATDE0239	22.67
WATDE0241	NA
WATDE0242	27.00
WATDE0243	NA
WATDE0244	NA
WATDE0246	22.00
WATDE0247	NA
WATDE0248	NA
WATDE0249	20.67
WATDE0250	8.00
WATDE0252	NA
WATDE0253	18.00
WATDE0254	23.00
WATDE0255	25.67
WATDE0257	23.00
WATDE0258	20.00
WATDE0259	19.00
WATDE0260	18.00
WATDE0262	25.00
WATDE0263	17.00
WATDE0264	22.60
WATDE0266	24.00
WATDE0268	NA
WATDE0270	23.00
WATDE0271	17.00
WATDE0272	18.00
WATDE0273	NA
WATDE0275	17.78
WATDE0276	25.00
WATDE0277	22.00
WATDE0278	23.00
WATDE0280	20.00
WATDE0281	19.67
WATDE0282	20.00
WATDE0284	NA
WATDE0285	21.50
WATDE0286	21.00
WATDE0287	21.00
WATDE0288	21.00
WATDE0290	20.75
WATDE0291	17.00
WATDE0292	20.78
WATDE0293	NA
WATDE0294	23.00
WATDE0296	NA
WATDE0298	NA
WATDE0299	22.33
WATDE0301	21.33
WATDE0302	21.33
WATDE0303	NA
WATDE0304	21.00
WATDE0305	NA
WATDE0306	NA
WATDE0308	NA
WATDE0310	NA
WATDE0312	19.89
WATDE0313	24.00
WATDE0315	25.00
WATDE0316	NA
WATDE0317	24.00
WATDE0318	24.00
WATDE0319	22.00
WATDE0321	22.33
WATDE0323	NA
WATDE0324	21.14
WATDE0325	NA
WATDE0328	27.50
WATDE0329	22.00
WATDE0331	28.67
WATDE0332	19.00
WATDE0333	NA
WATDE0334	24.33
WATDE0335	NA
WATDE0336	NA
WATDE0337	NA
WATDE0340	25.33
WATDE0342	24.00
WATDE0343	NA
WATDE0344	NA
WATDE0345	NA
WATDE0346	23.67
WATDE0347	30.00
WATDE0348	NA
WATDE0350	18.00
WATDE0352	21.00
WATDE0353	NA
WATDE0354	NA
WATDE0355	24.00
WATDE0356	26.00
WATDE0358	24.00
WATDE0359	16.00
WATDE0361	NA
WATDE0363	24.00
WATDE0365	23.00
WATDE0366	NA
WATDE0368	21.00
WATDE0369	24.00
WATDE0370	21.00
WATDE0371	20.00
WATDE0372	19.00
WATDE0373	NA
WATDE0374	14.14
WATDE0375	22.44
WATDE0377	NA
WATDE0378	20.00
WATDE0379	NA
WATDE0381	NA
WATDE0382	22.00
WATDE0383	NA
WATDE0385	21.00
WATDE0386	NA
WATDE0387	20.50
WATDE0389	23.00
WATDE0391	19.00
WATDE0392	NA
WATDE0394	22.78
WATDE0396	20.00
WATDE0397	14.00
WATDE0399	22.43
WATDE0401	21.00
WATDE0403	21.00
WATDE0404	18.00
WATDE0405	NA
WATDE0407	18.00
WATDE0408	23.00
WATDE0409	22.00
WATDE0410	23.00
WATDE0411	20.00
WATDE0412	23.00
WATDE0413	29.33
WATDE0415	17.00
WATDE0417	18.00
WATDE0419	20.00
WATDE0420	22.00
WATDE0421	24.00
WATDE0422	23.00
WATDE0423	23.00
WATDE0424	NA
WATDE0425	NA
WATDE0426	NA
WATDE0427	NA
WATDE0428	NA
WATDE0429	NA
WATDE0430	25.00
WATDE0431	NA
WATDE0432	NA
WATDE0433	20.00
WATDE0434	NA
WATDE0435	NA
WATDE0436	19.67
WATDE0438	NA
WATDE0439	17.00
WATDE0440	19.44
WATDE0441	19.00
WATDE0442	21.00
WATDE0443	NA
WATDE0444	NA
WATDE0445	NA
WATDE0446	25.00
WATDE0448	21.67
WATDE0449	18.00
WATDE0450	22.00
WATDE0451	18.00
WATDE0452	22.00
WATDE0453	20.00
WATDE0454	19.00
WATDE0455	18.56
WATDE0456	19.00
WATDE0457	20.50
WATDE0460	16.89
WATDE0461	20.00
WATDE0462	18.00
WATDE0463	24.33
WATDE0465	25.67
WATDE0467	17.50
WATDE0469	17.75
WATDE0471	19.00
WATDE0474	23.00
WATDE0477	22.71
WATDE0479	22.00
WATDE0481	21.00
WATDE0482	18.44
WATDE0484	17.25
WATDE0486	27.43
WATDE0487	20.67
WATDE0488	24.00
WATDE0489	18.89
WATDE0490	27.00
WATDE0492	26.00
WATDE0494	26.00
WATDE0496	27.33
WATDE0498	28.33
WATDE0500	21.33
WATDE0501	21.33
WATDE0502	NA
WATDE0503	NA
WATDE0504	24.67
WATDE0505	NA
WATDE0507	NA
WATDE0509	22.00
WATDE0510	NA
WATDE0511	NA
WATDE0512	21.75
WATDE0513	23.67
WATDE0515	NA
WATDE0516	NA
WATDE0518	NA
WATDE0519	NA
WATDE0520	NA
WATDE0521	19.00
WATDE0522	22.00
WATDE0524	NA
WATDE0527	NA
WATDE0529	NA
WATDE0531	NA
WATDE0533	20.67
WATDE0534	23.78
WATDE0536	NA
WATDE0537	26.00
WATDE0538	NA
WATDE0539	26.00
WATDE0540	18.67
WATDE0541	NA
WATDE0542	NA
WATDE0543	22.33
WATDE0544	NA
WATDE0546	NA
WATDE0547	20.67
WATDE0549	NA
WATDE0550	NA
WATDE0552	NA
WATDE0553	20.00
WATDE0555	23.67
WATDE0556	22.00
WATDE0557	NA
WATDE0558	NA
WATDE0560	NA
WATDE0561	NA
WATDE0562	17.67
WATDE0563	20.00
WATDE0565	21.00
WATDE0566	19.00
WATDE0567	16.00
WATDE0568	NA
WATDE0569	16.00
WATDE0570	22.00
WATDE0571	NA
WATDE0572	21.00
WATDE0574	18.89
WATDE0577	22.00
WATDE0578	20.33
WATDE0579	19.00
WATDE0581	20.78
WATDE0582	NA
WATDE0585	21.44
WATDE0586	28.33
WATDE0588	NA
WATDE0589	NA
WATDE0591	NA
WATDE0592	NA
WATDE0594	NA
