IID	SplN_Quzhou_2022_Natural_Fertile
WATDE0126	16.00
WATDE0127	11.67
WATDE0129	14.33
WATDE0131	14.00
WATDE0133	18.33
WATDE0134	16.00
WATDE0136	16.67
WATDE0138	21.00
WATDE0140	NA
WATDE0141	16.00
WATDE0143	NA
WATDE0144	18.00
WATDE0145	18.00
WATDE0146	17.00
WATDE0148	NA
WATDE0149	19.00
WATDE0150	17.33
WATDE0151	16.67
WATDE0152	19.33
WATDE0153	17.00
WATDE0154	17.67
WATDE0156	22.00
WATDE0157	15.67
WATDE0158	18.00
WATDE0159	24.00
WATDE0160	23.33
WATDE0162	18.00
WATDE0164	18.67
WATDE0165	20.00
WATDE0168	19.33
WATDE0169	NA
WATDE0171	NA
WATDE0173	15.00
WATDE0174	14.33
WATDE0175	17.67
WATDE0176	18.50
WATDE0177	14.67
WATDE0178	17.67
WATDE0180	NA
WATDE0181	NA
WATDE0182	NA
WATDE0183	14.67
WATDE0184	19.00
WATDE0185	16.67
WATDE0187	NA
WATDE0188	18.00
WATDE0190	NA
WATDE0191	21.00
WATDE0192	17.67
WATDE0194	18.67
WATDE0195	16.00
WATDE0196	NA
WATDE0198	20.33
WATDE0199	22.67
WATDE0200	NA
WATDE0202	17.33
WATDE0203	16.67
WATDE0204	17.67
WATDE0205	18.00
WATDE0206	16.00
WATDE0207	21.33
WATDE0209	19.33
WATDE0211	17.33
WATDE0212	18.33
WATDE0214	18.67
WATDE0215	19.00
WATDE0216	18.33
WATDE0217	16.00
WATDE0219	16.67
WATDE0220	19.33
WATDE0221	16.33
WATDE0222	14.33
WATDE0223	18.67
WATDE0224	17.67
WATDE0225	22.33
WATDE0227	17.33
WATDE0228	21.00
WATDE0229	21.67
WATDE0230	22.67
WATDE0232	25.00
WATDE0233	13.67
WATDE0234	19.33
WATDE0235	17.00
WATDE0236	24.33
WATDE0237	17.00
WATDE0238	22.33
WATDE0239	17.33
WATDE0241	NA
WATDE0242	16.67
WATDE0243	NA
WATDE0244	20.67
WATDE0246	16.00
WATDE0247	NA
WATDE0248	20.67
WATDE0249	20.00
WATDE0250	NA
WATDE0252	15.00
WATDE0253	17.00
WATDE0254	15.33
WATDE0255	15.00
WATDE0257	18.33
WATDE0258	14.00
WATDE0259	16.33
WATDE0260	14.67
WATDE0262	19.33
WATDE0263	14.67
WATDE0264	23.33
WATDE0266	14.33
WATDE0268	16.33
WATDE0270	21.33
WATDE0271	16.33
WATDE0272	14.67
WATDE0273	16.33
WATDE0275	15.67
WATDE0276	18.00
WATDE0277	23.67
WATDE0278	19.00
WATDE0280	NA
WATDE0281	17.00
WATDE0282	NA
WATDE0284	18.67
WATDE0285	16.67
WATDE0286	15.67
WATDE0287	16.33
WATDE0288	20.33
WATDE0290	16.00
WATDE0291	17.00
WATDE0292	15.67
WATDE0293	17.67
WATDE0294	NA
WATDE0296	NA
WATDE0298	20.33
WATDE0299	17.00
WATDE0301	13.67
WATDE0302	17.00
WATDE0303	NA
WATDE0304	16.33
WATDE0305	18.00
WATDE0306	16.33
WATDE0308	19.00
WATDE0310	18.00
WATDE0312	18.67
WATDE0313	16.33
WATDE0315	17.33
WATDE0316	18.33
WATDE0317	11.00
WATDE0318	18.33
WATDE0319	16.33
WATDE0321	15.33
WATDE0323	NA
WATDE0324	15.33
WATDE0325	20.67
WATDE0328	18.00
WATDE0329	16.00
WATDE0331	NA
WATDE0332	18.33
WATDE0333	19.33
WATDE0334	NA
WATDE0335	16.33
WATDE0336	16.67
WATDE0337	19.67
WATDE0340	20.67
WATDE0342	15.00
WATDE0343	NA
WATDE0344	17.67
WATDE0345	NA
WATDE0346	16.33
WATDE0347	24.00
WATDE0348	21.33
WATDE0350	12.33
WATDE0352	15.00
WATDE0353	NA
WATDE0354	19.67
WATDE0355	19.00
WATDE0356	19.33
WATDE0358	19.67
WATDE0359	NA
WATDE0361	21.67
WATDE0363	17.67
WATDE0365	19.33
WATDE0366	21.67
WATDE0368	19.33
WATDE0369	16.67
WATDE0370	14.67
WATDE0371	15.00
WATDE0372	14.67
WATDE0373	NA
WATDE0374	14.67
WATDE0375	15.67
WATDE0377	NA
WATDE0378	17.33
WATDE0379	18.33
WATDE0381	17.00
WATDE0382	17.00
WATDE0383	19.33
WATDE0385	18.33
WATDE0386	NA
WATDE0387	16.67
WATDE0389	17.33
WATDE0391	17.33
WATDE0392	14.33
WATDE0394	16.33
WATDE0396	16.00
WATDE0397	17.00
WATDE0399	17.33
WATDE0401	19.00
WATDE0403	14.33
WATDE0404	12.67
WATDE0405	NA
WATDE0407	13.67
WATDE0408	NA
WATDE0409	15.67
WATDE0410	17.33
WATDE0411	NA
WATDE0412	15.67
WATDE0413	16.33
WATDE0415	14.67
WATDE0417	16.67
WATDE0419	13.00
WATDE0420	15.00
WATDE0421	19.33
WATDE0422	18.33
WATDE0423	19.33
WATDE0424	NA
WATDE0425	20.67
WATDE0426	16.33
WATDE0427	15.33
WATDE0428	17.00
WATDE0429	16.00
WATDE0430	NA
WATDE0431	17.33
WATDE0432	17.67
WATDE0433	NA
WATDE0434	12.33
WATDE0435	15.33
WATDE0436	15.00
WATDE0438	NA
WATDE0439	15.00
WATDE0440	16.00
WATDE0441	NA
WATDE0442	15.67
WATDE0443	13.67
WATDE0444	16.00
WATDE0445	15.33
WATDE0446	15.33
WATDE0448	NA
WATDE0449	14.33
WATDE0450	17.00
WATDE0451	15.00
WATDE0452	16.67
WATDE0453	16.33
WATDE0454	16.33
WATDE0455	15.67
WATDE0456	17.00
